mu1,mu2,mu3,sd1,sd2,sd3,ppi1,ppi2,ppi3,ll,ll_null,aic,aic_null,bic,bic_null,R2
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.970,0.482,0.000,0.032,0.245,0.000,0.255,0.690,0.055,487.019,-37.419,-958.037,78.837,-935.284,84.526,14.015
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.968,0.764,0.395,0.034,0.049,0.246,0.271,0.080,0.650,-3.619,-37.419,23.239,78.837,45.992,84.526,0.903
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.682,0.520,0.043,0.271,0.000,0.043,0.774,0.087,0.139,739.460,-37.419,-1462.920,78.837,-1440.166,84.526,20.762
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.970,0.462,0.120,0.032,0.265,0.000,0.252,0.716,0.031,270.292,-37.419,-524.584,78.837,-501.830,84.526,8.223
0.669,0.103,0.019,0.259,0.020,0.021,0.857,0.045,0.098,-19.775,-37.419,55.551,78.837,78.304,84.526,0.472
0.968,0.764,0.395,0.034,0.049,0.246,0.271,0.080,0.650,-3.619,-37.419,23.239,78.837,45.992,84.526,0.903
0.969,0.520,0.436,0.033,0.000,0.282,0.256,0.087,0.657,757.024,-37.419,-1498.047,78.837,-1475.294,84.526,21.231
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.520,0.436,0.033,0.000,0.282,0.256,0.087,0.657,757.024,-37.419,-1498.047,78.837,-1475.294,84.526,21.231
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.682,0.520,0.043,0.271,0.000,0.043,0.774,0.087,0.139,739.460,-37.419,-1462.920,78.837,-1440.166,84.526,20.762
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
0.969,0.535,0.043,0.033,0.199,0.042,0.262,0.598,0.140,8.413,-37.419,-0.826,78.837,21.927,84.526,1.225
