Subnum,Condition,TrialType,BestOption,Sex,Race,Ethnicity,Big5O,Big5C,Big5E,Big5A,Big5N,Bis11Score,CESD,ESIBF_Disinhibition,ESIBF_SubstanceUse,NPI,PSWQ,STAIS,STAIT,TPM_Boldness,TPM_Disinhibition,TPM_Meanness,prob1,prob2,prob3,assignments,training_accuracy,group_training
1,Gains,AB,0.73,Female,White,Hispanic or Latino,26,29,24,43,32,62,17,9,12,7,61,52,42,26,8,12,0.9986456415605962,0.0013543584394037,1.9395191133605292e-107,1,0.7533333333333333,Average
1,Gains,CD,0.8,Female,White,Hispanic or Latino,26,29,24,43,32,62,17,9,12,7,61,52,42,26,8,12,0.9986456415605962,0.0013543584394037,1.9395191133605292e-107,1,0.7533333333333333,Average
1,Gains,CA,0.96,Female,White,Hispanic or Latino,26,29,24,43,32,62,17,9,12,7,61,52,42,26,8,12,0.9986456415605962,0.0013543584394037,1.9395191133605292e-107,1,0.7533333333333333,Average
1,Gains,CB,0.96,Female,White,Hispanic or Latino,26,29,24,43,32,62,17,9,12,7,61,52,42,26,8,12,0.9986456415605962,0.0013543584394037,1.9395191133605292e-107,1,0.7533333333333333,Average
1,Gains,AD,1.0,Female,White,Hispanic or Latino,26,29,24,43,32,62,17,9,12,7,61,52,42,26,8,12,0.9986456415605962,0.0013543584394037,1.9395191133605292e-107,1,0.7533333333333333,Average
1,Gains,BD,0.76,Female,White,Hispanic or Latino,26,29,24,43,32,62,17,9,12,7,61,52,42,26,8,12,0.9986456415605962,0.0013543584394037,1.9395191133605292e-107,1,0.7533333333333333,Average
2,GainsEF,AB,0.6666666666666666,Female,White,Hispanic or Latino,34,31,29,36,21,56,6,17,27,25,55,36,32,30,18,13,1.860771692595221e-172,0.0393615852539217,0.9606384147460784,3,0.6133333333333333,Average
2,GainsEF,CD,0.56,Female,White,Hispanic or Latino,34,31,29,36,21,56,6,17,27,25,55,36,32,30,18,13,1.860771692595221e-172,0.0393615852539217,0.9606384147460784,3,0.6133333333333333,Average
2,GainsEF,CA,0.04,Female,White,Hispanic or Latino,34,31,29,36,21,56,6,17,27,25,55,36,32,30,18,13,1.860771692595221e-172,0.0393615852539217,0.9606384147460784,3,0.6133333333333333,Average
2,GainsEF,CB,0.16,Female,White,Hispanic or Latino,34,31,29,36,21,56,6,17,27,25,55,36,32,30,18,13,1.860771692595221e-172,0.0393615852539217,0.9606384147460784,3,0.6133333333333333,Average
