Subnum,AB,CD,CA,CB,AD,BD
1,0.5333333333333333,0.6833333333333333,0.35,0.55,0.6,0.35
2,0.6666666666666666,0.35,1.0,0.85,0.5,0.55
3,0.7333333333333333,0.8,1.0,1.0,0.05,0.0
4,0.4166666666666667,0.4833333333333333,0.55,0.5,0.9,0.9
5,0.45,0.6666666666666666,1.0,0.95,0.0,0.7
6,0.5833333333333334,0.6333333333333333,0.15,0.5,0.4,0.25
7,0.8666666666666667,0.7833333333333333,0.75,0.9,0.7,0.25
9,0.3666666666666666,0.6833333333333333,1.0,0.7,0.35,0.8
10,0.7166666666666667,0.7333333333333333,0.9,1.0,0.8,0.0
11,0.7333333333333333,0.65,0.65,1.0,1.0,0.1
12,0.6666666666666666,0.4666666666666667,0.35,0.55,0.25,0.05
13,0.8,0.7833333333333333,0.7,0.9,0.5,0.25
14,0.5666666666666667,0.65,0.65,0.9,0.9,0.25
15,0.4833333333333333,0.6166666666666667,0.7,0.45,0.75,0.95
16,0.65,0.6166666666666667,0.55,0.6,0.5,0.55
17,0.5,0.65,0.35,0.2,0.95,0.9
18,0.65,0.55,0.3,0.55,0.4,0.45
19,0.5333333333333333,0.55,0.65,0.25,0.3,0.75
20,0.6,0.45,0.2,0.7,0.35,0.2
21,0.6166666666666667,0.5333333333333333,0.5,0.7,0.6,0.45
22,0.6666666666666666,0.7166666666666667,0.15,0.95,1.0,0.1
23,0.4333333333333333,0.7333333333333333,0.0,0.0,1.0,1.0
24,0.5666666666666667,0.5833333333333334,0.95,0.95,0.05,0.0
25,0.0,0.0166666666666666,1.0,0.0,0.0,0.95
26,0.75,0.5,0.95,1.0,0.95,0.0
27,0.2833333333333333,0.3833333333333333,0.05,1.0,1.0,0.1
28,0.6833333333333333,0.6666666666666666,0.05,0.8,0.95,0.25
29,0.1,0.7166666666666667,0.3,0.2,0.25,0.55
30,0.75,0.7166666666666667,0.6,0.7,0.5,0.55
31,0.95,0.9166666666666666,0.9,1.0,0.2,0.05
32,0.5,0.6,0.2,0.75,0.8,0.9
33,0.45,0.4666666666666667,0.75,0.25,0.0,0.8
34,0.75,0.75,0.75,0.95,1.0,0.95
35,0.3,0.6,1.0,0.2,0.0,0.6
36,0.55,0.4666666666666667,0.2,0.65,0.65,0.2
37,0.4666666666666667,0.6166666666666667,0.95,0.95,1.0,1.0
38,0.6333333333333333,0.5166666666666667,0.3,0.4,0.5,0.25
39,0.4166666666666667,0.4,0.55,0.5,0.35,0.7
40,0.4333333333333333,0.4166666666666667,0.4,0.95,0.75,0.55
41,0.7166666666666667,0.6666666666666666,1.0,1.0,1.0,1.0
42,0.55,0.5,0.0,0.3,1.0,1.0
43,0.0666666666666666,0.15,1.0,1.0,0.05,0.0
44,0.6,0.7,0.0,1.0,1.0,1.0
45,0.4,0.6333333333333333,0.65,0.65,0.5,0.6
46,0.5166666666666667,0.4666666666666667,0.85,1.0,0.65,0.15
47,0.4333333333333333,0.8666666666666667,0.6,0.4,0.95,1.0
48,0.8333333333333334,0.9166666666666666,0.9,1.0,0.9,0.5
49,0.4166666666666667,0.35,0.2,0.75,1.0,0.45
50,0.7333333333333333,0.5166666666666667,0.05,0.9,0.9,0.9
51,0.2,0.2666666666666666,0.6,0.45,0.15,0.25
52,0.55,0.5666666666666667,0.95,0.95,1.0,0.95
53,0.4,0.3666666666666666,0.2,0.45,0.3,0.5
54,0.8666666666666667,0.7166666666666667,0.45,0.2,0.7,0.6
55,0.5833333333333334,0.4333333333333333,0.1,0.9,0.8,0.05
56,0.4333333333333333,0.4166666666666667,0.9,0.3,0.05,0.4
57,0.6666666666666666,0.6166666666666667,0.3,0.45,0.7,0.55
58,0.25,0.2,0.6,0.6,0.25,0.15
59,0.8333333333333334,0.9166666666666666,0.9,0.95,1.0,1.0
60,0.7,0.85,0.8,0.9,0.85,0.6
61,0.3666666666666666,0.6666666666666666,0.35,0.5,0.55,0.85
62,0.5166666666666667,0.6,0.9,1.0,0.25,0.15
63,0.55,0.6,0.15,0.0,0.1,0.1
64,0.6166666666666667,0.45,0.5,0.75,0.55,0.4
65,0.35,0.4833333333333333,0.9,0.95,1.0,0.45
66,0.7666666666666667,0.8166666666666667,0.95,0.95,1.0,0.95
67,0.3,0.7666666666666667,0.35,0.65,0.7,0.85
68,0.4333333333333333,0.3666666666666666,0.6,0.45,0.35,0.4
69,0.5833333333333334,0.3666666666666666,0.55,0.9,0.5,0.45
70,0.9833333333333332,0.9666666666666668,0.0,1.0,0.95,0.2
71,0.55,0.65,0.5,0.65,0.7,0.4
72,0.4833333333333333,0.45,0.8,0.4,0.65,0.9
73,0.2333333333333333,0.6166666666666667,0.7,0.65,0.35,0.8
74,0.4166666666666667,0.5,0.55,0.5,0.45,0.6
75,0.4333333333333333,0.45,0.0,0.15,0.85,0.5
76,0.6166666666666667,0.4166666666666667,0.55,0.5,0.5,0.55
77,0.5166666666666667,0.55,0.6,0.5,0.35,0.3
78,0.5833333333333334,0.6166666666666667,0.4,0.85,0.7,0.7
79,0.5833333333333334,0.4333333333333333,0.5,0.55,0.55,0.7
80,0.5333333333333333,0.5166666666666667,0.2,0.15,0.7,0.75
81,0.55,0.5666666666666667,1.0,1.0,1.0,0.95
82,0.5833333333333334,0.6,0.25,0.95,1.0,0.95
83,0.55,0.4833333333333333,0.15,0.9,0.7,0.1
84,0.4166666666666667,0.4833333333333333,0.45,0.1,0.15,0.5
85,0.35,0.35,0.95,1.0,0.9,0.0
86,1.0,0.9833333333333332,0.0,0.95,0.95,1.0
87,0.6666666666666666,0.8333333333333334,0.4,0.3,0.15,0.25
88,0.4333333333333333,0.3166666666666666,0.2,0.25,0.85,0.65
89,0.5,0.6166666666666667,1.0,0.95,0.0,0.15
90,0.5833333333333334,0.45,0.55,0.3,0.35,0.5
91,0.9333333333333332,0.8166666666666667,0.0,0.05,1.0,0.95
92,0.5833333333333334,0.5,0.55,0.55,0.5,0.15
93,0.7166666666666667,0.8,0.85,0.75,0.95,0.9
94,0.55,0.5,0.6,0.65,0.35,0.85
95,0.2,0.5166666666666667,0.6,0.55,0.35,0.35
96,0.3833333333333333,0.8166666666666667,0.1,0.05,0.95,0.9
97,0.6333333333333333,0.5333333333333333,0.0,0.1,0.9,0.05
98,0.8,0.7166666666666667,0.15,1.0,1.0,0.0
99,0.5,0.45,0.05,0.15,0.95,0.75
100,0.9,0.8666666666666667,0.55,0.6,0.6,0.4
101,0.4,0.6666666666666666,0.8,0.25,0.55,0.7
102,0.4333333333333333,0.85,0.95,1.0,1.0,0.95
103,0.45,0.55,0.75,0.7,0.4,0.5
104,0.75,0.4333333333333333,0.2,0.7,0.6,0.05
105,0.5833333333333334,0.7,0.95,0.95,0.85,0.5
106,0.5833333333333334,0.7,0.15,0.8,0.85,0.75
107,0.7,0.6333333333333333,0.05,1.0,1.0,0.45
108,0.9333333333333332,0.9166666666666666,1.0,1.0,1.0,0.0
109,0.8833333333333333,0.9166666666666666,1.0,1.0,0.95,0.1
110,0.75,0.3666666666666666,0.55,0.75,0.3,0.3
111,0.7666666666666667,0.1833333333333333,0.0,0.0,1.0,1.0
112,0.75,0.75,0.95,1.0,0.8,0.0
