participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,125.34801580276319,"[0.8100350710386653, 0.6175145223298845, 0.28957046018526844, 0.8584023769486784]",[1.41678635e-01 6.05006765e-04 1.00000000e-04 1.00000000e-04],"[np.float64(13.263357740528468), np.float64(1.8329252816834678), np.float64(17.078455977627943), np.float64(0.9145046321017678)]",258.6960316055264,272.78187527697537
2,141.99027164327154,"[0.14027642508524404, 0.5410563758827382, 0.6070455299212788, 0.346902017491675]",[8.80125967e-01 6.30416255e-01 6.53122731e-02 1.00000000e-04],"[np.float64(1.2803577664457237), np.float64(1.715270394005293e-06), np.float64(6.0859995903397314e-05), np.float64(0.08241259744508099)]",291.9805432865431,306.06638695799205
3,162.45836173553144,"[0.21997594851895905, 0.22841789378664595, 0.05446723401755309, 0.10993764378258841]",[1.61619449e-01 5.27202606e-02 1.00000000e-04 1.00000000e-04],"[np.float64(3.393386165902567), np.float64(0.5880575445270243), np.float64(4.987625038613763), np.float64(0.6046188920577134)]",332.9167234710629,347.00256714251185
4,147.0702173062342,"[2.7708870113997373, 0.2759263180305236, 0.8074023202238805, 0.26212197801085546]",[2.04235011e-01 3.59092059e-02 1.00000000e-04 1.00000000e-04],"[np.float64(4.610783219701105), np.float64(1.759404783141944), np.float64(5.596481834979774), np.float64(1.4600414312089642)]",302.1404346124684,316.2262782839174
5,100.3375426389161,"[3.5158200953551226, 0.5152060705326857, 0.4282476807675176, 0.10420257895951437]",[0.24295892 0.00051682 0.00071542 0.21001861],"[np.float64(11.746587302895675), np.float64(1.3264497815201903), np.float64(18.265666770949323), np.float64(1.970861487576263)]",208.6750852778322,222.7609289492812
6,140.8934044713793,"[1.713613826397868, 0.9543326643299441, 0.8780003424381262, 0.6365056219212999]",[0.06763926 0.00583024 0.00133623 0.0001    ],"[np.float64(34.3842527122024), np.float64(5.00763681932934), np.float64(32.40455903617637), np.float64(9.455217417988658)]",289.7868089427586,303.8726526142076
7,158.69721652878263,"[1.2776967397302463, 0.06918505751759803, 0.10510393776980384, 0.323087603158637]",[5.72506641e-01 2.40616888e-01 1.00000000e-04 1.00000000e-04],"[np.float64(0.8895153533662343), np.float64(8.190116943821118e-08), np.float64(5.0777941909273503e-05), np.float64(1.014457204223455)]",325.39443305756527,339.48027672901424
8,157.42778644963664,"[1.2647214600093293, 0.7838897579145075, 0.849588842832089, 0.5869585075646975]",[3.15245110e-01 1.00000000e-04 9.34812527e-01 9.99900000e-01],"[np.float64(2.5477285292447127), np.float64(5.224248281911559), np.float64(0.8131024895524394), np.float64(3.543672446743717)]",322.8555728992733,336.94141657072225
9,79.39194644288254,"[3.8353416246011345, 0.1628944150710403, 0.733612972020801, 0.10579453075372497]",[0.41638791 0.03579477 0.22995583 0.0675826 ],"[np.float64(5.506299311206978), np.float64(0.04214722827024562), np.float64(7.479437088656047), np.float64(0.017306861085727432)]",166.78389288576508,180.86973655721408
10,131.25875064081848,"[2.2860035857006706, 0.8113781466935951, 0.22646833088901105, 0.4343415461901621]",[2.59847252e-01 1.04186489e-02 3.01528829e-01 1.00000000e-04],"[np.float64(12.876660240389624), np.float64(11.478034674007313), np.float64(5.017530948983894), np.float64(7.2607131148158)]",270.51750128163695,284.6033449530859
11,104.44500482926476,"[1.6082661322072684, 0.7221101446414421, 0.8265362056160623, 0.8051006198250373]",[1.32703576e-01 1.00000000e-04 5.51981258e-01 1.00000000e-04],"[np.float64(35.2808068214455), np.float64(14.062679345288), np.float64(21.28385860914259), np.float64(3.169790084750799)]",216.89000965852952,230.97585332997852
12,119.96384064937999,"[3.5651325055927563, 0.9872898062377007, 0.07311851132773524, 0.48844485227839585]",[3.48328825e-01 1.16608184e-03 1.00037836e-04 3.62976223e-01],"[np.float64(8.00721739052625), np.float64(1.1785381430234547), np.float64(6.516999033365164), np.float64(0.9501556684806982)]",247.92768129875998,262.01352497020895
13,42.95198407692477,"[2.9552347828060124, 0.9957843773268004, 0.3171773632188243, 0.04761733272332009]",[6.09107726e-01 2.92243870e-02 1.00000000e-04 1.00000000e-04],"[np.float64(11.078286549418372), np.float64(0.01204016500670557), np.float64(7.534211921480775), np.float64(0.08772577003636634)]",93.90396815384953,107.98981182529852
14,169.3548106596202,"[0.6964405089518703, 0.38126399958587626, 0.7234153386270011, 0.37427514312301796]",[0.14771736 0.05417129 0.20181817 0.00581353],"[np.float64(1.6703284389440778), np.float64(2.0813397956137694), np.float64(1.9946143141695094), np.float64(2.2274500901219088)]",346.7096213192404,360.79546499068937
15,96.73722789840355,"[3.9697633790147258, 0.9621663134470898, 0.17542793430278156, 0.38276171222392374]",[0.95383899 0.0505179  0.40241728 0.9999    ],"[np.float64(1.4748498817139393), np.float64(0.7997743583013995), np.float64(1.4296166294224817), np.float64(0.00041958765721227887)]",201.4744557968071,215.56029946825606
16,171.6655391364347,"[4.8893504029655865, 0.8574160925994586, 0.7606675180896009, 0.5215070222673954]",[0.13880554 0.01700856 0.46913567 0.9999    ],"[np.float64(2.2740479838853456), np.float64(3.1295250245388475), np.float64(2.908082858648919), np.float64(2.084247514762332)]",351.3310782728694,365.41692194431835
