participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,135.2839711697099,"[3.0735438893111477, 0.35159552834522406]",[0.10705326 0.01468257],"[np.float64(16.609712720274914), np.float64(3.9898441539081393), np.float64(13.421631090247418), np.float64(0.7887448199423781)]",274.5679423394198,281.6108641751443
2,141.93120589279417,"[0.7383968280581545, 0.035227605989230595]",[0.85191574 0.6705749 ],"[np.float64(1.4943924582151802), np.float64(6.234777918333033e-07), np.float64(1.8455325920131963e-05), np.float64(0.06693661177310603)]",287.86241178558834,294.9053336213128
3,164.59908019546185,"[2.2030641346568927, 0.7044245870884779]",[0.11091217 0.04137729],"[np.float64(6.139997984424781), np.float64(0.7377893195026202), np.float64(5.863326568000941), np.float64(1.743737434102264)]",333.1981603909237,340.2410822266482
4,148.54194640236528,"[3.1389343836957457, 0.9637090489800109]",[0.15227815 0.03173769],"[np.float64(7.1145893351863885), np.float64(2.153401965407223), np.float64(6.7126679525157975), np.float64(1.9649805954002486)]",301.08389280473057,308.12681464045505
5,102.53078224991093,"[3.841258282666406, 0.518528061738889]",[0.26777063 0.03534385],"[np.float64(8.112244713990163), np.float64(0.4633315226987431), np.float64(10.666108185418501), np.float64(0.051804515365288774)]",209.06156449982186,216.10448633554634
6,142.37134294117405,"[1.5969321270988104, 0.7705975151293798]",[0.06243912 0.00443518],"[np.float64(30.828515764035558), np.float64(2.4504561149165838), np.float64(32.37857686085912), np.float64(4.794984975629184)]",288.7426858823481,295.7856077180726
7,161.25076247376353,"[1.7767271727590692, 0.6141367315923958]",[0.35924894 0.13121205],"[np.float64(1.4124812861183764), np.float64(0.0006573174837976312), np.float64(0.009212717829351536), np.float64(0.4086384106140845)]",326.50152494752706,333.54444678325154
8,172.33650408698824,"[4.952245446496901, 0.22988897635798988]",[0.01050382 0.0001    ],"[np.float64(25.88645298192753), np.float64(17.872817743150506), np.float64(13.013933035828096), np.float64(9.390525229921632)]",348.6730081739765,355.71593000970097
9,79.60797042938559,"[3.0313644468547998, 0.9026421452082429]",[0.22869934 0.02475164],"[np.float64(11.705662626536682), np.float64(0.0943232683822663), np.float64(14.621582505773437), np.float64(0.06513575368117591)]",163.21594085877118,170.25886269449566
10,141.7091129315233,"[0.32280391932139607, 0.20190605710112752]",[1.32879732e-01 1.00000000e-04],"[np.float64(25.219801239894572), np.float64(18.384276495383002), np.float64(13.627781727976283), np.float64(8.535750939913855)]",287.4182258630466,294.4611476987711
11,110.8290784805606,"[4.566258117238503, 0.9386923433507208]",[0.07467517 0.0001    ],"[np.float64(45.4217306955356), np.float64(8.84723164636577), np.float64(34.36403749405781), np.float64(0.37716856284102457)]",225.6581569611212,232.70107879684568
12,123.30266257332826,"[2.3046226155900973, 0.2720596248637663]",[0.66484056 0.17977671],"[np.float64(2.503566689022368), np.float64(0.13796041371376244), np.float64(1.9692370745596222), np.float64(-0.0031468702315551656)]",250.60532514665653,257.648246982381
13,44.12883675753264,"[4.033358251194034, 0.48864114723695584]",[0.67180588 0.06751784],"[np.float64(7.036429780738253), np.float64(-0.0005613172980336134), np.float64(4.889588231756481), np.float64(0.0013281468191771804)]",92.25767351506528,99.30059535078976
14,171.7910306533516,"[4.617239202968067, 0.8061483287194626]",[0.07056172 0.05804375],"[np.float64(2.3035495511175674), np.float64(1.7009463891666028), np.float64(1.9895453794811635), np.float64(3.693174038135387)]",347.5820613067032,354.6249831424277
15,107.21447122437404,"[0.6886070439111972, 0.4195196759079424]",[0.26431227 0.03924114],"[np.float64(5.750645003439256), np.float64(3.453923266882313), np.float64(8.344146641895486), np.float64(0.0022286957519110267)]",218.42894244874807,225.47186428447256
16,172.27876283049756,"[0.9558533407730831, 0.9958132342663396]",[0.00920766 0.00238326],"[np.float64(18.051366923500094), np.float64(13.749439849222702), np.float64(26.862843964788993), np.float64(5.830433152197936)]",348.5575256609951,355.6004474967196
17,165.4874689316361,"[1.3388501709770675, 0.4435107009067484]",[0.41415211 0.17229678],"[np.float64(1.183828777877297), np.float64(0.01825141343874294), np.float64(0.4118125564023621), np.float64(1.010280458588805)]",334.9749378632722,342.0178596989967
18,167.78851903959767,"[4.8258971351307425, 0.06545434623430857]",[0.15119854 0.0798995 ],"[np.float64(1.917540301306354), np.float64(0.7046090188716582), np.float64(3.747594940700009), np.float64(0.8746638211675294)]",339.57703807919535,346.61995991491983
19,62.26534416362529,"[3.4979410951780796, 0.618164681054407]",[1.35063789e-01 1.00000000e-04],"[np.float64(37.78886796870494), np.float64(1.9807801545988934), np.float64(56.365334358952914), np.float64(1.1892769394750395)]",128.53068832725057,135.57361016297506
20,170.18803768479992,"[1.1178866227018103, 0.3867207881639364]",[0.02886069 0.00974182],"[np.float64(18.886751111529836), np.float64(4.1447834748009145), np.float64(16.624796556221995), np.float64(3.5760348775912627)]",344.37607536959985,351.41899720532433
21,113.02483935572975,"[3.4620403229631345, 0.8505208656504889]",[0.31471037 0.07820874],"[np.float64(6.752161255077196), np.float64(-8.583180341761735e-07), np.float64(-8.583180341761735e-07), np.float64(0.9299760573460724)]",230.0496787114595,237.092600547184
22,152.96385360114098,"[4.773929000089366, 0.7918262736668846]",[1.02008907 0.91156185],"[np.float64(0.09934528722426693), np.float64(-3.3500276976450804e-19), np.float64(0.0005122884344774299), np.float64(-0.13061286557396884)]",309.92770720228197,316.97062903800645
23,51.05092460136922,"[0.6703489683939843, 0.8351555871007343]",[0.60679587 0.07133174],"[np.float64(3.931216425961741), np.float64(0.0990259922486827), np.float64(5.664666599828736), np.float64(0.26209067938736014)]",106.10184920273844,113.14477103846292
24,53.974681908229556,"[1.1235286736020564, 0.9577447646280269]",[3.84540462 0.85418271],"[np.float64(0.1124537062111926), np.float64(3.3186248573659843e-31), np.float64(0.07069814105169), np.float64(-6.292461610218778e-21)]",111.94936381645911,118.9922856521836
25,136.23416397125348,"[0.8125086948324082, 0.6025739981687083]",[1.31219061 0.78070739],"[np.float64(0.5692023189189497), np.float64(9.731903483487402e-05), np.float64(0.008974183838113929), np.float64(0.007500960941213504)]",276.46832794250696,283.51124977823144
26,164.19011166230337,"[1.3727570507989098, 0.09460792535543189]",[0.09355176 0.0303526 ],"[np.float64(8.96169377014548), np.float64(1.3869822322011294), np.float64(6.698093597816085), np.float64(1.6510436766553505)]",332.38022332460673,339.4231451603312
27,136.15983371646567,"[2.0540711341418194, 0.121337685737915]",[0.1936822  0.03088188],"[np.float64(9.331633794494385), np.float64(1.6989667387138965), np.float64(6.396947227287528), np.float64(0.1796946561539842)]",276.31966743293134,283.3625892686558
28,140.65502265461294,"[2.246107490557901, 0.0027935978328130343]",[0.64793512 0.16068978],"[np.float64(1.3561773423989874), np.float64(-0.06044788684786657), np.float64(1.0198438183651901), np.float64(0.2524361647428063)]",285.31004530922587,292.35296714495036
29,171.46307838214398,"[0.04385079109933179, 0.36657022834210523]",[0.2205242  0.38554134],"[np.float64(0.8391513961074604), np.float64(0.17495524080710756), np.float64(0.04571419751870361), np.float64(0.06199230372415956)]",346.92615676428795,353.96907860001244
30,172.59369752798546,"[0.9948174783594012, 0.8507736772167305]",[1.000e-04 9.999e-01],"[np.float64(7.212105256036887e-09), np.float64(-5.435748200145495e-06), np.float64(1.1403282940212504e-16), np.float64(-0.338431710377996)]",349.1873950559709,356.2303168916954
31,107.49351197198375,"[3.038220460181412, 0.749232949114998]",[1.00038852 0.27218339],"[np.float64(0.8717836255565274), np.float64(-0.0008046274703270959), np.float64(0.9742181864604218), np.float64(0.0072351768376230745)]",218.9870239439675,226.02994577969199
32,44.23137386125207,"[4.198088225444642, 0.48228357814611417]",[0.26981641 0.01017932],"[np.float64(30.46787966765767), np.float64(0.18368257812290142), np.float64(18.660908343683), np.float64(0.522924669752386)]",92.46274772250413,99.50566955822862
33,172.38772628769155,"[3.2838068910659315, 0.18235334509275317]",[0.14377091 0.9999    ],"[np.float64(-4.36893262372966e-133), np.float64(6.778984404284786e-06), np.float64(9.0723473834116e-141), np.float64(0.8139688385841487)]",348.7754525753831,355.8183744111076
34,111.85425579807995,"[1.981353098091497, 0.20068774058569525]",[1.71969166 0.97790641],"[np.float64(1.365592330537715e-247), np.float64(0.804225193289018), np.float64(0.025851090595795656), np.float64(1.365592330537715e-247)]",227.7085115961599,234.75143343188438
35,172.36292022170312,"[4.313905340078806, 0.1384378893452108]",[0.01373754 0.01486057],"[np.float64(13.684704575622419), np.float64(4.3492249809573496), np.float64(9.318588330916745), np.float64(5.562297340979807)]",348.72584044340624,355.7687622791307
36,166.92384991827657,"[0.24717424998854953, 0.08669455902238343]",[0.05624552 0.01361779],"[np.float64(11.088435118745243), np.float64(5.145533136741706), np.float64(17.04379986837277), np.float64(2.927712224353499)]",337.84769983655315,344.89062167227763
37,118.74350895661492,"[4.808339310575951, 0.3380380307247958]",[0.50519226 0.04268238],"[np.float64(0.22388007351523362), np.float64(3.430145720016689), np.float64(0.04668951169602336), np.float64(2.7469281725477748)]",241.48701791322983,248.52993974895432
38,64.36035210974543,"[4.361419347040885, 0.055351461316014476]",[0.77800884 0.12122445],"[np.float64(1.6979298335523274), np.float64(0.23738898203356684), np.float64(5.317371542636203), np.float64(7.738193846297225e-05)]",132.72070421949087,139.76362605521535
39,154.4917759004901,"[4.3015496560176, 0.9962263529420109]",[0.04317698 0.0001    ],"[np.float64(43.678130578286805), np.float64(15.252161470809105), np.float64(26.320155210639406), np.float64(5.22325519755394)]",312.9835518009802,320.0264736367047
40,23.678173935569376,"[2.3279591950556573, 0.09369565349098233]",[1.18633527 0.03068825],"[np.float64(10.601931839163734), np.float64(0.00725136458067055), np.float64(0.00725136458067055), np.float64(6.751212315676385)]",51.35634787113875,58.399269706863244
41,142.6744658622777,"[1.5795615514464336, 0.6974725258207097]",[0.91756979 0.41981241],"[np.float64(0.8058815468056469), np.float64(3.2979955676879446e-14), np.float64(0.006763368819837412), np.float64(-3.6002085273278583e-13)]",289.3489317245554,296.3918535602799
42,155.185315402276,"[3.5747691803379604, 0.014049655848962249]",[0.0743988  0.01098343],"[np.float64(12.000875371007483), np.float64(5.548047507086357), np.float64(21.652847280669963), np.float64(1.9923217276263097)]",314.370630804552,321.41355264027646
43,149.75253746893927,"[0.04564434102811844, 0.12933614455527173]",[0.04959025 0.0001    ],"[np.float64(31.453336755119004), np.float64(7.56860547374312), np.float64(37.80369222789733), np.float64(5.311810860427343)]",303.50507493787853,310.547996773603
44,167.51976428597763,"[4.206991952781829, 0.023212755489188674]",[0.1176599  0.06905639],"[np.float64(4.3223443925666905), np.float64(-0.013524487492183985), np.float64(3.6274487324213167), np.float64(1.3191001377381164)]",339.03952857195526,346.08245040767974
45,141.40163472368545,"[4.449420755812321, 0.22329409501581496]",[0.06719004 0.00780945],"[np.float64(29.209626411371325), np.float64(4.22448339317254), np.float64(18.060535674958384), np.float64(1.116795610910018)]",286.8032694473709,293.8461912830954
46,128.14871696228693,"[0.20556149812693839, 0.4872727568983176]",[0.13564668 0.0240565 ],"[np.float64(13.293820385322753), np.float64(0.8176621378578868), np.float64(13.886158214282958), np.float64(0.37915164870126683)]",260.29743392457385,267.34035576029834
47,172.2945224361824,"[0.4362863540587111, 0.5454457479311297]",[0.03846232 0.0418446 ],"[np.float64(5.187136907735429), np.float64(2.6275075477559957), np.float64(3.656598019167136), np.float64(0.7605962027786767)]",348.5890448723648,355.6319667080893
48,114.54056744410585,"[3.2861365819426025, 0.0504317690354768]",[0.07693295 0.0001    ],"[np.float64(50.55626196286592), np.float64(8.160378587184912), np.float64(23.03733013643074), np.float64(4.825817588322814)]",233.0811348882117,240.12405672393618
49,127.49712351533242,"[4.529180099487609, 0.2799194524858428]",[1.04774521 0.26119686],"[np.float64(0.3245798029459419), np.float64(-0.0008029767105790837), np.float64(0.5900743834415616), np.float64(0.3598124130354392)]",258.99424703066484,266.0371688663893
50,156.57052402039514,"[3.962924643242284, 0.030979738066137765]",[0.05088247 0.0001    ],"[np.float64(35.03813328837746), np.float64(12.354268002187931), np.float64(31.863804777519796), np.float64(11.715350286066343)]",317.1410480407903,324.18396987651477
51,108.64211105413504,"[3.909427639690284, 0.4589111423925379]",[0.0963949 0.0001   ],"[np.float64(48.45194697733518), np.float64(11.032545876509227), np.float64(21.453961844240535), np.float64(1.7452132670020866)]",221.2842221082701,228.32714394399457
52,129.367039479137,"[3.4527127282345984, 0.44455125844291715]",[1.45971578 0.79093474],"[np.float64(0.00011916246126253931), np.float64(0.5707769574667143), np.float64(0.05206873560373987), np.float64(-3.4917484008051825e-06)]",262.734078958274,269.77700079399847
53,155.01747084196444,"[4.4012439403254, 0.8339614738274381]",[0.73605296 0.46610104],"[np.float64(0.40340113391508853), np.float64(0.0015720410055785569), np.float64(0.8342885163097626), np.float64(0.0010801140388392882)]",314.0349416839289,321.07786351965336
54,110.67714865393754,"[0.7514151569014511, 0.2166305330511787]",[0.57741445 0.1537291 ],"[np.float64(3.202034800933255), np.float64(0.006352259677552959), np.float64(1.4829574212658454), np.float64(0.011452992158889251)]",225.35429730787507,232.39721914359956
55,142.61991913588236,"[4.410466450054576, 0.4429655169656428]",[0.2679993  0.07990773],"[np.float64(4.29384472666613), np.float64(0.0008131796753024522), np.float64(2.949890434059409), np.float64(0.0017284450233427816)]",289.2398382717647,296.2827601074892
56,144.533585356786,"[1.271606108342076, 0.9640035014300407]",[0.29318595 0.06725366],"[np.float64(5.051950215000294), np.float64(0.1782717394854501), np.float64(3.6252160505124946), np.float64(0.27675229073325297)]",293.067170713572,300.1100925492965
57,160.04651961533983,"[0.8023280322906812, 0.5518946798160287]",[0.14561742 0.03690027],"[np.float64(3.1819308217993023), np.float64(4.230800560533675), np.float64(7.14188616558851), np.float64(0.3021305403260158)]",324.09303923067966,331.13596106640415
58,127.31796685677652,"[1.3867781981122194, 0.9980670195826046]",[0.79061927 0.17482034],"[np.float64(1.41887202255932e-11), np.float64(1.4413327248576526), np.float64(1.0380545289063157), np.float64(-2.6538266824571866e-13)]",258.6359337135531,265.67885554927756
59,84.67040404732384,"[2.917738056766244, 0.670070478546013]",[0.45307355 0.06437472],"[np.float64(4.978381285641653), np.float64(0.07263618983731422), np.float64(5.710244118319221), np.float64(0.10733108377246285)]",173.34080809464768,180.38372993037217
60,154.55221237049486,"[0.9559493113614288, 0.04444617981400707]",[0.35834242 0.14858946],"[np.float64(2.81691852372812), np.float64(0.2919801623266022), np.float64(0.8646281672699878), np.float64(0.29011884846860947)]",313.1044247409897,320.1473465767142
61,71.36428894415401,"[0.14338706428781328, 0.28549830519816205]",[0.31443437 0.03739886],"[np.float64(11.347037963073584), np.float64(0.08664260518303407), np.float64(4.433778424647538), np.float64(0.03957140030920978)]",146.72857788830802,153.7714997240325
62,153.79297340267314,"[2.0083903399953913, 0.4865718865504925]",[0.13678944 0.03104126],"[np.float64(9.113880601064402), np.float64(0.5601539641070042), np.float64(7.032752462922921), np.float64(0.5427398818086977)]",311.5859468053463,318.62886864107077
63,163.1726740445973,"[4.313188752156408, 0.07666114772651987]",[0.15721639 0.05860927],"[np.float64(5.4138974309118), np.float64(0.9750023992549954), np.float64(4.161131732646488), np.float64(0.9877599110097468)]",330.3453480891946,337.3882699249191
64,76.54264193515196,"[1.6034033415821, 0.5354752401928996]",[0.18850928 0.01846357],"[np.float64(24.64028976508042), np.float64(0.541787359391965), np.float64(12.855251567188276), np.float64(0.15776175643009765)]",157.08528387030393,164.1282057060284
65,172.59535831427377,"[2.3231391698990516, 0.26510981503358655]",[0.0001     0.03248927],"[np.float64(3.4834512747406547), np.float64(3.4346718478834877), np.float64(4.025509676481647), np.float64(3.824474479116357)]",349.19071662854753,356.233638464272
66,108.56299848486078,"[2.4393913783816497, 0.33684381098589944]",[0.52667564 0.1060931 ],"[np.float64(3.0849132786929303), np.float64(0.18261681351919526), np.float64(2.279115447913377), np.float64(-0.10654887894220458)]",221.12599696972157,228.16891880544605
67,134.38810923390142,"[4.73093448926586, 0.5521432534622134]",[0.08849672 0.0001    ],"[np.float64(36.37351227522259), np.float64(15.055581057851395), np.float64(23.79283358410492), np.float64(4.687916551795374)]",272.77621846780283,279.8191403035273
68,135.65805043282052,"[3.363373322962615, 0.11640086893423264]",[0.0490428 0.0001   ],"[np.float64(53.43781754253533), np.float64(9.966440195529822), np.float64(13.659935113059577), np.float64(8.748523672453848)]",275.31610086564103,282.3590227013655
69,155.91825303322892,"[0.45067376031226836, 0.26791903830250835]",[0.53305633 0.10590836],"[np.float64(1.3403209567128955), np.float64(0.5680352383575398), np.float64(0.8130405285145742), np.float64(-0.033260534106072874)]",315.83650606645784,322.87942790218233
70,167.00940554046178,"[0.3496548723632073, 0.5854189563407359]",[0.2436939  0.12471059],"[np.float64(0.8328219343948364), np.float64(1.4435614697783223), np.float64(1.7899388326863086), np.float64(-0.12088790079479549)]",338.01881108092357,345.06173291664805
71,143.35852397869758,"[2.496536306806093, 0.6868966464562952]",[0.66356768 0.44620324],"[np.float64(1.91089782735727), np.float64(3.4891381994084315e-05), np.float64(0.34489105288812233), np.float64(-1.2699211186947593e-13)]",290.71704795739515,297.75996979311964
72,172.5947908006222,"[3.135482477139835, 0.7931222537104775]",[1.000e-04 9.999e-01],"[np.float64(-4.535823521562117e-21), np.float64(-1.747265531031954e-06), np.float64(1.16459658073567), np.float64(9.031090709615986e-33)]",349.1895816012444,356.2325034369689
73,58.70570270291438,"[1.7968817346848807, 0.19485396228098462]",[0.97486782 0.14110273],"[np.float64(3.061510426295887), np.float64(-0.1401035118352122), np.float64(1.9591028044135996), np.float64(-1.2979587537108446e-08)]",121.41140540582876,128.45432724155324
