participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,best_nll,AIC,BIC
1,"[3.710416109711637, 0.8809922978960548, 0.018678355720739795, 2.225314803042813]",[1.94704360e+00 9.72796338e-02 1.00000000e-04 3.99990000e+00],[0.45331864 0.35316014 0.52671112 0.17567325],[0.5544355  0.17174166 0.23737182 0.03645102],120.01791302019438,248.03582604038877,262.12166971183774
2,"[3.706277589358883, 0.8539994484939571, 0.3134462598630737, 2.287343486723359]",[1.01730803 0.2422409  0.55136703 3.9999    ],[0.68511738 0.48998864 0.73127463 0.5009263 ],[0.94246584 0.01818694 0.03340605 0.00594117],146.35989491582444,300.7197898316489,314.80563350309785
3,"[3.348462040276386, 0.03280159238797639, 0.4064580576320065, 0.4249938049562594]",[1.29264305e+00 8.99697874e-02 1.00000000e-04 3.99990000e+00],[0.51319694 0.29147369 0.52434094 0.34789004],[0.27337017 0.03699169 0.5106401  0.17899803],162.00673244604752,332.01346489209504,346.099308563544
4,"[4.56665970162291, 0.15577647532221298, 0.40450850963237284, 1.1968384900252262]",[1.45227696e+00 6.63845503e-02 1.00000000e-04 3.99990000e+00],[0.48733289 0.26455039 0.54921881 0.26038903],[0.39609189 0.16356043 0.30950329 0.1308444 ],145.03986947760743,298.07973895521485,312.1655826266638
5,"[0.8752217944737618, 0.8831404985261421, 0.23709337061241956, 0.3205516753077724]",[1.67257115e+00 4.43338357e-02 9.99900000e-01 1.00000000e-04],[0.58480056 0.19511956 0.60763408 0.29883125],[0.48348144 0.01078218 0.50356834 0.00216804],105.9383872383259,219.8767744766518,233.96261814810077
6,"[4.417772555755746, 0.326336623137676, 0.5232867170490977, 1.8718729877829865]",[4.99990000e+00 1.79373030e-04 1.79292788e-01 1.00000000e-04],[0.0054249  0.00105448 0.00531376 0.00137817],[0.41071825 0.0966028  0.36601284 0.1266661 ],139.03385136047507,286.06770272095014,300.1535463923991
7,"[3.8730147400506114, 0.1881496769826353, 0.44392383304430266, 0.6602621928674414]",[1.0044449  0.08002862 0.99148137 3.9999    ],[0.52889955 0.42668084 0.43221815 0.42147217],[0.75233607 0.00384081 0.01620176 0.22762136],159.9467412338014,327.8934824676028,341.97932613905175
8,"[0.5193446174680252, 0.04542713693156633, 0.13415048725458825, 3.533134897884778]",[4.99990000e+00 2.83508285e-04 9.35132246e-01 3.99990000e+00],[0.00623021 0.00676517 0.0027453  0.0036278 ],[0.3125511  0.37465284 0.14056894 0.17222713],164.18171375113718,336.36342750227436,350.44927117372333
9,"[3.189516597270335, 0.32500632466566054, 0.5627308119638885, 3.1956232623654817]",[1.85681157 0.12610086 0.99676973 3.9999    ],[0.49256404 0.14256022 0.55149556 0.0747947 ],[3.88346889e-01 2.87717305e-08 6.11653031e-01 5.11932725e-08],78.89441126656169,165.78882253312338,179.87466620457235
10,"[1.3326702915805613, 0.4183290251346121, 0.7591551271103064, 2.9181333062538393]",[3.76222183e+00 2.96077244e-03 9.41079037e-01 3.99990000e+00],[0.06982392 0.07415269 0.03551098 0.03838161],[0.33121255 0.36060892 0.14232474 0.16585379],130.82473303934248,269.64946607868495,283.7353097501339
11,"[2.3338899582910497, 0.9229639623233044, 0.6815680446088619, 0.04954017044303053]",[3.61062628e+00 1.55122597e-04 4.73419210e-01 1.00000000e-04],[0.00575966 0.0014869  0.00397082 0.00014612],[0.4855966  0.16656359 0.32621726 0.02162255],97.29673160830981,202.59346321661963,216.6793068880686
12,"[1.8540450039313214, 0.43310574532965285, 0.2647180943729074, 0.17822146050464205]",[1.49915979 0.19538754 0.7674481  0.16314595],[0.56502287 0.34566017 0.59492389 0.27046184],[5.51055428e-01 4.35263333e-03 4.44589740e-01 2.19857990e-06],124.96716392547715,257.93432785095433,272.0201715224033
13,"[4.416831781694339, 0.942578519430598, 0.4938732448802015, 0.2006941411986578]",[4.99990000e+00 1.52683828e-04 7.53814165e-01 1.00000000e-04],[8.55258567e-03 2.77413440e-05 4.23743595e-03 1.53640529e-04],[0.66001415 0.01373413 0.30558731 0.0206644 ],39.008173853788335,86.01634770757667,100.10219137902565
14,"[3.305475774614231, 0.1397078820010595, 0.032763428147204655, 3.4566665543044475]",[7.89254370e-01 7.60729804e-02 9.99900000e-01 1.00000000e-04],[0.61564147 0.44932227 0.63886611 0.46479586],[0.20813296 0.25947919 0.28774936 0.24463849],169.48809600009318,346.97619200018636,361.06203567163533
15,"[2.096873906201409, 0.13572696306005766, 0.09731394604080985, 3.484051099567752]",[3.58763151e+00 1.00000000e-04 9.79329327e-01 7.79215503e-01],[0.0043191  0.00084314 0.00313006 0.00018746],[0.52734081 0.12542084 0.32655014 0.02068821],83.62872859945665,175.2574571989133,189.34330087036227
16,"[0.07713131297664245, 0.06234649896134583, 0.7699421775846926, 0.1540200490846172]",[3.84981399e+00 2.18788057e-04 9.99668729e-01 3.99990000e+00],[0.0032623  0.00353507 0.00507204 0.00178138],[0.21559927 0.27651093 0.3462158  0.161674  ],168.36772811464834,344.7354562292967,358.82129990074566
