participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,132.7992006487493,"[0.4197569874892642, 0.93657658506839, 0.2869240403722365, 1.0967976211426984]",[0.15943396 0.06882271 0.9999     2.15910968],"[np.float64(0.5842884820706211), np.float64(-4.4579728347354), np.float64(-0.6843447273265741), np.float64(-1.8198711542574135)]",273.5984012974986,286.7916707636907
2,136.0227141965204,"[3.767523233636674, 0.9895687298470204, 0.3040640739116793, 2.5267697187206806]",[0.47075219 0.9999     0.9999     0.4389892 ],"[np.float64(0.00012842161758675814), np.float64(-0.7662746264894625), np.float64(5.485611289118132e-81), np.float64(-6.073066446727112e-09)]",280.0454283930408,293.23869785923296
3,68.04030854080064,"[1.2821109125141361, 0.4781129947274948, 0.00013748103113956178, 0.3373279436781511]",[4.54178176e-01 1.15603097e-03 1.00000000e-04 6.20613353e-01],"[np.float64(-9.041617403837122), np.float64(-8.156229940910885), np.float64(0.505461937633167), np.float64(-5.8944668179691195)]",144.08061708160128,157.2738865477934
4,135.63385350889692,"[0.1564929153569154, 0.3913509518691618, 0.8870859331371268, 2.964848167390481]",[1.15228679e-01 5.66332033e-01 1.00000000e-04 4.99990000e+00],"[np.float64(-0.9578504988333028), np.float64(-0.5905199206163446), np.float64(0.9988177156804058), np.float64(-2.165191922518174)]",279.26770701779384,292.460976483986
5,111.93444633684065,"[4.881209888343072, 0.581040477926867, 0.0737334314088279, 0.05016919023686925]",[1.1962673  0.73848969 0.32274676 0.02941829],"[np.float64(5.3658673510672885e-05), np.float64(-0.00043607196470180467), np.float64(0.8489258687874711), np.float64(-3.0048374968850347e-05)]",231.8688926736813,245.06216213987344
6,130.31674692777582,"[2.668049083993798, 0.9545712727446809, 0.6504057130289795, 1.1890939294204492]",[4.44895878e-02 2.41101370e-02 1.00000000e-04 4.99904404e+00],"[np.float64(-7.407685095572733), np.float64(-24.477643901935057), np.float64(-25.17754520185309), np.float64(-21.063706308174435)]",268.63349385555165,281.8267633217438
7,94.70425460089098,"[0.30143340948603986, 0.8707989677738025, 0.352144609077327, 0.4015411622207675]",[0.2739401  0.02827132 0.09013401 0.00256871],"[np.float64(6.577702659974978), np.float64(0.14341129486188095), np.float64(7.361751794555632), np.float64(0.029592266381667856)]",197.40850920178195,210.6017786679741
8,65.97530574197049,"[0.04273566058523748, 0.2503286111749785, 0.006397506131818451, 0.34920979447421907]",[1.03436517e+00 6.42865993e-02 1.00000000e-04 3.53227179e-01],"[np.float64(1.6108082056058952), np.float64(0.0003681300882191298), np.float64(0.22285737113472526), np.float64(0.0003681300882191298)]",139.95061148394097,153.1438809501331
9,111.73762768539743,"[1.90473399026615, 0.9360955593489725, 0.7596383590967852, 0.950730232547436]",[6.50536614e-01 1.71253320e-01 1.00000000e-04 1.00000000e-04],"[np.float64(0.05995379407244948), np.float64(1.0311973993546928), np.float64(1.7555062188416326), np.float64(0.026566187724755563)]",231.47525537079486,244.668524836987
10,104.7473768781517,"[0.863480862540574, 0.40226126090129366, 0.08616768224231336, 3.1208332639635716]",[6.44495981e-01 1.24120035e-01 1.00000000e-04 2.03519939e-01],"[np.float64(2.49442012394244), np.float64(-0.05034600827534386), np.float64(2.3494923062871846), np.float64(0.26119811857582725)]",217.4947537563034,230.68802322249553
11,108.29283223295474,"[1.2921273311939578, 0.24077741162127655, 0.9888785241093683, 2.8356045108792918]",[0.36263747 0.09455634 0.9999     3.51770151],"[np.float64(-1.2731047980644605), np.float64(-3.0255442377644375), np.float64(1.5205670462723693), np.float64(-2.337027826220562)]",224.58566446590947,237.7789339321016
12,132.4354223171273,"[0.16142578559585619, 0.2165887681378155, 0.001664824187843448, 4.121443457896529]",[1.31216553e-01 3.75548765e-01 1.00000000e-04 4.99990000e+00],"[np.float64(-3.642991405101399), np.float64(-0.9497608946156666), np.float64(0.1450798815736195), np.float64(-0.1213463073268888)]",272.8708446342546,286.0641141004467
13,113.14845600212055,"[0.56047723081372, 0.6043897573536393, 0.04375305963199825, 1.4074741745877173]",[0.58606948 0.05425013 0.9999     0.1247558 ],"[np.float64(0.8047554528533141), np.float64(-0.0467278822256614), np.float64(2.050422023299715), np.float64(-0.06882460005439897)]",234.2969120042411,247.49018147043324
14,118.1999282448373,"[1.4188592522335404, 0.9327258070986065, 0.634144362821553, 3.111141097773304]",[8.22566076e-02 1.00000000e-04 9.99900000e-01 2.73904607e+00],"[np.float64(4.518686626836056), np.float64(-11.702551633401479), np.float64(7.606857157502915), np.float64(-10.79064384494923)]",244.3998564896746,257.59312595586675
15,130.62810187003856,"[0.6828880815441927, 0.40607820564099134, 0.2263825036192159, 0.7169957323960193]",[1.09320667e+00 9.90698589e-01 9.99900000e-01 1.00000000e-04],"[np.float64(0.013406704247639433), np.float64(-5.8395180350984296e-15), np.float64(2.483552427021021e-17), np.float64(-9.738048562452968e-11)]",269.2562037400771,282.44947320626926
16,129.4503496351047,"[1.5551939735606135, 0.08052467889710097, 0.7044700570940866, 2.505768220877791]",[5.20222073e-01 2.05722323e-01 1.32163177e-01 1.00000000e-04],"[np.float64(1.156231869348829), np.float64(0.001058418259875303), np.float64(1.091808056243177), np.float64(0.0030262863324355812)]",266.9006992702094,280.0939687364015
17,134.75643015523838,"[0.23455315728416698, 0.34692107506242814, 0.680575803907024, 3.296979348879515]",[2.26961873e-01 7.57928436e-01 1.00000000e-04 2.01460968e+00],"[np.float64(0.2420337092525933), np.float64(-0.026814939061310536), np.float64(-1.9543864902608883), np.float64(-2.800552382479095e-10)]",277.51286031047675,290.7061297766689
18,134.14944045361594,"[2.769512203358495, 0.14103936797480635, 0.25870967267988426, 2.5329412062351206]",[5.45739954e-02 4.60830319e-02 1.00000000e-04 4.99990000e+00],"[np.float64(-3.429703054822552), np.float64(-11.837818482596143), np.float64(-9.271169706786615), np.float64(-11.52433635212345)]",276.2988809072319,289.492150373424
19,133.85669673072135,"[3.0747008524262442, 0.602606935866982, 0.6760886491778925, 3.0970566217224547]",[0.19961147 0.26586758 0.9999     4.9999    ],"[np.float64(-0.35473355285197145), np.float64(-0.06252377035669973), np.float64(0.17758543633021745), np.float64(-1.902860157324967)]",275.7133934614427,288.90666292763484
20,137.93645873552563,"[2.5162449904801845, 0.3841944600495983, 0.3521164365723686, 4.446807837185392]",[1.00000000e-04 3.06525264e-01 9.99900000e-01 1.00000000e-04],"[np.float64(0.37794517382637466), np.float64(0.03415991854865689), np.float64(0.07016373962820543), np.float64(-5.709368808768212e-05)]",283.87291747105127,297.0661869372434
21,131.41374921402812,"[1.448657716690015, 0.7041452749924002, 0.8292491358211728, 1.9429188953844712]",[0.26158936 0.59615031 0.16911575 4.9999    ],"[np.float64(0.034189978383548876), np.float64(-0.00805495254411955), np.float64(0.20186102349908017), np.float64(0.16574466223732376)]",270.82749842805623,284.02076789424837
22,107.02407431667602,"[1.896761052107489, 0.5606180108956699, 0.5401727663349007, 1.8744066074649106]",[0.15263699 0.02310126 0.96231095 4.9999    ],"[np.float64(-5.886013490136995), np.float64(-20.045211387185223), np.float64(-8.84658758518454), np.float64(-15.20244522677521)]",222.04814863335204,235.24141809954418
