participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,134.6373804781329,"[3.120404179964411, 0.9210470147698508, 0.26479149629322324, 1.232309936901742]",[3.27912386e-01 7.03340128e-02 1.00000000e-04 1.60870715e+00],"[np.float64(0.9289028829056333), np.float64(0.005232828059811791), np.float64(0.9609053706641072), np.float64(0.09860704859334539)]",277.2747609562658,290.46803042245796
2,137.3460055760896,"[4.746836684769062, 0.17864376480543925, 0.1974222765660614, 2.7416338964463587]",[5.01054618e-01 9.99900000e-01 1.00000000e-04 1.74746376e+00],"[np.float64(0.00015481632706176334), np.float64(0.0002647324854078064), np.float64(3.5011940645124993e-81), np.float64(1.763362304650054e-12)]",282.6920111521792,295.8852806183713
3,90.40437182092747,"[1.2089508113758018, 0.6278576273560382, 0.9750619708967254, 2.894413018543927]",[8.35974069e-01 1.00000000e-04 6.57885922e-01 4.99990000e+00],"[np.float64(1.931869372099094), np.float64(1.248272435684039), np.float64(5.007926208491231), np.float64(1.6955218732426718)]",188.80874364185493,202.00201310804707
4,136.8644413078211,"[3.7113379484990943, 0.7045255077904876, 0.8492955758337153, 3.808999412627842]",[2.40155628e-02 1.00000000e-04 1.09934536e-04 2.97157504e-01],"[np.float64(12.024115186227311), np.float64(10.306262638551798), np.float64(19.332940569251537), np.float64(4.358846885447972)]",281.7288826156422,294.9221520818343
5,111.94466681330135,"[1.5542903703490762, 0.6270413211507678, 0.2517250925987492, 3.838084717484753]",[1.18631975e+00 7.48269304e-01 1.00000000e-04 3.02957227e-01],"[np.float64(4.448218696006239e-05), np.float64(1.3365214559417893e-06), np.float64(0.8604958667848118), np.float64(1.229587476126636e-07)]",231.8893336266027,245.08260309279484
6,135.92886920237055,"[1.6045734348329435, 0.7071998113853295, 0.45743995790212016, 3.348956314104491]",[3.02734850e-01 6.54115404e-02 1.00000000e-04 1.90442149e+00],"[np.float64(1.2698377734768926), np.float64(0.033402396885170785), np.float64(0.7213566923090712), np.float64(0.0047964083489999264)]",279.8577384047411,293.05100787093323
7,94.04750970354112,"[4.63784238754351, 0.867630785092113, 0.5342946061501906, 0.07012940409744516]",[2.96495560e+00 2.86603108e-03 9.96273583e-01 2.95025417e+00],"[np.float64(0.11805438071938215), np.float64(0.010895785021037928), np.float64(0.16138680227246574), np.float64(0.031043063109538832)]",196.09501940708225,209.28828887327438
8,49.14104732957374,"[4.887161181262215, 0.5944037120771245, 0.13427232984826168, 4.139747480066293]",[4.26270818 0.16619399 0.25442809 4.9999    ],"[np.float64(0.0548411179376035), np.float64(3.908874110512397e-10), np.float64(0.007628124022438761), np.float64(3.908874110512397e-10)]",106.28209465914748,119.47536412533962
9,111.67248423350395,"[2.9803016707918375, 0.9859581834428561, 0.3712229013444332, 1.1492092255849002]",[0.70612239 0.17491356 0.05652049 0.05104848],"[np.float64(0.05000610575210014), np.float64(0.9707633240161143), np.float64(1.5840567654989124), np.float64(0.04687068967979615)]",231.3449684670079,244.53823793320004
10,105.70912108709899,"[4.974473045337272, 0.10476787559761064, 0.7521318799588742, 1.6614980043721723]",[6.00320947e-01 1.20277616e-01 1.34214918e-02 1.00000000e-04],"[np.float64(2.685994476048283), np.float64(0.1497982755639153), np.float64(2.414875344920142), np.float64(0.3922417691383434)]",219.41824217419799,232.61151164039012
11,109.74784035789092,"[2.5492660695623175, 0.8843070759357827, 0.30046700890233285, 2.655279348503855]",[1.49789341e-01 1.00000000e-04 5.21680037e-01 1.00000000e-04],"[np.float64(22.084095433640776), np.float64(8.595172799219789), np.float64(19.573860194099847), np.float64(10.714380378627384)]",227.49568071578184,240.68895018197398
12,128.51350374685407,"[1.5879922655494896, 0.23927964645590097, 0.09513518758067738, 2.7575366596472013]",[0.65624937 0.0065809  0.91871568 1.32531838],"[np.float64(1.4819509718661503), np.float64(0.7225317796284239), np.float64(1.2033259306631658), np.float64(2.169882391149328)]",265.02700749370814,278.2202769599003
13,111.54249277265868,"[4.8153011583974745, 0.4302423309221021, 0.33684833579759893, 2.1506291401147726]",[4.63575087e-01 8.68350043e-02 3.28295527e-01 1.00000000e-04],"[np.float64(1.4926589532251269), np.float64(0.714787638706589), np.float64(2.874436417759562), np.float64(0.5417682358519229)]",231.08498554531735,244.2782550115095
14,120.58901022617944,"[3.1942274541536726, 0.3182327435774203, 0.9579619203509673, 0.7273099044648218]",[1.54835817e-01 1.00000000e-04 1.00000000e-04 1.32618452e+00],"[np.float64(11.623306354980587), np.float64(5.207381472591532), np.float64(15.022594251507181), np.float64(3.802634357077046)]",249.17802045235888,262.37128991855104
