participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,102.84497484607894,"[0.7392658260496338, 0.02306298012544351]",[0.14340903 0.01482055],209.68994969215788,216.28658442525395
2,120.47490083812433,"[2.433046763703686, 0.5394780266656085]",[1.19446787 0.29445146],244.94980167624865,251.54643640934472
3,110.346946846628,"[4.912282068643357, 0.32297226275894153]",[0.20380818 0.05384078],224.693893693256,231.29052842635207
4,114.70647639912559,"[2.2550921768882644, 0.0011036054116355292]",[1.5482233  0.51845651],233.41295279825118,240.00958753134725
5,96.93966784636997,"[4.357631894366078, 0.14712437042481705]",[0.98705602 0.18675517],197.87933569273994,204.475970425836
6,95.27891924664677,"[4.476534021845654, 0.1067146163392461]",[0.6709163  0.11919539],194.55783849329353,201.1544732263896
7,102.83984549385768,"[0.5439809800026058, 0.8683381946592358]",[0.29196306 0.06373802],209.67969098771536,216.27632572081143
8,114.98109174551948,"[4.981178716884562, 0.2234796296915309]",[0.09072983 0.0001    ],233.96218349103896,240.55881822413502
9,125.6063342960304,"[2.892240007254869, 0.8998104390778539]",[0.07187812 0.01097237],255.2126685920608,261.80930332515686
10,111.0402847679041,"[0.661333625049846, 0.7513142150150205]",[0.26100017 0.05355732],226.0805695358082,232.67720426890426
11,80.87490766425705,"[0.8843897930091175, 0.0768566112359164]",[0.74381974 0.10412989],165.7498153285141,172.34645006161017
12,89.25548706881578,"[0.4078640003803327, 0.07819965263824405]",[0.3693276  0.04359525],182.51097413763156,189.10760887072763
13,98.24552659172267,"[1.7627482882013537, 0.4859165839597969]",[0.61425662 0.15313481],200.49105318344533,207.0876879165414
14,114.68431918253334,"[0.6911502137640776, 0.25740962358197383]",[0.16158353 0.02982624],233.3686383650667,239.96527309816275
15,124.1564718188693,"[0.5451166433854852, 0.17673792679352734]",[0.15125503 0.0333853 ],252.3129436377386,258.9095783708347
16,111.692362881175,"[0.058629717416054904, 0.25132840429188996]",[0.15945469 0.02398076],227.38472576235,233.98136049544607
17,112.0253073647061,"[1.2196550512721438, 0.20298467305295048]",[4.9999     0.99005692],228.0506147294122,234.64724946250826
18,94.84945132856163,"[1.9439922786569481, 0.4016011291335348]",[0.33323551 0.04761924],193.69890265712326,200.29553739021932
19,118.27577936452441,"[1.3548852328997636, 0.916719499399997]",[0.25279298 0.05039838],240.55155872904882,247.1481934621449
20,95.53514476316596,"[1.6155707834700155, 0.9249456089027324]",[0.288532  0.0367004],195.07028952633192,201.666924259428
21,92.31583997812342,"[2.4528631572663837, 0.074407725353427]",[0.48616884 0.07118939],188.63167995624684,195.2283146893429
22,100.37498440063976,"[1.4973135301456475, 0.13300003907276703]",[0.08206377 0.0001    ],204.74996880127952,211.3466035343756
23,54.63287802578974,"[1.113705947017458, 0.16816549527246794]",[1.79433828e+00 1.00000000e-04],113.26575605157949,119.86239078467555
24,97.23757762836581,"[1.6409374326902837, 0.7715597525113387]",[0.4430498  0.07968698],198.47515525673163,205.0717899898277
25,117.86705316784781,"[0.6647146207047725, 0.8266584409514907]",[1.32687093 0.14891798],239.73410633569563,246.3307410687917
26,99.52531296599179,"[4.512984631765124, 0.35250235016328163]",[0.730154   0.18964844],203.05062593198357,209.64726066507964
27,73.49598686206427,"[1.546378641988374, 0.019213209344359074]",[0.74603771 0.04911999],150.99197372412854,157.5886084572246
28,92.26887074215563,"[1.4942597255565069, 0.043012613399243144]",[1.11048915e-01 1.00000000e-04],188.53774148431125,195.13437621740732
29,102.1485867543424,"[0.09221594065655084, 0.37460469840036476]",[0.1584903  0.01179377],208.2971735086848,214.89380824178087
30,111.26061791038266,"[0.5058507345593455, 0.4154960028689095]",[0.18861332 0.03447222],226.52123582076533,233.1178705538614
31,120.48079549680487,"[3.5598282698201005, 0.7276969053507422]",[0.04479527 0.00568209],244.96159099360975,251.5582257267058
32,119.8251700951931,"[2.451109089675925, 0.043575935808105266]",[0.07231091 0.00749272],243.6503401903862,250.24697492348227
33,116.84527542256235,"[1.0087563819214314, 0.9838498075446543]",[0.18076347 0.03489252],237.6905508451247,244.28718557822077
34,107.24121865602437,"[1.0301127492832696, 0.16799658940528894]",[0.57724181 0.11949526],218.48243731204875,225.0790720451448
35,117.63653429429644,"[4.356496064089823, 0.23562328755063458]",[0.15038704 0.02680138],239.27306858859288,245.86970332168895
36,101.00868042176837,"[1.5679869862146683, 0.19154259760751893]",[0.16612323 0.01788756],206.01736084353675,212.61399557663282
37,106.05914786611174,"[2.1658052954749842, 0.9735937516359681]",[1.43292792 0.36090333],216.1182957322235,222.71493046531955
38,111.71563413160789,"[4.285970511270505, 0.30046619680147957]",[0.06388711 0.0001    ],227.43126826321577,234.02790299631184
39,114.70908601542713,"[1.4074982768813706, 0.33310820551220305]",[0.54881231 0.11549264],233.41817203085427,240.01480676395033
40,115.53829159197352,"[0.121978386656175, 0.14436019712977144]",[0.16438331 0.02337311],235.07658318394704,241.6732179170431
41,125.47503895001934,"[1.030643611270799, 0.9280110596974462]",[0.1270914  0.03373112],254.95007790003868,261.54671263313475
42,110.8472252242101,"[0.09334073985537464, 0.9770031865124885]",[0.22530159 0.02239022],225.6944504484202,232.29108518151628
43,121.10718455606157,"[4.227593934361842, 0.19220621698573298]",[0.08701821 0.00730019],246.21436911212314,252.8110038452192
44,81.09822012559665,"[2.202155633333579, 0.5549361362311459]",[4.9999e+00 1.0000e-04],166.1964402511933,172.79307498428938
45,103.84065828997892,"[2.0464783909614974, 0.9891905408080628]",[1.02211058 0.20789527],211.68131657995784,218.2779513130539
46,103.40712839469235,"[4.323903240910131, 0.3441574787512509]",[0.71711579 0.14080524],210.8142567893847,217.41089152248077
47,124.39472941411574,"[0.1036836649058812, 0.3944361309936824]",[0.2319748 0.0644446],252.7894588282315,259.3860935613276
48,103.29331629118036,"[2.657157579114842, 0.15581496000496028]",[0.74808176 0.20845587],210.58663258236072,217.1832673154568
49,86.98585449046378,"[2.006899178835603, 0.5232334133931648]",[0.79016219 0.06955327],177.97170898092756,184.56834371402363
50,89.4340154164358,"[0.11765555336896821, 0.4243620486968662]",[1.2681031  0.30600661],182.8680308328716,189.46466556596766
51,91.08344957648251,"[2.3142754570250967, 0.965979803782505]",[0.91959284 0.15462763],186.16689915296502,192.76353388606108
52,127.96771057238463,"[1.6154673314893886, 0.030835973469930385]",[0.10521766 0.03182829],259.9354211447693,266.53205587786533
53,102.67746694050979,"[0.033510051204155074, 0.4168817300736309]",[0.3345834  0.03677791],209.35493388101958,215.95156861411564
54,107.36434121019053,"[0.23299442915476407, 0.15983231201302417]",[1.41551856 0.54882617],218.72868242038106,225.32531715347713
55,91.03726531373623,"[0.2469411118234636, 0.011562683613410944]",[1.37449548e-01 1.00000000e-04],186.07453062747246,192.67116536056852
56,108.41140411400113,"[2.612714432132255, 0.4780329867772957]",[1.13230801 0.33586332],220.82280822800226,227.41944296109833
57,91.70994622257483,"[4.839211742258663, 0.28398796369693796]",[0.28594438 0.03117815],187.41989244514966,194.01652717824572
58,81.54698378020132,"[1.8029969678379598, 0.8714207390799793]",[1.77959687 0.34204376],167.09396756040263,173.6906022934987
59,131.44585784914804,"[0.11063514133147836, 0.02239600194699673]",[0.04897431 0.0133033 ],266.8917156982961,273.4883504313922
60,121.05016013643088,"[1.0565213651338423, 0.28252137590335047]",[0.12084384 0.02562627],246.10032027286175,252.69695500595782
61,102.43508409739856,"[3.020671587805845, 0.7260878305845153]",[1.09249951 0.28177704],208.87016819479712,215.46680292789318
62,110.38831668178275,"[2.396747132472047, 0.43016504333456346]",[0.12997928 0.02185693],224.7766333635655,231.37326809666158
63,88.25874042633255,"[2.6873697403258414, 0.3835628902010788]",[0.29797374 0.02376451],180.5174808526651,187.11411558576117
64,108.77254355837145,"[2.4858401838467357, 0.9422697158108772]",[0.24816719 0.0368383 ],221.5450871167429,228.14172184983897
65,116.32485814794157,"[4.934831435679025, 0.42454572446738337]",[1.72337558 0.45344685],236.64971629588314,243.2463510289792
66,121.75652978675943,"[2.8060456933053417, 0.9911679960940839]",[0.96541369 0.40647238],247.51305957351886,254.10969430661493
67,97.50170665433542,"[2.2593769938785453, 0.558359196802028]",[0.36138277 0.04222037],199.00341330867084,205.6000480417669
68,115.27179416585322,"[4.974189234542437, 0.31321919427381933]",[0.18813446 0.02892092],234.54358833170645,241.1402230648025
69,90.68860661232425,"[0.6214146730461059, 0.15002448434209745]",[0.60908278 0.08439151],185.3772132246485,191.97384795774457
70,89.11569916218241,"[4.868908619556935, 0.6139502893803266]",[1.08030277e-01 1.00000000e-04],182.23139832436482,188.82803305746089
