participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,135.5970448737166,"[3.7896060518518957, 0.0721844466418293]",[0.16865042 0.07881015],"[np.float64(2.3242424078177972), np.float64(0.13650469060485526), np.float64(2.221192864834922), np.float64(0.5600027830865668)]",275.1940897474332,281.7907244805293
2,137.43330647825246,"[3.21553157770961, 0.07295942303346645]",[0.30970861 0.9999    ],"[np.float64(0.00010001000100033927), np.float64(1.0026032526117216e-104), np.float64(1.0020019011493485e-80), np.float64(1.0004000600055699e-16)]",278.8666129565049,285.463247689601
3,102.23082671647109,"[2.327221436561405, 0.11260534862827233]",[0.4819918  0.08911443],"[np.float64(1.0918526533385617), np.float64(0.010473637109785447), np.float64(3.268824163380748), np.float64(0.0009265658180094548)]",208.46165343294217,215.05828816603824
4,137.34782886402837,"[3.368427157083429, 0.3467668994280835]",[0.21204514 0.9999    ],"[np.float64(1.0002000100017853e-08), np.float64(1.0009003600875464e-36), np.float64(1.0), np.float64(1.0007002100377514e-28)]",278.69565772805674,285.29229246115284
5,112.8500443761002,"[0.1391195976287917, 0.5230882670853205]",[1.01551868 0.77644096],"[np.float64(2.7912564109404574e-05), np.float64(4.3496281590165734e-13), np.float64(1.0524768164758238), np.float64(1.5585090009948586e-08)]",229.7000887522004,236.29672348529647
6,135.9273749568287,"[3.412551869580925, 0.18376049788179094]",[0.04244761 0.00722697],"[np.float64(14.152519545822644), np.float64(2.189868313116089), np.float64(9.144143747647874), np.float64(0.906006537122185)]",275.8547499136574,282.45138464675347
7,94.86973525361223,"[2.432526867360228, 0.06580297752390639]",[0.25499736 0.03026694],"[np.float64(7.149238293537605), np.float64(0.13540641526836028), np.float64(7.884074387479379), np.float64(0.025799518487504437)]",193.73947050722447,200.33610524032053
8,87.61751336939088,"[2.2952954813331905, 0.935117281103292]",[0.47013958 0.06429205],"[np.float64(2.8404597854820848), np.float64(0.00036787269031477284), np.float64(2.57309667498106), np.float64(0.00036787269031477284)]",179.23502673878176,185.83166147187782
9,111.73737142011284,"[1.3341474474455444, 0.9414520144254847]",[0.65054833 0.17128497],"[np.float64(0.05992831027576852), np.float64(1.0313130431775395), np.float64(1.755416306049822), np.float64(0.026598013734539596)]",227.47474284022567,234.07137757332174
10,105.67448182072138,"[0.2221109209265444, 0.24636705612261758]",[0.65089765 0.12411952],"[np.float64(2.671374588428803), np.float64(0.12605029599726425), np.float64(2.394740305820408), np.float64(0.3707714661670066)]",215.34896364144277,221.94559837453883
11,111.91229916658065,"[0.843137049230582, 0.3357556371693631]",[0.21909787 0.03442183],"[np.float64(6.381172980328901), np.float64(0.4870688107430429), np.float64(7.734007207900379), np.float64(0.015477627529666764)]",227.8245983331613,234.42123306625737
12,137.86959862217697,"[3.913558126450719, 0.7978507715700266]",[0.01528135 0.03380923],"[np.float64(4.796073475711361), np.float64(1.252928019306815), np.float64(4.267713711164717), np.float64(0.8469191670109699)]",279.73919724435393,286.33583197745
13,113.26404814059111,"[4.2943084959779165, 0.7069336912989672]",[0.41946342 0.1055843 ],"[np.float64(1.307649445572461), np.float64(0.3280077746094151), np.float64(2.8999964715428805), np.float64(0.02259511498957244)]",230.52809628118223,237.1247310142783
14,121.01737666611916,"[3.1391197950818728, 0.8874428441604799]",[0.19652695 0.01840444],"[np.float64(7.420968534519922), np.float64(2.2120065586836666), np.float64(8.95599076988357), np.float64(1.2696124772128468)]",246.03475333223832,252.6313880653344
15,132.86126345984013,"[0.4596675540990665, 0.0876065295478434]",[0.7093511  0.92192202],"[np.float64(0.07811513486079491), np.float64(1.078342441798509e-10), np.float64(1.3811097034281852e-09), np.float64(7.087024186708839e-13)]",269.72252691968026,276.31916165277636
16,129.60034695677675,"[2.2773500838644805, 0.48229101075099606]",[0.44928819 0.20572464],"[np.float64(1.2942709882311032), np.float64(0.0013288625338471276), np.float64(1.4982289877330897), np.float64(0.003300632054744402)]",263.2006939135535,269.7973286466496
17,135.7758507257583,"[1.0642812333111566, 0.2999174692073446]",[0.06536981 0.0398678 ],"[np.float64(4.05772938269262), np.float64(1.0496299734679515), np.float64(8.342239966796207), np.float64(0.10718932018887604)]",275.5517014515166,282.1483361846127
18,137.29447418909254,"[1.5480800114146913, 0.8251894569825526]",[0.02523385 0.0001    ],"[np.float64(11.935868221518307), np.float64(0.9881687609341122), np.float64(11.943514486744181), np.float64(2.978710479979174)]",278.5889483781851,285.1855831112812
