participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,134.45918832058078,"[2.88679938161131, 0.12574232942512859, 0.4448081596342762, 0.3986082843916253]",[0.67845366 0.20804519 0.9999     4.9999    ],[0.71895714 0.20779341 0.52824207 0.39807178],276.91837664116156,290.1116461073537
2,137.57407403356765,"[4.097515730349832, 0.5490763821308496, 0.8828080928960339, 3.003816067212269]",[2.40440076e+00 1.14895560e-03 2.52547967e-03 4.98032895e+00],[0.9598787  0.9718784  0.9754493  0.95636534],283.1481480671353,296.34141753332744
3,72.89191440426548,"[1.5984029769975039, 0.09310406756625836, 0.48728446437645995, 0.5367959682828676]",[2.71110476 0.06322141 0.99989842 4.9999    ],[0.4677715  0.54918125 0.77983436 0.58607988],153.78382880853096,166.9770982747231
4,136.48055659481716,"[0.5557552460987282, 0.21481847397243425, 0.40502745884637714, 4.213992660026635]",[8.55085084e-01 3.34130736e-02 2.12900320e-04 4.21794929e+00],[0.81908671 0.65620827 0.81347542 0.5756703 ],280.9611131896343,294.15438265582645
5,110.89805503472698,"[0.9336112724312832, 0.5973934291707196, 0.7993294187484006, 0.2707042897634827]",[1.99761585 0.62386129 0.09027555 1.11204251],[0.50491114 0.83298709 0.90264211 0.86428223],229.79611006945396,242.9893795356461
6,130.04021967464251,"[4.632820616085173, 0.7988029772020121, 0.46273271429977697, 4.703060694144172]",[4.99990000e+00 1.29975110e-03 1.17903795e-01 3.60328985e+00],[0.87311117 0.86900756 0.86740177 0.87053733],268.08043934928503,281.27370881547716
7,87.42225948816161,"[4.2349081036079195, 0.06305157387699704, 0.22070558985805414, 2.2634872906770696]",[2.55752946 0.0404262  0.93229286 0.51900362],[0.81760493 0.68768725 0.92422376 0.74920104],182.84451897632323,196.03778844251536
8,42.727064816420345,"[1.5792245381111585, 0.9405536786946771, 0.2622451810254969, 2.498017330587141]",[3.97853733 0.02843005 0.94259582 0.30367712],[1.18566667 1.05019515 1.04376425 1.05019515],93.45412963284069,106.64739909903284
9,118.88659634824496,"[4.888309702638858, 0.33741549353990635, 0.07527950311066901, 4.938188035736427]",[1.54109066 0.20470979 0.06224128 2.69473793],[0.55139121 0.56707341 0.86502719 0.46489326],245.77319269648993,258.9664621626821
10,114.65978713553021,"[2.729913879328177, 0.36865575181978133, 0.0776132162905148, 3.101305020910418]",[4.68652609e+00 7.41433783e-04 6.75914554e-01 3.14884766e-01],[0.98781633 0.9814647  0.99104558 0.98750559],237.31957427106042,250.51284373725255
11,109.2430013094669,"[2.059599094384091, 0.8608150106323057, 0.49068537410179874, 2.996771458634418]",[0.00750351 0.002034   0.06164417 0.00010025],[580.1739676  273.6852887  525.46042947 391.79475109],226.4860026189338,239.67927208512594
12,127.19377720674233,"[4.662523415341052, 0.05944933897522591, 0.9970386596576469, 4.600638348444032]",[4.99990000e+00 4.26474408e-04 4.61181694e-01 4.56382497e-01],[0.62647987 0.62313438 0.62501359 0.62913409],262.3875544134846,275.5808238796768
13,123.01924105481308,"[0.20712072742575752, 0.552414861966383, 0.7536738593988536, 3.222958202969752]",[1.17080119e+00 2.50506444e-01 1.00000000e-04 4.99990000e+00],[0.68817525 0.39029003 0.73346163 0.28206699],254.03848210962616,267.2317515758183
14,118.6326498613489,"[1.1564704801018184, 0.0419690998477163, 0.643596632139684, 3.0289526228581614]",[2.58645398 0.01853536 0.81978494 3.2828311 ],[0.54451205 0.4440967  0.555472   0.44291389],245.2652997226978,258.45856918888995
15,131.62946177424982,"[3.85531281144589, 0.43002246539965167, 0.9029886575188816, 2.3279172710882414]",[4.99990000e+00 5.72693629e-04 9.99900000e-01 3.50870137e-01],[0.29746791 0.29732077 0.29781641 0.29449286],271.25892354849964,284.4521930146918
16,133.56127103597902,"[4.375499530358437, 0.7123839707162131, 0.7961980580243189, 3.4660062795182505]",[1.01028562 0.13221791 0.37247244 4.85198336],[0.5183346  0.30133444 0.72566252 0.33863168],275.12254207195804,288.3158115381502
17,128.36867443125576,"[2.3583259805595658, 0.7783614489233299, 0.7489833549980062, 0.39539551175768867]",[0.7469159  0.75786233 0.9999     4.9999    ],[0.93355445 0.17091456 0.14155589 0.10103595],264.7373488625115,277.93061832870364
18,135.75252822322426,"[0.7372864779387373, 0.22203172643784286, 0.7867449338259754, 3.3035154577631047]",[8.58078892e-01 2.67241913e-01 1.00000000e-04 3.37202235e+00],[0.76251767 0.45699072 0.69156712 0.57508841],279.5050564464485,292.69832591264066
19,134.72042929675297,"[4.007073361120495, 0.8021330650538305, 0.40775869950528304, 4.115403153048633]",[1.25837498 0.81893885 0.02707567 1.06458494],[0.70308724 0.98399234 0.99334815 0.92933451],277.44085859350594,290.63412805969807
