participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,134.25515080567016,"[3.9121249035088965, 0.30713776466103027, 0.08694679583079494, 3.6439784725212356]",[0.29615821 0.14011715 0.9999     4.9999    ],[-0.32630365 -1.93643708 -0.40981842 -1.74413797],276.5103016113403,289.70357107753244
2,137.33601590249654,"[0.00840108919591867, 0.564859072564281, 0.9012825366509951, 3.5907617066833732]",[0.10528893 0.20034173 0.9999     4.9999    ],[-0.1219803  -2.12614686  0.19877178 -2.15272585],282.6720318049931,295.8653012711852
3,67.06957349961372,"[0.4273412829094793, 0.29422429115247173, 0.13090479151643433, 2.0642847439602887]",[2.32386139 0.03122452 0.74610341 4.9999    ],[-0.47685614 -0.38573416 -0.05702265 -0.2900014 ],142.13914699922745,155.33241646541958
4,136.1717219588416,"[4.339579751661539, 0.8256281821546875, 0.8845196130761175, 4.251624568643299]",[2.70308438e-01 2.16966149e-02 1.00000000e-04 4.99955509e+00],[-0.3628804  -1.15634708 -0.2712362  -1.62487112],280.3434439176832,293.53671338387534
5,126.94817016544401,"[1.5943340955288061, 0.624458608029519, 0.7403172189436811, 0.06754906916521985]",[1.40043816e+00 4.28494791e-01 9.99900000e-01 1.00000000e-04],[0.09717048 0.03861626 0.34289246 0.06140264],261.89634033088805,275.0896097970802
6,130.3217761100114,"[3.805392400601135, 0.0015009510493831629, 0.5120233223381595, 2.4671301543234123]",[4.99990000e+00 3.58312928e-04 4.52079801e-01 1.65217451e+00],[0.6238291  0.61941554 0.61974313 0.62067298],268.6435522200228,281.83682168621493
7,119.90920242696964,"[3.3035160724875294, 0.8198794836534847, 0.6750478346958725, 4.491320430410592]",[8.38794858e-01 8.01359754e-01 1.00000000e-04 1.00000000e-04],[ 8.33212265e-01 -8.76637143e-05  8.33163424e-01  1.59064834e-01],247.81840485393928,261.0116743201314
8,137.9363056272331,"[1.2125620490621023, 0.03979086010809563, 0.4483308225284861, 0.683774140312646]",[0.0001 0.0001 0.0001 0.0001],[0.99491961 1.0000052  0.99531815 1.0000052 ],283.8726112544662,297.06588072065836
9,119.74211630487042,"[3.9184982806701676, 0.8629003833621776, 0.10486069360303227, 0.4805666023916982]",[1.15005493e+00 2.04710514e-01 1.00000000e-04 1.00000000e-04],[0.38591256 0.38790723 0.82588917 0.18338111],247.48423260974084,260.677502075933
10,119.26026960454185,"[4.810332584480343, 0.17753404495805378, 0.3648128719561626, 3.2296105942569855]",[2.26677306e-01 6.52811448e-01 1.00000000e-04 4.99990000e+00],[ 0.50005902 -4.81218756  0.93312286 -3.41785164],246.5205392090837,259.71380867527586
11,112.23691356234431,"[0.39076195870094105, 0.6977288127412018, 0.8405286206005141, 1.9654222896291134]",[0.48506135 0.18529562 0.9999     4.9999    ],[-0.52639129 -2.34224032  0.22077172 -2.80086028],232.47382712468863,245.66709659088076
12,137.82318393715175,"[3.997738285356577, 0.37915712447557265, 0.25880909905137495, 4.384798304197253]",[0.03419161 0.43785256 0.67128144 4.9999    ],[-1.49376154 -1.10170063  0.51863384 -1.28402546],283.6463678743035,296.83963734049564
13,113.91838098093571,"[4.187748834407062, 0.25880056474996327, 0.8264135750484645, 2.8263514884832914]",[0.40695287 0.37357116 0.9999     4.9999    ],[-0.26233784 -3.53657515 -0.26664377 -1.96591773],235.83676196187142,249.03003142806355
