participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,133.44869853150837,"[3.133810406303755, 0.9274292787966737, 0.18465631781004524, 3.9890160959546126]",[8.04409578e-01 1.96317205e-01 6.83914486e-01 1.00000000e-04],[0.78418085 0.31956263 0.63474596 0.38288636],274.89739706301674,288.0906665292089
2,135.383004118387,"[2.581218324804296, 0.8612823833390042, 0.8517335427400151, 4.415748498635326]",[0.13355781 0.6405039  0.25896068 4.9999    ],[ 0.93395107 -3.21962158  0.93019931 -2.3879595 ],278.766008236774,291.9592777029661
3,67.99537592743678,"[4.594251898197259, 0.2706383148105555, 0.22984058941455118, 3.6467035669515786]",[3.59952460e+00 2.74328830e-02 5.36550519e-01 1.00000000e-04],[0.81930301 0.81701343 0.91233272 0.85279962],143.99075185487357,157.1840213210657
4,136.40957285421396,"[4.4483045666624, 0.13519770150600643, 0.8080948207211118, 1.1940552638432518]",[4.99990000e+00 1.72242378e-04 9.90670084e-02 1.00000000e-04],[0.75398002 0.75274004 0.75416317 0.75220964],280.8191457084279,294.01241517462006
5,129.59072667603854,"[2.2838409991855366, 0.8496084651660575, 0.2297112595008874, 2.5625350192077425]",[4.99990000e+00 5.40304394e-04 9.99900000e-01 1.00000000e-04],[0.65200362 0.65067493 0.65469835 0.64988224],267.1814533520771,280.3747228182692
6,133.7169529117353,"[4.380871599306827, 0.8369380583802042, 0.398059875217173, 0.9230645757607413]",[4.99990000e+00 6.72562778e-04 1.00058381e-01 1.00000000e-04],[0.90268871 0.89936849 0.90239455 0.9016956 ],275.4339058234706,288.6271752896627
7,114.326382337689,"[2.7564671088781454, 0.02915438362305965, 0.8127137098922196, 1.1018195495603331]",[4.9999000e+00 8.6344201e-04 9.9990000e-01 1.0000000e-04],[0.67618776 0.67180874 0.6753508  0.66832648],236.652764675378,249.84603414157013
8,137.936291382129,"[2.5570234319541534, 0.08708916366791346, 0.6509102154925307, 2.7539118203528075]",[0.0001 0.0001 0.0001 0.0001],[0.9994071  1.0000052  0.99960624 1.0000052 ],283.872582764258,297.06585223045016
9,124.72109701070157,"[4.931766911818901, 0.9193739511796013, 0.47736830062760066, 3.240319927830581]",[1.21042635e+00 2.24978324e-02 1.00000000e-04 4.99990000e+00],[0.38945412 0.45426361 0.69359015 0.10263995],257.4421940214031,270.6354634875953
10,102.88069846741031,"[1.0915357631121725, 0.06275261235420662, 0.7024548536308775, 4.5736081217207945]",[0.79792108 0.61969557 0.68128286 4.9999    ],[ 0.88789843 -1.44495395  0.83752427 -0.26459451],213.76139693482062,226.95466640101276
11,106.56563439191682,"[4.710685089423318, 0.9569762974060406, 0.03990556254449516, 3.171894976214809]",[0.68727724 0.34462851 0.9999     4.9999    ],[ 0.3730123  -1.1521528   0.86774766 -1.02868089],221.13126878383363,234.32453825002577
12,137.4043327882253,"[0.07379025814126414, 0.4447662522716828, 0.4206028378303304, 4.426480388071399]",[5.88240233e-02 9.99900000e-01 1.00000000e-04 4.34315516e+00],[0.99987395 0.9999713  1.00002602 0.99991153],282.8086655764506,296.00193504264274
13,110.8749904504395,"[4.250546723970872, 0.46917053125825187, 0.2877569504622007, 1.6086699343767816]",[1.40492323e+00 4.47100552e-01 3.06860864e-01 1.00000000e-04],[0.84896809 0.34566872 0.92258497 0.61733767],229.749980900879,242.94325036707113
14,117.8153266985805,"[2.1437369857921453, 0.11471321953203761, 0.7380219471423596, 1.8622750116934594]",[4.99990000e+00 4.30262907e-04 6.37227110e-01 3.88499715e+00],[0.56544255 0.55870983 0.56663908 0.56002182],243.630653397161,256.8239228633532
15,135.3968859308641,"[4.315640177950634, 0.5784981437564559, 0.30042921768458924, 1.9597499899710835]",[4.20971368e-01 9.99900000e-01 9.99900000e-01 1.00000000e-04],[7.47583050e-01 5.06070449e-06 4.94941307e-01 2.69531467e-01],278.7937718617282,291.98704132792034
16,133.53469650562965,"[2.0669562137707524, 0.8433787389942466, 0.7235468605014, 2.179262270307482]",[1.16276400e+00 5.36484645e-02 9.99900000e-01 1.00000000e-04],[0.60572147 0.4466741  0.77379838 0.45934063],275.0693930112593,288.26266247745144
17,121.08020158461136,"[3.7997834774327863, 0.04709792634754517, 0.600175665772467, 2.904577565125487]",[0.46070891 0.14890723 0.20457688 4.9999    ],[ 0.26386616  0.50257005  0.94582548 -1.63269011],250.16040316922272,263.35367263541485
18,135.56826132248224,"[4.510165708997269, 0.7199798404199046, 0.773872115604507, 4.652434359461128]",[2.01988805e-01 1.43835940e-01 1.00000000e-04 4.97796669e+00],[ 0.88330858 -0.48512989  0.98226875  0.48510393],279.1365226449645,292.3297921111566
19,135.589121594579,"[4.873675468308511, 0.8598010096708657, 0.6068397529046387, 2.6780866015912737]",[1.96348443e-01 3.34406914e-01 1.00000000e-04 4.99990000e+00],[-0.45464542  0.91510146  0.99995808  0.2163095 ],279.178243189158,292.37151265535016
20,137.9362890521816,"[1.761468174180206, 0.5263137156511842, 0.5974926087579843, 0.3211210453387703]",[0.0001 0.0001 0.0001 0.0001],[0.99991493 0.99951554 1.00001492 0.99931578],283.8725781043632,297.0658475705553
21,135.33034857172714,"[1.2673045755822465, 0.8429032325041022, 0.30968735394499425, 2.12540502508114]",[7.49425715e-01 1.96433418e-01 4.28563791e-01 1.00000000e-04],[0.70043364 0.56075345 0.89691739 0.67549662],278.6606971434543,291.8539666096464
22,109.1629167717638,"[0.0757183109732419, 0.3053781237343225, 0.47269304296263087, 0.7252796971696579]",[1.73966349e+00 1.36507430e-01 1.43527684e-01 1.00000000e-04],[0.872926   0.46689208 0.77203832 0.66850833],226.3258335435276,239.51910300971974
