participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,132.3241790845388,"[4.7185074782645495, 0.7096782903682258, 0.3420794649002212, 0.2567437537465087]",[0.97193195 0.77197629 0.04917928 0.34693748],[0. 0. 0. 0.],272.6483581690776,285.84162763526973
2,134.35852729019885,"[2.797289961386398, 0.04001521465375538, 0.517660765984427, 0.5522679509518831]",[0.56829105 0.00561378 0.9999     0.9999    ],[0. 0. 0. 0.],276.7170545803977,289.91032404658984
3,95.33402783351356,"[2.2808622522491127, 0.21580776718886052, 0.451619693367909, 0.8859475948885437]",[1.25085638 0.76332168 0.9999     0.9999    ],[0. 0. 0. 0.],198.66805566702712,211.86132513321925
4,134.59600353761232,"[0.12155973793133833, 0.11913087920675092, 0.017438317757417283, 0.1709578940980889]",[6.82642072e-01 1.00000000e-04 3.70322684e-02 8.03821302e-01],[0. 0. 0. 0.],277.19200707522464,290.3852765414168
5,114.56253593566339,"[4.577597458199358, 0.0760360928498201, 0.6698836000139906, 0.7163793973193715]",[8.74876536e-01 7.47594693e-01 9.73309174e-01 1.00000000e-04],[0. 0. 0. 0.],237.12507187132678,250.31834133751892
6,134.832206795476,"[0.8807307177780456, 0.9788899886576731, 0.4195674409500881, 0.04594170411363275]",[2.75231603e+00 1.00000000e-04 1.86170927e-02 9.99900000e-01],[0. 0. 0. 0.],277.664413590952,290.85768305714413
7,95.74355792274456,"[0.31519424372673915, 0.5322082840911899, 0.840228566784175, 0.24829390048470182]",[0.34732124 0.04568896 0.81545401 0.15805095],[0. 0. 0. 0.],199.48711584548911,212.68038531168125
9,114.85735858423295,"[1.7756960338069205, 0.698030174819254, 0.6452220982518776, 0.22753723484602223]",[6.64578467e-01 2.39146448e-01 4.27374486e-01 1.00000000e-04],[0. 0. 0. 0.],237.7147171684659,250.90798663465804
10,89.40491793973054,"[1.3067092188352067, 0.061240190042979724, 0.5439197246229299, 0.7870434982474288]",[1.52871608 0.19924368 0.9999     0.92000767],[0. 0. 0. 0.],186.80983587946108,200.0031053456532
11,104.97773979225046,"[0.06846861937069197, 0.09646651003393432, 0.8011992694784904, 0.5847928764832495]",[1.17542478 0.01017187 0.95323856 0.92821375],[0. 0. 0. 0.],217.95547958450092,231.14874905069306
12,135.21165606094993,"[0.6655855088109968, 0.6050083353479608, 0.9697742976914215, 0.6735859795515539]",[1.05666182e-01 1.00000000e-04 9.99900000e-01 6.47159212e-01],[0. 0. 0. 0.],278.42331212189987,291.616581588092
13,108.11778232229497,"[4.107477518091383, 0.147016328935936, 0.5398374616124327, 0.6378656533276518]",[0.98391389 0.18126634 0.48144259 0.653116  ],[0. 0. 0. 0.],224.23556464458994,237.42883411078208
14,118.37918681868184,"[0.6038862363737005, 0.7218623427977893, 0.15977769945148323, 0.0285884859269099]",[4.99990000e+00 1.22195102e-04 3.17298946e-03 9.99900000e-01],[0. 0. 0. 0.],244.7583736373637,257.95164310355585
15,131.76551683353256,"[3.9659500637022744, 0.6416315454976051, 0.9740621760121894, 0.06332902086963671]",[9.19696974e-01 6.05160310e-01 1.00000000e-04 8.61112983e-01],[0. 0. 0. 0.],271.5310336670651,284.72430313325725
16,129.48526865294775,"[3.336107728742103, 0.530274370314591, 0.13139973960863918, 0.6360413586333342]",[4.42810151e-01 2.92316739e-01 9.97891739e-01 1.00000000e-04],[0. 0. 0. 0.],266.9705373058955,280.16380677208764
17,115.75220481799501,"[3.9761307249459454, 0.5769397638760655, 0.705842449058163, 0.004164367938159506]",[3.26539655e+00 1.00000000e-04 2.31208654e-02 8.61229688e-01],[0. 0. 0. 0.],239.50440963599002,252.69767910218215
18,135.97040658243702,"[3.3722921933760825, 0.07834809360086498, 0.8999460444298494, 0.40720793969649904]",[6.19808549e-01 1.00000000e-04 4.77066753e-02 8.62961202e-01],[0. 0. 0. 0.],279.94081316487404,293.1340826310662
19,136.88966063458284,"[0.40382695747402153, 0.036797926949548476, 0.8529019107148347, 0.6177414969578975]",[0.41323856 0.13350578 0.9999     0.9999    ],[0. 0. 0. 0.],281.7793212691657,294.9725907353578
20,135.07360610748034,"[2.235106060929382, 0.2963618065208065, 0.3311132571422187, 0.8452274236222693]",[3.58835541e-01 1.00000000e-04 1.00000000e-04 7.90773251e-01],[0. 0. 0. 0.],278.1472122149607,291.3404816811528
21,134.70763493712508,"[0.7356039181122436, 0.015511560598723675, 0.6595407033595826, 0.8821053744031916]",[7.35119176e-01 1.00000000e-04 8.15033133e-01 9.47244125e-01],[0. 0. 0. 0.],277.41526987425016,290.6085393404423
22,109.07359374139794,"[3.422514859408241, 0.6633609816925822, 0.5779125119363907, 0.3149785467309567]",[1.20697915 0.01362678 0.04199543 0.57138286],[0. 0. 0. 0.],226.14718748279589,239.34045694898802
23,121.14926880282445,"[2.538865756013338, 0.0990674159820914, 0.28394193361828907, 0.0037307460056088693]",[1.11178980e+00 5.07672105e-01 1.41914674e-01 1.00000000e-04],[0. 0. 0. 0.],250.2985376056489,263.49180707184104
24,124.59724343995994,"[4.674691081188902, 0.9477073863968174, 0.5499189161966311, 0.7427184428682923]",[0.91400075 0.52937568 0.37005633 0.9999    ],[0. 0. 0. 0.],257.19448687991985,270.38775634611204
25,14.245392630920158,"[2.51213575220325, 0.6346784318758164, 0.9409324802629013, 0.11483749768709373]",[9.83384014e-01 1.00000000e-04 1.00000000e-04 1.00000000e-04],[0. 0. 0. 0.],36.490785261840315,49.684054728032464
