participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,132.79921261000203,"[2.945284510373894, 0.8841883468169885, 0.07519310152455419, 3.5627715667838813, 0.7667145661368969]","[1.59444761e-01 6.88224405e-02 9.99900000e-01 2.15914574e+00
 1.00000000e-04]","[np.float64(0.5842172769407059), np.float64(-4.457665437558941), np.float64(-0.6842991428045955), np.float64(-1.8197691688247921)]",275.59842522000406,292.0900120527442
2,136.02358530027496,"[2.586684149567387, 0.03999585560880387, 0.9041867155972875, 3.3669995109046904, 0.49690578787443934]","[4.70430634e-01 9.99900000e-01 9.99900000e-01 4.39383924e-01
 1.00000000e-04]","[np.float64(0.0002568318226074028), np.float64(-0.7669636017188818), np.float64(5.4858871839342164e-05), np.float64(-6.07875286988437e-05)]",282.0471706005499,298.53875743329013
3,67.11862035423553,"[0.18733773563021783, 0.15369849488642504, 0.9681966297484038, 4.02394998966692, 0.6451983365883346]",[2.32064263 0.03126388 0.74532473 4.9999     0.9999    ],"[np.float64(-0.47929922628473903), np.float64(-0.3873507829880312), np.float64(-0.05788119727606484), np.float64(-0.29180546873881974)]",144.23724070847106,160.72882754121125
4,135.63453863481826,"[0.05538401989122422, 0.6100830922363638, 0.9888156102799965, 3.6535980432508066, 0.1417638633778806]","[1.15210571e-01 5.66312375e-01 1.00000000e-04 4.99990000e+00
 1.00000000e-04]","[np.float64(-0.9581565554218137), np.float64(-0.5910198953571505), np.float64(0.9986696707921963), np.float64(-2.1654230900642797)]",281.2690772696365,297.7606641023767
5,111.93475891390956,"[0.889241227139113, 0.6986000058990467, 0.5373423344782333, 0.4064588756549151, 0.33700945180527914]","[1.19624712e+00 7.38526192e-01 3.22668686e-01 2.93034708e-02
 1.00000000e-04]","[np.float64(6.6885656328516e-05), np.float64(-0.0004360174887171266), np.float64(0.848950410234794), np.float64(-1.9238650909783217e-05)]",233.86951782781912,250.3611046605593
6,126.00391832743787,"[4.45220060997371, 0.5580700434459093, 0.028013397830521657, 4.987656508161432, 0.5891962190374169]","[1.91475902e+00 1.00000000e-04 4.14114434e-02 2.12576141e+00
 9.73393535e-01]","[np.float64(-0.15773901881373575), np.float64(-0.259145258531307), np.float64(-0.25987056871244985), np.float64(-0.17418317315153153)]",262.00783665487575,278.4994234876159
7,94.70424344555526,"[2.4477172609097253, 0.8998940507537428, 0.11178621166436449, 4.705368063612429, 0.7986193220048727]","[2.73665801e-01 2.82151336e-02 9.11726801e-02 1.25581884e-03
 1.00000000e-04]","[np.float64(6.587933148401426), np.float64(0.14464472709136003), np.float64(7.3727382239673735), np.float64(0.030980935258124478)]",199.40848689111053,215.9000737238507
9,111.54550176710886,"[2.5194849653241795, 0.3309532315564143, 0.48057916695960345, 2.9994151014193053, 0.5283035559261892]","[8.27375782e-01 1.72481047e-01 1.00000000e-04 1.00000000e-04
 3.63491317e-01]","[np.float64(0.18272295886778372), np.float64(0.7984406877400569), np.float64(1.3760409895051091), np.float64(0.10149215185810179)]",233.09100353421772,249.5825903669579
10,104.74756048406437,"[4.696227171333987, 0.8200902204595092, 0.7141685116516082, 0.6925656423267567, 0.18050790232431266]","[6.44536547e-01 1.24120026e-01 1.00000000e-04 2.03498948e-01
 1.00000000e-04]","[np.float64(2.494249222643059), np.float64(-0.05029633753731497), np.float64(2.349324063739034), np.float64(0.26121448467830594)]",219.49512096812873,235.9867078008689
11,105.59824810055306,"[1.419955568033168, 0.43064373109680404, 0.6392495377109595, 1.798716890238247, 0.8709174124972504]",[0.51423751 0.17463524 0.9999     4.9999     0.58987899],"[np.float64(-1.0854836966918788), np.float64(-2.7530934921625927), np.float64(0.5582312680214152), np.float64(-2.2001209693976813)]",221.19649620110613,237.6880830338463
12,132.43588753449546,"[2.062373851817127, 0.11739584818268836, 0.3771883286792187, 3.112273264719007, 0.5131478966466321]","[1.31246796e-01 3.75548063e-01 1.00000000e-04 4.99990000e+00
 1.00000000e-04]","[np.float64(-3.642911118643218), np.float64(-0.9498640462755827), np.float64(0.1450400538749345), np.float64(-0.12168109001971955)]",274.8717750689909,291.3633619017311
13,113.14858752990224,"[1.881104109392889, 0.7572399929064242, 0.4360385854452673, 1.1073287603888362, 0.20535974411810146]","[5.86110491e-01 5.42482430e-02 9.99900000e-01 1.24724800e-01
 1.00000000e-04]","[np.float64(0.8047475790348682), np.float64(-0.0466266402976903), np.float64(2.0503179606483215), np.float64(-0.06873597131287193)]",236.2971750598045,252.78876189254467
14,116.29229906626688,"[4.015244622477542, 0.1803214132613726, 0.6017602060897065, 3.012886239889754, 0.6712757659022391]",[1.69611273 0.01317841 0.07013274 1.09123521 0.94691263],"[np.float64(0.4542237968721592), np.float64(0.14658494640876857), np.float64(0.45504566172080785), np.float64(0.17579970269707357)]",242.58459813253376,259.0761849652739
15,129.87804396221958,"[1.714938395408755, 0.794861497286095, 0.13501318970197668, 2.9768627511916637, 0.033414067098853695]",[0.16815338 0.9999     0.9999     4.9999     0.9999    ],"[np.float64(-2.903854347007176), np.float64(-4.17233122560925), np.float64(-2.1695652106235133), np.float64(-6.132620661285079)]",269.75608792443916,286.2476747571793
16,129.450352497867,"[4.678362079574527, 0.7026027543601835, 0.5186732616196883, 0.7412327072578628, 0.5291413302939473]","[5.20299443e-01 2.05722245e-01 1.32281586e-01 1.00000000e-04
 1.00000000e-04]","[np.float64(1.1560399154888081), np.float64(0.0010721853698735064), np.float64(1.0914613825799024), np.float64(0.003042046687957619)]",268.900704995734,285.3922918284742
