participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,133.7193341311727,"[4.537379579505019, 0.12489897924990004, 0.5052224664258003, 0.011368010662225357, 0.7586259575766159]",[0.57429342 0.2051091  0.9999     1.27827003 0.9999    ],[0. 0. 0. 0.],277.4386682623454,293.9302550950856
2,134.90508197549127,"[4.869419065873329, 0.10798234145241803, 0.51981398919182, 0.26039322227193484, 0.9605391900311445]","[5.35241108e-01 9.99900000e-01 1.00000000e-04 1.00000000e-04
 5.65545948e-01]",[0. 0. 0. 0.],279.81016395098254,296.3017507837227
3,94.5884124238512,"[0.9835782985698815, 0.16216142921733465, 0.20400340992987995, 0.6063357743118135, 0.3127781855483187]","[1.28607682e+00 9.99900000e-01 9.99900000e-01 1.00000000e-04
 9.99900000e-01]",[0. 0. 0. 0.],199.1768248477024,215.66841168044257
4,134.728827185156,"[0.9337977073655359, 0.16456891523216702, 0.18321193520653944, 4.76361793373092, 0.8120552877595987]","[3.10653112e+00 1.53970449e-04 1.00000000e-04 4.99990000e+00
 8.42064866e-01]",[0. 0. 0. 0.],279.457654370312,295.9492412030522
5,114.74018630082904,"[4.595206814792691, 0.6367793675576593, 0.34199950117410494, 4.799648424850186, 0.6861353049522393]","[8.66829042e-01 6.93382143e-01 9.99900000e-01 3.43597383e+00
 1.00000000e-04]",[0. 0. 0. 0.],239.48037260165808,255.97195943439826
6,134.80965468660133,"[3.4962205369777415, 0.9547213597313224, 0.24952266844739088, 0.23111938529763038, 0.24609554460543284]","[4.83055831e-01 9.99900000e-01 9.99900000e-01 1.00000000e-04
 9.99900000e-01]",[0. 0. 0. 0.],279.61930937320267,296.1108962059428
7,95.57590049228541,"[3.7648351069537003, 0.6927232534402434, 0.5901369972077567, 4.5163262675852724, 0.4534180583064523]","[3.57129474e-01 4.01986198e-02 6.36202478e-01 1.00000000e-04
 1.89617058e-01]",[0. 0. 0. 0.],201.15180098457083,217.643387817311
9,113.13203182666177,"[2.0868321342872718, 0.5669035869322726, 0.19493713434648893, 0.6481792447962531, 0.9092021217021738]","[7.33128188e-01 3.01362252e-01 1.93735141e-01 4.63250091e-01
 1.00000000e-04]",[0. 0. 0. 0.],236.26406365332355,252.75565048606373
10,93.36972834916482,"[3.054342864619835, 0.8279039293750975, 0.8023388518539039, 3.2361724120965, 0.009769119474880702]",[1.09417597 0.41325015 0.69984698 4.9999     0.8302553 ],[0. 0. 0. 0.],196.73945669832963,213.23104353106982
11,105.41702734669441,"[3.868968790573453, 0.03554749984715371, 0.376857612853279, 2.0846306716004337, 0.8645484093232445]","[3.83085643e+00 8.43001823e-04 9.99900000e-01 1.20266114e+00
 6.03377637e-01]",[0. 0. 0. 0.],220.83405469338882,237.325641526129
12,135.54216378761188,"[1.5595704027082926, 0.7974219277251302, 0.6944871425003378, 0.9308579459708783, 0.4626687205737923]","[3.41042515e+00 1.00000000e-04 1.00000000e-04 7.06844277e-01
 8.21517504e-01]",[0. 0. 0. 0.],281.08432757522377,297.575914407964
