participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,133.19803939107024,"[0.012307126557518597, 0.6928396702013484, 0.4340152039111035]",[0.80462794 0.06143942 0.88172199],"[np.float64(0.7930195961753204), np.float64(0.36456574486360793), np.float64(0.7317170342529525), np.float64(0.5280754320263013)]",272.3960787821405,282.2910308817846
2,133.6571986383128,"[0.19537936065659495, 0.7781780690263387, 0.5969108404904762]",[5.23964954e-01 9.99900000e-01 1.00000000e-04],"[np.float64(0.0017295835249416722), np.float64(-0.9624265102892651), np.float64(0.0009740742874412418), np.float64(0.00024307953742776776)]",273.3143972766256,283.2093493762697
3,69.73210635879738,"[4.539325373696446, 0.44431202006626336, 0.8141344812023915]",[3.21932237 0.03239055 0.9999    ],"[np.float64(0.7336680141129647), np.float64(0.7536923154350814), np.float64(0.8991841788565398), np.float64(0.7870717246351954)]",145.46421271759476,155.35916481723888
4,137.17121831908293,"[2.7252567067030484, 0.27621759113442135, 0.26398363175725825]",[3.68377846e+00 2.15950172e-04 9.99900000e-01],"[np.float64(0.06187591784133054), np.float64(0.060137893893260595), np.float64(0.06485982490044674), np.float64(0.05833959893266882)]",280.34243663816585,290.23738873780997
5,118.95850739573675,"[0.6822817667588454, 0.04643186908594882, 0.879728885748978]",[0.9777695  0.82262759 0.00936917],"[np.float64(0.0745007790098908), np.float64(0.084385900650587), np.float64(0.8816178786862467), np.float64(0.03466700445289502)]",243.9170147914735,253.8119668911176
6,134.91950667852615,"[3.2632241580514685, 0.76612706648659, 0.6144072927278457]",[0.43018628 0.9999     0.9999    ],"[np.float64(0.8221040747311924), np.float64(0.44395012832336717), np.float64(0.19212047517949732), np.float64(0.38538271521098333)]",275.8390133570523,285.7339654566964
7,97.04203326832678,"[4.375087816048838, 0.42366996207513063, 0.9159839374609535]",[0.419268   0.0357854  0.40806325],"[np.float64(3.702219296964249), np.float64(0.32066160151496387), np.float64(3.9213156181338182), np.float64(0.22665810665551875)]",200.08406653665355,209.97901863629767
9,115.39952929750814,"[4.975855951513893, 0.2551120726628461, 0.30602900045259157]",[8.20153763e-01 2.78324245e-01 1.00000000e-04],"[np.float64(0.0034636184299713627), np.float64(0.3439263029020108), np.float64(0.8119972002691391), np.float64(-0.1531955499547892)]",236.79905859501628,246.6940106946604
10,109.51325640973963,"[2.524345634525204, 0.4680086818195212, 0.5540962481459082]",[0.53245411 0.12531556 0.00517154],"[np.float64(2.3742374304473186), np.float64(0.16305472900062085), np.float64(1.8007929251017907), np.float64(0.28480123859090173)]",225.02651281947925,234.92146491912337
11,110.5173883862001,"[1.773459892903466, 0.2550030453125948, 0.4742290499569497]",[1.02536859 0.39299496 0.9999    ],"[np.float64(0.3654200395709416), np.float64(-0.09478770052745945), np.float64(0.8925194876173995), np.float64(-0.15081778270192897)]",227.0347767724002,236.9297288720443
12,137.93571513075725,"[4.6028579135707695, 0.6446357894074827, 0.5413271974079177]",[0.00093555 0.01883121 0.0001    ],"[np.float64(9.660151166906553), np.float64(3.358721753146957), np.float64(8.846146186190035), np.float64(2.688426557143784)]",281.8714302615145,291.7663823611586
13,109.88619617514357,"[4.82723702398327, 0.7911612522554744, 0.4044386999806982]",[0.47768389 0.05790285 0.35503178],"[np.float64(1.149658969139484), np.float64(0.6262119729895264), np.float64(2.58748779323239), np.float64(0.617973733194344)]",225.77239235028713,235.66734444993125
14,118.80941647380546,"[3.5541771471415533, 0.5444440877063554, 0.32614419402829137]",[3.67225348e+00 2.61376100e-03 9.99900000e-01],"[np.float64(0.4303187995628217), np.float64(0.4044728853643668), np.float64(0.43780370688648956), np.float64(0.40265344460088875)]",243.6188329476109,253.51378504725503
15,132.03349886439162,"[0.8918177100647932, 0.9111014608071418, 0.16783961650402043]",[0.57130386 0.9999     0.03430121],"[np.float64(0.9708593718373928), np.float64(0.12784952287157916), np.float64(0.3146150788255571), np.float64(0.09287391593979274)]",270.06699772878324,279.96194982842735
16,128.40125106700378,"[0.3760618342399102, 0.8014135696213526, 0.9941600142650753]",[0.66562994 0.27082282 0.26484018],"[np.float64(0.5524805255049602), np.float64(-0.002852000010812824), np.float64(0.6952930572393602), np.float64(0.032091646411847724)]",262.80250213400757,272.6974542336517
17,127.3397030192443,"[2.322258384765508, 0.8334101095600542, 0.28474338122037]",[0.6933995  0.58313223 0.9999    ],"[np.float64(0.7303815551087555), np.float64(0.3412245964476841), np.float64(0.9073916940608562), np.float64(-0.15401006656433636)]",260.6794060384886,270.5743581381327
18,136.68579423817957,"[4.968519579011031, 0.40740878391562024, 0.6687289968026614]",[0.37872735 0.24701872 0.9999    ],"[np.float64(1.0757762590883941), np.float64(0.37096022497111203), np.float64(0.932079158414764), np.float64(0.45911232710554073)]",279.37158847635914,289.26654057600325
19,137.35274839123957,"[1.073513598071911, 0.5641371411657956, 0.11562813174855893]",[0.25501416 0.70141434 0.9999    ],"[np.float64(0.4576174465298694), np.float64(0.6744503280908108), np.float64(0.7716538950400598), np.float64(0.31262226243472635)]",280.70549678247914,290.60044888212326
20,137.90184240193557,"[2.703753918567506, 0.42130222684547675, 0.9588584891470592]",[0.00394975 0.0001     0.0001    ],"[np.float64(25.43766351159169), np.float64(12.125163787330782), np.float64(21.017384226300248), np.float64(9.721436867617536)]",281.80368480387114,291.69863690351525
21,135.4742875833779,"[4.666072113689657, 0.5903243485735957, 0.48753181912866045]",[0.56261496 0.24819033 0.9999    ],"[np.float64(0.5622231431470497), np.float64(0.34754849965356616), np.float64(0.8204608037537957), np.float64(0.5678118278460923)]",276.9485751667558,286.8435272663999
22,110.79430289786345,"[1.1207344700593072, 0.304524112340665, 0.1886865954347958]",[1.6111068  0.06315654 0.96483397],"[np.float64(0.7389672097406828), np.float64(0.3530895206822552), np.float64(0.6294900765443677), np.float64(0.4608363430169651)]",227.5886057957269,237.483557895371
23,134.98159255816407,"[0.2511150520991127, 0.04639717994655725, 0.1370462938464967]",[0.15233498 0.07541696 0.25417812],"[np.float64(-0.4040782664829146), np.float64(1.3585626539739695), np.float64(2.9602150515731562), np.float64(0.08525587529247508)]",275.96318511632813,285.85813721597225
24,124.89183016438766,"[4.772490021505437, 0.024497148152744164, 0.2823157365167957]",[0.91527668 0.42410718 0.9999    ],"[np.float64(0.32855120661479403), np.float64(0.07964523693121574), np.float64(0.62795603808129), np.float64(0.33953576944334357)]",255.7836603287753,265.6786124284194
25,30.229876302852382,"[0.32625095493741885, 0.8853481499224093, 0.7738126000046701]",[1.46786885 0.01819971 0.33950008],"[np.float64(0.18052589998018292), np.float64(3.5449176639328215), np.float64(0.21696445139886128), np.float64(2.60909657193369)]",66.45975260570476,76.35470470534887
26,96.38513839171391,"[2.5203714152487073, 0.127417884480477, 0.2528108757371695]",[4.42505804e-01 7.89210366e-02 1.00000000e-04],"[np.float64(3.095129124331561), np.float64(0.1923381002122313), np.float64(6.209717221978599), np.float64(0.14393174089891297)]",198.77027678342782,208.66522888307193
27,135.43800717449363,"[1.450722560367623, 0.1031334976867988, 0.9992270416283738]",[2.44265122e+00 1.92602738e-03 9.99900000e-01],"[np.float64(0.8626555391563872), np.float64(0.8341834967128803), np.float64(0.871784182431371), np.float64(0.8287084971067302)]",276.87601434898727,286.7709664486314
28,121.64950308293356,"[0.808045695520814, 0.3552657762478655, 0.03422374858042922]",[4.29717965e-01 1.55712065e-01 1.00000000e-04],"[np.float64(2.2825211617519905), np.float64(0.7009149931093229), np.float64(0.9027708233730293), np.float64(-0.10060585090857704)]",249.29900616586713,259.19395826551124
29,114.9105705533336,"[2.6830150339304275, 0.6677675712250164, 0.8774519167467406]",[0.80611292 0.34593078 0.02052467],"[np.float64(0.2717312192578552), np.float64(1.1228981550235728), np.float64(0.5015849334702871), np.float64(0.0011276236083322603)]",235.8211411066672,245.7160932063113
30,123.30046969899053,"[0.5892719975780472, 0.539665123839784, 0.525128021437728]",[0.96159435 0.11504966 0.73820656],"[np.float64(0.7675029263068921), np.float64(0.34300499854567734), np.float64(0.7627683757510911), np.float64(0.4295742153326491)]",252.60093939798105,262.49589149762517
31,60.08181037607239,"[0.2867766563240237, 0.4403254024221935, 0.4319823471698196]",[1.78889084 0.9999     0.18429983],"[np.float64(0.1437383925726592), np.float64(-0.02475733048747357), np.float64(0.5746329524455229), np.float64(0.10895336676031789)]",126.16362075214478,136.05857285178888
32,123.58394933575198,"[3.2089858985435695, 0.09514222211746702, 0.546823206754019]",[4.99990000e+00 2.06945866e-04 9.99829906e-01],"[np.float64(1.0126577757005357), np.float64(1.0087262616645978), np.float64(1.012199751447126), np.float64(1.005889956781466)]",253.16789867150396,263.0628507711481
33,137.93629166029237,"[2.314463959189265, 0.1605290354134704, 0.6648814960304542]",[1.000e-04 1.000e-04 9.999e-01],"[np.float64(0.14343151365007997), np.float64(0.14278362759915175), np.float64(0.14372207107604193), np.float64(0.14176439077293096)]",281.87258332058474,291.76753542022885
34,102.85261466133096,"[3.923855805823004, 0.5102558347692688, 0.49606642091494685]",[1.53192059 0.11957291 0.9999    ],"[np.float64(0.6066577774428613), np.float64(0.3371456602826606), np.float64(0.8219531179035088), np.float64(0.34687187754312504)]",211.70522932266192,221.60018142230604
35,134.37131581716014,"[1.603813119854592, 0.37137891984458316, 0.5289684630892509]",[1.41553495e-01 5.13729677e-02 1.00000000e-04],"[np.float64(1.0734528465545659), np.float64(2.410821790424905), np.float64(4.861149104984799), np.float64(0.7403773339558137)]",274.7426316343203,284.6375837339644
36,137.8954516282467,"[0.17787777921494505, 0.6846051296393335, 0.13682875754118526]",[7.2568336e-02 9.9990000e-01 1.0000000e-04],"[np.float64(0.6905037279005457), np.float64(0.0013066166473211889), np.float64(0.002050530394581812), np.float64(0.0008014239321055602)]",281.7909032564934,291.6858553561375
37,117.37643832028999,"[2.6644882697827708, 0.8991340610442105, 0.9941376811732995]",[0.08030415 0.0001     0.0001    ],"[np.float64(18.055408570483475), np.float64(14.322834910555857), np.float64(30.73639401371854), np.float64(7.683286621249137)]",240.75287664057998,250.6478287402241
38,127.09770323945486,"[2.9451787119564448, 0.732788398104648, 0.7534073873760184]",[0.48621873 0.13219363 0.38013884],"[np.float64(1.4840530560388856), np.float64(-0.0839235634958259), np.float64(-0.2095046032416013), np.float64(0.037176955474328435)]",260.1954064789097,270.09035857855383
39,136.77600319017415,"[4.353348016241841, 0.8361538876335792, 0.7580324062601633]",[4.54025556e-01 9.99900000e-01 1.00000000e-04],"[np.float64(0.0013672119398698303), np.float64(0.17558013834114564), np.float64(0.001067305535581161), np.float64(0.0005544927654136704)]",279.5520063803483,289.4469584799924
40,134.014442677661,"[2.4575465656359836, 0.22861444174550546, 0.5773294676654561]",[1.73586713 0.01270244 0.9999    ],"[np.float64(0.3526231893792079), np.float64(0.23020874975569747), np.float64(0.31762140583320436), np.float64(0.2025871223140694)]",274.028885355322,283.92383745496613
41,103.82754090529467,"[0.6576207180455269, 0.22847239104659567, 0.5755980624049432]",[2.32066173 0.01225419 0.9999    ],"[np.float64(0.40209534360959065), np.float64(0.26998990357191466), np.float64(0.4597963971058994), np.float64(0.252827878405288)]",213.65508181058934,223.55003391023345
42,123.4738159900381,"[3.8229632375358995, 0.650589859480704, 0.8973423279742375]",[0.74997119 0.31455162 0.40235495],"[np.float64(0.1935857590286697), np.float64(0.7674639074600351), np.float64(0.017418941490663184), np.float64(-0.11383239593170306)]",252.9476319800762,262.8425840797203
43,104.7209178523866,"[4.909412802013118, 0.8282711707923374, 0.18970158047505836]",[1.68979847 0.9999     0.03279631],"[np.float64(0.012719896453998812), np.float64(0.1601369258597978), np.float64(0.10740972969948984), np.float64(0.40057096685773386)]",215.4418357047732,225.33678780441733
44,96.87180541110409,"[1.5380430579789612, 0.7658430010353803, 0.3713582961105163]",[3.43552748 0.01404167 0.98018034],"[np.float64(1.3790543075303061), np.float64(1.36950660795679), np.float64(1.3816602229511439), np.float64(1.3193381007321963)]",199.74361082220818,209.6385629218523
45,135.64591262108812,"[4.5793410606828076, 0.6118391250636567, 0.9629420480126126]",[1.24111544e-01 4.72617222e-02 1.00000000e-04],"[np.float64(3.180355994043975), np.float64(2.131090818049486), np.float64(4.0998138668592485), np.float64(1.2746981082122422)]",277.29182524217623,287.18677734182035
46,132.676352335277,"[3.9495524965234723, 0.3839668997028494, 0.2971543176998672]",[0.63538426 0.67038902 0.9999    ],"[np.float64(0.4897047564533353), np.float64(0.2399974535939434), np.float64(0.7208587223030531), np.float64(0.6069186796534586)]",271.352704670554,281.2476567701981
47,114.52483815692054,"[4.022829816077392, 0.34634862366997793, 0.9916619789282102]",[0.43646639 0.01078978 0.82689611],"[np.float64(2.753261077338366), np.float64(0.8340437574514957), np.float64(3.850745434298714), np.float64(0.3591699286911915)]",235.04967631384108,244.9446284134852
48,59.78956384082808,"[4.698808016162052, 0.7123888741246679, 0.4782390627534272]",[5.88216318e-01 8.70775236e-02 1.00000000e-04],"[np.float64(3.024027434155905), np.float64(0.00023926285650262296), np.float64(5.8511679950650715), np.float64(0.0003279968949872309)]",125.57912768165616,135.47407978130028
49,122.7512148871947,"[0.0661466134363499, 0.3484262887596569, 0.8645496503765312]",[0.91955206 0.48879483 0.02797312],"[np.float64(0.7809828116023887), np.float64(0.0391686012254245), np.float64(0.48178944458704226), np.float64(0.009277974880672994)]",251.5024297743894,261.3973818740335
50,117.06457385572298,"[3.9608939071921325, 0.78129263075593, 0.7067759814003005]",[3.24463565e+00 1.40019882e-03 9.98516723e-01],"[np.float64(0.5963846256609391), np.float64(0.5375450832754782), np.float64(0.5704716479101685), np.float64(0.5346783716502149)]",240.12914771144597,250.02409981109008
51,126.40206665309279,"[4.157674171130704, 0.5230094664086856, 0.9341109906562072]",[0.34064606 0.00138515 0.72337589],"[np.float64(2.331463555229786), np.float64(4.47321281604057), np.float64(3.901061543106325), np.float64(4.152336576017555)]",258.8041333061856,268.6990854058297
52,120.54835502813198,"[4.949530810950795, 0.2878864957920343, 0.9438261562312821]",[1.40514391 0.05691387 0.94248172],"[np.float64(0.7227006804969367), np.float64(0.5490615261441938), np.float64(0.7000815027257359), np.float64(0.3328888376421131)]",247.09671005626396,256.99166215590805
53,137.93629081672123,"[2.666160071599035, 0.9800067832241994, 0.984774410425957]",[1.000e-04 1.000e-04 9.999e-01],"[np.float64(0.9814900545976625), np.float64(0.9801997321312137), np.float64(0.9815250228805549), np.float64(0.9787983215732491)]",281.87258163344245,291.76753373308657
54,125.62830102769239,"[0.7617355689430041, 0.9325083977077849, 0.3707252028306978]",[1.02284267 0.11948515 0.9999    ],"[np.float64(0.8413643868977381), np.float64(0.3055583888944655), np.float64(0.7186814665668627), np.float64(0.34993315246116585)]",257.25660205538475,267.15155415502886
55,130.9761994162046,"[2.8692626598023887, 0.9608017979627468, 0.3253816700252404]",[0.07514105 0.0001     0.0001    ],"[np.float64(20.715683625809554), np.float64(8.547374669385913), np.float64(17.995574202738396), np.float64(12.010865302889462)]",267.9523988324092,277.8473509320533
56,136.4382965730119,"[1.2721610085171013, 0.492074305753976, 0.112836938001975]",[0.35927996 0.9999     0.84199029],"[np.float64(0.480359189138283), np.float64(0.5325517529494871), np.float64(0.5094536088480869), np.float64(1.1683493207928075)]",278.8765931460238,288.77154524566794
57,130.78496422787072,"[2.0173395505273173, 0.691960592340005, 0.902804399884036]",[3.83014475e-01 1.81167602e-01 1.00000000e-04],"[np.float64(0.40655002134250545), np.float64(1.1177552568922153), np.float64(0.432490254320281), np.float64(0.7998962432934983)]",267.56992845574143,277.46488055538555
58,124.50153867194685,"[0.870173549977119, 0.31457751584430194, 0.6384511376072871]",[5.97636603e-01 1.69575084e-01 1.00000000e-04],"[np.float64(0.0009074148038552517), np.float64(1.0875856426833577), np.float64(1.1137818313603902), np.float64(1.1398599349467906)]",255.0030773438937,264.8980294435378
59,72.18891054384954,"[4.056762459882652, 0.5509644787287771, 0.14326785629420946]",[1.89210462 0.1110054  0.9999    ],"[np.float64(0.6357724070072635), np.float64(0.37116906427264645), np.float64(0.6432473639022094), np.float64(0.2356871197448889)]",150.3778210876991,160.2727731873432
60,96.84991357026448,"[1.1710852199134218, 0.2921382868725785, 0.853191507444712]",[1.97512083 0.0236656  0.99800729],"[np.float64(0.4796837329135552), np.float64(0.20991354127439707), np.float64(0.6039042462173674), np.float64(0.21843980236875027)]",199.69982714052895,209.59477924017307
61,134.86260714819116,"[4.054028604776007, 0.5838512802216047, 0.9435057748595225]",[0.64367096 0.10471016 0.9999    ],"[np.float64(0.5742789738903287), np.float64(0.4633404227157091), np.float64(0.7562821725079302), np.float64(0.13019594450337807)]",275.7252142963823,285.62016639602643
62,120.73057815564755,"[2.839361540337091, 0.8506340777663618, 0.7403730832012381]",[0.68922792 0.9999     0.9999    ],"[np.float64(0.43537076443508443), np.float64(-0.30363442952950104), np.float64(1.0638991243089613), np.float64(0.3386287758879027)]",247.4611563112951,257.3561084109392
63,136.2145530064347,"[1.0648081711015442, 0.25197404880652857, 0.9254856822512348]",[0.34344829 0.9999     0.9999    ],"[np.float64(0.44776886391531173), np.float64(0.8061738257262779), np.float64(0.48102868949990063), np.float64(0.2100609259354627)]",278.4291060128694,288.3240581125135
64,134.99961592105325,"[0.5219462718214963, 0.7210648842501924, 0.8232756237913532]",[0.533179   0.90184901 0.03076628],"[np.float64(0.1722802104407532), np.float64(0.384360781684148), np.float64(0.18119287819376687), np.float64(0.21355956410159668)]",275.9992318421065,285.8941839417506
65,125.92420580616503,"[4.576674998616445, 0.4232437825590588, 0.6281007551550999]",[0.75019704 0.21843745 0.36755661],"[np.float64(1.0429503063126977), np.float64(0.08842025917252033), np.float64(0.8674954328009672), np.float64(0.03569500283730875)]",257.8484116123301,267.74336371197415
66,88.33264654446529,"[0.8337670330723419, 0.4436936703275487, 0.14757339881088039]",[0.09924285 0.0001     0.0001    ],"[np.float64(32.85982711379451), np.float64(6.287797746285738), np.float64(38.639820311308696), np.float64(6.239277383572586)]",182.66529308893058,192.5602451885747
