participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,135.7732810344567,"[0.22525321586486613, 0.7442016949663145, 0.7522270551921544, 1.4631006575904921]",[5.51953403e-01 8.21638493e-01 1.00000000e-04 1.00000000e-04],"[np.float64(0.03182424558223343), np.float64(0.00018049436311831733), np.float64(0.00013237889809661801), np.float64(3.336741147219232e-14)]",279.5465620689134,292.7398315351055
2,113.35337625719109,"[4.974540865620574, 0.28306132878993495, 0.8101667931228708, 0.031011914851543324]",[2.96275564e-01 1.00000000e-04 6.62825169e-01 5.03834001e-01],"[np.float64(10.427214371016317), np.float64(8.60311975051868), np.float64(6.055210512800923), np.float64(3.8513072388217826)]",234.70675251438217,247.9000219805743
3,37.61527884697789,"[2.875643925042565, 0.4515798524413169, 0.31550400862988076, 4.790474667157709]",[4.9999     0.26291016 0.85214519 3.932541  ],"[np.float64(6.955754867627183e-19), np.float64(0.13960681231180028), np.float64(0.001324694941243373), np.float64(6.955754867627183e-19)]",83.23055769395577,96.42382716014792
4,104.53338126413553,"[0.8349540566638711, 0.2680190529984615, 0.46394608048178443, 0.8292410607333347]",[1.77084809e-01 1.00000000e-04 5.55549826e-01 1.00000000e-04],"[np.float64(23.864968950819105), np.float64(16.329790346813354), np.float64(13.808996511779474), np.float64(5.513517790096859)]",217.06676252827106,230.2600319944632
5,99.75703209177641,"[1.8881414403494263, 0.6550487542448938, 0.21023166865009008, 4.959801368113548]",[1.67648148 0.26712236 0.4785044  1.47333858],"[np.float64(0.48060710399652556), np.float64(0.05263892241509266), np.float64(0.04188756580357412), np.float64(0.05621284482799944)]",207.51406418355282,220.70733364974495
6,135.1640564276036,"[2.029539177629262, 0.06764067367817732, 0.5409582752698618, 3.4750058521578344]",[1.44254529e-01 2.75501067e-02 1.00000000e-04 1.48529428e+00],"[np.float64(3.2496546933733335), np.float64(0.46674029786524435), np.float64(1.6857172668737535), np.float64(0.2148671716244922)]",278.3281128552072,291.52138232139936
7,75.38563304623283,"[1.1357999878695273, 0.34523403847706313, 0.5425237516560031, 2.7270322817293446]",[1.88845218 0.09029597 0.70673038 2.58654575],"[np.float64(1.4406915920371337e-06), np.float64(0.3800826573753824), np.float64(0.25200952521297787), np.float64(1.4406915920371337e-06)]",158.77126609246565,171.9645355586578
8,49.03115966486756,"[4.713425648317809, 0.07468261636856555, 0.5887953507701075, 2.887065978475305]",[3.68758952e+00 1.13779846e-01 1.00000000e-04 4.99990000e+00],"[np.float64(0.08158367091698834), np.float64(2.628768835772919e-07), np.float64(0.014044166306164018), np.float64(2.628768835772919e-07)]",106.06231932973512,119.25558879592727
9,121.45341773539718,"[1.1665717464380487, 0.877624683025204, 0.16905682354970097, 2.9228790246037772]",[1.11945874e+00 6.02108696e-01 6.78725010e-01 1.00000000e-04],"[np.float64(0.3896557805526649), np.float64(0.00031998958678465804), np.float64(0.2700353953872658), np.float64(0.04389346535204907)]",250.90683547079436,264.1001049369865
10,102.45050767200898,"[1.100802435389834, 0.9325917553462831, 0.1455549135827976, 1.6750843731711325]",[1.01513203e+00 6.98346512e-02 1.00000000e-04 1.96652860e+00],"[np.float64(0.23021023806642982), np.float64(0.017811716217760027), np.float64(0.5024358073253966), np.float64(0.00016339533006209657)]",212.90101534401796,226.0942848102101
11,113.22225890177137,"[1.041892010708459, 0.5983467612164622, 0.028094985382922263, 3.289350530150703]",[1.64648781e-01 1.71719267e-02 1.00000000e-04 1.00000000e-04],"[np.float64(12.033090199868488), np.float64(0.2714046164804691), np.float64(5.506472995872341), np.float64(4.111832324293436)]",234.44451780354274,247.63778726973487
12,110.54758546806129,"[3.3158877289426414, 0.8459877348275888, 0.3420281230885754, 2.8548259096119155]",[1.00258499 0.00690206 0.93603841 3.18352747],"[np.float64(1.349372468241566), np.float64(0.7656462212479445), np.float64(0.08049610920487368), np.float64(0.7569648171639792)]",229.09517093612257,242.2884404023147
13,121.68958824781133,"[1.4867022475015523, 0.9791874878614122, 0.031212434797443362, 1.4008373164220687]",[0.96810135 0.01421738 0.96315234 4.9999    ],"[np.float64(0.30386478634965847), np.float64(0.17438967762624313), np.float64(0.2144076488719238), np.float64(1.2281923753219484)]",251.37917649562266,264.5724459618148
14,137.33253431329803,"[1.6593218990901852, 0.1274724200162696, 0.36911157682052576, 3.997319324079383]",[0.04018335 0.0001     0.0001     0.0001    ],"[np.float64(5.964790895413588), np.float64(1.9824935444889735), np.float64(7.941741166701785), np.float64(0.9893681086074465)]",282.66506862659605,295.8583380927882
15,133.91433318654944,"[0.2135059992997343, 0.1676907270085073, 0.7739717228395705, 3.722746003456974]",[0.83803427 0.66187416 0.16984261 4.9999    ],"[np.float64(0.02508427828201398), np.float64(0.0003224663140081264), np.float64(0.1960433680881895), np.float64(0.008743428058037992)]",275.8286663730989,289.021935839291
16,90.42369859841223,"[3.9960645241017763, 0.6262203667518227, 0.15928036808404086, 2.22608068021502]",[2.64777289 0.17355432 0.8753248  4.9999    ],"[np.float64(0.1759466266643899), np.float64(0.0016181261793266242), np.float64(0.0006041951183297367), np.float64(0.007783315311883692)]",188.84739719682446,202.0406666630166
17,130.8150076995829,"[1.5115804600466085, 0.5663846118900364, 0.6182952071548865, 2.092589088565723]",[7.88978925e-01 3.84959174e-01 1.00000000e-04 7.10289049e-01],"[np.float64(0.1037197865642274), np.float64(0.5105759746965137), np.float64(0.0026791469001931807), np.float64(6.796430680724115e-05)]",269.6300153991658,282.82328486535795
