participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,136.01886949995333,"[3.3613781698803167, 0.06968610160582941]",[0.46845714 0.9999    ],"[np.float64(6.464806384650597e-05), np.float64(1.0198709888801006e-16), np.float64(-0.465810895859005), np.float64(1.1473813173243232e-73)]",276.03773899990665,282.63437373300275
2,123.14885842010916,"[4.509273284515085, 0.1027547947310819]",[0.07631328 0.0001    ],"[np.float64(26.622085828634905), np.float64(12.006395671724592), np.float64(18.594460214410436), np.float64(5.135971430291915)]",250.29771684021833,256.8943515733144
3,100.85564165177367,"[0.7178908176074775, 0.42639568333293826]",[0.60400598 0.09891835],"[np.float64(1.6581620158746952e-06), np.float64(0.7750108752469365), np.float64(1.5303046880434021), np.float64(1.6581620158746952e-06)]",205.71128330354733,212.3079180366434
4,120.08086378265266,"[0.4259234922248176, 0.7152378097500953]",[0.05655185 0.0001    ],"[np.float64(35.02459367756322), np.float64(10.498415464407783), np.float64(23.366256905022876), np.float64(4.110155527212779)]",244.1617275653053,250.75836229840138
5,104.46760259215951,"[4.853485340471147, 0.23050175155269323]",[1.13728842e-01 1.00000000e-04],"[np.float64(34.55082330762312), np.float64(12.433406124761946), np.float64(15.623122558488582), np.float64(9.347078893899502)]",212.93520518431902,219.53183991741508
6,135.5265190099129,"[2.200875422528931, 0.7868426146162023]",[0.0713391  0.03086856],"[np.float64(7.012900713244921), np.float64(1.525749397417047), np.float64(3.6446591734844844), np.float64(1.0839477732464184)]",275.0530380198258,281.6496727529219
7,79.58267032272832,"[3.8730949539681343, 0.11113378060610923]",[0.34661915 0.04989323],"[np.float64(0.0015609341255263104), np.float64(6.328608608106875), np.float64(3.2524808124499325), np.float64(0.0015609341255263104)]",163.16534064545664,169.7619753785527
8,72.21525818266555,"[2.17933795788759, 0.5052600792931559]",[3.31324445 0.85270539],"[np.float64(0.038804123577016375), np.float64(8.84501716122237e-100), np.float64(0.004664263280650595), np.float64(8.84501716122237e-100)]",148.4305163653311,155.02715109842717
9,132.77174493000626,"[1.4589909489016386, 0.21946973379489237]",[0.40691748 0.75283073],"[np.float64(1.5594346420048293), np.float64(1.508658460713207e-05), np.float64(0.04847734611983497), np.float64(-0.003855260701688035)]",269.5434898600125,276.1401245931086
10,119.74403170696866,"[3.1752178346702222, 0.34885782970621715]",[0.19542861 0.06523033],"[np.float64(4.77806486485329), np.float64(0.7229521047685694), np.float64(3.338952595284384), np.float64(-0.00901860044374301)]",243.4880634139373,250.08469814703338
11,116.89600344405035,"[3.676886328861209, 0.970830496082493]",[0.14511373 0.03340217],"[np.float64(10.935788647367302), np.float64(0.33709583904927626), np.float64(3.7168979398682507), np.float64(2.897513213923882)]",237.7920068881007,244.38864162119677
12,120.76562447266313,"[2.5566022257472154, 0.10415098852039155]",[0.04408309 0.0001    ],"[np.float64(39.06103911482337), np.float64(6.542012552767909), np.float64(3.045660041248619), np.float64(7.154958995621392)]",245.53124894532627,252.12788367842234
13,134.90148829258004,"[1.5896254253316928, 0.3289273177558434]",[0.6583112 0.9999   ],"[np.float64(2.048869277938992e-05), np.float64(4.379857159008386e-10), np.float64(1.030521094792096e-24), np.float64(0.048674051731924)]",273.8029765851601,280.3996113182562
14,137.9214271494159,"[1.6349910642511334, 0.6725710627819659]",[0.04906412 0.9999    ],"[np.float64(1.4189822063930839e-08), np.float64(3.8427702318749554e-05), np.float64(0.664898179593277), np.float64(-3.3671184465975e-14)]",279.8428542988318,286.4394890319279
15,132.35036514461441,"[0.5050838113176449, 0.43909504333521243]",[0.53463866 0.46960686],"[np.float64(0.1155668187858726), np.float64(-0.05478348326998539), np.float64(0.7612176465622483), np.float64(-0.12335670495894469)]",268.70073028922883,275.2973650223249
16,114.58453880824406,"[3.899319285144836, 0.7095012636352127]",[0.56871269 0.16644287],"[np.float64(1.2320328818223163), np.float64(0.04094393757531564), np.float64(0.04052035539535873), np.float64(0.8711211690574723)]",233.16907761648812,239.7657123495842
17,132.5491322418221,"[3.8623819136079613, 0.7272618601965918]",[0.51258153 0.36539077],"[np.float64(0.1400747351491926), np.float64(0.6707319299115251), np.float64(0.10564850484068745), np.float64(0.0635570698703935)]",269.0982644836442,275.6948992167403
18,133.77658192312586,"[3.182420080619365, 0.06300922733295992]",[0.03351014 0.0001    ],"[np.float64(27.676073446404803), np.float64(17.932777722617327), np.float64(18.913294570180096), np.float64(4.154026602971953)]",271.5531638462517,278.1497985793478
19,137.93732124635903,"[1.9254560600346868, 0.5830968314690533]",[1.00000000e-04 8.28484544e-01],"[np.float64(0.01823805035881917), np.float64(0.026761936973627477), np.float64(6.09876125530237e-07), np.float64(0.21842777932131188)]",279.87464249271807,286.47127722581416
20,112.81244236281398,"[1.8019823233954668, 0.22618203252256827]",[1.10295117 0.9999    ],"[np.float64(1.135353480299627e-09), np.float64(9.366733040276149e-13), np.float64(0.8703468315614085), np.float64(-1.651655063742329e-29)]",229.62488472562796,236.22151945872403
21,137.89856959476387,"[4.646777439985852, 0.14724421851869662]",[0.00363457 0.0001    ],"[np.float64(26.786894486170024), np.float64(11.896334103147177), np.float64(17.421430637810463), np.float64(6.341785455829142)]",279.79713918952774,286.39377392262384
22,137.93659528736438,"[0.04048646610299524, 0.24568905452809525]",[1.00000000e-04 1.23931387e-01],"[np.float64(1.2428073337502363), np.float64(0.621276909078401), np.float64(0.27815286911262727), np.float64(0.033830123765639104)]",279.87319057472877,286.46982530782486
23,119.28496526494311,"[4.681450666692478, 0.4904086602760241]",[0.59570161 0.17917582],"[np.float64(1.296640420414071), np.float64(0.3494716425096364), np.float64(0.5843513439172199), np.float64(0.7624479461688118)]",242.56993052988622,249.1665652629823
24,137.6036983042356,"[4.178986162356965, 0.32547948755685885]",[0.06248537 0.07803544],"[np.float64(2.716652852344128), np.float64(1.9933772008857336), np.float64(1.9602990878013178), np.float64(0.18523454880970452)]",279.2073966084712,285.8040313415673
25,101.62490822840886,"[3.656683098477443, 0.05925279388036795]",[0.0703708 0.0001   ],"[np.float64(41.75905862363946), np.float64(3.767117683773068), np.float64(14.554752500180134), np.float64(3.743788604923311)]",207.2498164568177,213.84645118991378
26,92.43157674150737,"[3.0234586711826337, 0.21640610574137562]",[0.34827518 0.05077469],"[np.float64(8.400135117721579), np.float64(0.1571746633520588), np.float64(5.075163873403821), np.float64(0.18114029060385567)]",188.86315348301474,195.4597882161108
27,87.63595324052353,"[3.5748028752585266, 0.735753408666633]",[0.11198978 0.00198387],"[np.float64(35.87085479356952), np.float64(4.899029734692434), np.float64(17.458947877048555), np.float64(6.917677935342833)]",179.27190648104707,185.86854121414314
28,136.67309912212906,"[1.5797905256048967, 0.13796788304960222]",[0.05670325 0.04211033],"[np.float64(6.203142624871101), np.float64(2.8382158501527814), np.float64(5.1863340211074584), np.float64(1.1508338719098088)]",277.3461982442581,283.9428329773542
