participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,135.78808769319681,"[1.713296732098041, 0.9710725909822123]",[0.57812987 0.9999    ],"[np.float64(1.0002000100007847e-08), np.float64(1.0016012005664687e-64), np.float64(1.0006001500233576e-24), np.float64(1.00180153082338e-72)]",275.57617538639363,282.1728101194897
2,118.69466209823018,"[3.069316277904628, 0.01934688552545099]",[0.19694756 0.01228658],"[np.float64(9.83781587600169), np.float64(4.3122595549864196), np.float64(6.481176942446346), np.float64(0.5201246169068791)]",241.38932419646036,247.98595892955643
3,92.08097405082553,"[0.6795592684230651, 0.20919881320403313]",[0.43285183 0.06256865],"[np.float64(0.00045792745657337894), np.float64(3.3297587147990964), np.float64(2.989493233527813), np.float64(0.00045792745657337894)]",188.16194810165106,194.75858283474713
4,131.66375770794107,"[4.614743537046442, 0.14396956059161026]",[0.06798522 0.00998941],"[np.float64(10.515235723984603), np.float64(1.7099900130604357), np.float64(9.249548679385805), np.float64(1.5591853126735569)]",267.32751541588215,273.92415014897824
5,107.2437091324306,"[4.414063150015571, 0.024678755357004364]",[0.19061245 0.01461989],"[np.float64(13.687185324083867), np.float64(1.9959133924061288), np.float64(2.673437543522194), np.float64(3.424633257214489)]",218.4874182648612,225.08405299795726
6,135.5114543813013,"[0.3471907422106814, 0.3351603117383309]",[0.05837769 0.00330215],"[np.float64(10.477670468135708), np.float64(2.1411129060446425), np.float64(6.531434526993235), np.float64(1.4811645916389784)]",275.0229087626026,281.6195434956987
7,85.88446126125099,"[0.302831297521271, 0.6859375702387986]",[0.42126747 0.05077299],"[np.float64(0.002027867871159228), np.float64(4.7675556826666), np.float64(3.127079640213237), np.float64(0.002027867871159228)]",175.76892252250198,182.36555725559805
8,86.55695196160835,"[0.14666595390784956, 0.30362032776349723]",[0.17466802 0.00246445],"[np.float64(19.102711523490395), np.float64(0.7455503056952316), np.float64(9.445601284054044), np.float64(0.7455503056952316)]",177.1139039232167,183.71053865631276
9,129.4657555249938,"[1.5646257245260222, 0.4478550471887561]",[0.64398233 0.96512757],"[np.float64(1.0012175700857326), np.float64(2.263338378602092e-12), np.float64(4.783463677130162e-24), np.float64(2.466822114707743e-31)]",262.9315110499876,269.5281457830837
10,109.88575002765745,"[1.0024567007739766, 0.24173759364711006]",[0.3625592  0.08078372],"[np.float64(1.7314191115388942), np.float64(1.0000443634285205), np.float64(2.722922481570228), np.float64(0.000264168597413893)]",223.7715000553149,230.36813478841097
11,113.21485316214958,"[3.638441914346976, 0.5875215424439427]",[0.16677084 0.01717962],"[np.float64(12.030838893687866), np.float64(0.2707650985346702), np.float64(5.505622809619472), np.float64(4.11223346925801)]",230.42970632429916,237.02634105739523
