participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,136.94749009899604,"[4.986718938332134, 0.18211862966920278, 0.6549106140004228, 1.7616720729585018]",[5.90135970e-02 6.76192144e-01 1.00000000e-04 4.99989982e+00],[-3.66455059  0.38568716 -3.05733204 -0.92316671],281.8949801979921,295.0882496641842
2,129.05979406867806,"[4.553114965667124, 0.7091291336951328, 0.6009282585800367, 1.427963362700348]",[1.16514369e+00 5.87984615e-01 9.39836057e-01 1.00000000e-04],[0.36599924 0.02580006 0.22065904 0.03519107],266.1195881373561,279.31285760354825
3,137.93629831835153,"[2.0701435979817395, 0.8042377761046702, 0.48251527627698343, 2.8845283533959725]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.40062117 0.39830076 0.40031284 0.40062117],283.87259663670307,297.0658661028952
4,132.80561140164352,"[0.16711083530911772, 0.28391380341636346, 0.8864172373366879, 3.146610441683981]",[0.25061442 0.49657348 0.9999     4.9999    ],[-0.87574392 -1.48817725  0.25517347 -2.19011242],273.61122280328703,286.80449226947917
5,114.90742126719944,"[3.9910577281895336, 0.31051122704934586, 0.7102751217769842, 0.45328415132444494]",[4.99990000e+00 1.08910125e-03 9.99900000e-01 1.00000000e-04],[0.2767133  0.26827189 0.27339299 0.26932449],237.81484253439888,251.008112000591
6,133.86518577797162,"[0.7272959082480168, 0.11222942203019713, 0.18001374699204817, 2.8275814049969727]",[0.17105462 0.50847851 0.81927658 4.9999    ],[ 0.35842171 -3.21414237  0.36450396 -1.93763804],275.73037155594324,288.92364102213537
7,137.93630553653793,"[2.2178102932659916, 0.2093285570193147, 0.8918747172117639, 3.86207344174706]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.68942014 0.68424743 0.68775194 0.68942014],283.87261107307586,297.065880539268
8,137.93631182885215,"[2.4759923122773952, 0.0409741266485165, 0.7172253890310344, 1.2534230484338478]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.84998897 0.85600038 0.85301375 0.85600038],283.8726236577043,297.06589312389644
9,130.40989621910424,"[1.9330282431478938, 0.18670328187866564, 0.15012010450443217, 1.3241449244547812]",[4.62531558e+00 1.00000000e-04 9.99900000e-01 4.99990000e+00],[0.58469493 0.58074876 0.58869964 0.58367987],268.8197924382085,282.0130619044006
10,103.29057027295809,"[1.110248711809101, 0.04514294698651735, 0.6028579763556284, 3.412532572475044]",[2.68717459e+00 2.44501602e-02 9.99900000e-01 1.00000000e-04],[0.19465249 0.18764934 0.29870456 0.17598478],214.58114054591618,227.77441001210832
11,96.67862892386825,"[4.384067424548735, 0.4197864628410581, 0.403628047150957, 2.833327797112481]",[0.79305569 0.28164477 0.98101656 4.9999    ],[-0.98248826 -2.1644008  -0.50339682 -1.1519317 ],201.3572578477365,214.55052731392863
12,123.77810527970892,"[4.906743357803727, 0.6807865548269005, 0.6823397117580663, 2.3727492122745413]",[4.9999000e+00 3.1324824e-04 9.9990000e-01 1.0000000e-04],[0.18877125 0.18296069 0.18303829 0.18247413],255.55621055941785,268.74948002561
13,116.20679798323262,"[0.127068672599291, 0.5125611842483344, 0.6570632206244162, 1.6806674092803044]",[4.99990000e+00 3.58994032e-04 4.82940405e-02 1.00000000e-04],[0.83654146 0.83806341 0.84532741 0.84136141],240.41359596646524,253.60686543265737
14,134.39053023234854,"[0.15005364873684335, 0.9899809817631645, 0.8142912658824243, 1.8320513091093686]",[0.09557581 0.98764734 0.9999     4.9999    ],[ 1.42383761 -5.04348329  0.26861802 -1.90803909],276.7810604646971,289.9743299308892
15,132.67868565371137,"[0.600052393291559, 0.4528287794408338, 0.1860603873664099, 1.3472019882542676]",[6.94976470e-01 6.49582596e-01 7.61852461e-02 1.00000000e-04],[0.63963409 0.57466348 0.67654469 0.21230732],273.35737130742274,286.5506407736149
16,137.93629755519686,"[4.012701175500037, 0.500156064333458, 0.7968175939381489, 1.5934400788828489]",[0.0001 0.0001 0.0001 0.0001],[0.9959181  0.99721162 0.99910848 0.99711189],283.8725951103937,297.06586457658585
17,130.3916207353713,"[3.7989004280045875, 0.7523759696501404, 0.2595697246419401, 2.600125723825983]",[4.93828979e-01 9.99900000e-01 9.99900000e-01 1.00000000e-04],[-1.14875713e-04  1.55017706e+00  9.67563064e-02 -5.50937082e-05],268.7832414707426,281.97651093693474
18,137.93629060362133,"[4.14978524132789, 0.04160100627200002, 0.09046273268923521, 0.8236055547682599]",[0.0001 0.0001 0.0001 0.0001],[0.99770502 0.99601006 0.99760462 0.9989022 ],283.87258120724266,297.0658506734348
19,137.91864197242742,"[3.3735766633688797, 0.6109258036262131, 0.012852666869384594, 1.3711562571689269]",[6.26794668e-02 7.13191164e-01 9.99900000e-01 1.00000000e-04],[0.27590374 0.06625706 0.10408379 0.00455898],283.83728394485485,297.030553411047
20,115.92060581127384,"[4.473416210172926, 0.4707996809032083, 0.6763967714208771, 0.015053444550961362]",[1.06433733 0.04624913 0.9999     4.9999    ],[-0.49568824 -0.81137732  0.20776494 -0.35709988],239.8412116225477,253.03448108873982
21,136.16978970142011,"[2.7347118344028862, 0.8558447513922213, 0.7419415381882907, 0.5062587374842076]",[7.04638234e-01 6.46211953e-02 9.99900000e-01 1.00000000e-04],[0.25762515 0.15520249 0.63939771 0.313698  ],280.33957940284023,293.53284886903236
22,137.62714729857183,"[4.106395396117239, 0.38243548704792185, 0.34629655604449017, 1.6472285849687858]",[1.52319980e-01 7.04825637e-01 1.00000000e-04 6.66801628e-03],[0.99450242 0.01697109 0.27057772 0.01218231],283.25429459714366,296.4475640633358
23,117.03775678697046,"[0.11749805824172278, 0.20065143278888337, 0.10983276290381055, 0.04996457035031269]",[5.10014914e-01 2.05456567e-01 1.00000000e-04 2.44123465e+00],[-0.00505805 -1.97522197 -0.0864065  -0.33590661],242.07551357394092,255.26878304013306
24,136.25046396450162,"[0.08769965290934585, 0.3205788880253574, 0.9375752373312108, 3.3815214430470037]",[0.14969241 0.18250128 0.03888522 4.05226844],[-1.11079189 -2.56749781 -0.55027029 -2.62685255],280.50092792900324,293.6941973951954
25,97.9950724679229,"[0.2631279197732281, 0.5571803533754673, 0.9269935662249705, 4.8317133765194225]",[1.08886469 0.05431561 0.97818901 4.9999    ],[-0.09615049 -1.3223945  -0.32353655 -0.69788508],203.9901449358458,217.18341440203793
26,89.6069063978824,"[0.8910392520070842, 0.17730630907710554, 0.5630641239075143, 0.3585544152449639]",[4.99990000e+00 1.10048757e-03 7.03267621e-01 1.00000000e-04],[0.26735631 0.25103764 0.26130735 0.25343942],187.2138127957648,200.40708226195693
27,88.26439493584839,"[1.3628496653265991, 0.2759081582632577, 0.5616234233373748, 0.5105754013544915]",[4.99990000e+00 5.16485094e-04 9.99900000e-01 1.00000000e-04],[0.02020763 0.00326292 0.00986913 0.00405194],184.52878987169677,197.7220593378889
28,129.18805051807507,"[4.195478475807187, 0.00974282444386938, 0.2472040695658406, 2.962100629879573]",[1.70001661 0.07027622 0.9999     0.28213798],[0.1747948  0.1224405  0.31691401 0.21600774],266.37610103615015,279.5693705023423
29,137.9362934582532,"[3.7101138209417575, 0.5827607763110341, 0.4186081002930391, 2.9148079410129544]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.65735237 0.65432216 0.6579846  0.6560372 ],283.8725869165064,297.06585638269854
30,118.04135707678081,"[3.5729182722406434, 0.8231627934837874, 0.8766995811548411, 1.299733868932752]",[4.55895451e-01 1.86642170e-02 1.00000000e-04 4.99990000e+00],[-1.82361192 -1.87741508 -2.21039047 -4.46002583],244.08271415356162,257.2759836197538
31,137.93629291920362,"[2.2883920759511427, 0.0895730099364522, 0.45429413126881163, 2.0426297050959286]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.36236815 0.36076644 0.36268472 0.36236815],283.87258583840725,297.0658553045994
32,123.5586155544506,"[1.2614753228805575, 0.17808355098944645, 0.9793400650983303, 0.9469368116526928]",[9.45070834e-01 1.16949759e-01 1.00000000e-04 8.37754260e-01],[ 0.29230735 -0.20694511  0.36365412 -0.23247667],255.1172311089012,268.31050057509333
33,118.9986180871318,"[0.2791935896552534, 0.431974390930591, 0.1459481832758509, 3.7517266882387177]",[6.32886033e-01 3.69030664e-02 1.00000000e-04 3.67201593e+00],[-1.27723041 -0.96776659 -0.92307687 -2.72801139],245.9972361742636,259.19050564045574
34,116.38990237834722,"[3.958563923493424, 0.09989750184476763, 0.3437045555063499, 3.2142064849955383]",[0.59165729 0.37355805 0.98339164 4.9999    ],[ 0.1437747  -2.08447087 -1.12336402 -1.43873004],240.77980475669443,253.97307422288657
