participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,137.4450085219904,"[0.11420699751954116, 0.4505424478254727, 0.5324942372340902, 2.068257057830287]",[0.04912007 0.9999     0.39654846 4.9999    ],[ 0.84108333  1.00763322 -3.69261405  0.42317476],282.8900170439808,296.0832865101729
2,131.0628543871418,"[4.8990947125452164, 0.3497412891248862, 0.9362696364542423, 0.34372334200715565]",[4.9999000e+00 4.2088015e-04 9.9990000e-01 1.0000000e-04],[0.35449394 0.35112542 0.35426243 0.35004168],270.1257087742836,283.31897824047576
3,137.93629167612175,"[1.1080557334575956, 0.09578680904615242, 0.6141371219944106, 4.2824193648744195]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.40062117 0.4001898  0.40171362 0.40062117],283.8725833522435,297.06585281843564
4,119.98113876893757,"[3.9618541518079753, 0.4628287365644501, 0.6294448653065726, 3.044258145705268]",[0.29152392 0.95879545 0.19048804 4.9999    ],[ 0.89279969  0.7924039   0.98114561 -3.56997792],247.96227753787514,261.1555470040673
5,105.89020232178241,"[3.0561400006507102, 0.1066021178891679, 0.09209194020693233, 1.252175269015439]",[4.99990000e+00 8.12765461e-04 9.99900000e-01 1.00000000e-04],[0.28508892 0.27320641 0.27636676 0.27261763],219.78040464356482,232.97367410975696
6,133.61558669336364,"[4.4970087597355795, 0.13310584238777132, 0.7247691970802621, 1.5518454327223408]",[0.62303457 0.15606482 0.42802438 2.05544075],[ 0.64734457 -0.09639567  0.69372658  0.35438511],275.2311733867273,288.4244428529194
7,137.93629193947197,"[4.997994791267361, 0.9404398811828775, 0.7266422149462768, 3.312280119742213]",[0.0001 0.0001 0.0001 0.0001],[0.99996281 0.99906646 0.99976295 0.99996281],283.87258387894394,297.0658533451361
8,123.8664823359423,"[2.4256388034332796, 0.8275574647130698, 0.18563249353185315, 2.264180712469846]",[2.50137268e-01 9.99900000e-01 1.00000000e-04 4.99990000e+00],[ 0.99986338  0.99998445 -4.99730027  0.99998445],255.7329646718846,268.9262341380767
9,130.280351888511,"[0.6538765759941358, 0.284239633063327, 0.3487493485742544, 3.8342188421211207]",[4.95593619e+00 1.00000000e-04 1.96071383e-01 4.99990000e+00],[0.8995938  0.89638498 0.90173088 0.89811757],268.560703777022,281.75397324321415
10,103.32310575022781,"[4.209011744537981, 0.1193322774677361, 0.09837108786152016, 0.8575919233646491]",[4.99990000e+00 4.28953839e-04 1.00000000e-04 4.99990000e+00],[0.99222367 0.98957663 0.99985114 0.98957411],214.64621150045562,227.83948096664776
