participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,135.44542072889254,"[2.0177020506252696, 0.806777921105485, 0.6478614749803386, 0.34785214654086194, 0.03593758213691938]","[5.53577530e-01 8.21638122e-01 1.00000000e-04 2.37815575e-01
 1.00000000e-04]","[np.float64(-0.011958669067823524), np.float64(-6.739109002523273e-05), np.float64(-0.23776544892595097), np.float64(7.793998624350292e-05)]",280.8908414577851,297.38242829052524
2,118.69809306108307,"[0.0680457695270456, 0.6043244600826, 0.6074657778182346, 1.249930073322168, 0.7194205566954021]","[1.96987385e-01 1.22836297e-02 1.00000000e-04 1.00000000e-04
 1.00000000e-04]","[np.float64(9.834811117799138), np.float64(4.309766480448653), np.float64(5.617854050208758), np.float64(0.519381418093964)]",247.39618612216614,263.8877729549063
3,89.90887401493667,"[0.31342366724094695, 0.13418310752854154, 0.5411437506709644, 1.847495926583612, 0.2988709700870978]","[1.36669478e+00 1.09197814e-01 9.99900000e-01 1.00000000e-04
 1.00000000e-04]","[np.float64(4.04894366130197e-05), np.float64(0.2700842482342308), np.float64(0.40123328160745675), np.float64(4.04894366130197e-05)]",189.81774802987334,206.30933486261353
4,128.7990594580737,"[1.1839174153481224, 0.645757298460027, 0.2969184591189819, 1.7203025285076048, 0.8971765038714612]",[1.3632206e-01 1.0000000e-04 9.9990000e-01 1.0000000e-04 1.0000000e-04],"[np.float64(8.326087047154966), np.float64(1.1384067016684698), np.float64(6.110052550421062), np.float64(1.5884814383621582)]",267.5981189161474,284.0897057488876
5,104.10690821750804,"[4.594331428549701, 0.8839448664221453, 0.349352714283066, 2.4521156684032066, 0.2880999799137919]","[1.06814517e+00 1.29205802e-01 6.81813869e-01 1.00000000e-04
 2.75227140e-01]","[np.float64(1.0404445648261893), np.float64(0.3087518038804305), np.float64(0.05820912425346483), np.float64(0.23499692863080524)]",218.21381643501607,234.70540326775625
6,133.13496437458338,"[2.5433184023035023, 0.8495295063272801, 0.23471335607421065, 4.969054522618295, 0.5688102974881913]",[0.15796779 0.58569193 0.38196875 4.9999     0.530064  ],"[np.float64(0.18318168797080378), np.float64(-4.439076865583142), np.float64(0.3036317509912272), np.float64(-1.633176401520844)]",276.26992874916675,292.7615155819069
7,85.88885684074573,"[3.3906643523885536, 0.7330547553482315, 0.6248637528084201, 4.0492037722461305, 0.9734717979229301]","[4.21424139e-01 5.07728385e-02 1.00000000e-04 1.00000000e-04
 1.00000000e-04]","[np.float64(0.0021276379461696057), np.float64(4.76559240938259), np.float64(3.1260929028372124), np.float64(0.0021276379461696057)]",181.77771368149146,198.26930051423165
9,128.9461902265764,"[0.8861680392064194, 0.1193034576869111, 0.36277675554393524, 1.0321269916040734, 0.9156600222203455]","[6.19266636e-01 2.64881452e-04 8.48385293e-02 6.84043072e-01
 9.19456022e-01]","[np.float64(0.2443804020333311), np.float64(-0.7363494377266238), np.float64(0.7256268303482803), np.float64(-0.11062494629432595)]",267.8923804531528,284.38396728589294
10,96.27817303259008,"[3.40909825084205, 0.3334996877318989, 0.5300103311228719, 1.2025222369043598, 0.9784818489643388]","[4.13102005e-01 3.21249929e-02 9.99900000e-01 1.04523505e+00
 1.00000000e-04]","[np.float64(-0.8834210341279323), np.float64(-0.2552363995925017), np.float64(2.2365856067518015), np.float64(-0.39871154699014966)]",202.55634606518015,219.04793289792033
11,88.64527847452754,"[3.7326329231069786, 0.8629167887938534, 0.739264230931434, 4.61123759286377, 0.4368732104360438]","[4.47085016e-01 8.94528293e-03 8.24608205e-02 5.26739994e-01
 1.00000000e-04]","[np.float64(2.2092056181367625), np.float64(-3.652990198494305), np.float64(3.0757316469478426), np.float64(0.998838942532997)]",187.2905569490551,203.78214378179527
