participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,135.431959758375,"[4.250625307684774, 0.551096872992039, 0.18292967190871096, 4.264975782886111, 0.19593707716691156]","[6.05281822e-01 9.99900000e-01 1.02761905e-04 2.66934645e+00
 1.00000000e-04]",[0. 0. 0. 0.],280.86391951675,297.35550634949016
2,116.06515381220898,"[2.5549365232023344, 0.4085297513607801, 0.4958817296740313, 4.847196699753625, 0.5758821643907033]","[3.84788778e+00 1.15613561e-03 1.00000000e-04 1.00000000e-04
 8.65508652e-01]",[0. 0. 0. 0.],242.13030762441795,258.62189445715813
3,70.26005358133888,"[1.3092094985302813, 0.413371744341753, 0.6089776209431288, 3.482520538644423, 0.9805128353069054]","[5.95260415e-01 6.55276366e-02 9.99892249e-01 1.00000000e-04
 1.00000000e-04]",[0. 0. 0. 0.],150.52010716267776,167.01169399541794
4,106.84381622371204,"[3.9258590237123934, 0.4274702059890464, 0.26273694968508504, 4.029121105227497, 0.2946080861428864]","[3.46160980e+00 2.13831710e-03 1.00000000e-04 1.00000000e-04
 9.99897339e-01]",[0. 0. 0. 0.],223.68763244742408,240.17921928016426
5,99.29807038921444,"[4.830836139900395, 0.1518788507291873, 0.3243538992085539, 3.62856003161677, 0.4410467387953987]","[9.76511184e-01 1.84140969e-01 6.83118525e-01 1.00000000e-04
 9.92685132e-02]",[0. 0. 0. 0.],208.5961407784289,225.08772761116907
6,133.1781790785509,"[1.3989244786509634, 0.8337428840475579, 0.01329996241491647, 2.0343175009161825, 0.7618239668657111]","[4.68895775e+00 1.04091849e-04 1.00000000e-04 4.99990000e+00
 7.17682881e-01]",[0. 0. 0. 0.],276.3563581571018,292.84794498984195
7,66.80796583626771,"[0.6920052844203752, 0.6064845055090223, 0.7132659210297002, 2.9592606898037466, 0.6003687991111395]",[4.9999     0.02480766 0.9999     4.9999     0.11044628],[0. 0. 0. 0.],143.61593167253542,160.1075185052756
9,129.17752164734682,"[0.23329686375989647, 0.43895644349781615, 0.5737315634355923, 4.654388961484558, 0.21391173543890452]","[6.15743544e-01 8.00122624e-01 9.99900000e-01 4.43392465e+00
 1.00000000e-04]",[0. 0. 0. 0.],268.35504329469364,284.84663012743385
10,96.15123693107637,"[4.889788805272845, 0.9340040217495044, 0.47406123924346233, 2.3131026870648013, 0.4356544168948986]","[1.74296796e+00 1.44709307e-02 1.00000000e-04 3.89120521e+00
 9.00811972e-01]",[0. 0. 0. 0.],202.30247386215274,218.79406069489292
11,95.44404344781715,"[1.83756818666075, 0.439322352008018, 0.7977891181191907, 1.7404319102556502, 0.5022804262196213]","[1.82537294e+00 1.42936858e-02 1.00000000e-04 2.39241858e+00
 9.99900000e-01]",[0. 0. 0. 0.],200.8880868956343,217.37967372837448
12,108.26296231689331,"[2.8167934898477776, 0.12706664614498445, 0.9915524521277287, 3.9647673880387355, 0.8521953345349995]","[3.47915472e+00 6.96442530e-04 1.00000000e-04 1.00000000e-04
 5.61167319e-01]",[0. 0. 0. 0.],226.52592463378662,243.0175114665268
13,119.70236746945415,"[1.047505045267019, 0.07081841320979675, 0.03801166897370171, 3.5535890806710984, 0.6425701849558888]","[7.53046134e-01 7.06146787e-02 1.00000000e-04 3.97995932e+00
 8.81572373e-01]",[0. 0. 0. 0.],249.4047349389083,265.89632177164845
14,134.35825916366124,"[4.011387810551904, 0.991599939888754, 0.45576054079250294, 3.5758774704845018, 0.8339478249427543]",[0.09714368 0.98087053 0.9999     4.9999     0.9999    ],[0. 0. 0. 0.],278.7165183273225,295.2081051600627
15,131.8658382208921,"[3.133592931161703, 0.5301668711451478, 0.3197641990482756, 3.740604189294364, 0.34554179000740737]","[4.78317099e-01 4.11705500e-01 7.96001804e-01 4.99537807e+00
 1.00000000e-04]",[0. 0. 0. 0.],273.7316764417842,290.22326327452436
16,92.97666679460967,"[1.6100231835528456, 0.5182468744430357, 0.015367518160028355, 4.802644117888562, 0.6560189695190018]","[1.20448674e+00 2.61404028e-01 3.27718598e-01 1.00000000e-04
 2.99089276e-02]",[0. 0. 0. 0.],195.95333358921934,212.44492042195952
17,129.08181212761,"[0.3635026555492772, 0.3036646658268617, 0.33267920450658783, 3.8910585171749266, 0.9084872575936559]",[5.4712193e-01 9.9990000e-01 9.9990000e-01 1.0000000e-04 9.9990000e-01],[0. 0. 0. 0.],268.16362425522,284.6552110879602
18,132.02315806192536,"[4.3113538077769125, 0.023723915093206344, 0.07418678431621635, 3.897097705389118, 0.9812484086074458]","[4.70791328e+00 2.71677835e-04 3.27370991e-01 1.64865769e+00
 6.68656822e-01]",[0. 0. 0. 0.],274.0463161238507,290.53790295659087
19,137.9026481478968,"[4.915611501448099, 0.24935663002406439, 0.30098393578447136, 0.4858023679035031, 0.6022354659455427]","[7.77524412e-03 9.36526741e-01 1.00000000e-04 4.99990000e+00
 9.99900000e-01]",[0. 0. 0. 0.],285.8052962957936,302.29688312853375
20,116.13712916288718,"[1.0264964607465081, 0.21328331795855823, 0.01291523516294464, 3.7539778090540534, 0.5384678511639653]","[8.89153215e-01 8.19023601e-01 1.41442357e-04 1.00000000e-04
 1.00000000e-04]",[0. 0. 0. 0.],242.27425832577435,258.76584515851454
21,136.97315299691275,"[2.7234084994130106, 0.11605671472066045, 0.9304254559163255, 4.50172640914334, 0.9282462980284935]","[2.03071110e-01 1.76975638e-02 1.00000000e-04 4.99990000e+00
 9.99900000e-01]",[0. 0. 0. 0.],283.9463059938255,300.43789282656564
22,137.6515070100707,"[2.8777658164700792, 0.6334645117285643, 0.6625854994186785, 2.468988216213825, 0.30307556994129736]","[2.64740671e-02 7.04816736e-01 1.00000000e-04 4.99990000e+00
 9.99900000e-01]",[0. 0. 0. 0.],285.3030140201414,301.79460085288156
