participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,137.74822781465588,"[0.2304282888538675, 0.9234825024847967]",[0.08435677 0.9999    ],[ 0.64635135  1.01936118 -0.46563527  0.11452034],279.49645562931175,286.09309036240785
2,133.248707359362,"[1.9268029405508413, 0.005196512255818104]",[4.99990000e+00 2.99361716e-04],[0.35312856 0.35010932 0.35302652 0.34982445],270.497414718724,277.09404945182007
3,137.9362943093035,"[1.3658400938721216, 0.23204524514976077]",[0.0001 0.0001],[0.40058452 0.39951457 0.40166124 0.40058452],279.872588618607,286.4692233517031
4,130.31639772045995,"[4.22263990780405, 0.5658212716522859]",[0.58126606 0.9999    ],[ 0.57448427  0.29154274  0.89659259 -0.22607573],264.6327954409199,271.229430174016
5,106.81428874245026,"[4.91915018634313, 0.6355932713704863]",[4.99990000e+00 7.69262649e-04],[0.28327999 0.27225503 0.27571742 0.27149987],217.62857748490052,224.22521221799659
6,134.0785124188198,"[4.035499775202687, 0.5576938959536224]",[0.72586357 0.15103918],[0.65647867 0.1015419  0.65389315 0.23666394],272.1570248376396,278.7536595707357
7,137.9362946094921,"[0.9030786386880316, 0.2249944431504255]",[0.0001 0.0001],[0.6893945  0.68714701 0.68982306 0.6893945 ],279.8725892189842,286.4692239520803
8,137.93629553435076,"[1.3861484157432087, 0.7040593070037718]",[0.0001 0.0001],[0.85432953 0.85598707 0.85546209 0.85598707],279.8725910687015,286.4692258017976
9,132.32514412128182,"[1.508054282882631, 0.9460468936227022]",[4.99990000e+00 2.10709742e-04],[0.59062887 0.58733396 0.5905379  0.58798263],268.65028824256365,275.24692297565974
10,111.08762127438848,"[0.7672539765743542, 0.05204929915447174]",[1.20956663 0.08345557],[0.48853757 0.1818063  0.77323711 0.08001109],226.17524254877696,232.77187728187303
11,92.83443238990871,"[4.786343329839675, 0.7808709474285863]",[1.94510661 0.06837189],[0.59286454 0.28621217 0.65968354 0.48070809],189.66886477981743,196.2654995129135
12,123.67807438532328,"[0.48292096779614774, 0.3888798681086163]",[4.99990000e+00 2.22890348e-04],[0.18907355 0.18316716 0.1831166  0.18281428],251.35614877064657,257.95278350374264
13,128.92981416866272,"[4.144051628799288, 0.8580916933933412]",[0.60201995 0.9999    ],[0.20487372 0.04377768 1.02985652 0.04861112],261.85962833732543,268.4562630704215
14,137.6401204656138,"[1.9225924989662067, 0.019927195425862902]",[0.18125773 0.51874828],[1.01396486 0.42253377 0.64692686 0.14990746],279.2802409312276,285.8768756643237
15,135.0397667444975,"[4.027939346548095, 0.3394030168437318]",[0.38366514 0.74082798],[ 0.24977585 -0.21617221  0.7334586  -0.4990372 ],274.079533488995,280.6761682220911
16,137.9362925163358,"[2.961627672646758, 0.8231282621570213]",[0.0001 0.0001],[1.0827834  1.08289955 1.08440955 1.08237186],279.8725850326716,286.4692197657677
17,135.7629970286617,"[3.37994854390572, 0.22917100045779276]",[0.29118621 0.9999    ],[-0.5475008   1.00284983  0.60123577  0.05855811],275.5259940573234,282.12262879041947
18,137.93628941214342,"[0.3234686636089134, 0.3662946239582106]",[0.0001 0.0001],[1.01683588 1.01514539 1.01666634 1.01701114],279.87257882428685,286.46921355738294
19,137.93628944231415,"[0.4126665615620026, 0.12234392936469501]",[0.0001 0.0001],[-0.30051383 -0.30169083 -0.30216988 -0.3034358 ],279.8725788846283,286.4692136177244
20,128.765926434134,"[1.4986859260076775, 0.03158358501436104]",[4.9999000e+00 4.9449298e-04],[0.54441052 0.54125735 0.54747799 0.54317964],261.531852868268,268.1284876013641
21,136.6117097390921,"[3.027306203511463, 0.06418752532108404]",[4.69041658e+00 1.00000000e-04],[1.15803061 1.1566512  1.15963661 1.15805901],277.2234194781842,283.8200542112803
22,137.7774265197342,"[4.666714700357162, 0.19204506583591444]",[0.13699753 0.47220977],[0.71120102 0.06618734 0.2627186  0.03824229],279.5548530394684,286.1514877725645
23,127.15640722215717,"[0.6540702854228545, 0.4011930751121441]",[0.76898564 0.37417648],[0.62697802 0.22498252 0.6804279  0.42423521],258.3128144443143,264.9094491774104
24,137.28056363579756,"[0.24696693090132593, 0.5988098145012981]",[0.42548038 0.13702442],[0.58449847 0.41054031 0.69347995 0.27990859],278.5611272715951,285.1577620046912
25,94.91762922187047,"[0.8012895354404924, 0.3102499681749543]",[4.99990000e+00 7.93892097e-04],[0.56644593 0.55232801 0.55955015 0.55581805],193.83525844374094,200.431893176837
26,93.00035961501665,"[0.9839549720359078, 0.0558878410492608]",[3.17951464 0.00561801],[0.27766595 0.15196668 0.21462484 0.15382771],190.0007192300333,196.59735396312936
27,88.21310609296926,"[1.3217253010514955, 0.06165478460671373]",[2.33725509 0.00983636],[ 0.15766097 -0.16137581 -0.02177827 -0.14248837],180.4262121859385,187.02284691903458
28,132.5094120098617,"[1.2387378341008948, 0.9274087079760517]",[1.0060553  0.08047394],[0.64038029 0.44907959 0.76257321 0.44368042],269.0188240197234,275.6154587528195
29,137.93629279778807,"[0.5192204718572153, 0.07570456811709968]",[0.0001 0.0001],[0.65839205 0.6563509  0.65835076 0.65682561],279.87258559557614,286.46922032867224
30,128.5669469860682,"[4.052061202103983, 0.44412108213232004]",[0.48696958 0.9999    ],[ 1.58075738 -0.05850449  0.32955804  0.21514827],261.1338939721364,267.7305287052325
31,120.45721376854857,"[4.207719360963222, 0.002366161027886328]",[2.39759451 0.01043451],[0.36233136 0.35685859 0.50097357 0.36233136],244.91442753709714,251.5110622701932
32,126.74783866157499,"[3.046348402487731, 0.7088731912136699]",[1.54375948 0.070412  ],[0.75398177 0.59142854 0.7371613  0.6505486 ],257.49567732314995,264.09231205624604
33,126.28456658349539,"[3.290136637579066, 0.5065052148168104]",[2.73012422 0.0027908 ],[-0.19008431 -0.15825179 -0.16875234 -0.24511716],256.5691331669908,263.16576790008685
34,113.32449596987149,"[0.6490755633470914, 0.567202986525106]",[1.19117577 0.44896922],[0.9687804  0.14261318 0.51591269 0.25109731],230.64899193974298,237.24562667283905
35,137.92374264664465,"[4.6423487119290625, 0.27226992819217033]",[0.15819154 0.01610553],[0.45699965 0.32013334 0.52836469 0.29336988],279.8474852932893,286.4441200263854
36,122.03068771052966,"[1.7910820259968019, 0.481240627722195]",[4.99990000e+00 4.96732018e-04],[0.11558872 0.11851488 0.11563061 0.11047815],248.06137542105932,254.6580101541554
37,122.72944458906345,"[0.1203112957930738, 0.47558220362139336]",[0.76311797 0.46865787],[ 0.4067074   0.27732868  1.0000937  -0.20377394],249.4588891781269,256.05552391122296
38,136.4411081442827,"[1.2790505305815265, 0.1831191210022114]",[4.99990000e+00 1.38166689e-04],[0.54136206 0.53982536 0.54201871 0.54023723],276.8822162885654,283.4788510216615
39,137.9145982414692,"[4.985654892348987, 0.22918665514987624]",[0.03795321 0.9999    ],[0.83482308 0.85656807 0.14945689 0.49344963],279.8291964829384,286.4258312160345
40,110.19566077655436,"[4.414602622068765, 0.9229101139334577]",[0.91014494 0.9999    ],[ 0.88390816  0.07385156 -0.16336337 -0.01426323],224.39132155310872,230.9879562862048
41,116.8572349962549,"[0.19561503945074638, 0.3119451258171632]",[4.99990000e+00 5.98396678e-04],[0.72764092 0.72383566 0.73373108 0.72633174],237.7144699925098,244.31110472560587
42,123.75501801076365,"[3.1711258571628775, 0.4705402222412875]",[0.96455438 0.30706358],[0.99213438 0.27260621 0.50720572 0.07023984],251.5100360215273,258.1066707546234
43,91.50692790847104,"[2.974463575324767, 0.3106321676885518]",[1.36297565 0.9999    ],[0.44975472 0.49399221 0.64322389 0.29170714],187.01385581694208,193.61049055003815
44,131.9424470536906,"[0.685349922163112, 0.9338971041762818]",[0.53732104 0.9999    ],[0.13823612 0.43407569 0.92600233 0.40411275],267.8848941073812,274.48152884047727
45,133.7004197438514,"[1.569274789726095, 0.8900292576356427]",[4.99990000e+00 2.12082165e-04],[0.28800699 0.28466006 0.28707856 0.2846541 ],271.4008394877028,277.9974742207989
46,136.20676879291784,"[2.111500033029884, 0.5309490504707891]",[0.55709598 0.20159876],[0.68200461 0.22180709 0.57930049 0.28163255],276.4135375858357,283.0101723189318
47,123.27662666474927,"[2.3476322596268084, 0.937040005137812]",[0.93818063 0.27103653],[0.40791737 0.16150231 0.86883231 0.27699435],250.55325332949855,257.14988806259464
48,73.11016801390437,"[3.1481006054026834, 0.971751772512213]",[1.9088239  0.35815789],[0.50059061 0.58397478 0.7986225  0.24872367],150.22033602780874,156.8169707609048
49,119.71911108276133,"[1.396624521414655, 0.686180025431103]",[4.99990000e+00 5.40707541e-04],[0.58569585 0.58246989 0.58372563 0.57770025],243.43822216552266,250.03485689861873
50,137.38457713737571,"[1.0919152870972941, 0.9681658383125408]",[4.99990000e+00 1.40538224e-04],[0.28545423 0.28546794 0.28568091 0.28439118],278.76915427475143,285.3657890078475
51,135.6234596328049,"[0.2877076384965855, 0.3074588072587194]",[0.39586931 0.9999    ],[0.35596467 0.44858027 0.31913149 0.85714428],275.2469192656098,281.8435539987059
52,132.55245199422663,"[0.32260039912121097, 0.3624936821058029]",[0.83467763 0.04351692],[0.53350236 0.0522047  0.29350379 0.10890456],269.10490398845326,275.70153872154935
53,137.50422684942114,"[3.812976470690487, 0.7084035804612956]",[0.17597729 0.9999    ],[ 0.73192436  0.72947745  0.68812744 -0.2581691 ],279.0084536988423,285.6050884319384
54,137.46314491138975,"[4.296932705072256, 0.5906827728641348]",[0.18644766 0.9999    ],[5.54344879e-01 7.20058518e-01 1.02848588e+00 2.78706547e-05],278.9262898227795,285.5229245558756
55,125.10995722480378,"[4.81317667610797, 0.22034917501733123]",[4.99990000e+00 5.27560214e-04],[0.85261168 0.84644589 0.8528927  0.84912676],254.21991444960756,260.8165491827036
56,137.05495067923695,"[2.9145028309980137, 0.6942775715448192]",[4.99990000e+00 1.79903618e-04],[0.51959322 0.51920492 0.52074015 0.51899697],278.1099013584739,284.70653609157
57,137.93628945995047,"[3.6089387707529923, 0.25863486875632274]",[0.0001 0.0001],[0.54754549 0.54607054 0.54751437 0.54620438],279.87257891990095,286.46921365299704
58,127.97942184095697,"[0.23294064197309045, 0.10338613167572203]",[0.85618039 0.25927584],[0.82815602 0.39780951 0.59407777 0.17013088],259.95884368191395,266.55547841501004
59,107.60409053507186,"[4.818649448598657, 0.4404536201123311]",[0.89958295 0.81202965],[ 0.55270194  0.26245     0.93476169 -0.42775087],219.20818107014372,225.8048158032398
60,111.20533782950778,"[1.8460845286098566, 0.009806234146113557]",[2.17071112 0.01704945],[0.54355783 0.29471223 0.43393133 0.3550036 ],226.41067565901557,233.00731039211163
61,131.03497798230828,"[4.448354035876448, 0.5122092837178469]",[0.48388494 0.9999    ],[0.50069282 0.25844715 1.47662652 0.75916342],266.06995596461655,272.66659069771265
62,120.07746446782176,"[3.2074601295589664, 0.0023533745143525463]",[4.99990000e+00 5.02532108e-04],[0.52409872 0.51656597 0.52008213 0.51593043],244.1549289356435,250.75156366873958
63,124.85139471118607,"[0.6848344551406566, 0.7932087849412162]",[4.99990000e+00 5.82946039e-04],[0.72387842 0.71929413 0.72357927 0.71987303],253.70278942237215,260.2994241554682
64,128.88768791838643,"[1.0003891634765656, 0.04500193445931371]",[1.77126211 0.01496121],[0.4730528  0.30648483 0.40857781 0.25170846],261.77537583677287,268.37201056986896
65,131.81979018111937,"[3.804320670446134, 0.6983847209977556]",[0.60793362 0.9999    ],[0.66801002 0.72987562 1.00389582 0.728789  ],267.63958036223875,274.23621509533484
66,133.92260892081597,"[1.7156530754405972, 0.24082432457820874]",[4.99990000e+00 2.56327159e-04],[0.20749664 0.20465451 0.20553759 0.20473336],271.84521784163195,278.44185257472805
67,129.90886880171112,"[3.495745433250547, 0.38904292935596513]",[0.6217537 0.9999   ],[1.03507089 0.09582135 0.78712246 0.70589694],263.81773760342224,270.41437233651834
68,137.7333870094614,"[4.7651726009882855, 0.8163826791697391]",[0.13083619 0.9999    ],[ 0.59836606  0.36263326  0.37994076 -0.10361364],279.4667740189228,286.0634087520189
69,112.03010192423262,"[3.189347760833673, 0.44057821520992513]",[4.99990000e+00 1.83938277e-03],[0.61741109 0.61036964 0.61748515 0.60832133],228.06020384846525,234.65683858156132
70,106.69995064666969,"[4.747005379229041, 0.9091413253112423]",[1.10747751 0.08449503],[0.8044824  0.08493259 0.74437146 0.06690038],217.39990129333938,223.99653602643545
71,137.93629162458413,"[4.846933330092258, 0.17362535208435972]",[0.0001 0.0001],[0.69178367 0.69060933 0.69211903 0.69058747],279.87258324916826,286.46921798226435
72,101.6395100325608,"[0.14645192957679526, 0.03875781831712121]",[1.22460871 0.40314843],[ 0.79224623  0.21044366  0.68943214 -0.19875054],207.2790200651216,213.87565479821768
73,128.51951488835599,"[4.698824175417603, 0.8674524743965163]",[0.54782679 0.72813065],[ 1.18031815 -0.49673419  0.39412191 -0.47579789],261.03902977671197,267.63566450980807
74,137.93628976944714,"[2.4300996332261215, 0.09124284757405941]",[0.0001 0.0001],[-0.26837961 -0.26929028 -0.26953035 -0.2711561 ],279.8725795388943,286.4692142719904
75,133.02485834491537,"[2.377492470950601, 0.5395807954272169]",[4.99990000e+00 2.02317931e-04],[0.81105691 0.80837952 0.81258131 0.81013315],270.04971668983075,276.64635142292684
76,137.93629147085417,"[0.2565436981577863, 0.4229349541679335]",[0.0001 0.0001],[0.87888404 0.87572538 0.87863408 0.87813611],279.87258294170834,286.46921767480444
77,128.99555661998735,"[0.49870597401004046, 0.9650725067995143]",[0.76805769 0.22808621],[ 1.07375331  0.46181779  0.81796549 -0.02255462],261.9911132399747,268.5877479730708
78,135.2309275769494,"[4.786209027851428, 0.17785063857718886]",[0.47409758 0.69583978],[0.71970467 0.02779272 0.60076329 0.66612634],274.4618551538988,281.0584898869949
79,136.79309006067515,"[2.860621259923552, 0.25182116949971517]",[1.12379771 0.00970957],[0.94997486 0.86225406 1.03880637 0.94130925],277.5861801213503,284.1828148544464
80,137.93629151131324,"[1.969317116108641, 0.5575757096479]",[0.0001 0.0001],[0.05434549 0.05353494 0.05362991 0.05265061],279.8725830226265,286.4692177557226
81,88.17286678755177,"[0.6797811216397119, 0.3472347686189093]",[2.03491485 0.18730627],[0.67504725 0.53557263 0.80406567 0.380718  ],180.34573357510354,186.9423683081996
82,137.93629106683673,"[0.4017908600929172, 0.7901000359050763]",[0.0001 0.0001],[-0.04693148 -0.04692502 -0.04747262 -0.04837916],279.87258213367346,286.46921686676956
83,120.45258190201001,"[4.177860918173155, 0.06505852571580648]",[4.99990000e+00 2.77546721e-04],[-0.11490674 -0.12076869 -0.1205751  -0.12379568],244.90516380402002,251.5017985371161
84,137.93628955844534,"[0.4083107384235153, 0.6636110477201772]",[0.0001 0.0001],[0.65378375 0.65304489 0.65411645 0.65315644],279.8725791168907,286.4692138499868
85,123.07821281931625,"[1.5021009487166164, 0.3135168304462699]",[4.99990000e+00 4.05803804e-04],[0.28644575 0.28074096 0.28146841 0.27868899],250.1564256386325,256.75306037172857
86,131.67408308435486,"[0.21262241594291698, 0.45975303771421056]",[0.43469486 0.27738648],[0.76233873 0.04864422 0.7712366  1.53780616],267.3481661687097,273.9448009018058
87,94.76984372776893,"[2.2746822201646637, 0.06536284601219139]",[1.54782041 0.08700736],[0.60299023 0.26601087 0.88393657 0.26601087],193.53968745553786,200.13632218863393
88,108.76567703294658,"[3.739596120459809, 0.7845211127240312]",[4.99990000e+00 1.96612144e-04],[-0.26951431 -0.28040149 -0.27898436 -0.27841018],221.53135406589317,228.12798879898924
89,104.39031835353848,"[1.727219895773934, 0.8960575740429347]",[1.12859507 0.35520839],[ 0.88443938  0.47455609  0.76918861 -0.03929831],212.78063670707695,219.37727144017302
90,137.8561255891027,"[3.539856999983009, 0.17509260167750149]",[4.22576256e+00 1.00000000e-04],[-0.10696774 -0.10758367 -0.10748744 -0.10827705],279.7122511782054,286.3088859113015
91,88.77246115181606,"[1.611131535086807, 0.8293684890638933]",[2.15128628 0.09206113],[0.10307829 0.1584665  0.09734844 0.24311941],181.54492230363212,188.1415570367282
92,134.9849844348458,"[1.1812978683864417, 0.4035509208429291]",[2.44495258 0.00253905],[-0.32399302 -0.32852514 -0.37569042 -0.35199297],273.9699688696916,280.5666036027877
93,133.08458034669482,"[3.693557505981076, 0.9167427590060552]",[0.67179517 0.31769834],[0.6626795  0.26919948 0.74509605 0.44178993],270.16916069338964,276.76579542648574
94,137.3086774156129,"[4.668543878951128, 0.49863685694372756]",[0.2817113  0.49356603],[0.80308891 0.46944101 0.90253238 0.50214755],278.6173548312258,285.2139895643219
