participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,EV,best_nll,AIC,BIC
1,"[4.644572670359643, 0.9635822484005698, 0.048471109430511625]",[0.07785469 0.9999     0.04847111],[ 0.64635134  1.01936118 -0.46563529  0.11452034],[9.9999999e-01 9.9999999e-09 9.9990000e-17 9.9990000e-21],[0.5 0.5 0.5 0.5],138.52679930757336,283.0535986151467,292.9485507147908
2,"[0.6099209126048689, 0.08655820016147213, 0.7353927422617811]",[8.46969296e-01 4.33713287e-01 1.00000000e-04],[0.56984078 0.06263329 0.82098139 0.22327609],[9.40427565e-01 5.43617527e-03 5.41362592e-02 7.52935827e-13],[0.5 0.5 0.5 0.5],124.08948061362466,254.17896122724932,264.07391332689343
3,"[1.8243511618739223, 0.7064579179840199, 0.6004069602055606]",[2.05456306 0.22216553 0.9999    ],[0.5        0.0479167  0.50332966 0.5       ],[1.72729918e-13 8.94684756e-01 1.05315244e-01 1.72729918e-13],[0.5 0.5 0.5 0.5],51.64523897710468,109.29047795420936,119.18543005385348
4,"[2.1560088327737996, 0.028272509312703236, 0.110710504228923]",[1.76165232e+00 1.00000000e-04 9.94536257e-01],[0.50099607 0.49943351 0.50084794 0.49983971],[0.46480797 0.1546985  0.33829277 0.04220076],[0.5 0.5 0.5 0.5],122.86370384744286,251.72740769488573,261.6223597945298
5,"[1.648768673719011, 0.7202900513306807, 0.17615217771361094]",[9.83452134e-01 9.99900000e-01 1.00000000e-04],[1.08633975 1.27465033 0.610954   0.60916987],[9.9990001e-01 9.9990001e-17 9.9990001e-21 9.9990001e-05],[0.5 0.5 0.5 0.5],108.25945575798262,222.51891151596524,232.41386361560936
6,"[0.043613560594915626, 0.14745455059730744, 0.43246319826468155]",[1.22283239 0.02512036 0.40022504],[0.58142318 0.36221119 0.58205819 0.44156701],[0.51983896 0.15892681 0.27478897 0.04644526],[0.5 0.5 0.5 0.5],135.0534438203961,276.1068876407922,286.0018397404363
7,"[2.29484390286191, 0.06250338474014436, 0.7764080302710867]",[1.69921587 0.07874042 0.67642064],[0.5        0.44556922 0.63082934 0.5       ],[1.22511282e-05 7.41218356e-01 2.58757142e-01 1.22511282e-05],[0.5 0.5 0.5 0.5],76.74194288292087,159.48388576584173,169.37883786548585
8,"[2.9471080709352013, 0.09894924148914494, 0.04717649185265974]",[1.62180405 0.00664364 0.9999    ],[0.56114647 0.5        0.55240677 0.5       ],[0.5931329  0.00862043 0.38962623 0.00862043],[0.5 0.5 0.5 0.5],76.32558377500783,158.65116755001566,168.54611964965977
9,"[1.9213912496450203, 0.752364461831859, 0.36863328487539454]",[4.99990000e+00 1.84987407e-04 1.00000000e-04],[0.50138522 0.49832609 0.50085878 0.49868121],[0.44395209 0.22295684 0.22202288 0.11106819],[0.5 0.5 0.5 0.5],133.9222498813478,273.8444997626956,283.7394518623397
10,"[4.575391283344119, 0.2821872244882921, 0.6551198379430843]",[1.69285164e+00 2.89595081e-02 1.00000000e-04],[0.55657516 0.40758798 0.68771087 0.36876144],[0.50115243 0.05433935 0.44011904 0.00438919],[0.5 0.5 0.5 0.5],111.94640723930664,229.89281447861327,239.7877665782574
11,"[1.8255896175640307, 0.6729629644565004, 0.8094949124084667]",[2.18239240e+00 4.30213428e-02 1.00000000e-04],[0.61063901 0.35314854 0.63290451 0.50082638],[0.53628281 0.00468621 0.21261381 0.24641718],[0.5 0.5 0.5 0.5],93.25645842652361,192.51291685304722,202.40786895269133
12,"[2.8707411527961906, 0.06963883489443705, 0.8942621530477634]",[4.12150122e+00 1.00000000e-04 9.89547717e-01],[0.50107579 0.49949091 0.50003834 0.49895208],[0.72233273 0.11106783 0.0554532  0.11114624],[0.5 0.5 0.5 0.5],117.18353574939098,240.36707149878197,250.26202359842608
13,"[0.6724138171923035, 0.5695235827138916, 0.951469791219934]",[0.59374745 0.78202818 0.92084812],[ 0.24551555  0.03799844  0.96937506 -0.02020723],[1.85868055e-01 9.70206988e-11 8.14126892e-01 5.05225776e-06],[0.5 0.5 0.5 0.5],129.92160363534342,265.84320727068683,275.73815937033095
14,"[3.1761936061160956, 0.7365374941022073, 0.30202610698989807]",[2.41825255e-01 4.19338926e-01 1.00000000e-04],[0.93564105 0.43307737 0.63296775 0.17218715],[2.55080799e-01 5.08671587e-02 6.94044564e-01 7.47882600e-06],[0.5 0.5 0.5 0.5],138.2203861211563,282.4407722423126,292.33572434195673
15,"[0.8690043053919554, 0.5006198744591712, 0.35126388193264485]",[0.62224846 0.25144581 0.9999    ],[ 0.38363666  0.19012686  0.84001096 -0.00316377],[0.00492809 0.31374732 0.6115695  0.0697551 ],[0.5 0.5 0.5 0.5],133.8141992960285,273.628398592057,283.5233506917011
16,"[4.680904326205836, 0.37612519364935926, 0.35406999713307313]",[1.39748317e+00 7.83726640e-01 1.00000000e-04],[0.53264268 0.146237   1.07670561 0.23258182],[9.99999990e-01 4.95386165e-14 9.99722627e-11 9.88257152e-09],[0.5 0.5 0.5 0.5],78.29536385595546,162.59072771191092,172.48567981155503
17,"[4.728523463196731, 0.7044321410644104, 0.3470119732469082]",[6.13321847e-01 9.65144921e-01 1.00000000e-04],[-0.50116482  0.98499076  0.61294611  0.06733947],[1.21365327e-03 9.98744040e-01 4.23071579e-05 2.01155832e-28],[0.5 0.5 0.5 0.5],127.62483264656959,261.2496652931392,271.1446173927833
18,"[1.163276580530013, 0.8282117972052991, 0.8219875439472987]",[1.37649736e+00 1.09509818e-04 9.91192691e-01],[0.50102288 0.49951106 0.50038524 0.49974416],[0.3799852  0.26788245 0.2816539  0.07047844],[0.5 0.5 0.5 0.5],135.34236685455525,276.6847337091105,286.5796858087546
19,"[0.8336956438655794, 0.5300782258866968, 0.16661127474364876]",[0.0001     0.0001     0.00010002],[0.50052679 0.4993499  0.50047467 0.49920888],[0.43538495 0.24201252 0.27429296 0.04830956],[0.5 0.5 0.5 0.5],138.62943635845565,283.2588727169113,293.1538248165554
20,"[3.6773514816681923, 0.9117632102480181, 0.9333163052009731]",[0.81451098 0.68487063 0.93352465],[ 0.32609026  0.78600236  0.82711359 -0.01883597],[8.14930263e-05 2.54898304e-02 9.74428677e-01 2.00346347e-23],[0.5 0.5 0.5 0.5],119.43704270610141,244.87408541220282,254.76903751184693
21,"[2.1430492958381206, 0.8519053073061947, 0.7407500504192857]",[4.73537357e+00 1.00000000e-04 1.00000000e-04],[0.50064416 0.49913339 0.5007362  0.49942227],[0.47702229 0.13820035 0.26162288 0.12315448],[0.5 0.5 0.5 0.5],137.92605481037447,281.85210962074893,291.74706172039305
22,"[3.364516007806014, 0.42141425746592637, 0.5426612966859662]",[1.07757721e-04 2.64879445e-01 1.00000000e-04],[0.80917789 0.19505896 0.44418904 0.1808324 ],[0.62408627 0.28254319 0.09268672 0.00068382],[0.5 0.5 0.5 0.5],138.62942118240312,283.25884236480624,293.15379446445036
23,"[1.133536071165679, 0.7285775093870764, 0.25798945941224904]",[1.32376532 0.13743232 0.99194569],[0.71512528 0.19086999 0.69077261 0.28717041],[0.51762867 0.01472292 0.19094627 0.27670214],[0.5 0.5 0.5 0.5],114.1177888420502,234.2355776841004,244.13052978374452
24,"[3.8183503070530387, 0.008951366949282705, 0.00040318904783861835]",[0.54412387 0.10741183 0.00126926],[0.5914772  0.40878034 0.73687579 0.31826825],[0.39457535 0.31312969 0.28597611 0.00631885],[0.5 0.5 0.5 0.5],137.08475343814467,280.16950687628935,290.06445897593346
25,"[4.378061931143217, 0.6372077781080194, 0.8784559786178827]",[4.75609965e+00 5.11237852e-04 9.63244710e-01],[0.50626618 0.49605272 0.50083471 0.49806868],[0.6428639  0.04404107 0.23872834 0.07436669],[0.5 0.5 0.5 0.5],94.74905302501263,195.49810605002526,205.39305814966937
26,"[3.8758484198253957, 0.07684444834231448, 0.7990866769824121]",[4.99990000e+00 7.95076192e-04 1.00000000e-04],[0.50706841 0.49351088 0.5037125  0.49746371],[0.52601758 0.08987881 0.30937251 0.0747311 ],[0.5 0.5 0.5 0.5],93.56274978039079,193.12549956078158,203.0204516604257
27,"[3.346602007809912, 0.4373220635169997, 0.3953484030592613]",[4.99990000e+00 1.10186242e-03 7.46870180e-01],[0.50868013 0.4974168  0.50785607 0.50043433],[0.54919927 0.09182425 0.26691066 0.09206583],[0.5 0.5 0.5 0.5],90.88000386039721,187.76000772079442,197.65495982043853
28,"[0.9685226690663663, 0.9101956809800308, 0.21974295929288362]",[9.54713318e-01 7.40376042e-02 1.00000000e-04],[0.64379697 0.4371436  0.73885179 0.40467641],[0.30133095 0.23660396 0.31640764 0.14565745],[0.5 0.5 0.5 0.5],134.01348060469175,274.0269612093835,283.9219133090276
29,"[2.4901456096204675, 0.13891021246883017, 0.007972468878029675]",[2.76542819e+00 1.00000000e-04 9.65030846e-01],[0.50061251 0.4992643  0.50038177 0.49929848],[0.27002794 0.4284454  0.11121858 0.19030807],[0.5 0.5 0.5 0.5],130.8241217031846,267.6482434063692,277.5431955060133
