participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,273.7002886050568,"[4.571242367689692, 0.8069852681824646, 0.09428857356198853, 1.3957186748078594]",[3.63494663e-01 9.86439149e-01 1.00389621e-04 4.99990000e+00],"[np.float64(0.0028964558176217342), np.float64(6.852629623060232e-09), np.float64(0.20000626602501387), np.float64(2.411275791985024e-34)]",555.4005772101136,571.3664353985456
2,264.74292067375643,"[4.064406633630126, 0.3225986514576477, 0.14441272553837275, 0.3154147568406923]",[3.27118965e-02 1.00000000e-04 1.00000000e-04 9.04704127e-01],"[np.float64(50.901139191189664), np.float64(37.14485344066617), np.float64(26.626546373366118), np.float64(18.462838843377497)]",537.4858413475129,553.4516995359448
3,188.86236046241856,"[2.883828316576556, 0.10629257323824402, 0.8276255496071571, 2.704354514281834]",[0.49790404 0.0891127  0.9999     1.83400737],"[np.float64(6.0121121804527265e-06), np.float64(2.268874052469198), np.float64(1.5073529525059568), np.float64(6.0121121804527265e-06)]",385.72472092483713,401.69057911326905
4,250.16135848921127,"[1.5933473188374658, 0.1355807995853916, 0.38990425613380675, 4.49277509725167]",[6.56779719e-02 1.00000000e-04 1.00000000e-04 1.01711268e+00],"[np.float64(49.08244683740787), np.float64(31.261168997344953), np.float64(29.529372997364653), np.float64(10.784925598523234)]",508.32271697842253,524.2885751668545
5,229.1882859562255,"[4.26407624654667, 0.715696014773129, 0.03858001884104217, 2.3369898207383657]",[0.85941493 0.35870984 0.7924501  1.31396912],"[np.float64(0.9837209153105748), np.float64(0.1314742911261039), np.float64(0.14106993614899957), np.float64(0.3057104307119645)]",466.376571912451,482.34243010088295
6,273.57324944425983,"[4.557992121309913, 0.5953327881740998, 0.4271030615038731, 0.6124660875066851]",[0.04070711 0.01150902 0.05604473 4.66709964],"[np.float64(12.970058310745497), np.float64(6.464963202256957), np.float64(7.511665802831239), np.float64(3.0841585587182205)]",555.1464988885197,571.1123570769516
7,172.15638776707516,"[0.3491513476246639, 0.009933003271554856, 0.04383269341624536, 1.5678324236951655]",[0.26987643 0.0492849  0.9999     0.687082  ],"[np.float64(0.0016845369120105664), np.float64(7.937668396359719), np.float64(4.03856713719515), np.float64(0.0016845369120105664)]",352.3127755341503,368.27863372258224
8,162.56950645334254,"[1.1910538206948593, 0.27683213799894807, 0.5416751155683329, 2.4802953566228214]",[1.00000000e-04 2.32612568e-02 9.99900000e-01 1.97396474e-04],"[np.float64(31309.836375090068), np.float64(0.05201221055654003), np.float64(9501.743359823882), np.float64(0.05201221055654003)]",333.1390129066851,349.104871095117
9,250.31563711770488,"[1.8392536428617579, 0.20687401531640331, 0.9452166437911319, 4.143944042879128]",[5.87063284e-01 4.03416130e-01 1.00000000e-04 1.68836005e+00],"[np.float64(1.5546047308056163), np.float64(0.031148050123617276), np.float64(0.35371414452200745), np.float64(0.14509016915237777)]",508.63127423540976,524.5971324238417
10,225.45115342847308,"[1.023063616167452, 0.4586775629302027, 0.38327886960159163, 2.6201240779965858]",[0.4268661  0.08955078 0.9999     4.9999    ],"[np.float64(1.6655455138450608), np.float64(0.6957936095576608), np.float64(2.1016450491137646), np.float64(0.0012297471019198324)]",458.90230685694615,474.8681650453781
11,227.51092309851356,"[2.997138819172748, 0.4196873481143133, 0.45054850320424716, 1.0929277157478061]",[0.10019559 0.00694352 0.65605416 4.9999    ],"[np.float64(23.606323514657113), np.float64(2.1807424889675873), np.float64(11.952976969206132), np.float64(6.445587317281022)]",463.0218461970271,478.98770438545904
12,243.21581783081248,"[0.3109917645239361, 0.6308938456360281, 0.11293795362195284, 4.1165041354854]",[0.06243702 0.00217301 0.9892972  0.21554657],"[np.float64(40.583052329446), np.float64(20.00113967411088), np.float64(2.461061691402558), np.float64(30.238599463931397)]",494.43163566162497,510.3974938500569
13,253.65212668106454,"[4.595773235123789, 0.09372749720253105, 0.24783917145464845, 2.4827872484218347]",[0.30913517 0.09371115 0.88598436 4.9999    ],"[np.float64(1.3275249512513374), np.float64(0.5397394629830373), np.float64(0.980717894231922), np.float64(0.6340426361603747)]",515.3042533621291,531.2701115505611
