participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,274.21983428156284,"[3.8094670029351545, 0.35067741203364305]",[2.95036425 0.97920584],552.4396685631257,560.4225976573416
2,265.33152755278775,"[4.300308636480472, 0.05488348218999178]",[0.03439798 0.0001    ],534.6630551055755,542.6459841997914
3,189.39044247064135,"[0.5735852222110429, 0.9890078125168856]",[0.40827036 0.06513259],382.7808849412827,390.7638140354987
4,245.98194323383774,"[2.7998136384570578, 0.024195412150335795]",[0.072511 0.0001  ],495.9638864676755,503.94681556189147
5,236.1748888336098,"[1.479724537500793, 0.737143465356051]",[1.77592231 0.65970909],476.3497776672196,484.3327067614356
6,274.1938791133054,"[0.183957083242002, 0.1386435629481569]",[0.06931654 0.04159084],552.3877582266108,560.3706873208267
7,168.96962032394202,"[2.9720154520427498, 0.16095049340664325]",[0.3368105  0.04161889],341.93924064788405,349.92216974210004
8,170.06378993815846,"[0.3911997320931454, 0.8625581002153371]",[0.26995901 0.04097301],344.12757987631693,352.1105089705329
9,257.95742346668635,"[0.34070694079787434, 0.9695754580329946]",[0.80316888 0.39101584],519.9148469333727,527.8977760275886
10,218.8455719697957,"[1.8525589833242389, 0.30610622222375683]",[0.43574637 0.08631978],441.6911439395914,449.6740730338074
11,229.19774333539752,"[1.4034993549272354, 0.7444308384347723]",[0.17394777 0.03214746],462.39548667079504,470.378415765011
12,254.61572432281636,"[2.992320181311722, 0.0007331169582173394]",[0.03949433 0.00030694],513.2314486456328,521.2143777398487
13,249.25207450095957,"[0.27325782348659644, 0.6344768486826182]",[0.31090165 0.07941163],502.50414900191913,510.4870780961351
14,270.6640384362778,"[4.269034227064418, 0.16029350159720623]",[0.07672957 0.02365894],545.3280768725556,553.3110059667715
15,270.9652320200113,"[0.3425174871550692, 0.2934570344118564]",[0.81230353 0.55514584],545.9304640400226,553.9133931342385
16,233.70358438051517,"[0.6379414045545605, 0.4913871232292416]",[0.73390428 0.20567491],471.40716876103033,479.3900978552463
17,266.99336844972765,"[3.519792958014561, 0.019504872282393886]",[0.03277805 0.00059872],537.9867368994553,545.9696659936712
18,272.47726895710457,"[0.1016710724013011, 0.23786750917371238]",[0.02273285 0.00049419],548.9545379142091,556.9374670084251
19,277.25887241075566,"[2.6884980122771722, 0.8079780947593311]",[1.000e-04 9.999e-01],558.5177448215113,566.5006739157272
20,267.445043611135,"[0.8840344048198773, 0.47387821227229376]",[0.73728934 0.46123188],538.89008722227,546.873016316486
21,276.3909182608316,"[0.07052803834129208, 0.08916211299949277]",[0.02663672 0.01946338],556.7818365216632,564.7647656158791
22,263.44207726449,"[0.6959768311262247, 0.4437060108451784]",[0.11551152 0.03621582],530.88415452898,538.867083623196
23,261.8001885507515,"[0.30090510014907834, 0.594136849385607]",[0.30023688 0.12242074],527.600377101503,535.5833061957189
24,271.4318792613179,"[0.27063470806951606, 0.8314286412109]",[0.20923291 0.09194087],546.8637585226357,554.8466876168517
25,156.03522927234275,"[4.579907769694094, 0.17019012698133393]",[0.14921865 0.0113266 ],316.0704585446855,324.0533876389015
26,192.37724142351192,"[2.6399051477732556, 0.26502563826846137]",[0.44291519 0.0550606 ],388.75448284702384,396.7374119412398
27,238.69594830936245,"[0.06139038348498309, 0.07547092292527634]",[0.33357495 0.06191302],481.3918966187249,489.3748257129409
28,261.79041989567196,"[1.149469448265259, 0.2001869456821324]",[0.30269166 0.09271779],527.5808397913439,535.5637688855599
29,258.84472770901357,"[4.952534516351792, 0.2002768149595779]",[0.09919226 0.02683924],521.6894554180271,529.6723845122431
30,229.72233888227234,"[4.390080923992595, 0.45417020876712255]",[0.77019156 0.17340942],463.4446777645447,471.42760685876067
31,141.42496302909785,"[0.9223464205332663, 0.38991805800419516]",[0.27908366 0.03097395],286.8499260581957,294.8328551524117
32,255.93236474122938,"[1.067667808394187, 0.4516061747750001]",[0.07077992 0.01187852],515.8647294824588,523.8476585766747
33,263.786405595379,"[1.7874694296643894, 0.4017821461654084]",[0.04146294 0.00061534],531.572811190758,539.5557402849739
34,220.0786966464205,"[2.672425521362385, 0.08705783910725932]",[0.07641835 0.01136705],444.157393292841,452.140322387057
35,227.48842077104823,"[1.246135688320656, 0.8550257789714641]",[0.07824023 0.0001    ],458.97684154209645,466.95977063631244
36,260.0171710792494,"[0.09922735705048139, 0.20985838811169172]",[0.06357327 0.00507954],524.0343421584988,532.0172712527147
37,247.47428530553958,"[0.1190043026356253, 0.49412958832005177]",[0.08673506 0.00586107],498.94857061107916,506.93149970529515
38,276.1692707426863,"[0.047498341898288485, 0.06840690123551228]",[0.07575012 0.10828217],556.3385414853726,564.3214705795885
39,275.7079321241802,"[0.15591217367792054, 0.7672222571689445]",[1.22547565 0.87279346],555.4158642483604,563.3987933425764
40,251.25967473556645,"[0.27998341922844827, 0.6481582557002941]",[0.127731   0.01088658],506.5193494711329,514.5022785653489
41,268.9108029495478,"[0.9671760404340181, 0.6399439730563232]",[1.13635074 0.72161988],541.8216058990956,549.8045349933116
42,231.92455624330262,"[1.0373724767938866, 0.0863013816518924]",[0.4959768  0.12308652],467.84911248660524,475.8320415808212
43,219.02504234041035,"[4.105200385385321, 0.22792918516839764]",[0.10336458 0.02034909],442.0500846808207,450.0330137750367
44,271.5058435764011,"[4.526233783354109, 0.07955318089584341]",[0.19995984 0.08619996],547.0116871528022,554.9946162470181
45,269.3964446423126,"[4.502590053676568, 0.06090961392950208]",[0.07316967 0.02019842],542.7928892846252,550.7758183788411
46,275.6995869639104,"[0.14644790245458364, 0.0428310244909838]",[0.21796008 0.18565957],555.3991739278208,563.3821030220367
47,229.45606845979722,"[4.544812695817138, 0.28385328386791914]",[0.30366119 0.06629642],462.91213691959445,470.89506601381044
48,151.4632445779667,"[0.36746193297874447, 0.1029540645778338]",[0.67916794 0.09215817],306.9264891559334,314.9094182501494
49,216.84914071670195,"[3.6380532140186275, 0.014984755944012123]",[0.21130166 0.02534409],437.6982814334039,445.6812105276199
50,255.07866449204437,"[0.08671600247824565, 0.4692614003338723]",[0.1241098  0.02587307],514.1573289840887,522.1402580783047
51,267.6887597564005,"[4.936708324500345, 0.13454409300030354]",[0.06660717 0.02149647],539.377519512801,547.3604486070169
