participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,275.25202791038737,"[3.9890024673865447, 0.7896276319579928, 0.08430930473393762, 3.7327923478263902]",[0.17379224 0.9999     0.98274318 0.72484192],"[0.0, 0.0, 0.0, 0.0]",558.5040558207747,574.4699140092067
2,265.235574158756,"[4.322487247096025, 0.08389183677180073, 0.3664503479534482, 1.1823862931362856]",[1.66809863e+00 9.26185319e-03 1.00000000e-04 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",538.471148317512,554.4370065059439
3,225.85347550875144,"[0.1430524133878177, 0.12236267087962838, 0.5008148959246461, 4.427191681181616]",[4.99990000e+00 1.93918943e-04 1.00000000e-04 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",459.7069510175029,475.6728092059348
4,245.185411429799,"[2.436539159560111, 0.6871333794653167, 0.36564737532966096, 1.6953582034568089]",[4.99990000e+00 3.54318696e-04 1.00000000e-04 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",498.370822859598,514.33668104803
5,240.38176313112572,"[0.3544855672945813, 0.3038852254997304, 0.7344529292436037, 1.0649439895655846]",[4.99990000e+00 3.60485093e-04 9.99900000e-01 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",488.76352626225145,504.72938445068337
6,270.1938159925747,"[3.309462301324209, 0.583392815488632, 0.8357691858001792, 3.7023162646717767]",[0.53105561 0.05650278 0.36769842 4.9999    ],"[0.0, 0.0, 0.0, 0.0]",548.3876319851494,564.3534901735813
7,182.27014574512177,"[2.0712744931240508, 0.8014040812769593, 0.5799021740044303, 1.9497193841493035]",[1.49895734e+00 8.64296029e-02 1.84032761e-01 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",372.54029149024353,388.50614967867546
8,148.67039308150993,"[2.82455728886092, 0.4368831556192818, 0.6536004484418911, 0.312454892478884]",[1.80321685e+00 5.21402000e-01 7.88658064e-02 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",305.34078616301986,321.3066443514518
9,257.61978705726375,"[2.7824804013496474, 0.8872952161907837, 0.24111676388230371, 2.166732288856953]",[4.99740772e+00 1.00000000e-04 1.00000000e-04 4.99990000e+00],"[0.0, 0.0, 0.0, 0.0]",523.2395741145275,539.2054323029595
10,225.7721427756647,"[0.9527055236195999, 0.7475996035162094, 0.9569902469670144, 0.23122852325558899]",[1.24728623e+00 2.05328913e-01 3.75056404e-01 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",459.5442855513294,475.5101437397613
11,214.39375653009148,"[2.5962144534541958, 0.08519460172973918, 0.45986780984907, 1.0893530420581317]",[1.15837615 0.31518907 0.9999     1.44893725],"[0.0, 0.0, 0.0, 0.0]",436.78751306018296,452.7533712486149
12,254.64731499844703,"[1.67716057152319, 0.6352374576584149, 0.8112301660563005, 0.043576506456716665]",[1.46252718e+00 1.70166238e-02 1.00000000e-04 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",517.2946299968941,533.260488185326
13,246.1366722014323,"[3.1230043235972613, 0.28385366915753446, 0.016976255221573436, 4.614345321705417]",[8.43035158e-01 9.99900000e-01 4.54437945e-01 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",500.2733444028646,516.2392025912966
14,266.90301281174425,"[1.3479046231708693, 0.13614395760958697, 0.6688373659055226, 0.49373939921032495]",[1.12478601 0.01981506 0.9999     4.9999    ],"[0.0, 0.0, 0.0, 0.0]",541.8060256234885,557.7718838119205
15,269.1437397153143,"[3.5879976908673994, 0.30907536639756783, 0.6691871461543183, 4.458849184939225]",[4.8132722e-01 9.9990000e-01 9.9990000e-01 1.0000000e-04],"[0.0, 0.0, 0.0, 0.0]",546.2874794306287,562.2533376190606
16,249.64703435189168,"[1.2245563388072416, 0.8058339541466129, 0.1729665080751709, 2.988224421252227]",[4.99990000e+00 2.35264166e-04 1.00000000e-04 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",507.29406870378335,523.2599268922153
17,256.8671282735794,"[2.1624361444182125, 0.2511787645581053, 0.29891897035086534, 0.5704694960302122]",[1.29148522e+00 8.40166761e-02 1.00000000e-04 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",521.7342565471588,537.7001147355908
18,271.55383800661366,"[1.493189485423422, 0.5755795206887863, 0.7697511002445726, 3.9343007221432007]",[8.08832267e-01 3.86386168e-02 1.56526646e-02 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",551.1076760132273,567.0735342016593
19,276.08082197359363,"[4.472923099577991, 0.5880946680475694, 0.6162025423923184, 2.4308522366270027]",[5.18897898e-02 4.32075950e-01 1.00000000e-04 4.99990000e+00],"[0.0, 0.0, 0.0, 0.0]",560.1616439471873,576.1275021356192
20,274.1272705964589,"[4.979883638082881, 0.34545657730128193, 0.8931251925794049, 0.5669700407464421]",[3.12093359e-01 9.99900000e-01 6.67450504e-01 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",556.2545411929178,572.2203993813498
21,274.49506417933566,"[4.094559806908828, 0.5837626746104461, 0.27732356578555173, 3.7954701703650584]",[4.38752289e-01 1.33188608e-01 9.99900000e-01 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",556.9901283586713,572.9559865471033
