participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
1,275.255414846097,"[4.896491233496387, 0.21460465567937076]",[0.16611984 0.9999    ],[ 0.64635135  1.01936118 -0.46563527  0.11452034],554.510829692194,562.4937587864099
2,275.1901433874872,"[1.2196130687792768, 0.9477267638338148]",[0.48193677 0.07813589],[0.62004884 0.31267888 0.70776604 0.28183163],554.3802867749744,562.3632158691903
3,255.08314245410213,"[1.4131278410966128, 0.5894835453961572]",[0.77703931 0.9999    ],[0.40058452 0.04802656 0.2901269  0.40058452],514.1662849082043,522.1492140024202
4,273.32976887201613,"[3.4324045552803852, 0.4895911992585148]",[0.28247005 0.9999    ],[ 0.57448427  0.29154274  0.89659259 -0.22607573],550.6595377440323,558.6424668382482
5,238.4048506290468,"[2.4942766407965693, 0.575311454934441]",[4.99990000e+00 6.54346835e-04],[0.28106752 0.27165589 0.27460573 0.27101141],480.8097012580936,488.7926303523096
6,270.6864797655584,"[3.5441180309112896, 0.02201109333078762]",[0.71282118 0.10987634],[0.63623351 0.14017438 0.62261879 0.23843198],545.3729595311167,553.3558886253327
7,273.92332722494115,"[0.17000166376413336, 0.6452345300245379]",[0.33527652 0.9999    ],[0.6893945  0.80336321 0.72943162 0.6893945 ],551.8466544498823,559.8295835440982
8,276.56574211705856,"[2.262597258226415, 0.8590687743085097]",[0.0001 0.0001],[0.85432953 0.85598707 0.85546209 0.85598707],557.1314842341171,565.1144133283331
9,266.9217760788744,"[4.973221870050379, 0.06718111571747075]",[4.9999000e+00 1.8923318e-04],[0.59055485 0.58759449 0.59047305 0.58817768],537.8435521577488,545.8264812519648
10,247.37594362965984,"[0.42035138029805125, 0.3239810179441213]",[0.98403933 0.21091931],[ 0.41534633  0.21844358  0.82569403 -0.12216139],498.7518872593197,506.7348163535357
11,213.18709512465946,"[3.457067186133664, 0.6546252993115128]",[1.26432855 0.26304288],[0.47593016 0.18124327 0.70075892 0.5015222 ],430.37419024931893,438.3571193435349
12,268.52388374324255,"[1.952017246086776, 0.22971742551644186]",[4.99990000e+00 1.35651903e-04],[0.18658002 0.18297589 0.18294484 0.18276034],541.0477674864851,549.030696580701
13,248.16158779732513,"[0.5955728584830596, 0.6672984487495592]",[0.68017566 0.9999    ],[0.20487372 0.04377768 1.02985652 0.04861112],500.32317559465025,508.30610468886624
14,266.31462540781763,"[0.961795234693286, 0.7891448390974158]",[1.76565372 0.01358309],[0.4716001  0.36782307 0.48105464 0.35081356],536.6292508156353,544.6121799098512
15,273.4757772437938,"[3.6059184352189386, 0.6831692750747511]",[0.26334778 0.9999    ],[ 0.21789515 -0.32657834  0.75851693 -0.89870187],550.9515544875876,558.9344835818035
16,276.5657275045363,"[3.234856055279713, 0.35884628937655655]",[0.0001 0.0001],[1.0827834  1.08289955 1.08440955 1.08237186],557.1314550090726,565.1143841032886
17,266.7415677887022,"[0.24784670525787217, 0.7015494818855974]",[0.45786936 0.82909535],[-0.32128201  0.90334773  0.66516695  0.09007976],537.4831355774044,545.4660646716203
18,275.8383174575124,"[0.6391277969009979, 0.6216347668639706]",[0.28188523 0.15765518],[0.48068619 0.47554883 0.58462242 0.41332619],555.6766349150248,563.6595640092407
19,276.34987108165944,"[4.487229139642455, 0.41526070234835866]",[0.09685945 0.92427145],[0.58021631 0.15677581 0.79335512 0.18961762],556.6997421633189,564.6826712575348
20,274.360175736177,"[2.0282377768922917, 0.5841762871899674]",[0.25444888 0.9999    ],[ 0.11359093  0.93629871  0.8702598  -0.16500572],552.720351472354,560.7032805665699
21,273.708301520079,"[2.3782548297636583, 0.4363979870699056]",[0.85713076 0.01912609],[0.87943631 0.69185525 1.08770148 0.84673499],551.416603040158,559.3995321343739
22,262.6515785948547,"[0.787364220701898, 0.6860082908645792]",[0.65064939 0.51733512],[0.69526245 0.04462581 0.22215547 0.01806359],529.3031571897094,537.2860862839253
23,276.5657312154981,"[3.8092861095571915, 0.6908942729487585]",[0.0001 0.0001],[-0.27168551 -0.2713942  -0.27283844 -0.27367897],557.1314624309962,565.1143915252121
24,267.359749750958,"[0.2580723761180498, 0.9300451769356503]",[0.68447681 0.31713888],[0.65211216 0.41927863 0.69713544 0.26703192],538.719499501916,546.7024285961319
25,275.5878908650541,"[3.826480789660711, 0.032726528436571006]",[0.39950735 0.08221552],[0.67071676 0.20120668 0.61660607 0.31893287],555.1757817301082,563.1587108243241
26,196.59975233448657,"[1.6659834214990732, 0.5084577285593115]",[2.08500146 0.02537262],[0.53851242 0.1835049  0.41257504 0.18723414],397.19950466897313,405.1824337631891
27,231.63670912559462,"[1.6611974204405848, 0.25460208343306323]",[4.9999000e+00 2.5245711e-04],[-0.23612827 -0.24778103 -0.2436714  -0.24727394],467.27341825118924,475.25634734540523
28,263.9645372527485,"[1.713276715241828, 0.45097503325623706]",[0.73589097 0.22876371],[0.54201876 0.6300395  0.86265545 0.40906599],531.929074505497,539.912003599713
29,276.5657253156869,"[4.875352322713393, 0.01539636517911835]",[0.0001 0.0001],[0.65839205 0.6563509  0.65835076 0.65682561],557.1314506313738,565.1143797255897
30,263.3441693752547,"[4.5400161507946555, 0.8459387857337605]",[0.68842071 0.10015416],[0.88686315 0.21108838 0.68015569 0.00157603],530.6883387505094,538.6712678447253
31,207.546505023341,"[0.15928525575775676, 0.6105063680323033]",[1.42339869 0.08355422],[0.36233136 0.20508289 0.70808741 0.36233136],419.093010046682,427.075939140898
32,254.39479729198754,"[1.5520669710162793, 0.6461659159586923]",[1.18031218 0.07287583],[0.75058323 0.58745372 0.73130598 0.63966789],512.789594583975,520.7725236781911
33,271.1434878642722,"[4.2096571723355565, 0.7109933274635103]",[4.99990000e+00 1.23826176e-04],[-0.25182434 -0.25018208 -0.25079047 -0.25434827],546.2869757285443,554.2699048227603
34,220.90064634124354,"[4.637132206988776, 0.33133200167241006]",[1.26043623 0.32425977],[0.931439   0.1326232  0.52747929 0.33304058],445.8012926824871,453.7842217767031
35,275.43405615156865,"[1.4483654021345316, 0.89708319534613]",[4.69806162e+00 1.00000000e-04],[0.2847177  0.28362977 0.28526109 0.28344418],554.8681123031373,562.8510413973532
36,269.79956694054806,"[4.602629580501043, 0.263952346174435]",[4.9999000e+00 1.9081774e-04],[0.11182382 0.11297032 0.1118415  0.10985507],543.5991338810961,551.582062975312
37,248.87139360215255,"[3.74388972828732, 0.001878835005190641]",[1.30966022 0.03686819],[0.61309437 0.23801304 0.51477787 0.08596198],501.7427872043051,509.7257162985211
38,274.51524762600934,"[4.641563341290132, 0.8412313541333187]",[0.28726593 0.57647756],[0.97255464 0.21335944 1.01187319 0.2969603 ],553.0304952520187,561.0134243462346
39,276.5657263791221,"[4.665001101090583, 0.36585494009286823]",[0.0001 0.0001],[1.24767925 1.24573384 1.2480631  1.247834  ],557.1314527582442,565.1143818524602
40,263.63875307734565,"[4.477026706543779, 0.791707692300594]",[0.44667425 0.9999    ],[ 0.88390816  0.07385156 -0.16336337 -0.01426323],531.2775061546913,539.2604352489072
41,221.78419385488942,"[1.9861394644265384, 0.8141789444592039]",[4.99990000e+00 5.27807992e-04],[0.72818573 0.72482904 0.73356447 0.72703386],447.56838770977885,455.55131680399484
42,260.7200296537329,"[4.701135480781331, 0.9167254433172062]",[4.99990000e+00 2.28948177e-04],[0.36438566 0.36020602 0.36137243 0.35945954],525.4400593074658,533.4229884016818
43,226.1419415100598,"[2.8912101876268514, 0.5650528877487536]",[1.20688958 0.11374679],[0.74109148 0.25084778 0.71938553 0.29170714],456.2838830201196,464.2668121143356
44,251.0663730306539,"[0.4982324681676026, 0.2702483778795235]",[0.74053032 0.9999    ],[0.13823612 0.43407569 0.92600233 0.40411275],506.1327460613078,514.1156751555237
45,271.6831029072538,"[1.5117335685353401, 0.6176417628436432]",[4.9999000e+00 1.7581508e-04],[0.28742869 0.2846524  0.28665797 0.28464726],547.3662058145076,555.3491349087235
46,271.3601497241971,"[1.5239600978197183, 0.2143225862639304]",[0.53378137 0.49921056],[0.51433253 0.05332513 0.44501522 0.27221106],546.7202994483941,554.7032285426101
47,243.36433542363122,"[0.7276481252339946, 0.6388969718682791]",[1.07807682 0.11077376],[0.51162975 0.23349098 0.73896423 0.32926733],490.72867084726244,498.7115999414784
48,142.820232729142,"[2.3082327437655215, 0.3808862339107047]",[1.76506447 0.33166307],[0.51740416 0.58196608 0.81529532 0.26084437],289.640465458284,297.6233945525
49,256.3426374814622,"[3.8118938731334095, 0.04078082418601631]",[4.99990000e+00 4.55583256e-04],[0.58543034 0.58270445 0.58376372 0.57867821],516.6852749629244,524.6682040571403
