participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,best_nll,AIC,BIC
1,"[4.262164141480937, 0.6892571960442931, 0.5288834870233237]",[2.24006775e-01 9.99900000e-01 1.00000000e-04],[ 0.64635134  1.01936118 -0.46563529  0.11452034],[9.9999999e-01 9.9999999e-09 9.9990000e-17 9.9990000e-25],274.6189646127069,555.2379292254138,567.2123228667377
2,"[1.2483810977996408, 0.1573770460135638, 0.13287344539457382]",[1.14343159 0.00187042 0.9999    ],[0.36871545 0.3503182  0.36827102 0.34859393],[0.39103437 0.24946771 0.27505474 0.08444319],269.5699222198645,545.139844439729,557.1142380810529
3,"[3.6369554672049595, 0.10927105414129881, 0.5261609074222572]",[1.49253358 0.00332651 0.9999    ],[0.40058452 0.36815087 0.43436715 0.40058452],[0.01201671 0.53671943 0.43924715 0.01201671],193.5010702977972,393.0021405955944,404.9765342369184
4,"[3.8123995271115017, 0.1626986213102652, 0.34912090092398607]",[1.71287811e+00 1.00000000e-04 9.88237808e-01],[0.74324781 0.74212172 0.74356042 0.74303812],[0.49982065 0.08685802 0.34817995 0.06514138],265.59444472571374,537.1888894514275,549.1632830927514
5,"[0.2247042560926724, 0.3549172515266914, 0.6477791625026793]",[1.12585838e+00 4.17125603e-01 6.99808891e-04],[0.66586087 0.55445272 0.51990567 0.52510293],[0.29690017 0.03264835 0.50430317 0.1661483 ],228.42828057231753,462.85656114463507,474.830954785959
6,"[2.269418370870901, 0.2192943700950276, 0.9719270387682123]",[7.56461207e-01 8.30783436e-02 1.00000000e-04],[0.61962249 0.16384024 0.58069262 0.22780467],[0.4384168  0.27033138 0.27959296 0.01165886],270.4560099528908,546.9120199057816,558.8864135471055
7,"[0.22715278065951675, 0.13546000024315677, 0.6111621825812885]",[1.55040424 0.08732719 0.52905077],[0.6893945  0.4489262  0.62295265 0.6893945 ],[4.90888790e-06 7.52817317e-01 2.47172866e-01 4.90888790e-06],182.7394222836556,371.4788445673112,383.4532382086352
8,"[2.4145065670782873, 0.7719240480770778, 0.2020186736125711]",[1.44078844 0.09311033 0.9999    ],[0.62389254 0.85598707 0.74346865 0.85598707],[4.13951171e-01 2.24490013e-06 5.86044340e-01 2.24490013e-06],179.4729622660204,364.9459245320408,376.92031817336476
9,"[1.0319220463562648, 0.45295664071016195, 0.612367307163228]",[0.64001891 0.47834384 0.9999    ],[ 1.10595077  0.79052083  0.5290082  -0.03950997],[9.93428654e-01 6.53909847e-03 3.13815819e-05 8.66222627e-07],258.03410251430284,522.0682050286057,534.0425986699296
10,"[0.8003979613915339, 0.8569203844776027, 0.20653839954775471]",[1.11096547 0.16302151 0.07429437],[ 0.43342125  0.19443098  0.82039443 -0.05083013],[6.25577509e-01 1.92593867e-01 1.81828620e-01 3.71685254e-09],232.2377990385164,470.4755980770328,482.4499917183568
11,"[1.94084484790405, 0.4308304795798762, 0.9220242427360086]",[1.76372496 0.04062511 0.08086235],[0.60703776 0.33512642 0.61037001 0.47119736],[0.53954843 0.00615046 0.21869074 0.23561036],213.80626732019917,433.61253464039834,445.5869282817223
12,"[3.3957346880095614, 0.37332322219491165, 0.43712143570756157]",[1.78928067e+00 1.00608501e-04 9.89353574e-01],[0.18557458 0.18289893 0.18287581 0.18273884],[0.57315338 0.16842473 0.05611051 0.20231137],257.843976255233,521.687952510466,533.6623461517898
13,"[0.9879607985958444, 0.5547761163404532, 0.021560587850453915]",[0.71857219 0.78202822 0.03769311],[ 0.24551554  0.03799844  0.96937507 -0.02020723],[1.85868031e-01 9.70204855e-11 8.14126917e-01 5.05225177e-06],251.13498063920508,508.26996127841016,520.2443549197341
14,"[3.8245184725500874, 0.6075680951122419, 0.4209819312909723]",[1.76561461e+00 1.35836079e-02 1.00000000e-04],[0.47160265 0.36782273 0.48105767 0.35081242],[0.32706009 0.30921236 0.31617408 0.04755347],266.3147569564575,538.629513912915,550.6039075542388
15,"[3.040253037189957, 0.8427537968128462, 0.06209772417319758]",[5.27371799e-01 4.13687323e-01 1.00000000e-04],[ 0.29324088  0.03667235  0.79816359 -0.15807528],[1.01700285e-04 1.13322799e-01 8.66150389e-01 2.04251112e-02],267.0799059753251,540.1598119506502,552.1342055919741
16,"[1.294435069376275, 0.939963298144945, 0.450665336322892]",[1.02325751 0.45901413 0.06557555],[0.52477518 0.21485383 0.95858511 0.22049185],[9.99547137e-01 3.81654598e-06 6.16851233e-05 3.87361287e-04],224.1012574384311,454.2025148768622,466.17690851818617
17,"[0.02549862820316559, 0.25714097872104263, 0.5255862532031376]",[0.46983498 0.53237109 0.54265112],[0.10902883 0.67849032 0.79738192 0.1354511 ],[1.75103481e-01 7.48127747e-01 7.67683532e-02 4.19167886e-07],270.4821867032282,546.9643734064564,558.9387670477803
18,"[3.40705518337419, 0.23124193291550812, 0.03419251113071771]",[2.83454157e+00 1.00000000e-04 9.52098456e-01],[1.01683598 1.01514566 1.01666646 1.01701122],[0.54174555 0.16705238 0.24973388 0.04146819],270.43810716443346,546.8762143288669,558.8506079701908
19,"[3.0470363107580045, 0.7173180705651899, 0.6788509823456187]",[0.0001 0.0001 0.0001],[-0.30051421 -0.30169109 -0.30217009 -0.30343588],[0.3332479  0.32488073 0.17947929 0.16239208],276.56572592134944,559.1314518426989,571.1058454840228
20,"[3.370036305949049, 0.4424990396231745, 0.8661281599481531]",[5.28048028e-01 7.06144179e-01 1.00000000e-04],[ 0.31248406  0.79520751  0.82822037 -0.02902901],[4.67703346e-05 2.08578812e-02 9.79095348e-01 8.79712131e-25],266.5926581278167,539.1853162556334,551.1597098969573
21,"[2.6338313736420917, 0.08170984514457111, 0.9812412181369656]",[0.93099237 0.01716662 0.05764077],[0.89978626 0.72566533 1.09394672 0.87273957],[0.36850126 0.19371671 0.4224292  0.01535283],273.2178027581975,552.435605516395,564.4099991577189
22,"[3.0528123569060046, 0.33165132766304056, 0.5180198687837922]",[1.37866019 0.01469852 0.67737341],[1.04731702 0.82546599 1.05227066 1.03203894],[0.39475069 0.23876991 0.29183561 0.07464379],262.90333957741177,531.8066791548235,543.7810727961474
23,"[0.5741683907553409, 0.23329500713620666, 0.839002105373579]",[0.60640292 0.16533201 0.86534866],[0.70092344 0.18250677 0.67238571 0.27455652],[0.49306196 0.00726479 0.18808804 0.31158522],266.7170275308469,539.4340550616938,551.4084487030177
24,"[3.5709678788198485, 0.7356105250716294, 0.43282974579995814]",[6.65083896e-01 1.74372975e-01 1.00000000e-04],[0.58875585 0.41549323 0.72403846 0.30289362],[0.53123824 0.27960041 0.17613041 0.01303093],269.43132823686415,544.8626564737283,556.8370501150522
25,"[3.001701354191753, 0.10124008178927264, 0.8032179858076494]",[4.50448693e+00 1.00000000e-04 9.97404938e-01],[0.56036602 0.55856382 0.55947886 0.55900804],[0.64418395 0.0506892  0.25434768 0.05077918],152.63379159966235,311.2675831993247,323.24197684064865
26,"[2.626415639931481, 0.9306202703345238, 0.02132012865954015]",[1.88281635 0.04590261 0.60216667],[0.6354311  0.20997324 0.54957734 0.21258873],[0.58787807 0.02607564 0.35884377 0.02720253],192.13497788212172,390.26995576424343,402.2443494055674
