participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
2,142.6242402650905,"[4.712414640058578, 0.049611817635352634]",[1.58476592 0.67054082],289.248480530181,296.29140236590547
3,165.42553240349937,"[0.016345789362164888, 0.744778114427091]",[0.11679731 0.0423036 ],334.85106480699875,341.89398664272323
4,149.29046207734757,"[0.9282630291596217, 0.14819301893724166]",[0.16571987 0.03359466],302.58092415469514,309.6238459904196
5,102.97462944290547,"[0.614481404778477, 0.16941370230428315]",[0.27865527 0.03558187],209.94925888581093,216.99218072153542
6,143.14903008033482,"[2.1082380560597196, 0.2303798240888344]",[0.06743146 0.00616812],290.29806016066965,297.34098199639413
9,80.06847871192215,"[0.9831390456951913, 0.6047594716279895]",[0.22608104 0.02370125],164.1369574238443,171.1798792595688
12,124.51337607117583,"[0.24111235506188214, 0.3916567953361226]",[0.71149394 0.16671955],253.02675214235165,260.06967397807614
14,172.48303166209666,"[0.36953625242143456, 0.8135005622890081]",[0.07477493 0.05803656],348.9660633241933,356.0089851599178
16,172.95082001352705,"[0.03059040708209899, 0.2496713157313433]",[0.01101784 0.00515553],349.9016400270541,356.9445618627786
17,166.38960113853838,"[3.3842563357531668, 0.9288482679446152]",[0.47361286 0.17139622],336.77920227707676,343.82212411280125
18,168.4532619620488,"[0.009825637045247354, 0.4958105259132413]",[0.16366039 0.08012777],340.9065239240976,347.9494457598221
19,62.69127775201965,"[1.6779712661120036, 0.6652043536358565]",[1.3237249e-01 1.0000000e-04],129.38255550403932,136.4254773397638
20,170.88135490178732,"[4.834568235801737, 0.15820840850261783]",[0.02972664 0.00998   ],345.76270980357464,352.8056316392991
23,52.0487151210649,"[1.7244450709703945, 0.3155544021762534]",[0.5704444  0.06333495],108.0974302421298,115.14035207785429
24,55.47636618970089,"[4.7838993796226505, 0.6499323591148248]",[4.9999     0.82167157],114.95273237940178,121.99565421512628
25,136.92670433278633,"[2.413545114253298, 0.5052655949623068]",[2.50694363 0.78057459],277.85340866557266,284.89633050129714
26,164.92095712616015,"[1.5603618625461693, 0.3661317553367649]",[0.09208783 0.02913297],333.8419142523203,340.8848360880448
33,173.08110019471968,"[4.355125091318081, 0.467206348214135]",[4.9999     0.99929372],350.16220038943936,357.20512222516385
35,172.99799893653844,"[3.7287553879240427, 0.049527754650087165]",[0.01586391 0.01588604],349.9959978730769,357.03891970880136
36,167.5761566395654,"[0.8220206397869956, 0.39020327054124226]",[0.05657364 0.01363401],339.1523132791308,346.1952351148553
38,65.02471550573807,"[1.110385102186669, 0.09244003596153258]",[0.82732428 0.11639915],134.04943101147614,141.09235284720063
40,23.142333904182212,"[2.7917276306084533, 0.3913198442802413]",[1.16992116 0.02928188],50.284667808364425,57.32758964408892
42,155.84168164838198,"[0.3670091518319071, 0.7840418766361641]",[0.0746244  0.01080034],315.68336329676396,322.72628513248844
43,150.5167488877767,"[0.9416655934905824, 0.7248510143066643]",[0.04987976 0.0001    ],305.0334977755534,312.0764196112779
44,168.10377696809974,"[0.4474206827254754, 0.2900038324044124]",[0.12810409 0.06984962],340.2075539361995,347.25047577192396
46,128.80548288876545,"[1.7373891500202683, 0.015837098973279857]",[0.13978716 0.02441283],261.6109657775309,268.6538876132554
49,128.06170052187156,"[2.381961848831584, 0.32302529623677717]",[1.24576075 0.26088617],260.1234010437431,267.1663228794676
50,157.0661806006373,"[0.04474953602745086, 0.21726039948700887]",[0.05026371 0.0001    ],318.1323612012746,325.1752830369991
56,144.81906167471618,"[2.559748965894942, 0.0900144360896141]",[0.31816667 0.06896117],293.63812334943236,300.68104518515685
57,161.36039217364427,"[1.3447499541545798, 0.5895358743881796]",[0.147186   0.03689237],326.72078434728854,333.763706183013
59,85.2400985822072,"[2.384815589938789, 0.9242778240443601]",[0.47157168 0.06365033],174.4801971644144,181.52311900013888
63,163.86162117618974,"[0.036542234676133996, 0.6681500575691909]",[0.16501637 0.05839015],331.7232423523795,338.76616418810397
65,173.28679542272087,"[1.8213768790505045, 0.2502188436483451]",[1.000e-04 9.999e-01],350.57359084544174,357.6165126811662
66,109.30405542540248,"[0.3274209238399315, 0.1721585994008855]",[0.57400574 0.10635253],222.60811085080496,229.65103268652945
69,156.3141204352603,"[0.7283888388193683, 0.9123004266324448]",[0.58226648 0.10580867],316.6282408705206,323.67116270624507
72,173.28679525425423,"[3.1184435796067413, 0.8368009889603545]",[1.000e-04 9.999e-01],350.57359050850846,357.61651234423294
77,108.82977762664696,"[1.9849673856624168, 0.9186078618860971]",[2.29846796 0.56829806],221.65955525329392,228.7024770890184
81,112.82531646813895,"[0.42672066338448666, 0.5762155583129346]",[0.37935669 0.06253601],229.6506329362779,236.6935547720024
82,111.49760275586095,"[0.6309453088190718, 0.6485714578674246]",[0.39167048 0.06116717],226.9952055117219,234.0381273474464
83,173.08840221087345,"[4.690428407847713, 0.09988477288620103]",[0.00568491 0.0001    ],350.1768044217469,357.2197262574714
84,116.8264976879162,"[1.5341805955908467, 0.6018285569048368]",[0.46302659 0.06702366],237.6529953758324,244.6959172115569
86,128.61221934271347,"[1.207696539169346, 0.22279111304859595]",[0.35853555 0.09480979],261.22443868542695,268.26736052115143
87,114.47718899643849,"[0.6404987276783652, 0.2872100499522156]",[0.18869006 0.02319255],232.95437799287697,239.99729982860146
90,140.94641439888102,"[4.6317203827416265, 0.7828177636153492]",[1.04421632 0.24466281],285.89282879776204,292.9357506334865
92,164.95719946670593,"[3.540298572250311, 0.5068596585510766]",[0.25238202 0.11284682],333.91439893341186,340.95732076913635
94,158.22180111504048,"[4.650248634893927, 0.16510807688144202]",[0.11358095 0.0191865 ],320.44360223008096,327.48652406580544
97,121.88152594655183,"[0.3278749104830274, 0.1746844885124381]",[0.16279733 0.03190306],247.76305189310366,254.80597372882815
103,160.54094501401005,"[4.066245035663993, 0.6914898325886326]",[0.50591933 0.13649021],325.0818900280201,332.1248118637446
104,148.2710459696015,"[2.819297907214437, 0.5218748133274005]",[4.9999     0.98560104],300.542091939203,307.58501377492746
106,78.15842145152686,"[0.7671626134335611, 0.316807510985431]",[0.80245021 0.11291652],160.31684290305373,167.3597647387782
107,120.18481073920388,"[2.9082905902366556, 0.43629509323251736]",[1.28278778 0.34942792],244.36962147840777,251.41254331413225
108,102.70789108304906,"[3.75338291134831, 0.8935349547389042]",[0.16261423 0.02091904],209.41578216609813,216.4587040018226
109,139.89665657270072,"[0.15928853227093526, 0.8548183629421816]",[1.05877185 0.42647332],283.79331314540144,290.8362349811259
110,130.0812109460529,"[2.5928608807568887, 0.3524576962184511]",[0.18389801 0.02205401],264.1624218921058,271.20534372783027
111,96.45165884108573,"[4.583964555976172, 0.08744422286580786]",[1.14239282e-01 1.00000000e-04],196.90331768217146,203.94623951789595
113,170.13023651703693,"[4.852369220022036, 0.2574994771338203]",[0.03517123 0.00840074],344.26047303407387,351.30339486979835
115,132.94766944642464,"[1.3157713687918033, 0.7085945710025077]",[0.134701 0.023214],269.8953388928493,276.93826072857377
117,162.61671188658386,"[3.2363109100212384, 0.0961933398544151]",[0.82749647 0.40934587],329.2334237731677,336.2763456088922
118,104.2044256165695,"[1.5031358596952658, 0.4653036880562861]",[1.6342652 0.4031738],212.408851233139,219.45177306886347
119,164.37479538150825,"[0.7886622965785575, 0.5919586843412843]",[0.05662049 0.0001    ],332.7495907630165,339.792512598741
120,142.40654111148913,"[2.6272839786035442, 0.7841809943050326]",[0.43083974 0.11367144],288.81308222297827,295.85600405870275
121,166.20523871727556,"[3.6556924116701452, 0.29736718040570614]",[0.02720558 0.0001    ],336.4104774345511,343.4533992702756
124,50.88786800018088,"[1.8039877276226544, 0.2888815455118325]",[0.84793261 0.09989192],105.77573600036176,112.81865783608626
126,78.07461523954245,"[2.8098135727242832, 0.025725140910415896]",[1.31739669e-01 1.00000000e-04],160.1492304790849,167.1921523148094
129,100.78958281817235,"[0.6509403146065312, 0.422406682894419]",[0.0779104 0.0001   ],205.5791656363447,212.62208747206918
130,173.12922676429147,"[2.706562046761186, 0.9342403351151127]",[4.9999     0.99947687],350.25845352858295,357.30137536430743
131,33.93729162335753,"[1.9746556152912556, 0.8103981719938789]",[0.93972778 0.07940134],71.87458324671506,78.91750508243956
132,171.1440389440632,"[4.943112266601716, 0.275996690357159]",[0.06554101 0.03351074],346.2880778881264,353.3309997238509
134,173.28679518999252,"[1.8159884855737574, 0.4298337530193286]",[1.000e-04 9.999e-01],350.57359037998503,357.6165122157095
135,79.20796048485407,"[0.2793141277777232, 0.22204057272158406]",[0.26463337 0.02821282],162.41592096970814,169.45884280543262
136,168.7047753789393,"[1.8191678943057044, 0.45237713624422216]",[0.21047554 0.08577548],341.4095507578786,348.4524725936031
138,71.9038086652115,"[2.663819822106411, 0.8781469473015813]",[0.49947566 0.06094078],147.807617330423,154.85053916614748
139,88.10885324773717,"[2.259142298339763, 0.13930220922917375]",[0.15458372 0.0101192 ],180.21770649547435,187.26062833119883
