participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,135.35777837441515,"[1.7918944088283373, 0.3699615252932183]",[0.18337022 0.09633122],274.7155567488303,281.3121914819264
2,134.36063490044796,"[1.0249973051676027, 0.5027227253832152]",[4.9999     0.99679464],272.7212698008959,279.317904533992
3,113.13978761001492,"[4.257988762837026, 0.7955340714075285]",[0.44415942 0.1242818 ],230.27957522002984,236.8762099531259
4,137.8674267737419,"[4.147511821113251, 0.14894006450307878]",[0.01606119 0.0001    ],279.7348535474838,286.3314882805799
5,119.66838475066767,"[3.7458465023196688, 0.36271841320500803]",[2.0129853  0.76314019],243.33676950133534,249.9334042344314
6,137.5556334784077,"[0.5192575638914485, 0.8508435912873705]",[0.03050729 0.01133263],279.1112669568154,285.7079016899115
7,98.45381024257198,"[1.4890291083535154, 0.578248503542816]",[0.26418163 0.04812866],200.90762048514395,207.50425521824002
8,100.72638188935154,"[0.07231674758211953, 0.21383494602853523]",[0.33889187 0.07293477],205.4527637787031,212.04939851179915
9,115.95954997042458,"[3.4685333620188374, 0.9517860904574196]",[1.0089328  0.27799718],235.91909994084915,242.51573467394522
10,109.46670290505043,"[3.504268010322787, 0.22652034214919736]",[0.58419398 0.12514411],222.93340581010085,229.53004054319692
11,112.04407687005354,"[3.0293301909489085, 0.3977155761616257]",[0.28545029 0.05214754],228.0881537401071,234.68478847320316
12,138.62780175937215,"[4.859315309858553, 0.36995250643885147]",[0.00150574 0.01680509],281.2556035187443,287.8522382518404
13,111.14609271150093,"[3.690412365120227, 0.07724685052744124]",[0.365238   0.09606957],226.29218542300185,232.88882015609792
14,121.13068974469692,"[4.1312210320815135, 0.124221939184468]",[0.08448749 0.0001    ],246.26137948939385,252.8580142224899
15,133.43198841722372,"[2.766347885012331, 0.42129573913863705]",[4.9999     0.99642177],270.86397683444744,277.46061156754354
16,129.84090323201724,"[4.435431458607592, 0.8809861951688072]",[0.75184737 0.32225452],263.6818064640345,270.2784411971306
17,134.56154462718135,"[0.3165932530528006, 0.35550104423073636]",[0.16667332 0.08693747],273.1230892543627,279.7197239874588
18,137.5784404438103,"[4.2912982495325664, 0.18854599476611714]",[0.01476754 0.0001    ],279.1568808876206,285.7535156207167
19,138.62943617977197,"[1.7924878881868875, 0.005060050054676808]",[1.000e-04 9.999e-01],281.25887235954394,287.85550709264004
20,138.50244342520213,"[4.283667548804797, 0.016373908397359315]",[0.00791768 0.0001    ],281.00488685040426,287.60152158350036
21,136.89798884028477,"[4.688039839214844, 0.33846258842639065]",[0.03314167 0.00762086],277.79597768056954,284.39261241366563
22,119.26950251106852,"[1.6492435530104639, 0.5768962190962991]",[0.1051063  0.01875274],242.53900502213705,249.13563975523311
23,136.04557130692774,"[0.6039362474171434, 0.7173753582794885]",[0.12517323 0.10001109],276.0911426138555,282.6877773469516
24,135.1780505488904,"[0.12867460666747993, 0.19548554718533928]",[0.20009576 0.09196258],274.3561010977808,280.9527358308769
25,26.489038553784617,"[4.644558723968482, 0.9350336729842458]",[1.49883579 0.0313212 ],56.978077107569234,63.57471184066531
26,97.15075511389486,"[2.3593107250362317, 0.2693465439660538]",[0.47540156 0.0801794 ],198.30151022778972,204.8981449608858
27,137.2692298249,"[2.799006677055376, 0.7377709700659585]",[4.9999     0.99753266],278.5384596498,285.1350943828961
28,122.3423704581894,"[1.0950758213332428, 0.08917120851324398]",[0.49079648 0.15575655],248.6847409163788,255.28137564947485
29,115.55462223904331,"[2.085997236550185, 0.0021940122457412177]",[1.0572279  0.36450495],235.10924447808662,241.7058792111827
30,125.24101059171772,"[0.02471751935259508, 0.6357723773199287]",[0.41333575 0.12762069],254.48202118343545,261.07865591653155
31,92.40019661751812,"[2.5576726665777985, 0.05553899101549479]",[0.20017217 0.03178311],188.80039323503624,195.3970279681323
32,125.77617995349668,"[4.864225998196808, 0.26744195260899956]",[0.06253979 0.0001    ],255.55235990699336,262.1489946400894
33,138.62943626999922,"[1.7017576251835391, 0.5986381358455197]",[1.000e-04 9.999e-01],281.25887253999844,287.85550727309453
34,108.1365326887396,"[4.7734283483638125, 0.29741401805377904]",[0.17064686 0.02810791],220.2730653774792,226.86970011057528
35,135.03954077321953,"[0.27965885164033305, 0.2892579958402131]",[0.14904698 0.05138928],274.07908154643906,280.67571627953515
36,138.58863685238123,"[3.4639897757953384, 0.637702493012532]",[4.9999     0.99965779],281.17727370476246,287.77390843785855
37,117.53703428337882,"[3.0515520717919307, 0.015668050719837835]",[0.08231085 0.0001    ],239.07406856675763,245.6707032998537
38,129.65950276459398,"[2.17028653919918, 0.38544097004173855]",[0.41034583 0.1928212 ],263.31900552918796,269.91564026228406
39,137.52712234586943,"[1.973938670938878, 0.16194525531939538]",[4.9999     0.99740955],279.05424469173886,285.65087942483495
40,134.83009257300202,"[4.615951934931272, 0.08620229989224254]",[0.06816784 0.0001    ],273.66018514600404,280.25681987910014
41,107.01398881122454,"[0.7404557658050422, 0.16415731914524406]",[0.07733292 0.0001    ],218.02797762244907,224.62461235554514
42,127.71567972406474,"[0.8218839383508367, 0.13033200843576484]",[0.99097352 0.44415648],259.43135944812946,266.02799418122555
43,107.89789579572074,"[2.9011434559295974, 0.4759575437396539]",[4.9999     0.97973993],219.79579159144149,226.39242632453755
44,117.53764047289725,"[2.5941272058136478, 0.38103370158758054]",[0.39771579 0.07616499],239.0752809457945,245.67191567889057
45,136.1882421774304,"[0.29617388335694533, 0.12167814743134625]",[0.13300369 0.04797005],276.3764843548608,282.9731190879569
46,135.3849964627751,"[0.05707539391391796, 0.18569216858993992]",[0.04346752 0.0001    ],274.7699929255502,281.3666276586463
47,116.35752905483488,"[3.5977055029044926, 0.7901490102950599]",[0.09297632 0.01549146],236.71505810966977,243.31169284276584
48,60.44135511085197,"[4.413295800570304, 0.185528188956063]",[0.62857272 0.0869325 ],124.88271022170395,131.4793449548
49,123.52952502282834,"[3.7462834171162274, 0.24185731838845584]",[1.30490142 0.45760391],251.05905004565668,257.65568477875274
50,118.10357322030566,"[0.31161672295206366, 0.2720659862494906]",[0.09786349 0.01151316],240.20714644061133,246.8037811737074
51,126.19426613220777,"[2.208496833822573, 0.46918051276160827]",[0.10716081 0.00187184],256.3885322644155,262.9851669975116
52,126.37410399440121,"[2.96016757173316, 0.08981932936158327]",[0.05751072 0.0001    ],256.7482079888024,263.3448427218985
53,138.62943615179114,"[0.3918253673366197, 0.028546262935416643]",[1.000e-04 9.999e-01],281.2588723035823,287.8555070366784
54,128.0040286870508,"[0.18611227669924904, 0.6709416340611607]",[0.12027456 0.04347956],260.0080573741016,266.6046921071977
55,131.46262405273228,"[4.891247035269504, 0.20644911182177106]",[0.07436508 0.0001    ],266.92524810546456,273.52188283856066
56,137.7130776279802,"[1.2805626013748448, 0.6047275188596672]",[1.49955998 0.92227214],279.4261552559604,286.0227899890565
57,131.06573440763094,"[0.048560727588274, 0.5873663682826029]",[0.45616526 0.18001252],266.1314688152619,272.728103548358
58,125.20329901468527,"[1.1031734078243178, 0.03989226006834925]",[0.68291747 0.16963997],254.40659802937054,261.0032327624666
59,75.9715087258027,"[2.461175975094459, 0.38672603701299163]",[0.19347741 0.01637285],155.9430174516054,162.53965218470148
60,97.66087688880759,"[1.6171417213706376, 0.03305408379944811]",[0.21393116 0.03025878],199.32175377761519,205.91838851071125
61,136.27239964163059,"[4.546290127107742, 0.1321375607249529]",[0.05309736 0.02241595],276.54479928326117,283.14143401635727
62,134.5319400669722,"[4.863296956471123, 0.1720140061669541]",[0.0708535 0.0207756],273.0638801339444,279.6605148670405
63,138.32096210234943,"[2.1568560716443765, 0.3041401854993659]",[0.82565757 0.83703278],280.64192420469885,287.23855893779495
64,136.00109280822304,"[2.168198689061067, 0.3548332151433847]",[1.75967164 0.8717492 ],276.00218561644607,282.59882034954217
65,127.97152216032376,"[0.8503449825111803, 0.22252945044915665]",[0.65788365 0.18959057],259.9430443206475,266.5396790537436
66,89.4230424777085,"[2.689248727866675, 0.9786471661902796]",[0.09704629 0.0001    ],182.846084955417,189.44271968851308
67,131.0299138739933,"[1.0060830070178037, 0.6706398733803688]",[0.03876844 0.0001    ],266.0598277479866,272.6564624810827
68,138.62943613926865,"[4.323406957469921, 0.9567837205579841]",[1.000e-04 9.999e-01],281.2588722785373,287.8555070116334
69,133.84293215601875,"[0.1462838331355941, 0.14194839189668373]",[0.32789659 0.13528364],271.6858643120375,278.2824990451336
70,32.17793227962762,"[1.4714482302766458, 0.35284502329923945]",[1.31576839 0.19515469],68.35586455925524,74.9524992923513
71,135.8480248448231,"[3.152059653152223, 0.2162428572863641]",[0.02478857 0.0001    ],275.6960496896462,282.2926844227423
72,138.61774399762785,"[4.979287321736364, 0.10312193602032983]",[0.00364035 0.0001    ],281.2354879952557,287.8321227283518
73,132.68092328678847,"[4.3162889859897495, 0.11454269975181408]",[0.13004189 0.03889867],269.36184657357694,275.95848130667304
74,138.6294361528881,"[1.1512942470367786, 0.4804314419969114]",[1.000e-04 9.999e-01],281.2588723057762,287.8555070388723
75,132.40085903519588,"[3.951792897075343, 0.07186746015608166]",[0.08997409 0.0001    ],268.80171807039176,275.39835280348785
76,138.55119482191688,"[4.667427245068387, 0.15015058071044582]",[0.00489295 0.0001    ],281.10238964383376,287.69902437692986
77,138.6067642068257,"[0.01876860857002309, 0.11384144160802206]",[0.01440917 0.07029214],281.2135284136514,287.81016314674747
78,130.18833666071038,"[1.5253893600931479, 0.3337059588482936]",[0.09807345 0.02125577],264.37667332142075,270.97330805451685
79,138.61910218254513,"[4.1507536078543845, 0.1848734506340051]",[0.00208366 0.0001    ],281.23820436509027,287.83483909818636
80,138.28386851630938,"[4.8345321077484025, 0.03421095524970587]",[0.01302714 0.0001    ],280.56773703261877,287.16437176571486
81,113.84793488924568,"[3.457844458541046, 0.22506425000362465]",[1.04872891e-01 1.00000000e-04],231.69586977849136,238.29250451158742
82,128.05328715562746,"[4.746912329090505, 0.4907270879518746]",[0.06203049 0.0001    ],260.1065743112549,266.703209044351
83,132.0670788863874,"[4.24114953374871, 0.16454835343791335]",[0.0660958 0.0001   ],268.1341577727748,274.7307925058709
84,138.62943621508973,"[0.5795079921292939, 0.40616692964049156]",[1.000e-04 9.999e-01],281.25887243017945,287.85550716327555
85,105.98406792841068,"[0.2817409957112483, 0.7719139978237355]",[1.02418987 0.29900111],215.96813585682136,222.56477058991743
86,30.634950685018485,"[0.21015925972647329, 0.9569162302149817]",[1.51777105 0.208087  ],65.26990137003696,71.86653610313304
87,130.29582609496245,"[0.41760541738247664, 0.45627560224208014]",[0.40483549 0.15032802],264.5916521899249,271.188286923021
88,123.38357167950835,"[2.5705262310006867, 0.8601771707286016]",[0.76689521 0.26137671],250.7671433590167,257.3637780921128
89,136.09897911175554,"[3.3875102873571152, 0.07436840324580084]",[0.03017235 0.0001    ],276.1979582235111,282.7945929566072
90,138.6294361307893,"[0.7701633890656355, 0.8519640086046161]",[1.000e-04 9.999e-01],281.2588722615786,287.85550699467467
91,124.806877812077,"[3.6691518835191665, 0.20431308731595257]",[0.05316475 0.01087082],253.613755624154,260.2103903572501
92,138.47930706948443,"[4.465928985241035, 0.13631582745014229]",[0.00646537 0.0001    ],280.95861413896887,287.55524887206496
93,110.03439397403322,"[2.0368574333879033, 0.12155371338453207]",[0.30551571 0.05617007],224.06878794806644,230.6654226811625
94,128.48552892974106,"[1.022587980674876, 0.5286251018723771]",[0.60882509 0.27104427],260.97105785948213,267.5676925925782
95,129.20143251974596,"[2.3769904613981248, 0.9337278284631606]",[0.6844269  0.23970952],262.4028650394919,268.999499772588
96,135.09420176205873,"[0.29946341729016673, 0.1046188750377218]",[0.15773398 0.10386242],274.18840352411746,280.78503825721356
97,137.0499806249689,"[0.08030937862093307, 0.33494549729913864]",[0.33002357 0.30620817],278.0999612499378,284.6965959830339
98,98.63833577278963,"[1.9765005162449716, 0.35537706593621277]",[0.85776487 0.16254412],201.27667154557926,207.87330627867533
99,138.390959751911,"[3.884243190306911, 0.04333877719575695]",[0.01096356 0.0001    ],280.781919503822,287.3785542369181
100,111.6691173628518,"[3.0031204786294166, 0.11915188412752202]",[0.36964277 0.0891985 ],227.3382347257036,233.93486945879965
101,135.30802751373736,"[3.417566874353512, 0.41533379638460977]",[0.49873524 0.2607484 ],274.6160550274747,281.2126897605708
102,93.46211443109496,"[0.6616316083879366, 0.13192755717109736]",[0.08591393 0.0001    ],190.92422886218992,197.520863595286
103,137.48827620333697,"[0.15515161737121344, 0.4333525275632511]",[0.02763797 0.0001    ],278.97655240667393,285.57318713977
104,129.00369676526205,"[3.1468816148141103, 0.16358457508345836]",[0.05929892 0.0001    ],262.0073935305241,268.6040282636202
105,114.99419464254976,"[1.5544227204559358, 0.5966696125989397]",[4.9999     0.99120698],233.98838928509952,240.58502401819558
106,128.69784113503115,"[0.13721303579480482, 0.4852280210887723]",[0.05892344 0.00618258],261.3956822700623,267.9923170031584
107,109.53852457316312,"[0.30162473016360086, 0.2594643999011049]",[0.07917757 0.0001    ],223.07704914632623,229.6736838794223
108,66.01050176245562,"[0.9415109615697445, 0.3369260077222459]",[0.31130309 0.04163218],136.02100352491124,142.6176382580073
109,72.02692593230795,"[1.6146702439550782, 0.2530169903674949]",[0.23956206 0.02564443],148.0538518646159,154.65048659771196
110,129.86768394718683,"[4.96999244239617, 0.538576873391829]",[0.21711789 0.05731986],263.73536789437367,270.33200262746976
111,105.55106456917159,"[2.9731480593436332, 0.019743912637447823]",[0.71064213 0.12498162],215.10212913834317,221.69876387143924
112,93.61978860520695,"[0.9616270274970635, 0.7494577337123853]",[0.74027086 0.1578628 ],191.2395772104139,197.83621194350997
113,118.32143263606592,"[4.507693459741929, 0.0759619812673708]",[0.78819336 0.24186867],240.64286527213184,247.2395000052279
114,138.62943613177382,"[2.3797058121511765, 0.14837108787106892]",[1.000e-04 9.999e-01],281.25887226354763,287.8555069966437
115,75.20633828318094,"[4.519450793176309, 0.48115469214712697]",[4.9999     0.96673164],154.41267656636188,161.00931129945795
116,136.8317575581232,"[4.659980609175535, 0.1627425463773763]",[0.02043196 0.0001    ],277.6635151162464,284.2601498493425
117,129.40394759851145,"[4.448112327622095, 0.1360461671649329]",[0.04100949 0.0001    ],262.8078951970229,269.404529930119
118,61.951363505158696,"[1.8161460928600819, 0.03699312283846653]",[0.1701484  0.00700001],127.90272701031739,134.49936174341346
119,109.82558084321053,"[0.13509898993601543, 0.7355023556676136]",[0.47240323 0.10071002],223.65116168642106,230.24779641951713
120,138.62943646926047,"[3.302361841982763, 0.22198571840538422]",[1.000e-04 9.999e-01],281.25887293852094,287.85550767161703
121,138.62943632485005,"[3.2861782860590045, 0.23335873272608418]",[1.000e-04 9.999e-01],281.2588726497001,287.8555073827962
122,106.89580225420416,"[2.8012314049648754, 0.45044139892475754]",[0.09886427 0.00714386],217.7916045084083,224.38823924150438
123,137.02694384300543,"[4.523407321067606, 0.1300979123628117]",[0.0299155 0.0001   ],278.05388768601085,284.65052241910695
124,94.88884200769215,"[0.7635238756014919, 0.06988949184460543]",[0.18066912 0.02372023],193.7776840153843,200.37431874848036
125,138.62943622130422,"[0.3946535742955239, 0.33820977287388465]",[1.000e-04 9.999e-01],281.25887244260844,287.85550717570453
126,101.95836254422649,"[1.096091470214248, 0.6114260087632226]",[1.36321704 0.36586322],207.91672508845298,214.51335982154905
127,75.90839747485116,"[0.5213892510359194, 0.4076665042409212]",[0.24123911 0.02061435],155.8167949497023,162.41342968279838
128,125.75867401988016,"[0.002150348093585438, 0.39355009773370225]",[0.05054438 0.0001    ],255.51734803976032,262.1139827728564
129,111.96343323852776,"[0.2059273201016856, 0.11058844151716701]",[0.06810581 0.00445289],227.9268664770555,234.52350121015158
130,138.32432468716627,"[3.481099304700589, 0.7616568679698179]",[4.9999     0.99890189],280.64864937433254,287.24528410742863
131,138.56622971832584,"[3.811910246096316, 0.10140124842594718]",[0.00524701 0.0001    ],281.1324594366517,287.7290941697478
132,136.55821314650956,"[0.054448419780139694, 0.2942563083263963]",[0.13087469 0.04966128],277.1164262930191,283.7130610261152
133,128.5774586403811,"[0.018643268915459036, 0.10501347523721072]",[0.1006025  0.02735293],261.1549172807622,267.7515520138583
134,117.66591803004208,"[1.702110435554839, 0.8597608656611571]",[0.30576669 0.06498564],239.33183606008416,245.92847079318022
135,129.19519481496627,"[0.43104386523039007, 0.3365663774213543]",[0.06434484 0.00797217],262.39038962993254,268.98702436302864
136,107.07883413773642,"[2.583740641569092, 0.8812154787987063]",[0.78746655 0.14025309],218.15766827547284,224.7543030085689
137,116.79704450820677,"[3.7358326216916455, 0.3453767344115191]",[1.47510723 0.62755791],237.59408901641353,244.1907237495096
138,129.35771952349234,"[1.1258438658078198, 0.69208159725727]",[0.03502788 0.0001    ],262.71543904698467,269.31207378008077
139,133.07148586037087,"[0.17808204208405312, 0.1657062756772896]",[0.06447504 0.02117358],270.14297172074174,276.73960645383784
140,135.8288760920518,"[1.7746337143903808, 0.8569403245400525]",[4.9999     0.99582748],275.6577521841036,282.25438691719967
141,138.3047800337231,"[3.5532200881875977, 0.06858994870632677]",[0.01346516 0.0001    ],280.6095600674462,287.2061948005423
142,138.62943616327803,"[3.7548637094742587, 0.9406416656931111]",[1.000e-04 9.999e-01],281.25887232655606,287.85550705965215
143,60.97476766728616,"[1.24749647705687, 0.11224183396196559]",[0.31277958 0.03396464],125.94953533457232,132.54617006766838
144,120.3031115035433,"[1.4889103674907536, 0.22502241729662603]",[0.22894228 0.07538583],244.6062230070866,251.20285774018268
145,100.97946958605192,"[4.453413128594041, 0.27407777371756503]",[0.14862629 0.02187355],205.95893917210384,212.5555739051999
146,127.25654676980834,"[4.414612650884814, 0.33749237654450576]",[0.19971153 0.04115792],258.51309353961665,265.10972827271274
147,122.68789424904077,"[0.24023546602109433, 0.04969650720555172]",[0.34952645 0.0668471 ],249.37578849808153,255.9724232311776
148,137.46913176563115,"[0.45240071586583147, 0.6321055426676184]",[0.07243478 0.04929876],278.9382635312623,285.5348982643584
149,130.51585658781795,"[2.240739746581271, 0.18026487802273722]",[1.33940387 0.67519956],265.0317131756359,271.628347908732
150,126.05253883392979,"[4.0869028816918895, 0.8274681607591117]",[0.10438264 0.03849774],256.1050776678596,262.70171240095567
151,105.94240355242388,"[2.8399032065824694, 0.2869992475530858]",[1.64001844 0.53758198],215.88480710484777,222.48144183794383
152,133.0539565216712,"[0.12520291444150122, 0.27362997488214813]",[0.12493067 0.02075872],270.1079130433424,276.7045477764385
153,130.37041206278002,"[1.219550255621097, 0.567092549779827]",[0.46088771 0.1901767 ],264.74082412556004,271.33745885865613
