participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
2,167.23221627012308,"[3.2343480873130974, 0.3240575749931021]",[0.52426379 0.75860278],338.46443254024615,345.50735437597064
3,163.46186574684867,"[3.2628297216333095, 0.9660765003002122]",[0.93912982 0.14231563],330.92373149369735,337.96665332942183
4,140.20517879618737,"[3.127861464441267, 0.8501239623175261]",[1.25115649 0.44067348],284.41035759237474,291.4532794280992
5,107.08910025226724,"[0.9139348809592635, 0.9916289394948052]",[4.99990000e+00 8.83899223e-04],218.1782005045345,225.22112234025897
6,132.80194741373535,"[2.941183011439955, 0.5505704428300263]",[0.88338209 0.9999    ],269.6038948274707,276.6468166631952
9,84.74832423645434,"[3.306846319214861, 0.29754925866505827]",[2.7884773  0.01875457],173.49664847290867,180.53957030863316
12,124.02524549245754,"[2.392266162840381, 0.37819164626703966]",[1.44852698 0.16021901],252.0504909849151,259.09341282063957
14,166.46155287401137,"[1.6077795165928868, 0.44706769344604114]",[0.53722217 0.9999    ],336.92310574802275,343.96602758374723
16,171.85296029486685,"[2.0826974584836195, 0.29365418008698696]",[0.26726869 0.9999    ],347.7059205897337,354.7488424254582
17,165.95312810270246,"[4.782459495810987, 0.4874869415723123]",[0.52659797 0.9999    ],335.90625620540493,342.9491780411294
18,155.72529926896033,"[0.27757484994994397, 0.3984003985495941]",[0.62492384 0.9999    ],315.45059853792065,322.49352037364514
19,68.09154860701581,"[2.42482565696481, 0.07115665429785456]",[2.56356467 0.04319625],140.18309721403162,147.2260190497561
20,170.84572926771955,"[3.158499367811836, 0.7400252531677023]",[0.89487363 0.02953382],345.6914585354391,352.7343803711636
23,42.4559423370499,"[2.5690868942276484, 0.8882122144307022]",[2.58319336 0.11514689],88.9118846740998,95.9548065098243
24,72.08106927101244,"[0.8136213362348066, 0.5882687231910122]",[1.78778736 0.62370771],148.16213854202488,155.20506037774936
25,146.96199317505227,"[3.8867829743604925, 0.9388892940467435]",[1.0970831  0.41698584],297.92398635010454,304.966908185829
26,163.4051565227672,"[3.1134306344911744, 0.404063093410537]",[0.95837906 0.08217104],330.8103130455344,337.85323488125886
33,173.28679732185645,"[4.332067784226002, 0.548370517353531]",[0.0001 0.0001],350.5735946437129,357.6165164794374
35,172.9570422280541,"[1.2932361083759896, 0.40100345867379206]",[0.24915437 0.15211158],349.9140844561082,356.95700629183267
36,162.16746230321607,"[1.1433897053458528, 0.7207753408918953]",[0.59948281 0.58810001],328.33492460643214,335.3778464421566
38,54.0191712035905,"[3.0109116247632053, 0.10646310921850118]",[2.14697522 0.36032292],112.038342407181,119.08126424290549
40,168.58946579877278,"[2.6103165641788895, 0.5711676444257929]",[1.20717043 0.03464086],341.17893159754556,348.22185343327004
42,155.20008410083162,"[4.828734637917256, 0.0012856442698559471]",[1.36608532 0.09681646],314.40016820166323,321.4430900373877
