participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,134.10653760549334,"[3.7254836071717894, 0.33681605728427083]",[0.6326605  0.20510623],272.2130752109867,278.8097099440828
2,137.91686448390416,"[0.4405642642039304, 0.3076333000791842]",[0.15770494 0.9999    ],279.8337289678083,286.4303637009044
3,96.15349956983168,"[0.6340478042260309, 0.22947467721732984]",[1.21563363 0.9999    ],196.30699913966336,202.90363387275943
4,137.85689940990113,"[0.6858569858303699, 0.07753613133072514]",[4.64909206e+00 1.00000000e-04],279.71379881980226,286.31043355289836
5,130.21076879723043,"[3.084841107156063, 0.6751981670768075]",[4.99990000e+00 4.05403588e-04],264.42153759446086,271.01817232755695
6,135.56944396529798,"[0.9260769789585849, 0.35710079829878255]",[0.43277652 0.9999    ],275.13888793059596,281.73552266369205
7,108.30954120175323,"[4.021218739874948, 0.3763625065423746]",[4.99990000e+00 6.37008419e-04],220.61908240350647,227.21571713660254
8,87.68287527804311,"[0.6866134294529072, 0.16037875671490173]",[2.60588021 0.16271666],179.36575055608623,185.9623852891823
9,132.03166799386045,"[3.297334998462127, 0.7446611915716085]",[0.42935801 0.9999    ],268.0633359877209,274.659970720817
10,109.19227236430885,"[0.167164072334283, 0.20480741860895216]",[1.20461332 0.48680327],222.3845447286177,228.98117946171377
11,110.95976399024151,"[1.7852330364621636, 0.3541303256492684]",[1.03226093 0.39371126],225.91952798048302,232.5161627135791
12,138.62943715969436,"[3.165102196806798, 0.7550263872699086]",[0.0001 0.0001],281.2588743193887,287.8555090524848
13,114.30137917969178,"[4.073997664891614, 0.43699120803911357]",[1.13638553 0.25034035],232.60275835938356,239.19939309247962
14,118.84322974653918,"[1.0299782786279816, 0.6001311044663428]",[4.99990000e+00 6.92199349e-04],241.68645949307836,248.28309422617443
15,137.29128256076953,"[4.503262762719252, 0.10031986721416089]",[4.99990000e+00 1.14973756e-04],278.58256512153906,285.17919985463516
16,134.34156208560768,"[0.8197611353406475, 0.04254553958175024]",[0.85471389 0.08747169],272.68312417121535,279.27975890431145
