participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,138.45896299110416,"[4.835323508342727, 0.9235815331752661]",[0.08052373 0.9999    ],280.9179259822083,287.5145607153044
2,136.11956105871167,"[0.38357804867861406, 0.31961429682006803]",[0.66746531 0.1492229 ],276.23912211742334,282.83575685051943
3,138.6294445051971,"[2.860622498436693, 0.3582320552708243]",[0.0001 0.0001],281.2588890103942,287.8555237434903
4,131.11459070368662,"[4.5246378466632855, 0.1484435689685552]",[0.57810833 0.9999    ],266.22918140737323,272.8258161404693
5,117.71276258703949,"[3.365303504035536, 0.0178113249869328]",[4.99990000e+00 9.21672223e-04],239.42552517407898,246.02215990717505
6,135.05313248257642,"[3.752736048684453, 0.5097176075858925]",[0.75647919 0.1568225 ],274.10626496515283,280.7028996982489
7,136.98612316397052,"[0.9548833776442466, 0.22265393298204197]",[0.86378778 0.1499572 ],277.97224632794104,284.56888106103713
8,102.29281549610737,"[2.430227737131602, 0.01098114463198245]",[4.99990000e+00 9.41144304e-04],208.58563099221473,215.1822657253108
9,133.9221841495567,"[2.467527170103408, 0.8234425584980047]",[4.99990000e+00 1.84989161e-04],271.8443682991134,278.4410030322095
10,112.34323756433119,"[3.0784632106357135, 0.4242973672750245]",[1.52093028 0.05182742],228.68647512866238,235.28310986175845
11,92.9768288229458,"[2.9415663122786144, 0.5163455551421746]",[2.0391195  0.05968912],189.9536576458916,196.55029237898768
12,133.6869245899241,"[1.5628757086859961, 0.5214163974464199]",[4.99990000e+00 1.82262856e-04],271.3738491798482,277.9704839129443
13,130.01317601717886,"[1.2588511831874731, 0.377144386061078]",[0.59215881 0.9999    ],264.0263520343577,270.6229867674538
14,138.26482363601602,"[4.749081893060324, 0.09598590964177496]",[4.71002149e+00 1.00000000e-04],280.52964727203204,287.12628200512813
15,135.7289921168971,"[0.6237679446211101, 0.5893646151631358]",[0.3830689  0.74429578],275.4579842337942,282.0546189668903
16,129.9538423177461,"[0.2334793013103127, 0.20397295457098671]",[4.99990000e+00 2.92026134e-04],263.9076846354922,270.5043193685883
17,136.3591649822377,"[3.7353734838361494, 0.27657301143814433]",[0.30226924 0.9999    ],276.7183299644754,283.3149646975715
18,137.16822387638052,"[0.38203564477932006, 0.077203545387102]",[4.99990000e+00 1.24084378e-04],278.33644775276105,284.93308248585714
19,138.61908702470663,"[4.677042886972657, 0.6951309883311193]",[0.02911471 0.9999    ],281.23817404941326,287.83480878250936
20,130.90973824644567,"[1.8411488188756104, 0.324713432257018]",[4.99990000e+00 4.71957396e-04],265.81947649289134,272.41611122598744
21,137.92602514580943,"[2.7676538521131713, 0.3118095796357357]",[4.73538038e+00 1.00000000e-04],279.85205029161887,286.44868502471496
22,138.53734825938068,"[0.08317432298365585, 0.7881593069846395]",[0.10595994 0.4826795 ],281.07469651876136,287.67133125185745
23,132.79483423698287,"[4.730306091350813, 0.4514204590766679]",[2.16176896 0.008641  ],269.58966847396573,276.1863032070618
24,137.91293300237118,"[2.218354338775015, 0.4249331684252382]",[0.44550369 0.08786704],279.82586600474235,286.42250073783845
25,96.33887760502316,"[1.6922585000520054, 0.2562804093749678]",[4.99990000e+00 7.06384972e-04],196.6777552100463,203.27438994314238
26,93.5626762113005,"[1.518559485551544, 0.4069026075691992]",[4.99990000e+00 7.95084004e-04],191.125352422601,197.72198715569706
27,91.16868169029647,"[0.5621881160374517, 0.14987145099630778]",[4.99990000e+00 1.20147782e-03],186.33736338059293,192.933998113689
28,133.72868187659648,"[0.014011931381118814, 0.05236896461477658]",[0.89824149 0.10161429],271.45736375319296,278.05399848628906
29,138.62943892073326,"[4.84214189197054, 0.033104692541626284]",[0.0001 0.0001],281.25887784146653,287.8555125745626
30,128.938751034789,"[0.11681228391059999, 0.6057295840525061]",[0.49407584 0.9999    ],261.877502069578,268.4741368026741
31,138.62210227134105,"[0.8303887273434234, 0.7035359283577263]",[0.0747701  0.05132982],281.2442045426821,287.8408392757782
32,125.55865410172288,"[4.293334896290208, 0.5226431755481453]",[2.03196605 0.01215879],255.11730820344576,261.71394293654186
33,137.7438149350698,"[0.06519677501324848, 0.17292683377538973]",[0.33311106 0.47038981],279.4876298701396,286.0842646032357
34,98.43601997294063,"[2.864355075088834, 0.3262813532591064]",[1.56940822 0.18272452],200.87203994588126,207.46867467897732
35,138.62943880823485,"[1.1795802408906357, 0.3129593757765539]",[0.0001 0.0001],281.2588776164697,287.8555123495658
36,138.14338612882906,"[0.25361887276803347, 0.20219920507919079]",[0.39405127 0.11984148],280.28677225765813,286.8834069907542
37,122.87967150859755,"[2.284828059991727, 0.25735479293844604]",[0.78519491 0.44917521],249.7593430171951,256.3559777502912
38,137.90693593170892,"[4.0263642635966725, 0.0828388809508006]",[4.98259919e+00 1.00000000e-04],279.81387186341783,286.4105065965139
39,138.60753812531885,"[4.935981412170443, 0.7318789558706812]",[0.03831259 0.9999    ],281.2150762506377,287.8117109837338
40,111.66433184951565,"[0.6824160688672298, 0.40550407743558375]",[0.90032451 0.9999    ],227.3286636990313,233.92529843212736
41,130.98360099029188,"[1.9371045485611835, 0.26324630539854293]",[1.18429689 0.04664667],265.96720198058375,272.56383671367985
42,125.21922056762507,"[3.2419832277984306, 0.7523736255933836]",[0.95384952 0.32035352],254.43844113525014,261.0350758683462
43,108.43928913321795,"[4.56871553746723, 0.024959812250582393]",[4.99990000e+00 6.51394033e-04],220.8785782664359,227.47521299953198
44,132.4773074238974,"[0.8378217983328937, 0.9812158415478832]",[0.5415393 0.9999   ],268.9546148477948,275.5512495808909
45,136.00161014119885,"[2.534260283086586, 0.8597825427333479]",[4.99990000e+00 1.64491614e-04],276.0032202823977,282.5998550154938
46,136.9000119858154,"[0.534234322074605, 0.6361461528809615]",[0.55726146 0.20153685],277.8000239716308,284.3966587047269
47,125.27479560619611,"[2.5142000621388516, 0.44756030353883247]",[0.73529036 0.49668753],254.54959121239222,261.1462259454883
