participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,115.943467019186,"[1.6612597795842088, 0.8348140576101053]",[1.78532104 0.07813156],235.886934038372,242.9298558740965
2,167.23221627012273,"[0.034188609407464585, 0.6385485652775483]",[0.52426373 0.75860283],338.46443254024547,345.50735437596995
3,163.46186574684856,"[0.11550385922502078, 0.4998713272977644]",[0.93912987 0.14231566],330.9237314936971,337.9666533294216
4,140.20517879618754,"[2.2355902936854175, 0.7648854592598577]",[1.25115647 0.44067352],284.4103575923751,291.45327942809956
5,107.08910025226892,"[2.3997127569978227, 0.12291677292768609]",[4.99990000e+00 8.83899514e-04],218.17820050453784,225.22112234026233
6,132.80194741373546,"[4.117330043165804, 0.20580332779532884]",[0.88338212 0.9999    ],269.6038948274709,276.6468166631954
7,173.28679557405985,"[4.980169577780592, 0.41532064669543883]",[0.0001 0.0001],350.5735911481197,357.6165129838442
8,173.28679856625425,"[1.0860383498261625, 0.7033141494321252]",[0.0001 0.0001],350.5735971325085,357.616518968233
9,84.74832423645499,"[4.2984527062178355, 0.2367017796275818]",[2.78847678 0.01875458],173.49664847290998,180.53957030863447
10,173.28679687831163,"[1.5618806360464361, 0.7824497756115686]",[0.0001 0.0001],350.57359375662327,357.61651559234775
11,114.38166851294794,"[3.711664629935271, 0.9011722381679139]",[1.60051017 0.23371738],232.76333702589588,239.80625886162036
12,124.02524549245771,"[2.4364677085053295, 0.42519422712898464]",[1.44852701 0.16021897],252.05049098491543,259.0934128206399
13,26.205538358739126,"[1.7129696980842004, 0.2384172374060062]",[2.88195716 0.12832186],56.41107671747825,63.453998553202744
14,166.4615528740114,"[0.7981728959514007, 0.7269549145016307]",[0.53722218 0.9999    ],336.9231057480228,343.9660275837473
15,132.32959837170586,"[4.847624988826884, 0.10460601947225659]",[1.32120148 0.29992043],268.6591967434117,275.7021185791362
16,171.85296029486685,"[3.2389317314603607, 0.5986100801838002]",[0.26726879 0.9999    ],347.7059205897337,354.7488424254582
17,165.95312810270235,"[0.5965769338653054, 0.7817219280391197]",[0.52659795 0.9999    ],335.9062562054047,342.9491780411292
18,155.7252992689602,"[2.088072050476355, 0.9433628182547843]",[0.62492389 0.9999    ],315.4505985379204,322.4935203736449
19,68.09154860701499,"[3.05972159062018, 0.1344359552240749]",[2.56356502 0.04319622],140.18309721402997,147.22601904975446
20,170.8457292677178,"[1.677661429523442, 0.5419469794809991]",[0.89487581 0.02953363],345.6914585354356,352.73438037116006
21,160.13399703187653,"[1.9605623131158552, 0.018905508058844153]",[4.99990000e+00 1.92044638e-04],324.26799406375306,331.31091589947755
22,173.17170302278566,"[1.9415498876165755, 0.6226761019566383]",[3.63313683e+00 1.00000000e-04],350.3434060455713,357.3863278812958
23,42.455942337049954,"[3.8088165634458204, 0.6636879346329813]",[2.58319339 0.11514689],88.91188467409991,95.95480650982441
24,72.08106927101251,"[3.903596241985778, 0.3673611820384059]",[1.78778737 0.6237077 ],148.16213854202502,155.2050603777495
25,146.9619931750521,"[2.372323425027288, 0.6903776329645419]",[1.09708319 0.41698579],297.9239863501042,304.9669081858287
26,163.40515652276713,"[1.7117258923031085, 0.6292133624554556]",[0.95837919 0.08217101],330.81031304553426,337.85323488125874
27,125.37088846948272,"[2.57487094338958, 0.3064152243607517]",[1.51108279 0.34619287],254.74177693896544,261.78469877468996
28,168.77809815850145,"[1.394854297699132, 0.4800621384242195]",[0.61774563 0.5112741 ],341.5561963170029,348.5991181527274
29,171.79842874500827,"[4.6196531716502305, 0.8450419000591298]",[0.24992054 0.9999    ],347.59685749001653,354.639779325741
30,173.28679637765782,"[2.3780484328657736, 0.5074637418468316]",[0.0001 0.0001],350.57359275531564,357.61651459104013
31,121.16484773241751,"[4.278537687673657, 0.7744075357621124]",[2.235178   0.03803451],246.32969546483503,253.3726173005595
32,44.243637640595466,"[2.0681185371193633, 0.9951770744210485]",[2.29797533 0.90759105],92.48727528119093,99.53019711691542
33,173.28679732185645,"[3.38492328317901, 0.4320367048689192]",[0.0001 0.0001],350.5735946437129,357.6165164794374
34,173.286799557005,"[1.8224161011333624, 0.18876811418989575]",[0.0001 0.0001],350.57359911401,357.6165209497345
35,172.9570422280539,"[0.20211125207622113, 0.2501513618758699]",[0.24915414 0.15211171],349.9140844561078,356.9570062918323
36,162.16746230321627,"[2.070829212326926, 0.42387810294784906]",[0.59948283 0.58809986],328.33492460643254,335.377846442157
37,173.26483739290683,"[4.991899038025384, 0.8794828706553266]",[0.03371242 0.9999    ],350.52967478581365,357.57259662153814
38,54.01917120359043,"[2.310710976173018, 0.8088344867289423]",[2.1469752  0.36032289],112.03834240718086,119.08126424290535
