Subnum,AIC,BIC,model,Condition,t,alpha,weight,scale,la,alpha_neg
1,272.3960787821405,282.2910308817846,delta_decay,Baseline,0.80462794,0.06143942,0.88172199,,,
1,276.8976652388214,293.3892520715616,delta_decay_PVL,Baseline,0.804282427,0.196329265,0.9999,0.684156847,0.0001,
1,273.4417464980749,283.336698597719,delta_decay_win,Baseline,0.58870439,0.20534445,0.9999,,,
1,277.4386682623454,293.9302550950856,delta_decay_PVL_win,Baseline,0.57429342,0.2051091,0.9999,0.9999,1.27827003,
1,272.6483581690776,285.84162763526973,delta_asymmetric_decay_win,Baseline,0.97193195,0.77197629,0.34693748,,,0.04917928
1,278.04720188333386,287.942153982978,delta_decay,Frequency,0.467997681,0.9999,0.0001,,,
1,278.77566507515326,295.2672519078934,delta_decay_PVL,Frequency,0.479292575,0.9999,0.0001,0.0001,0.536015389,
1,279.21261100839064,289.10756310803475,delta_decay_win,Frequency,0.43153752,0.9999,0.11348044,,,
1,279.66877486096183,296.16036169370204,delta_decay_PVL_win,Frequency,0.551338196,0.9999,0.0928343101,0.0003312744,4.99687807,
1,281.2126110083905,294.40588047458266,delta_asymmetric_decay_win,Frequency,0.43153743,0.9999,0.11348038,,,0.9999
2,273.3143972766256,283.2093493762697,delta_decay,Baseline,0.523964954,0.9999,0.0001,,,
2,277.0024413622801,293.4940281950203,delta_decay_PVL,Baseline,0.619436232,0.9999,0.0001,0.9999,0.678174678,
2,279.89386209286374,289.78881419250786,delta_decay_win,Baseline,0.28663473,0.9999,0.5167033,,,
2,279.81016395098254,296.3017507837227,delta_decay_PVL_win,Baseline,0.535241108,0.9999,0.565545948,0.0001,0.0001,
2,276.7170545803977,289.91032404658984,delta_asymmetric_decay_win,Baseline,0.56829105,0.00561378,0.9999,,,0.9999
2,252.29772008787452,262.19267218751867,delta_decay,Frequency,0.07632061,0.0001,0.0001,,,
2,244.1417571343784,260.6333439671185,delta_decay_PVL,Frequency,0.06630008,0.0001,0.0001,0.08656576,0.0001,
2,240.23427205339388,250.129224153038,delta_decay_win,Frequency,0.06158857,0.0001,0.0001,,,
2,243.97982108883232,260.4714079215725,delta_decay_PVL_win,Frequency,3.20089752,0.00221552005,0.917522721,0.0952861369,0.0001,
2,238.5489683134692,251.7422377796613,delta_asymmetric_decay_win,Frequency,0.071217035,0.0001,0.0001,,,0.937502735
3,145.46421271759476,155.35916481723888,delta_decay,Baseline,3.21932237,0.03239055,0.9999,,,
3,145.96455113880108,162.45613797154127,delta_decay_PVL,Baseline,3.63910456,0.0253458928,0.99959506,0.528517856,0.0001,
3,200.1112473078441,210.00619940748825,delta_decay_win,Baseline,1.20077646,0.9999,0.9999,,,
3,199.1768248477024,215.66841168044257,delta_decay_PVL_win,Baseline,1.28607682,0.9999,0.9999,0.9999,0.0001,
3,198.66805566702712,211.86132513321925,delta_asymmetric_decay_win,Baseline,1.25085638,0.76332168,0.9999,,,0.9999
3,207.74268740537528,217.6376395050194,delta_decay,Frequency,0.603677094,0.098842626,0.0001,,,
3,159.5567784410466,176.04836527378677,delta_decay_PVL,Frequency,4.9999,0.992820479,0.00228268958,0.9999,0.0001,
3,161.54607908164064,171.44103118128476,delta_decay_win,Frequency,1.58490709,0.0001,0.226599023,,,
3,161.57458973946433,178.0661765722045,delta_decay_PVL_win,Frequency,2.3373511,0.9999,0.231139523,0.0001,0.0001,
3,77.9446066481339,91.13787611432603,delta_asymmetric_decay_win,Frequency,4.9999,0.434181073,0.0001,,,0.028458372
4,280.34243663816585,290.23738873781,delta_decay,Baseline,3.68377846,0.000215950172,0.9999,,,
4,281.8707965354418,298.362383368182,delta_decay_PVL,Baseline,0.701511953,0.0001,0.96436844,0.0001,0.612269061,
4,276.8298409575508,286.7247930571949,delta_decay_win,Baseline,0.749208894,0.0001,0.826369239,,,
4,279.457654370312,295.9492412030522,delta_decay_PVL_win,Baseline,3.10653112,0.000153970449,0.842064866,0.0001,4.9999,
4,277.19200707522464,290.3852765414168,delta_asymmetric_decay_win,Baseline,0.682642072,0.0001,0.803821302,,,0.0370322684
4,246.16173174545835,256.05668384510244,delta_decay,Frequency,0.05655734,0.0001,0.0001,,,
4,225.58083934940765,242.07242618214784,delta_decay_PVL,Frequency,0.07879496,0.0001,0.0001,0.0001,0.0001,
4,221.57956415569015,231.4745162553343,delta_decay_win,Frequency,0.07880049,0.0001,0.0001,,,
4,225.5273952119608,242.018982044701,delta_decay_PVL_win,Frequency,4.24936683,0.000878200631,0.955259674,0.0001,0.0001,
4,221.61885743927476,234.81212690546687,delta_asymmetric_decay_win,Frequency,0.0839623937,0.0001,0.0001,,,0.570537169
5,243.9170147914735,253.8119668911176,delta_decay,Baseline,0.9777695,0.82262759,0.00936917,,,
5,244.28156580177043,260.7731526345106,delta_decay_PVL,Baseline,0.863778288,0.714042593,0.0001,0.405175147,0.0001,
5,240.0786528517792,249.9736049514233,delta_decay_win,Baseline,0.944844642,0.978925573,0.0001,,,
5,239.48037260165808,255.97195943439823,delta_decay_PVL_win,Baseline,0.866829042,0.693382143,0.0001,0.9999,3.43597383,
5,237.1250718713268,250.3183413375189,delta_asymmetric_decay_win,Baseline,0.874876536,0.747594693,0.0001,,,0.973309174
5,214.93520803787223,224.8301601375164,delta_decay,Frequency,0.113739554,0.0001,0.0001,,,
5,218.301976757273,234.7935635900132,delta_decay_PVL,Frequency,1.47615922,0.308627995,0.632404087,0.9999,0.0001,
5,215.03792067709463,224.93287277673875,delta_decay_win,Frequency,4.9999,0.000553983304,0.9999,,,
5,218.50910847783496,235.0006953105752,delta_decay_PVL_win,Frequency,4.9999,0.000570245352,0.9999,0.97968034,0.0001,
5,206.2621801845174,219.45544965070957,delta_asymmetric_decay_win,Frequency,0.99103542,0.156217519,0.261293568,,,0.0001
6,275.8390133570523,285.7339654566964,delta_decay,Baseline,0.43018628,0.9999,0.9999,,,
6,277.81201255247584,294.303599385216,delta_decay_PVL,Baseline,2.57517697,0.00488007,0.9999,0.17493092,1.35921081,
6,276.065365938233,285.9603180378772,delta_decay_win,Baseline,0.42297331,0.9999,0.9999,,,
6,279.61930937320267,296.1108962059428,delta_decay_PVL_win,Baseline,0.483055831,0.9999,0.9999,0.9999,0.0001,
6,277.664413590952,290.85768305714413,delta_asymmetric_decay_win,Baseline,2.75231603,0.0001,0.9999,,,0.0186170927
6,274.15921087727384,284.05416297691795,delta_decay,Frequency,0.72577755,0.15102019,0.9999,,,
6,277.23226187164704,293.72384870438725,delta_decay_PVL,Frequency,0.62264844,0.15603201,0.9999,0.42819165,2.05878915,
6,274.1583357315328,284.0532878311769,delta_decay_win,Frequency,0.72434857,0.15147133,0.9999,,,
6,276.6358477582248,293.127434590965,delta_decay_PVL_win,Frequency,4.55867081,0.000167908982,0.7261662,0.507012396,4.9999,
6,276.10472940944226,289.2979988756344,delta_asymmetric_decay_win,Frequency,0.66315199,0.3364842,0.9999,,,0.04805566
7,200.08406653665355,209.97901863629767,delta_decay,Baseline,0.419268,0.0357854,0.40806325,,,
7,205.28289110263935,221.7744779353796,delta_decay_PVL,Baseline,0.263293538,0.0512077289,0.0001,0.825129052,0.0001,
7,202.04059283175047,211.9355449313946,delta_decay_win,Baseline,0.170627,0.01933365,0.10178333,,,
7,201.15180098457083,217.643387817311,delta_decay_PVL_win,Baseline,0.357129474,0.0401986198,0.189617058,0.636202478,0.0001,
7,199.48711584548911,212.68038531168125,delta_asymmetric_decay_win,Baseline,0.34732124,0.04568896,0.15805095,,,0.81545401
7,145.15588545795185,155.05083755759594,delta_decay,Frequency,1.51668212,0.03514871,0.75369355,,,
7,167.1807205840837,183.67230741682388,delta_decay_PVL,Frequency,1.11132003,0.0543168511,0.771705399,0.9999,0.0001,
7,147.83685228776758,157.7318043874117,delta_decay_win,Frequency,1.59196804,0.25685648,0.55261276,,,
7,146.40690961115206,162.89849644389224,delta_decay_PVL_win,Frequency,1.46567659,0.310318458,0.633155863,0.336649496,0.0001,
7,139.45105036404698,152.6443198302391,delta_asymmetric_decay_win,Frequency,4.9999,0.0098933,0.12598009,,,0.25430472
9,236.79905859501628,246.6940106946604,delta_decay,Baseline,0.820153763,0.278324245,0.0001,,,
9,235.798756491749,252.2903433244892,delta_decay_PVL,Baseline,0.804147015,0.282371672,0.0001,0.521287769,0.711448185,
9,236.46645766956468,246.3614097692088,delta_decay_win,Baseline,0.574080471,0.175781332,0.0001,,,
9,236.26406365332355,252.75565048606373,delta_decay_PVL_win,Baseline,0.733128188,0.301362252,0.0001,0.193735141,0.463250091,
9,237.7147171684659,250.90798663465804,delta_asymmetric_decay_win,Baseline,0.664578467,0.239146448,0.0001,,,0.427374486
9,267.064589995175,276.95954209481914,delta_decay,Frequency,0.46497588,0.54823387,0.16344277,,,
9,262.5647122848551,279.05629911759524,delta_decay_PVL,Frequency,0.611169404,0.627226154,0.0001,0.0001,0.0001,
9,267.91533432870904,277.81028642835315,delta_decay_win,Frequency,0.566107409,0.795755174,0.0001,,,
9,262.5614795699887,279.05306640272886,delta_decay_PVL_win,Frequency,0.611201788,0.627222688,0.0001,0.0001,0.0001,
9,268.61264713264785,281.80591659884,delta_asymmetric_decay_win,Frequency,2.85647122,0.0001,0.9999,,,0.0134076921
10,225.02651281947925,234.92146491912337,delta_decay,Baseline,0.53245411,0.12531556,0.00517154,,,
10,201.18005075517328,217.67163758791344,delta_decay_PVL,Baseline,0.578145475,0.149361754,0.0001,0.354530016,4.9999,
10,207.33695917144968,217.2319112710938,delta_decay_win,Baseline,0.55443342,0.13163858,0.0001,,,
10,196.73945669832963,213.23104353106984,delta_decay_PVL_win,Baseline,1.09417597,0.41325015,0.8302553,0.69984698,4.9999,
10,186.80983587946108,200.0031053456532,delta_asymmetric_decay_win,Baseline,1.52871608,0.19924368,0.92000767,,,0.9999
10,219.82454146482488,229.719493564469,delta_decay,Frequency,0.66104108,0.04499233,0.63725816,,,
10,218.8944796549873,235.38606648772748,delta_decay_PVL,Frequency,3.1731542,0.00302136259,0.9999,0.0001,4.9999,
10,225.29476716956185,235.18971926920597,delta_decay_win,Frequency,2.9698197,0.0001,0.429737241,,,
10,214.3387431056541,230.83032993839424,delta_decay_PVL_win,Frequency,4.20341209,0.0001,0.328097955,0.318526955,3.0588579,
10,204.7938671740696,217.98713664026172,delta_asymmetric_decay_win,Frequency,4.9999,0.99249342,0.49605697,,,0.02209191
11,227.0347767724002,236.9297288720443,delta_decay,Baseline,1.02536859,0.39299496,0.9999,,,
11,216.90171905276867,233.39330588550885,delta_decay_PVL,Baseline,0.60742088,0.29479313,0.56671514,0.54819496,4.9999,
11,216.83590385295037,226.73085595259445,delta_decay_win,Baseline,3.83139663,0.000855650622,0.604248274,,,
11,220.8340546933888,237.325641526129,delta_decay_PVL_win,Baseline,3.83085643,0.000843001823,0.603377637,0.9999,1.20266114,
11,217.9554795845009,231.14874905069303,delta_asymmetric_decay_win,Baseline,1.17542478,0.01017187,0.92821375,,,0.95323856
11,191.68277344676812,201.57772554641227,delta_decay,Frequency,1.94445024,0.06842559,0.9999,,,
11,195.69297757884289,212.18456441158304,delta_decay_PVL,Frequency,1.94404623,0.06854963,0.9999,0.9999,0.98607158,
11,200.28612853307783,210.181080632722,delta_decay_win,Frequency,1.59870497,0.10860337,0.9999,,,
11,203.79350768354723,220.28509451628744,delta_decay_PVL_win,Frequency,1.64632771,0.10127384,0.9999,0.9999,0.37338476,
