"subnum","optSeen","PropOptimal","RT"
1,1,0.85,0.73437
1,2,0.74,0.8092
1,3,0.16,0.732072
1,4,0.36,1.0794
1,5,0.64,0.77796
1,6,0.44,0.99916
2,1,0.83,0.64691
2,2,0.92,0.71992
2,3,0.28,0.75724
2,4,0.12,1.24036
2,5,0.84,0.91196
2,6,0.8,1.65448
3,1,0.54,1.46951
3,2,0.6,1.30556
3,3,0.32,3.75276
3,4,0.44,1.8022
3,5,0.8,1.17176
3,6,0.56,1.52732
4,1,0.78,1.8402834
4,2,0.62,2.80422
4,3,0.6,0.904892
4,4,0.56,0.97176
4,5,0.68,0.7180272
4,6,0.36,1.505304
5,1,0.86,1.00037
5,2,0.84,0.87784
5,3,0.04,0.85076
5,4,0.04,0.67504
5,5,1,0.6122
5,6,0.96,0.73288
6,1,0.96,0.836771
6,2,0.86,0.915766
6,3,0.48,0.80714
6,4,0.68,0.89216
6,5,0.68,0.79972
6,6,0.4,1.28816
7,1,0.72,1.429
7,2,0.82,1.34502
7,3,0.24,1.05916
7,4,0.32,1.59008
7,5,0.68,1.07228
7,6,0.6,1.4324
8,1,0.55,0.97957
8,2,0.52,1.12574
8,3,0.56,1.21748
8,4,0.44,1.83864
8,5,0.56,1.2214
8,6,0.68,1.6216
9,1,0.78,0.87407
9,2,0.68,1.06648
9,3,0.56,1.1918
9,4,0.44,1.41044
9,5,0.8,1.2048
9,6,0.52,1.56864
10,1,0.74,0.87249
10,2,0.74,1.16614
10,3,0.72,1.01748
10,4,0.96,0.8906
10,5,0.96,0.9192
10,6,1,1.06748
11,1,0.59,1.17166
11,2,0.62,1.26278
11,3,0.24,1.26956
11,4,0.24,1.41492
11,5,1,1.17908
11,6,0.8,1.6348
12,1,0.79,0.60978
12,2,0.7,0.92104
12,3,0.56,0.80824
12,4,0.32,0.71468
12,5,0.68,0.75516
12,6,0.92,0.8356
13,1,0.62,1.31601
13,2,0.54,1.56288
13,3,0.44,1.3862
13,4,0.6,1.37476
13,5,0.64,1.07604
13,6,0.56,1.57788
14,1,0.85,1.27659
14,2,0.72,1.32162
14,3,0.32,1.62408
14,4,0.68,1.52572
14,5,0.84,1.34332
14,6,0.88,1.42812
15,1,0.95,0.66757
15,2,0.92,0.76074
15,3,0.24,0.58208
15,4,0.12,0.49192
15,5,0.92,0.37836
15,6,0.76,0.51844
16,1,0.69,1.02446
16,2,0.82,1.08278
16,3,0.08,1.16932
16,4,0,0.93448
16,5,0.96,1.02704
16,6,1,1.06424
17,1,0.79,1.24001
17,2,0.74,1.06828
17,3,0,0.57572
17,4,0.08,0.59964
17,5,0.96,0.51448
17,6,1,0.56532
18,1,0.92,0.94872
18,2,0.94,0.97064
18,3,0.12,1.66532
18,4,0.04,1.58916
18,5,1,1.53348
18,6,0.88,1.28076
19,1,0.71,0.91546
19,2,0.58,0.94432
19,3,0.44,0.93444
19,4,0.56,1.07196
19,5,0.4,0.75552
19,6,0.72,1.26844
20,1,0.52,0.90164
20,2,0.52,0.97724
20,3,0.6,0.75932
20,4,0.4,1.03808
20,5,0.72,1.03348
20,6,0.52,1.21084
21,1,0.84,1.273732
21,2,0.7,1.93686
21,3,0.4,1.13132
21,4,0.28,0.98692
21,5,0.92,1.0348
21,6,0.72,1.19032
22,1,0.67,1.18136
22,2,0.64,1.37548
22,3,0.36,1.23112
22,4,0.68,1.356
22,5,0.76,0.9882
22,6,0.52,1.50996
23,1,0.73,1.32898
23,2,0.8,1.51468
23,3,0.04,3.74656
23,4,0.08,4.214
23,5,0.88,7.13384
23,6,0.92,6.72964
24,1,0.73,1.038668
24,2,0.86,1.36222
24,3,0.96,1.47408
24,4,1,1.66336
24,5,1,1.81768
24,6,0.44,2.60536
25,1,0.71,0.96438
25,2,0.64,1.42824
25,3,0.44,1.11568
25,4,0.24,0.94248
25,5,0.8,0.78356
25,6,0.48,1.1714
26,1,0.75,2.11688
26,2,0.66,2.05868
26,3,0.44,1.54756
26,4,0.36,1.66672
26,5,0.6,1.58736
26,6,0.64,2.104
27,1,0.6,1.036007
27,2,0.54,1.56309
27,3,0.48,0.7983536
27,4,0.48,0.958692
27,5,0.68,0.796756
27,6,0.6,1.25712
28,1,0.74,0.748135
28,2,0.66,1.13084
28,3,0.76,0.65612
28,4,0.68,0.91436
28,5,0.68,0.643384
28,6,0.6,1.01084
29,1,0.78,1.01527
29,2,0.76,1.60846
29,3,0.36,1.6966
29,4,0.36,1.89188
29,5,0.76,1.99248
29,6,0.56,1.75692
30,1,0.4,0.8406
30,2,0.46,1.31484
30,3,0.84,1.0784
30,4,0.32,0.77216
30,5,0.64,1.07952
30,6,0.68,1.00836
31,1,0.59,1.16348
31,2,0.72,1.3882
31,3,0.72,1.19152
31,4,0.72,1.14864
31,5,0.6,1.3538
31,6,0.72,1.59604
32,1,0.77,0.522287
32,2,0.78,0.86218
32,3,0.04,0.436272
32,4,1,0.650688
32,5,0.92,0.315252
32,6,0,1.11468
33,1,0.74,0.71714
33,2,0.72,0.8958
33,3,0.24,0.4145628
33,4,0.28,0.582596
33,5,0.76,0.48866
33,6,0.8,0.5310968
