"Subnum","ChoiceSet","PropOptimal","RT"
1,"AB",0.83,0.5685798
1,"CD",0.8,0.93162
1,"CA",0.36,0.5688944
1,"CB",0.72,0.8282
1,"AD",0.8,0.874036
1,"BD",0.24,0.64804
2,"AB",0.83,1.61454
2,"CD",0.36,1.01836
2,"CA",0.32,0.723
2,"CB",0.96,0.92112
2,"AD",1,1.00256
2,"BD",0.48,1.511
3,"AB",0.88,1.22759
3,"CD",0.92,2.30702
3,"CA",0.08,1.78808
3,"CB",1,1.8424
3,"AD",1,1.71852
3,"BD",0.56,2.48764
4,"AB",0.65,0.82103
4,"CD",0.6,1.2209
4,"CA",0.24,1.21628
4,"CB",0.96,1.38744
4,"AD",0.76,1.14564
4,"BD",0.56,1.688
5,"AB",0.49,0.9571
5,"CD",0.74,1.45458
5,"CA",0.92,1.54288
5,"CB",0.92,1.08272
5,"AD",0.84,1.85788
5,"BD",0.12,1.28132
6,"AB",0.95,2.04255
6,"CD",0.88,2.46094
6,"CA",0.04,2.34684
6,"CB",1,2.6538
6,"AD",0.96,1.72468
6,"BD",0.04,2.0456
7,"AB",0.47,1.14712
7,"CD",0.46,1.68232
7,"CA",0.72,1.73568
7,"CB",0.84,1.048
7,"AD",0.84,1.515
7,"BD",0.84,1.45232
8,"AB",0.42,0.85042
8,"CD",0.56,0.95206
8,"CA",0.48,0.76828
8,"CB",0.44,0.77584
8,"AD",0.56,0.75264
8,"BD",0.52,0.6244
9,"AB",0.95,0.96673
9,"CD",1,0.93382
9,"CA",0.96,1.00568
9,"CB",0.96,1.12972
9,"AD",0.32,1.49504
9,"BD",0.36,1.73504
10,"AB",0.56,0.91597
10,"CD",0.7,1.02046
10,"CA",0.6,1.05908
10,"CB",0.76,0.87524
10,"AD",0.52,1.37356
10,"BD",0.64,1.24244
11,"AB",0.38,1.9044752
11,"CD",0.72,2.30796
11,"CA",0.44,1.05828
11,"CB",0.36,1.10368
11,"AD",0.88,1.4168
11,"BD",0.76,1.14852
12,"AB",0.78,1.03164
12,"CD",0.72,1.68402
12,"CA",0.6,2.41792
12,"CB",0.8,1.77036
12,"AD",0.44,2.09096
12,"BD",0.48,2.81856
13,"AB",0.55,1.72954
13,"CD",0.62,2.2278
13,"CA",0.52,2.8548
13,"CB",0.76,3.218
13,"AD",0.68,4.33208
13,"BD",0.6,3.76616
14,"AB",0.58,0.96032
14,"CD",0.64,0.9683
14,"CA",0.4,0.80432
14,"CB",0.28,1.0922
