beta_lower,beta_upper,AIC,BIC,mean_beta,sd_beta,max_beta,min_beta
-10.0,10.0,261.31937085815747,268.88473658930457,1.2070752025652174,3.0670126999869223,10.0,-3.65197475
-9.0,9.0,260.6936581283019,268.259023859449,1.1751910553260871,2.9771509121052797,9.0,-3.65288707
-8.0,8.0,261.1461250755168,268.7114908066639,1.1075624908695652,2.78427247366988,8.0,-3.65295373
-7.0,7.0,260.3247023468141,267.89006807796125,1.0680358923913043,2.5639734318482916,7.0,-3.65296701
-6.0,6.0,259.90711859345754,267.4724843246046,0.671742960326087,2.0802764383058356,6.0,-3.65176216
-5.0,5.0,259.84514956869396,267.410515299841,0.5423072992391303,1.9755881686003456,5.0,-4.48757204
-4.0,4.0,258.97240066584516,266.53776639699225,0.34749377967391304,1.6067921139311507,4.0,-3.80789741
-3.0,3.0,259.2125400703488,266.7779058014958,0.25608443880434784,1.2347085930034185,3.0,-3.0
-2.0,2.0,259.99136003096476,267.55672576211185,0.18834413260869565,1.0493153836795588,2.0,-2.0
-1.0,1.0,261.4276348548534,268.9930005860005,0.08919070239130435,0.662531083626553,1.0,-1.0
-0.5,0.5,264.60729931008086,272.17266504122796,0.05579694000000001,0.40465748770835963,0.5,-0.5
-0.1,0.1,269.1666676943789,276.73203342552597,0.018585917391304344,0.09335296675942735,0.1,-0.1
-0.01,0.01,270.6869409947357,278.2523067258828,0.0016365796739130428,0.009863857569254397,0.01,-0.01
