participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,144.0072460348406,"[0.2591560547886357, 0.07840991146587584]",[0.11091409 0.04096843],144.0072460348406,292.0144920696812,299.05741390540567
2,169.0128634353755,"[0.35049942024229563, 0.7660467304161085]",[0.28732344 0.19229132],313.0201094702161,342.025726870751,349.06864870647547
3,134.9291919586619,"[1.9790683695700206, 0.8092292458310151]",[0.28477335 0.09592398],447.949301428878,273.8583839173238,280.9013057530483
4,168.59942783983917,"[0.12605393954498667, 0.21139631053514896]",[0.04883727 0.0236058 ],616.5487292687171,341.19885567967833,348.2417775154028
5,158.39915224444687,"[0.2851196457512867, 0.5651490410841954]",[0.03664258 0.00193522],774.947881513164,320.79830448889373,327.8412263246182
6,173.28679513998665,"[0.8173504815979171, 0.35349384167546516]",[0. 1.],948.2346766531507,350.5735902799733,357.6165121156978
7,169.0936921741469,"[1.7920624346056502, 0.931749821002764]",[5.         0.99787644],1117.3283688272977,342.1873843482938,349.2303061840183
8,173.28679513998665,"[0.7701455383745337, 0.8953653820662869]",[0. 1.],1290.6151639672844,350.5735902799733,357.6165121156978
9,166.14588956284408,"[0.11866698521979857, 0.21836143960546583]",[0.07407878 0.03032217],1456.7610535301285,336.29177912568815,343.33470096141264
10,167.6365929193761,"[0.17944787049623045, 0.23316965006211354]",[0.10099795 0.0535164 ],1624.3976464495047,339.2731858387522,346.3161076744767
11,166.76337393040484,"[1.9397698109198491, 0.8484996548359619]",[5.         0.99732818],1791.1610203799096,337.5267478608097,344.56966969653416
12,118.39185078401613,"[1.8872535854509613, 0.44614187636696445]",[0.68343835 0.24873403],1909.5528711639258,240.78370156803226,247.82662340375674
13,172.68436383285015,"[3.3530593138156966, 0.005452348900260251]",[0.00762705 0.        ],2082.237234996776,349.3687276657003,356.4116495014248
14,124.52638007412617,"[0.8554251960792647, 0.7997589038044899]",[0.36544201 0.12441822],2206.7636150709022,253.05276014825233,260.0956819839768
15,167.26546516833858,"[0.7317107623390556, 0.4201136359055032]",[0.11503692 0.04726346],2374.029080239241,338.53093033667716,345.57385217240164
16,169.91092501205245,"[0.0895075730864342, 0.8144319110992969]",[5.         0.99812326],2543.9400052512933,343.8218500241049,350.8647718598294
17,134.46649277261915,"[0.9726137259826517, 0.5001348037852259]",[0.11819763 0.03456357],2678.4064980239123,272.9329855452383,279.9759073809628
18,162.8143597834127,"[2.1442931525195097, 0.9709107629752689]",[5.         0.99643288],2841.220857807325,329.6287195668254,336.6716414025499
