participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,173.28679513998665,"[1.921538971504562, 0.20797299940049163]",[0. 1.],173.28679513998665,350.5735902799733,357.7405828975367
2,170.00782921196046,"[4.456367063947276, 0.5070461264419361]",[0.06577416 0.01670218],343.2946243519471,344.0156584239209,351.1826510414843
3,173.28679513998665,"[2.304213607439441, 0.17706765601327368]",[0. 1.],516.5814194919337,350.5735902799733,357.7405828975367
4,136.2154538873269,"[1.4132825888290173, 0.8042651683457043]",[0.1097557  0.01526212],652.7968733792607,276.4309077746538,283.5979003922172
5,173.03632308059423,"[0.15866842308220774, 0.557485149788308]",[0.1947581 1.       ],825.8331964598549,350.07264616118846,357.23963877875184
6,142.62424026509046,"[3.0946663543905544, 0.6437356664616335]",[0.8519055 0.6705408],968.4574367249454,289.2484805301809,296.4154731477443
7,165.4255324034995,"[3.6352992971637788, 0.1996528785918512]",[0.11214835 0.04230359],1133.882969128445,334.851064806999,342.01805742456236
8,173.28679513998665,"[2.5528728745084788, 0.4942573188128846]",[0. 1.],1307.1697642684317,350.5735902799733,357.7405828975367
9,149.29046207734774,"[2.8521014058479075, 0.7019181228079684]",[0.16061569 0.03359466],1456.4602263457793,302.5809241546955,309.74791677225886
10,102.9746294429052,"[2.6213757411639587, 0.7034132115430964]",[0.27007392 0.03558189],1559.4348557886844,209.9492588858104,217.1162515033738
11,167.8780517259569,"[3.760632124045588, 0.11556010357119817]",[0.62509339 0.40692637],1727.3129075146414,339.7561034519138,346.9230960694772
12,143.14903008034022,"[3.1133397971000276, 0.9751679770823249]",[0.06703033 0.00616807],1870.4619375949817,290.29806016068045,297.46505277824383
13,162.47635404730448,"[2.368723093161323, 0.5530494731326622]",[0.33774333 0.12599883],2032.9382916422862,328.95270809460897,336.11970071217235
14,172.94868252188493,"[3.4844162359071875, 0.9811744375465307]",[0.01240383 0.        ],2205.886974164171,349.89736504376987,357.06435766133325
15,173.28679513998665,"[4.221802710387479, 0.6563601472792095]",[0. 1.],2379.1737693041578,350.5735902799733,357.7405828975367
16,173.28679513998665,"[2.4948221924322276, 0.5834901906325665]",[0. 1.],2552.4605644441444,350.5735902799733,357.7405828975367
17,80.06847871192406,"[2.725719248571683, 0.10502558388906136]",[0.22132384 0.02370124],2632.5290431560684,164.13695742384812,171.30395004141153
18,140.70615582109622,"[0.3377824821069547, 0.14888478778986414]",[0.14443058 0.        ],2773.2351989771646,285.41231164219244,292.5793042597558
19,169.64889444556255,"[1.2974706194080436, 0.8322730518748739]",[0.58793733 1.        ],2942.8840934227273,343.2977888911251,350.4647815086885
20,110.65927792603026,"[1.8571310458393038, 0.46418923141723933]",[0.07633962 0.        ],3053.543371348758,225.3185558520605,232.48554846962392
21,151.40363792607604,"[3.881603932170887, 0.41234342628135723]",[0.86167698 1.        ],3204.947009274834,306.8072758521521,313.97426846971547
22,172.06875279783372,"[3.558987843953994, 0.2671536783403208]",[0.27833808 1.        ],3377.0157620726677,348.13750559566745,355.30449821323083
23,171.6682178925187,"[2.776312804654185, 0.9481237470481813]",[0.01889861 0.00557326],3548.6839799651866,347.3364357850374,354.5034284026008
24,173.28679513998665,"[2.465525102767481, 0.047649281452961545]",[0. 1.],3721.9707751051733,350.5735902799733,357.7405828975367
25,124.51337607117595,"[4.442051273860152, 0.3979044940035099]",[0.62522762 0.16671952],3846.4841511763493,253.0267521423519,260.1937447599153
26,171.73649991930355,"[1.5010337736677255, 0.7760519279292757]",[0.27065441 0.32726059],4018.220651095653,347.4729998386071,354.6399924561705
27,44.66871624143107,"[2.906000314423396, 0.14978331312697912]",[0.65826919 0.06606039],4062.889367337084,93.33743248286214,100.50442510042554
28,173.28679513998665,"[3.4308120875312915, 0.1507823111114598]",[0. 1.],4236.176162477071,350.5735902799733,357.7405828975367
29,173.28679513998665,"[0.7743514900946619, 0.3798947589798304]",[0. 1.],4409.462957617057,350.5735902799733,357.7405828975367
30,172.4830316620964,"[3.4271617472235576, 0.5930489447336947]",[0.0705991  0.05803654],4581.945989279154,348.9660633241928,356.1330559417562
31,169.3360979272766,"[1.2961571945353445, 0.32572897819422264]",[0.58192311 0.6198003 ],4751.28208720643,342.6721958545532,349.8391884721166
32,107.67542086432542,"[2.845383772638817, 0.2236260736979908]",[0.26596766 0.0395458 ],4858.9575080707555,219.35084172865083,226.51783434621424
33,173.28679513998665,"[3.9080938130252902, 0.06685020455935375]",[0. 1.],5032.244303210742,350.5735902799733,357.7405828975367
34,172.99800631707794,"[0.07769569290105971, 0.3530629269468446]",[0.13255282 0.23834997],5205.24230952782,349.9960126341559,357.16300525171926
35,172.95082001353282,"[0.13935395898513392, 0.33023659691983587]",[0.01096128 0.00515537],5378.193129541352,349.90164002706564,357.068632644629
36,173.28679513998665,"[2.3854803668047952, 0.9439963791716741]",[0. 1.],5551.479924681339,350.5735902799733,357.7405828975367
37,166.3896011385386,"[2.1077184546227175, 0.6059817571571874]",[0.40801619 0.1713962 ],5717.869525819878,336.7792022770772,343.9461948946406
38,168.45326196205053,"[0.19880504621215433, 0.10222143966774844]",[0.15157805 0.08012774],5886.322787781928,340.90652392410107,348.07351654166445
39,62.676996529031435,"[3.1217153866338365, 0.9547724068325791]",[0.13180612 0.        ],5948.9997843109595,129.35399305806288,136.52098567562626
40,146.04660847460855,"[0.5627501554435566, 0.27480525100429576]",[0.07828055 0.        ],6095.046392785568,296.0932169492171,303.2602095667805
41,170.88135490178612,"[0.5689197423537656, 0.5284801748604866]",[0.02943477 0.00998004],6265.927747687354,345.76270980357225,352.92970242113563
42,113.84915545400834,"[0.0613030251506308, 0.41394396906921505]",[0.31385684 0.07810201],6379.776903141363,231.69831090801668,238.8653035255801
43,153.658963104709,"[3.2820412933050087, 0.8781160291056055]",[1.02030089 0.91203898],6533.435866246072,311.317926209418,318.48491882698136
44,52.04871512106506,"[0.810259352138949, 0.268553905936748]",[0.54319617 0.06333495],6585.484581367137,108.09743024213012,115.26442285969351
45,170.9812206932884,"[4.420438706383255, 0.8714651776022094]",[0.49980008 1.        ],6756.465802060426,345.9624413865768,353.1294340041402
46,173.28679513998665,"[0.444445515453859, 0.49021721725733647]",[0. 1.],6929.752597200412,350.5735902799733,357.7405828975367
47,54.61458139849722,"[3.519299307353978, 0.42216317943097204]",[3.84556059 0.85404705],6984.36717859891,113.22916279699444,120.39615541455784
48,136.92670433278616,"[2.0145183440200167, 0.5148313793583055]",[1.31216134 0.78057462],7121.293882931696,277.8534086655723,285.0204012831357
49,170.6106426720677,"[4.832190534056363, 0.4719127357442141]",[0.51410375 0.90658791],7291.904525603764,345.2212853441354,352.3882779616988
50,164.92095712616018,"[0.8507350213495196, 0.47498995258715004]",[0.08953269 0.02913296],7456.825482729924,333.84191425232035,341.00890686988373
51,136.85881833680395,"[3.0887379730185573, 0.92218533289409]",[0.19840197 0.03230701],7593.684301066728,277.7176366736079,284.8846292911713
