participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,173.28679513998665,"[2.8847080685114634, 0.9958946771802369]",[2.08289469 1.        ],173.28679513998665,350.5735902799733,357.6165121156978
2,169.9791481616917,"[0.12606656271648586, 0.6211170578950136]",[0.06676227 0.01653917],343.26594330167836,343.9582963233834,351.0012181591079
3,173.28679513998665,"[1.3541916032726453, 0.04818076773201896]",[0. 1.],516.552738441665,350.5735902799733,357.6165121156978
4,135.97711835027312,"[1.4751102585271558, 0.857166357659327]",[0.10855693 0.01468255],652.5298567919382,275.95423670054623,282.9971585362707
5,172.270547232816,"[0.1636661388509958, 0.17133052095224455]",[0.14273985 0.0717333 ],824.8004040247542,348.541094465632,355.5840163013565
6,142.62435307335417,"[3.532950548362486, 0.9341184417938964]",[1.58485747 0.67057493],967.4247570981084,289.24870614670834,296.29162798243283
7,165.29222737602203,"[0.2656190944886522, 0.4807408406492435]",[0.11540823 0.04137729],1132.7169844741304,334.58445475204405,341.62737658776854
8,173.28679513998665,"[2.6971041955981674, 0.8314619289781839]",[0. 1.],1306.003779614117,350.5735902799733,357.6165121156978
9,149.28509541626966,"[0.4490008294322245, 0.8554911711641244]",[0.16516358 0.03347649],1455.2888750303869,302.5701908325393,309.6131126682638
10,103.22392943047498,"[0.717615359090108, 0.12924339411506391]",[0.27623057 0.03534384],1558.5128044608618,210.44785886094996,217.49078069667445
11,167.94319638376172,"[1.2429874441377557, 0.35661750111823665]",[0.88131277 0.40158761],1726.4560008446235,339.88639276752343,346.9293146032479
12,143.0644901217665,"[1.4779597863751186, 0.5089495732891183]",[0.06270765 0.00443509],1869.52049096639,290.128980243533,297.1719020792575
13,162.39851897775327,"[1.757041204041383, 0.7944194162345048]",[0.38146739 0.12680307],2031.9190099441435,328.79703795550654,335.839959791231
14,173.28679513998665,"[0.7087871222443021, 0.5316482168442549]",[0. 1.],2205.20580508413,350.5735902799733,357.6165121156978
15,173.28679513998665,"[3.280498520400015, 0.2928552383574219]",[0. 1.],2378.492600224117,350.5735902799733,357.6165121156978
16,173.28679513998665,"[3.8784413727235325, 0.42567879649265916]",[0. 1.],2551.7793953641035,350.5735902799733,357.6165121156978
17,80.3011176099532,"[0.07017360495592595, 0.9532403223787601]",[0.2338176  0.02475163],2632.0805129740565,164.6022352199064,171.64515705563088
