participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,173.28679513998665,"[4.766946576883205, 0.03502538709937031]",[4.76694658 0.03502539],173.28679513998665,350.5735902799733,357.6165121156978
2,172.23793868902754,"[0.2797397330318879, 0.10845156076555384]",[0.1545129  0.07733534],345.52473382901417,348.4758773780551,355.5187992137796
3,173.28679513998665,"[4.210638442026284, 0.8777828527686588]",[0. 1.],518.8115289690008,350.5735902799733,357.6165121156978
4,169.65499900995727,"[1.1997291276878004, 0.9687316115760323]",[5.         0.99625378],688.4665279789581,343.30999801991453,350.352919855639
5,151.5224385242287,"[2.0277263314837635, 0.7977869779195189]",[5.         0.99353145],839.9889665031868,307.0448770484574,314.0877988841819
6,172.07126347046292,"[0.21571851826810984, 0.9498659457474938]",[5.         0.99852454],1012.0602299736497,348.14252694092585,355.18544877665033
7,173.28679513998665,"[4.119611309062291, 0.6837431226159936]",[0. 1.],1185.3470251136364,350.5735902799733,357.6165121156978
8,171.73649991930566,"[0.33605151124544763, 0.6968647548277448]",[0.37796491 0.3272609 ],1357.0835250329421,347.4729998386113,354.5159216743358
9,169.33609792727674,"[2.12454669274651, 0.9276757043208741]",[1.10165704 0.61980037],1526.419622960219,342.6721958545535,349.71511769027796
10,173.28679513998665,"[2.0087420866291446, 0.9513262502880421]",[0. 1.],1699.7064181002056,350.5735902799733,357.6165121156978
11,173.28679513998665,"[1.3964068381408745, 0.645493846239851]",[0. 1.],1872.9932132401923,350.5735902799733,357.6165121156978
12,173.28679513998665,"[3.563634756008059, 0.6731573167241863]",[0. 1.],2046.280008380179,350.5735902799733,357.6165121156978
13,172.86550780567717,"[0.2756663325499592, 0.43634041391312983]",[0.28111933 0.51323937],2219.145516185856,349.73101561135434,356.7739374470788
14,173.28679513998665,"[1.0985231190301263, 0.7220733122533748]",[0. 1.],2392.432311325843,350.5735902799733,357.6165121156978
15,151.41518431138655,"[2.000340835191865, 0.4466164691227129]",[1.4623082  0.40271771],2543.8474956372293,306.8303686227731,313.8732904584976
16,169.93491702181694,"[0.31116473346416706, 0.6555839154627744]",[0.02419215 0.        ],2713.7824126590463,343.8698340436339,350.9127558793584
17,173.28679513998665,"[0.6750519944848093, 0.9890594127705238]",[0.42472779 1.        ],2887.069207799033,350.5735902799733,357.6165121156978
18,169.43459767316594,"[0.3783337654843877, 0.13844946119987633]",[0.1485377  0.03890781],3056.503805472199,342.8691953463319,349.91211718205636
19,173.28679513998665,"[1.3447852182730742, 0.754267732944437]",[0. 1.],3229.7906006121857,350.5735902799733,357.6165121156978
20,170.33389390226952,"[0.5505019849637199, 0.9975596864400609]",[0.32450602 0.15593287],3400.1244945144554,344.66778780453905,351.71070964026353
21,168.7756562599765,"[1.5910949496033182, 0.8780804113643211]",[5.         0.99677569],3568.900150774432,341.551312519953,348.5942343556775
22,172.48962924579837,"[0.2817596481267931, 0.8476273302584205]",[0.36454289 0.44967595],3741.3897800202303,348.97925849159674,356.0221803273212
23,168.77581454505565,"[0.11572372385190877, 0.005994089086410748]",[0.03655184 0.        ],3910.165594565286,341.5516290901113,348.5945509258358
24,150.08818253592423,"[0.4148438446352293, 0.5964364644690968]",[0.0768048 0.       ],4060.2537771012103,304.17636507184847,311.21928690757295
25,173.28679513998665,"[4.931800025997286, 0.6857361353783948]",[0. 1.],4233.540572241197,350.5735902799733,357.6165121156978
26,173.28679513998665,"[1.3766878910053908, 0.5732968946068038]",[0. 1.],4406.827367381184,350.5735902799733,357.6165121156978
27,171.17587480788026,"[1.478511710679828, 0.8252831257869113]",[0.69553991 0.43737092],4578.003242189064,346.3517496157605,353.394671451485
28,173.28679513998665,"[4.921903398005657, 0.8989360572418857]",[0. 1.],4751.29003732905,350.5735902799733,357.6165121156978
29,173.28679513998665,"[1.7478624385734065, 0.5814073157494449]",[0. 1.],4924.576832469037,350.5735902799733,357.6165121156978
30,169.90189456743707,"[0.964964027021134, 0.4027586264644206]",[0.80063113 0.53951547],5094.478727036474,343.80378913487414,350.8467109705986
31,155.9024467909072,"[2.006627569201446, 0.6925490528827857]",[2.6752064  0.88048775],5250.381173827382,315.8048935818144,322.84781541753887
32,135.73346194107287,"[0.128918844410989, 0.06218879919455067]",[0.0909875 0.       ],5386.114635768455,275.46692388214575,282.50984571787023
33,163.91742103418161,"[0.41465127893651144, 0.3523392265847548]",[0.13249108 0.03768824],5550.032056802636,331.83484206836323,338.8777639040877
34,173.28679513998665,"[3.826728650908757, 0.3706146446499693]",[0. 1.],5723.318851942623,350.5735902799733,357.6165121156978
35,173.28679513998665,"[1.8183722222630454, 0.3742920954385599]",[0. 1.],5896.60564708261,350.5735902799733,357.6165121156978
36,171.52023903233925,"[0.8779263135318249, 0.7632460343962088]",[2.39471543 0.96970785],6068.125886114949,347.0404780646785,354.083399900403
37,173.28679513998665,"[3.1693189101450514, 0.9137003913358236]",[0. 1.],6241.412681254936,350.5735902799733,357.6165121156978
38,173.28679513998665,"[3.9300515901751822, 0.9246704666915518]",[0. 1.],6414.699476394922,350.5735902799733,357.6165121156978
39,173.28679513998665,"[0.48866195542798474, 0.47434232159797507]",[0. 1.],6587.986271534909,350.5735902799733,357.6165121156978
40,171.7764886871426,"[0.5396749346456925, 0.6624069068834257]",[0.4902025 0.426014 ],6759.762760222052,347.5529773742852,354.5958992100097
41,173.28679513998665,"[2.8171460382760767, 0.8659851456600506]",[0. 1.],6933.0495553620385,350.5735902799733,357.6165121156978
42,173.1495901812671,"[2.416426653648554, 0.9760679490102391]",[5.         0.99919648],7106.199145543305,350.2991803625342,357.34210219825866
43,173.28679513998665,"[1.2434907772558024, 0.6938557059107545]",[0. 1.],7279.485940683292,350.5735902799733,357.6165121156978
44,171.17951222322807,"[1.6318163744500036, 0.8526303759500076]",[5.         0.99685711],7450.66545290652,346.35902444645615,353.40194628218063
45,160.94324186380612,"[0.36078865493215706, 0.050040602233239695]",[0.09072654 0.00444008],7611.608694770326,325.88648372761224,332.92940556333673
46,172.96646487045382,"[0.2516642715516598, 0.4828171244464815]",[0.1565535  0.36659901],7784.57515964078,349.93292974090764,356.9758515766321
47,173.28679513998665,"[3.8830134293886753, 0.9904958252509555]",[0. 1.],7957.861954780767,350.5735902799733,357.6165121156978
48,173.28679513998665,"[0.46573677085479104, 0.4437539565606591]",[0. 1.],8131.148749920753,350.5735902799733,357.6165121156978
49,157.13837391781738,"[0.6697931063206292, 0.9706465603775287]",[3.10567885 0.92167218],8288.28712383857,318.27674783563475,325.31966967135924
50,173.28679513998665,"[4.990468601173969, 0.031645356840351524]",[4.9904686  0.03164536],8461.573918978556,350.5735902799733,357.6165121156978
51,173.18430190077348,"[1.0338608318457636, 0.9848720543071678]",[5.         0.99947163],8634.75822087933,350.36860380154695,357.41152563727144
52,173.28679513998665,"[1.1108321299771606, 0.007467426592829951]",[0. 1.],8808.045016019316,350.5735902799733,357.6165121156978
53,160.68301264673192,"[0.8563098675330855, 0.9395583663813799]",[0.87406928 0.35518773],8968.728028666048,325.36602529346385,332.40894712918833
54,172.01527240987772,"[0.1399326294354547, 0.7146306050335555]",[1.35332142 0.83674335],9140.743301075925,348.03054481975545,355.07346665547993
