participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,92.18000157439266,"[1.9632876150961642, 0.5527597710024756]",[0.1215358 0.       ],92.18000157439266,188.36000314878532,195.4029249845098
2,130.2733226300845,"[1.663528253802908, 0.6966271700358153]",[0.14839725 0.02557148],222.45332420447716,264.546645260169,271.58956709589347
3,168.47604615781108,"[2.1356700345888555, 0.8978043981211985]",[3.27994463 0.97048088],390.92937036228824,340.95209231562217,347.99501415134665
4,110.79167937738414,"[1.8404601044056412, 0.7251073284543328]",[0.40932524 0.06108849],501.72104973967237,225.58335875476828,232.62628059049277
5,173.28679513998608,"[1.1022849584001027, 0.9514336785835521]",[0.45712649 0.99999984],675.0078448796585,350.57359027997217,357.61651211569665
6,173.28679513998665,"[2.36254664620612, 0.23654765095737285]",[0. 1.],848.2946400196452,350.5735902799733,357.6165121156978
7,135.56628300800975,"[2.5651856779601667, 0.7129255196432501]",[0.95623921 0.26374479],983.860923027655,275.1325660160195,282.175487851744
8,161.059445723289,"[0.32337405255383533, 0.12957374652568887]",[0.08553089 0.03427164],1144.920368750944,326.118891446578,333.1618132823025
9,99.93825469071199,"[1.6957270182183177, 0.29921565103853964]",[0.98054717 0.1497337 ],1244.858623441656,203.87650938142397,210.91943121714846
10,106.04698394547988,"[1.6033812093208077, 0.5363542562933481]",[0.07563133 0.        ],1350.905607387136,216.09396789095976,223.13688972668425
11,137.95989012126313,"[2.254595223788192, 0.8446562929025331]",[0.1776538  0.03807063],1488.8654975083991,279.91978024252626,286.96270207825074
12,132.3424106646668,"[1.029716016871716, 0.2403640382456722]",[1.32037446 0.40704492],1621.207908173066,268.6848213293336,275.7277431650581
13,113.62440974920261,"[1.9517516983352805, 0.25411576306669104]",[1.29821711 0.21533003],1734.8323179222687,231.24881949840523,238.2917413341297
14,114.25214825010379,"[0.9567927937486909, 0.11612762123610987]",[0.54958674 0.09187274],1849.0844661723725,232.50429650020757,239.54721833593206
15,129.94107086162984,"[0.41032304053715496, 0.04736243878712276]",[0.40053152 0.07001592],1979.0255370340024,263.8821417232597,270.92506355898416
16,108.26314594844472,"[3.095745617259422, 0.5159430515682358]",[1.65846622 0.37392593],2087.288682982447,220.52629189688943,227.56921373261392
17,151.69479477756232,"[0.48565597129259896, 0.07911083119671902]",[0.24128246 0.03589027],2238.9834777600095,307.38958955512464,314.43251139084913
18,75.05397419491713,"[3.358301307217139, 0.8650797126466034]",[0.11598392 0.        ],2314.0374519549264,154.10794838983426,161.15087022555875
19,172.1499372354639,"[0.2962864943308313, 0.5473893745826932]",[0.61064268 0.85816473],2486.18738919039,348.2998744709278,355.3427963066523
20,172.77069493584244,"[1.6684295743003563, 0.9267385089345375]",[0.10941584 0.18917803],2658.9580841262327,349.5413898716849,356.58431170740937
21,172.16076655248722,"[0.4255985229890724, 0.8269536381390648]",[0.9793436  0.84141571],2831.11885067872,348.32153310497443,355.3644549406989
22,109.09161922018602,"[2.0161909942442646, 0.3437071185553765]",[1.50892518 0.32062891],2940.210469898906,222.18323844037204,229.22616027609652
23,121.8167240313146,"[0.9618678161428518, 0.30505268491856097]",[0.31263446 0.05536806],3062.0271939302206,247.6334480626292,254.6763698983537
24,161.82766168715136,"[0.8604853388290834, 0.7027051167234863]",[0.0369179 0.       ],3223.854855617372,327.6553233743027,334.6982452100272
25,61.40304214874542,"[0.30592512723613297, 0.9817314599185001]",[2.37029358 0.40724764],3285.2578977661174,126.80608429749084,133.84900613321534
26,163.4517241376406,"[1.103041302758524, 0.8990013531010376]",[0.14329614 0.02863554],3448.709621903758,330.9034482752812,337.9463701110057
27,66.73209722724597,"[1.0237571799808194, 0.04328286828660466]",[0.84221649 0.08916372],3515.441719131004,137.46419445449195,144.50711629021643
28,164.94552112490803,"[0.14066132973082401, 0.9648089506823908]",[0.2944123 0.0931641],3680.387240255912,333.89104224981605,340.93396408554054
29,157.8566208797299,"[0.30158550857624034, 0.04613431928031397]",[0.27851564 0.06600316],3838.2438611356415,319.7132417594598,326.75616359518426
30,173.28679513998665,"[3.2751004372298578, 0.0014032813284599044]",[0. 1.],4011.530656275628,350.5735902799733,357.6165121156978
31,131.9939689541484,"[1.1323516620174519, 0.4800307245628894]",[0.12415036 0.01977957],4143.524625229777,267.9879379082968,275.03085974402126
32,173.28679513998665,"[3.7917921325818646, 0.4936537207835482]",[3.79179213 0.49365372],4316.811420369763,350.5735902799733,357.6165121156978
33,165.5687323242457,"[0.24543794301732924, 0.7896496344101708]",[0.02763    0.00161498],4482.380152694009,335.1374646484914,342.1803864842159
34,75.91609377478173,"[1.711382260372643, 0.350569907052936]",[0.13250701 0.        ],4558.296246468791,155.83218754956346,162.87510938528794
35,158.78908212426384,"[0.20503778045110388, 0.960542132376982]",[0.32747471 0.10171078],4717.085328593054,321.5781642485277,328.62108608425217
36,144.5444691423809,"[0.8635389353221373, 0.2517637560365993]",[0.23767229 0.04013417],4861.629797735435,293.0889382847618,300.1318601204863
37,142.91705019565782,"[0.47816355814596145, 0.8769306034946945]",[0.18546302 0.03566676],5004.546847931093,289.83410039131564,296.87702222704013
38,148.19861774076077,"[0.19507157950619525, 0.9434155906998279]",[0.89158673 0.28440108],5152.745465671854,300.39723548152153,307.440157317246
39,171.68323673163877,"[0.24364712716678394, 0.2269372628134012]",[0.23057493 0.21460761],5324.428702403493,347.36647346327754,354.40939529900203
40,135.35451700236138,"[0.8693800018858905, 0.12525338631414018]",[0.10805038 0.        ],5459.783219405855,274.70903400472275,281.75195584044724
41,171.08712785067448,"[1.6850801533884852, 0.8614882211996426]",[1.16076546 0.77031547],5630.870347256529,346.17425570134895,353.21717753707344
42,168.74917147422423,"[1.1383405872661307, 0.6671720486274846]",[1.50330368 0.78480011],5799.619518730754,341.49834294844845,348.54126478417294
43,75.32444827498293,"[2.6610475193534806, 0.3854053955983241]",[1.37003764 0.16190158],5874.943967005737,154.64889654996585,161.69181838569034
44,146.51677369608512,"[0.47102207233970184, 0.9991942427495476]",[0.11587216 0.01662006],6021.460740701822,297.03354739217025,304.07646922789473
45,160.570735355528,"[0.5222870001292496, 0.3465195089087646]",[0.06083862 0.01189391],6182.03147605735,325.141470711056,332.1843925467805
46,168.5479692043193,"[0.21766892419657902, 0.3787784498383685]",[0.02401379 0.        ],6350.579445261669,341.0959384086386,348.13886024436306
47,142.55723103806588,"[1.722104091302743, 0.672611615165553]",[3.19173704 0.93805273],6493.136676299735,289.11446207613176,296.15738391185624
48,159.43173449337135,"[0.29936131745579686, 0.6455394753255724]",[0.15966061 0.03185392],6652.5684107931065,322.8634689867427,329.9063908224672
49,159.88283597199546,"[0.36658670954387906, 0.9427362981990071]",[0.37125443 0.09101952],6812.451246765102,323.7656719439909,330.8085937797154
50,171.4472722194979,"[0.062116313164677917, 0.6050348602114652]",[0.06681201 0.02632054],6983.8985189846,346.8945444389958,353.9374662747203
51,125.30891833589355,"[1.971819307146755, 0.3428830985495779]",[1.44259652 0.42212054],7109.207437320493,254.6178366717871,261.6607585075116
52,111.86821315740882,"[2.0078844477569784, 0.5140216179255491]",[0.12988852 0.01072449],7221.075650477902,227.73642631481763,234.77934815054212
53,118.96956491033285,"[1.6527984825343718, 0.7764277819886909]",[0.36792761 0.03856908],7340.045215388235,241.9391298206657,248.98205165639018
54,173.28679513998665,"[0.5352040645393685, 0.28286532711968326]",[0. 1.],7513.332010528222,350.5735902799733,357.6165121156978
55,167.1889193307531,"[0.2824503876536033, 0.13887050553028857]",[0.1449436  0.03427493],7680.520929858975,338.3778386615062,345.4207604972307
56,152.63893564197525,"[0.0906244722956967, 0.008245822260641189]",[0.11016697 0.0167179 ],7833.15986550095,309.2778712839505,316.320793119675
57,173.28679513998665,"[1.871567228541261, 0.5716473180463639]",[0. 1.],8006.446660640937,350.5735902799733,357.6165121156978
58,130.6658939863305,"[3.212131058130308, 0.7645512810196492]",[2.390012   0.80620293],8137.112554627267,265.331787972661,272.3747098083855
59,157.19432869106495,"[0.6137626113421474, 0.2010776685884731]",[0.03304267 0.        ],8294.306883318332,318.3886573821299,325.4315792178544
60,169.83998113676887,"[0.49849730963086536, 0.48920982536899404]",[0.65243448 0.54689681],8464.1468644551,343.67996227353774,350.7228841092622
61,134.37673290621805,"[1.9705039292309472, 0.6367075500035514]",[0.20495031 0.03235254],8598.523597361318,272.7534658124361,279.7963876481606
62,137.02734998379665,"[0.5298507926497997, 0.06950782847066717]",[0.1498464  0.02579274],8735.550947345115,278.0546999675933,285.0976218033178
63,124.89268715730734,"[1.1169087762576364, 0.19020753351130315]",[0.58777748 0.11560327],8860.443634502422,253.78537431461467,260.82829615033916
64,157.8060564182709,"[0.14943622578988514, 0.9999058139767775]",[0.62472196 0.25068559],9018.249690920693,319.6121128365418,326.6550346722663
65,159.4991944982369,"[0.4527481295960989, 0.15847598415288744]",[0.17577932 0.02402309],9177.74888541893,322.9983889964738,330.0413108321983
66,165.59445858346345,"[0.7778005564796192, 0.4287671588618578]",[0.7757808  0.40380613],9343.343344002395,335.1889171669269,342.2318390026514
67,173.28679513998665,"[0.7539742216839623, 0.11047127920958422]",[0. 1.],9516.63013914238,350.5735902799733,357.6165121156978
68,120.73639499172056,"[0.26850902450995195, 0.010231240706613076]",[1.00511679 0.14670975],9637.3665341341,245.47278998344112,252.5157118191656
69,140.56341216012615,"[0.40377975607118755, 0.08491524470400791]",[0.19531781 0.01827709],9777.929946294227,285.1268243202523,292.1697461559768
70,151.58707278462919,"[0.7386223600571268, 0.27919488360976064]",[0.12260123 0.03159945],9929.517019078856,307.17414556925837,314.21706740498286
71,164.83457056473446,"[0.5140419803121948, 0.24148810313702285]",[0.18700507 0.06865919],10094.351589643591,333.6691411294689,340.7120629651934
72,155.95122057449788,"[0.5648166371452029, 0.7687381789263419]",[0.26015692 0.05979056],10250.302810218089,315.90244114899576,322.94536298472025
73,95.17563559655385,"[0.7746784362199838, 0.14350418410210697]",[0.17705621 0.01446022],10345.478445814642,194.3512711931077,201.39419302883218
74,101.65972581737972,"[2.5642855218252834, 0.7787495982459338]",[0.24887264 0.03060745],10447.138171632023,207.31945163475945,214.36237347048393
75,103.86660299316762,"[1.330216426605137, 0.1116754184115556]",[0.26062138 0.02486602],10551.004774625191,211.73320598633524,218.77612782205972
76,134.07053216400286,"[1.15801013921174, 0.21603378883831292]",[0.55314883 0.1412264 ],10685.075306789195,272.1410643280057,279.1839861637302
