participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,153.8623423679594,"[2.459948836451909, 0.8524876448004296]",[1.0382527  0.39222669],153.8623423679594,311.7246847359188,318.7676065716433
2,173.28679513998665,"[0.41423076587373986, 0.15078779421182453]",[0. 1.],327.1491375079461,350.5735902799733,357.6165121156978
3,163.65340492486268,"[0.5655012086735295, 0.7375340425399242]",[0.52630596 0.23274093],490.80254243280876,331.30680984972537,338.34973168544985
4,129.95685984516996,"[0.7321670218114751, 0.591554407693985]",[0.27093873 0.03890777],620.7594022779788,263.9137196903399,270.9566415260644
5,165.47867633741174,"[1.3047785021520868, 0.6099740866855329]",[0.57500096 0.27635905],786.2380786153906,334.9573526748235,342.00027451054797
6,142.73968800752525,"[2.73366926288118, 0.8459731587677163]",[1.48769319 0.63042331],928.9777666229159,289.4793760150505,296.522297850775
7,163.40112788859423,"[0.7179116213225328, 0.7366263098842754]",[0.14119571 0.04474163],1092.37889451151,330.80225577718846,337.84517761291295
8,122.9184733334527,"[0.18654053805251647, 0.22901743563939414]",[0.30342341 0.03001095],1215.2973678449628,249.8369466669054,256.8798685026299
9,148.2242432240869,"[0.11493973678958547, 0.9895086293410363]",[0.22759179 0.04672575],1363.5216110690496,300.4484864481738,307.4914082838983
10,101.54325869381668,"[1.9992533450579664, 0.6908808961209931]",[0.33438956 0.0429685 ],1465.0648697628662,207.08651738763336,214.12943922335785
11,155.15720530149613,"[0.34486720508886126, 0.410779335116219]",[0.13427534 0.        ],1620.2220750643623,314.31441060299227,321.35733243871675
12,141.64628886747948,"[0.06804284455923404, 0.5682926203663327]",[0.06909637 0.00604939],1761.868363931842,287.29257773495897,294.33549957068345
13,159.8275132882476,"[1.2168676189352468, 0.31444689984830165]",[0.67477924 0.24060812],1921.6958772200896,323.6550265764952,330.69794841221966
14,164.19558748350343,"[0.15061205477072348, 0.014226336932964045]",[0.03481332 0.00087458],2085.891464703593,332.39117496700686,339.43409680273135
15,116.41372458565449,"[0.9035231976128472, 0.08321606879537402]",[0.52922133 0.06062871],2202.3051892892477,236.82744917130898,243.87037100703347
16,147.48358733010159,"[1.984380500197085, 0.7941893567514973]",[0.62442904 0.16041038],2349.7887766193494,298.96717466020317,306.01009649592766
17,79.5576701384177,"[3.973437786392422, 0.7044185472134566]",[0.17318856 0.01551447],2429.346446757767,163.1153402768354,170.1582621125599
18,132.346455674847,"[0.6434956461779179, 0.13858331550225467]",[0.14101079 0.00772511],2561.6929024326137,268.692911349694,275.73583318541847
19,169.47480374521223,"[0.12942164251459498, 0.3484830671684075]",[0.07770117 0.01780013],2731.167706177826,342.94960749042446,349.99252932614894
20,103.97805680951899,"[0.9951160216324689, 0.6194955826380331]",[0.06648589 0.        ],2835.145762987345,211.95611361903798,218.99903545476246
21,140.94823044329496,"[3.169663716857172, 0.9188314537055388]",[0.16917993 0.00092681],2976.09399343064,285.8964608865899,292.9393827223144
22,173.28679513998665,"[3.4060856744802797, 0.4146191431166797]",[0. 1.],3149.3807885706265,350.5735902799733,357.6165121156978
23,159.88119359198765,"[0.7351165130999626, 0.9008069666585053]",[1.41351271 0.55634385],3309.261982162614,323.7623871839753,330.8053090196998
24,170.96575943627397,"[0.22941838059181097, 0.7184701388992838]",[3.15706007 0.97826543],3480.227741598888,345.93151887254794,352.9744407082724
25,124.24149917656082,"[2.1363062594835758, 0.521511062635871]",[0.60393697 0.11285901],3604.4692407754487,252.48299835312164,259.52592018884616
26,173.0129244087066,"[0.4563675076623136, 0.64651161812726]",[0.42474152 0.69774947],3777.4821651841553,350.0258488174132,357.0687706531377
