participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
18,109.24994360569912,"[3.6325974236451324, 0.2300830331404894, -0.8768174272459435]",[ 0.02286899  0.         -0.59460366],109.24994360569912,224.49988721139823,226.9995272435669
20,90.62795435390957,"[2.7418342339233552, 0.8236179917420458, 0.05395285707237196]",[0.15719353 0.         0.31881089],199.87789795960867,187.25590870781915,189.7555487399878
27,27.16857154928485,"[3.3189382361396307, 0.005805298393189329, 0.2662435795407905]",[0.62930005 0.04720345 0.09495855],227.04646950889352,60.3371430985697,62.83678313073835
32,47.819636452601785,"[4.847152580560042, 0.3453746169139865, 0.8844722734471466]",[5.         0.95698628 0.25398303],274.8661059614953,101.63927290520357,104.13891293737223
64,26.50353011127635,"[4.534427765927739, 0.8124479269246158, -0.2442004637519184]",[0.44775209 0.         0.30586484],301.36963607277164,59.0070602225527,61.50670025472135
66,53.21376219001145,"[3.932123962429157, 0.9753251280673955, 0.8928876745582435]",[1.59029773 0.0274572  1.        ],354.5833982627831,112.4275243800229,114.92716441219156
81,76.73983819041985,"[0.47667760550081484, 0.12663370624425174, 0.5972856833396012]",[ 0.0075375  0.        -1.       ],431.3232364532029,159.4796763808397,161.97931641300835
100,89.99923358650193,"[0.8699347469612273, 0.6009058566439196, 0.9249934184538788]",[ 0.10441108  0.12482532 -0.4635927 ],521.3224700397049,185.99846717300386,188.49810720517252
105,87.32928773023602,"[0.7837781743633537, 0.3714512821920425, 0.012665499320688278]",[ 0.00290399  0.         -1.        ],608.6517577699409,180.65857546047204,183.1582154926407
106,101.32338375267943,"[0.9552804650979518, 0.5140004420259338, 0.39638747760964255]",[ 0.78215719  0.79542013 -0.2945231 ],709.9751415226203,208.64676750535887,211.14640753752752
130,43.539020221511635,"[4.0850208931215874, 0.47576210110279926, -0.701280370276105]",[0.2310231  0.00602166 0.1306907 ],753.514161744132,93.07804044302327,95.57768047519193
138,45.510281916022365,"[1.620292433965972, 0.9481293031846372, -0.6533278347067544]",[ 0.10120216  0.         -0.06666283],799.0244436601544,97.02056383204473,99.52020386421339
145,110.55052263312022,"[1.0668951518156384, 0.2766985088542423, -0.006479968560708871]",[ 0.00175934  0.         -1.        ],909.5749662932745,227.10104526624045,229.6006852984091
147,97.0113526511079,"[0.07039087682531697, 0.3509395651056071, 0.40888874753166027]",[0.30120843 0.         0.62046048],1006.5863189443825,200.0227053022158,202.52234533438445
158,31.144301462906235,"[1.320083268189502, 0.2277908157969044, 0.45092539325916947]",[ 0.90904613  0.18272378 -0.16315604],1037.7306204072886,68.28860292581247,70.78824295798111
161,107.76605707077177,"[4.493318375514194, 0.4692649692728442, -0.7231683110812033]",[ 0.07479878  0.         -0.15904304],1145.4966774780603,221.53211414154353,224.0317541737122
202,113.37638790061634,"[0.2378613376923816, 0.5519899931476002, -0.43518181145672297]",[ 0.00364487  0.         -1.        ],1258.8730653786765,232.75277580123267,235.25241583340133
