participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,173.28679513998665,"[2.198151161240331, 0.6854713060122556, 0.3285455808302107]",[0. 1. 1.],173.28679513998665,352.5735902799733,363.3240792063184
2,155.37138864169538,"[0.09374804434383432, 0.16907077114378122, -0.7314700100706184]",[ 0.00609212  0.01983692 -1.        ],328.65818378168206,316.74277728339075,327.49326620973585
3,173.28679513998665,"[0.581701285245993, 0.34992711187219816, 0.36616980706027236]",[0. 1. 1.],501.94497892166873,352.5735902799733,363.3240792063184
4,127.48077730142484,"[1.7102823733876393, 0.999740041935042, 0.33907049885176677]",[0.33551283 0.00224117 0.7240471 ],629.4257562230936,260.9615546028497,271.7120435291948
5,165.7835813629081,"[0.3010119885261603, 0.47924431517202704, 0.8627021210596022]",[1.00084793 0.03247971 0.97422718],795.2093375860017,337.5671627258162,348.3176516521613
6,142.62417874415104,"[0.0321745137560725, 0.8309687091681198, 0.5339460675477703]",[0.85678259 0.67018763 0.00264448],937.8335163301526,291.2483574883021,301.9988464146472
7,164.5904257348505,"[1.2162131536068832, 0.15223217096179065, 0.8821960720842732]",[0.36804308 0.03047733 0.46531662],1102.423942065003,335.180851469701,345.9313403960461
8,172.88171473833893,"[1.6862623229881157, 0.35423917483678313, 0.7686038675040237]",[0.72384994 1.         1.        ],1275.3056568033421,351.76342947667786,362.51391840302296
9,147.21085628251402,"[0.940309423653643, 0.37440506615623836, 0.4331058098458582]",[0.51282009 0.00895762 0.79254277],1422.516513085856,300.42171256502803,311.17220149137313
10,102.47566583377731,"[3.621109469036679, 0.12361880251176216, -0.12898974698667653]",[0.3783245  0.02825914 0.18021024],1524.9921789196335,210.95133166755463,221.70182059389973
11,165.57203848513777,"[3.7023974437013725, 0.9961878190292256, 0.5802901024318288]",[0.15388516 0.         0.74100549],1690.5642174047712,337.14407697027553,347.89456589662063
12,143.10745102709893,"[1.205160983004197, 0.620768805408328, -0.8251021000442933]",[ 0.03909147  0.00336934 -0.13330212],1833.67166843187,292.21490205419786,302.96539098054296
13,160.93084670187,"[2.89613775290389, 0.16761822369535684, 0.1450178940832827]",[ 0.02420269  0.27985331 -1.        ],1994.60251513374,327.86169340374,338.6121823300851
14,173.28679513998665,"[1.4480733814465223, 0.14055838231170847, -0.1809675101792183]",[0. 1. 1.],2167.8893102737266,352.5735902799733,363.3240792063184
15,173.28679513998665,"[0.9710445612534285, 0.7329732173397657, -0.40994061282509686]",[0. 1. 1.],2341.1761054137132,352.5735902799733,363.3240792063184
16,173.2709852126544,"[1.7470861165179978, 0.4457071114519996, 0.6517028140364769]",[0.23172408 1.         1.        ],2514.4470906263678,352.5419704253088,363.2924593516539
17,79.97535555533216,"[0.4891706326324785, 0.37147122559376344, -0.36455004003849845]",[ 0.20234491  0.03236047 -0.10093964],2594.4224461817,165.95071111066432,176.70120003700941
18,130.2697375741611,"[0.014660410958588499, 0.30288156565328495, -0.2914016351516884]",[ 0.02461472  0.         -0.57594767],2724.6921837558607,266.5394751483222,277.2899640746673
19,169.6277151788111,"[0.24533372505475104, 0.7985772161156016, -0.7341829978431405]",[0.67975148 1.         0.07108101],2894.319898934672,345.2554303576222,356.0059192839673
20,107.51384478207595,"[3.017777697739069, 0.6295771194549592, -0.23675127947325758]",[0.30547518 0.         0.55304129],3001.833743716748,221.0276895641519,231.778178490497
21,150.92168302479493,"[3.7539655656618534, 0.6342580024793179, 0.8530358845682664]",[ 0.55057904  1.         -0.20019341],3152.755426741543,307.84336604958986,318.59385497593496
22,171.58093325340326,"[1.5537259701082151, 0.5682030915429312, 0.2772115026319024]",[0.92158152 0.42788026 0.53813286],3324.336359994946,349.1618665068065,359.9123554331516
23,168.26229296578424,"[0.56453987727347, 0.6123132875767963, 0.5038380140025078]",[ 0.00497909  0.11829232 -1.        ],3492.5986529607303,342.5245859315685,353.2750748579136
24,171.4704757717801,"[1.3394601553567758, 0.46738850039988644, 0.9632343404702848]",[1.25861285 0.14214619 1.        ],3664.0691287325103,348.9409515435602,359.6914404699053
