participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,173.28679513998665,"[4.083303005242928, 0.1625842893363052, 0.3460653012140351]",[0. 1. 1.],173.28679513998665,352.5735902799733,358.2490511743052
3,173.28679513998665,"[2.5656427107137096, 0.9012015195953472, -0.025023640373138534]",[0. 1. 1.],346.5735902799733,352.5735902799733,358.2490511743052
4,127.48077730138239,"[2.1668154166697144, 0.266913544073921, -0.9781116999446167]",[0.33551335 0.0022412  0.72404714],474.0543675813557,260.96155460276475,266.6370154970967
10,102.47566583377122,"[3.5523648413640236, 0.9812238901075366, 0.13266760068902705]",[0.37832434 0.02825908 0.18021058],576.5300334151269,210.95133166754243,216.6267925618743
15,173.28679513998665,"[0.7399518742606559, 0.25312290033134477, -0.8885279375688822]",[0. 1. 1.],749.8168285551136,352.5735902799733,358.2490511743052
16,173.2709852126537,"[0.13700607283819666, 0.04275969622330178, -0.9081788907685653]",[0.23172433 1.         1.        ],923.0878137677673,352.5419704253074,358.2174313196393
39,61.197056715570305,"[4.867915488334842, 0.9201070799653145, -0.23272154975965642]",[0.30879214 0.         0.38604076],984.2848704833376,128.39411343114062,134.0695743254725
40,138.2157351521772,"[0.03882177506773776, 0.04063090690223925, -0.5281917162731866]",[ 0.00283856  0.         -1.        ],1122.5006056355148,282.4314703043544,288.10693119868625
44,52.04709624814903,"[3.1633221351521223, 0.1708764175984232, -0.03708577739071761]",[0.5496109  0.06256622 0.00810008],1174.5477018836639,110.09419249629806,115.76965339062994
57,140.39820593375362,"[1.3178340588238373, 0.3479044375739455, 0.6374932709310415]",[0.61040657 0.         1.        ],1314.9459078174175,286.79641186750723,292.4718727618391
61,125.93519656786735,"[0.5570282748520539, 0.000447075667272534, 0.8514719528146661]",[0.49603324 0.         0.6646458 ],1440.8811043852847,257.87039313573473,263.5458540300666
63,99.06742440158256,"[1.3977423400636129, 0.939242138231426, -0.6349577614840931]",[0.70721944 0.00819785 0.7652013 ],1539.9485287868672,204.1348488031651,209.810309697497
70,161.36533735890524,"[0.3054668131594457, 0.6593943755082134, 0.7041836680920635]",[0.40484118 0.         1.        ],1701.3138661457724,328.7306747178105,334.40613561214235
74,110.27300105376871,"[4.81163602075825, 0.774492935918779, -0.33712734869733096]",[ 0.0497864  0.1116013 -1.       ],1811.586867199541,226.54600210753742,232.2214630018693
77,65.00201533115857,"[1.1423220656578326, 0.7063293256747349, -0.959858163670686]",[ 0.71145021  0.11534013 -0.02868504],1876.5888825306997,136.00403066231715,141.67949155664903
