participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,122.11742158124251,"[0.42154713709584735, 0.5628275774637775]",[0.30450298 0.41366619],122.11742158124251,248.23484316248502,255.2777649982095
2,134.36832343145622,"[0.45313084839606, 0.09945982245826623]",[0.29195057 0.14813531],256.4857450126987,272.73664686291244,279.7795686986369
3,163.67715682197667,"[0.12270985209246299, 0.8908999134275124]",[0.09871065 0.64026243],420.1629018346754,331.35431364395333,338.3972354796778
4,94.80773516738766,"[0.7708902940402412, 0.11507058491735633]",[0.3656786  0.17296246],514.9706370020631,193.61547033477532,200.6583921704998
5,136.418854844899,"[0.5122434012514837, 0.09041184204961172]",[0.40569718 0.09217763],651.3894918469621,276.837709689798,283.88063152552246
6,173.28679513998665,"[3.6355702644441372, 0.2190517236515429]",[3.63557026 0.21905172],824.6762869869488,350.5735902799733,357.6165121156978
7,112.5284817346669,"[0.47664538834585213, 0.33152256925842716]",[0.20194793 1.        ],937.2047687216157,229.0569634693338,236.09988530505828
8,161.97114854294287,"[0.2999067776382802, 0.08987137446383775]",[0.31402632 0.02360564],1099.1759172645586,327.94229708588574,334.9852189216102
9,69.14193310871894,"[0.4848192358443787, 0.6095970777560286]",[0.40960615 0.57054933],1168.3178503732775,142.2838662174379,149.32678805316237
10,95.16860679104165,"[1.2633425959728357, 0.02881675936146244]",[0.40701688 0.26974677],1263.486457164319,194.3372135820833,201.3801354178078
11,135.5647146908714,"[0.9325635145815719, 0.32054759988912074]",[0.17492604 1.        ],1399.0511718551904,275.1294293817428,282.1723512174673
12,136.6408271424451,"[0.23457405453232882, 0.7242763616023765]",[0.16222761 1.        ],1535.6919989976354,277.2816542848902,284.32457612061467
13,84.98975870807821,"[1.1637150027890169, 0.09403712026286404]",[0.65002263 0.05023141],1620.6817577057136,173.97951741615643,181.0224392518809
14,97.99524200807838,"[1.0235480688544862, 0.04897385649857333]",[0.34141143 0.19782453],1718.676999713792,199.99048401615676,207.03340585188124
15,134.5817116519006,"[3.3235024575613275, 0.22180316763303987]",[0.39841653 0.26131031],1853.2587113656925,273.1634233038012,280.2063451395257
16,76.84219193754797,"[1.668414095729565, 0.004547536684096354]",[0.447223   0.41185312],1930.1009033032406,157.68438387509593,164.72730571082042
17,146.63135507172626,"[2.9126362232495935, 0.47250770615933746]",[0.15300124 1.        ],2076.732258374967,297.2627101434525,304.305631979177
18,68.06773315958701,"[0.8139752100522607, 0.16420757570308464]",[2.57303177 0.00350213],2144.799991534554,140.13546631917401,147.1783881548985
19,171.28998101648497,"[0.06549953301286993, 0.0764089526388696]",[0.37842457 0.00529691],2316.089972551039,346.57996203296995,353.62288386869443
