participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,173.28679513998665,"[2.0484009650075494, 0.5701462380009609]",[0.         0.57014624],173.28679513998665,350.5735902799733,357.7405828975367
2,173.24127777707054,"[0.39454438266244785, 0.6670545840666705]",[0.15244667 0.66705458],346.5280729170572,350.4825555541411,357.64954817170445
3,173.18611757223323,"[4.993141630197302, 0.5652968710256007]",[0.30981652 0.56529687],519.7141904892904,350.37223514446646,357.53922776202984
4,160.3796344316456,"[3.614572477611026, 0.9833226243655784]",[1.08021624 0.98332262],680.0938249209361,324.7592688632912,331.9262614808546
5,168.50985988419413,"[1.4097053456032393, 0.7694616628867974]",[0.68839808 0.76946166],848.6036848051302,341.01971976838826,348.18671238595164
6,147.64506364809083,"[1.870317248458952, 0.8824668574674664]",[1.08746728 0.88246686],996.2487484532211,299.29012729618165,306.45711991374503
7,172.32307135487795,"[2.928435669798994, 0.6693985470807695]",[0.79167319 0.66939855],1168.571819808099,348.6461427097559,355.8131353273193
8,122.538855200888,"[0.16242879664400467, 0.8483754354446411]",[1.2539232  0.84837544],1291.110675008987,249.077710401776,256.2447030193394
9,164.27261374001483,"[3.8052218810621956, 0.9921812480933685]",[0.96024758 0.99218125],1455.3832887490018,332.54522748002967,339.71222009759305
10,160.8101458899076,"[1.2837242427103552, 0.9001057222201578]",[4.78562277 0.90010572],1616.1934346389094,325.6202917798152,332.7872843973786
11,169.22035872203688,"[0.7570335076958518, 0.9664606160235176]",[0.43450485 0.96646062],1785.4137933609463,342.44071744407375,349.60771006163714
12,164.448771862826,"[2.556027971700062, 0.938702658626324]",[0.91173973 0.93870266],1949.8625652237724,332.897543725652,340.06453634321537
13,173.1168961031974,"[2.5057009256638803, 0.7054477072383941]",[0.47931969 0.70544771],2122.9794613269696,350.2337922063948,357.4007848239582
14,173.0051316974318,"[0.6822781158505625, 0.8314580016148934]",[0.15684804 0.831458  ],2295.9845930244014,350.0102633948636,357.177256012427
15,173.28679513998665,"[0.9918736936622591, 0.5180750999979453]",[0.99187369 0.5180751 ],2469.271388164388,350.5735902799733,357.7405828975367
16,173.28679513998665,"[2.169877001444574, 0.39210440864704454]",[2.169877   0.39210441],2642.558183304375,350.5735902799733,357.7405828975367
17,164.95804395115405,"[1.4880157253653359, 0.9952288712104518]",[0.59982906 0.99522887],2807.516227255529,333.9160879023081,341.0830805198715
18,173.28679513998665,"[2.5462722413079715, 0.32357409975571916]",[2.54627224 0.3235741 ],2980.8030223955157,350.5735902799733,357.7405828975367
19,171.29059204929334,"[0.48642114914901335, 0.9010376017562551]",[0.44145447 0.9010376 ],3152.093614444809,346.5811840985867,353.74817671615006
20,162.7037595596839,"[2.1007976147391743, 0.9570329418803387]",[1.25045663 0.95703294],3314.797374004493,329.4075191193678,336.5745117369312
21,142.53662980150958,"[3.6848887209589747, 0.9848876024677294]",[0.89415876 0.9848876 ],3457.334003806003,289.07325960301915,296.24025222058253
22,173.2279376399305,"[3.1213436529250354, 0.8549581531946047]",[0.10135257 0.85495815],3630.5619414459334,350.455875279861,357.6228678974244
23,172.37278430948052,"[0.8534794810958579, 0.9354978997304608]",[0.43858304 0.9354979 ],3802.934725755414,348.74556861896104,355.9125612365244
24,171.8158263064663,"[2.9805483863787456, 0.6152860411094523]",[0.73925733 0.61528604],3974.7505520618806,347.6316526129326,354.798645230496
25,159.50558519436555,"[3.03435132913658, 0.961440665688839]",[1.00044865 0.96144067],4134.256137256246,323.0111703887311,330.1781630062945
26,173.28679513998665,"[3.2429144698827206, 0.01024508309668104]",[3.24291447 0.01024508],4307.542932396233,350.5735902799733,357.7405828975367
27,125.82707345398184,"[3.6111277631571563, 0.9978642130567117]",[1.40417774 0.99786421],4433.3700058502145,255.65414690796368,262.8211395255271
28,147.15893354576284,"[3.736567954514033, 0.8805757747016284]",[0.92258188 0.88057577],4580.528939395977,298.31786709152567,305.48485970908905
29,139.4869225220122,"[0.9180802856116982, 0.7060623737915569]",[1.46630746 0.70606237],4720.015861917989,282.9738450440244,290.1408376615878
30,172.13382224391145,"[0.5169526736855806, 0.8323209811002165]",[0.52917077 0.83232098],4892.149684161901,348.2676444878229,355.4346371053863
31,170.54559328915428,"[4.1516177228607045, 0.6672653510007823]",[0.64960334 0.66726535],5062.6952774510555,345.09118657830857,352.25817919587195
32,151.10608536206834,"[4.784219045773156, 0.9607909809353555]",[4.78421905 0.96079098],5213.801362813124,306.2121707241367,313.37916334170006
33,173.2682723853736,"[0.02232003899014734, 0.8076074639524106]",[0.06507416 0.80760746],5387.069635198497,350.5365447707472,357.70353738831056
34,135.019866800326,"[4.189507345106233, 0.9600931989967141]",[0.97213163 0.9600932 ],5522.089501998823,274.039733600652,281.2067262182154
35,171.2073535983068,"[4.870328824616413, 0.6609891633894784]",[4.87032882 0.66098916],5693.29685559713,346.4147071966136,353.581699814177
36,172.4896154800495,"[2.816517811134411, 0.9496539399534878]",[0.34417604 0.94965394],5865.78647107718,348.979230960099,356.1462235776624
37,172.5936479594267,"[4.443446045524945, 0.6085011081731323]",[4.44344605 0.60850111],6038.380119036607,349.1872959188534,356.3542885364168
38,164.8961574217728,"[4.536336518473869, 0.9780406742476729]",[0.55635712 0.97804067],6203.2762764583795,333.7923148435456,340.959307461109
39,152.49237972318824,"[4.711963701213705, 0.9774086125234175]",[4.7119637  0.97740861],6355.768656181568,308.9847594463765,316.15175206393985
40,151.07172591764825,"[2.7800662907632985, 0.9287004763834343]",[0.85164468 0.92870048],6506.840382099216,306.1434518352965,313.3104444528599
41,171.81582630646608,"[4.564001587301691, 0.8239355798718317]",[0.73925766 0.82393558],6678.656208405682,347.63165261293216,354.79864523049554
42,160.11699870934765,"[4.516241298829594, 0.9827462555413028]",[4.5162413  0.98274626],6838.77320711503,324.2339974186953,331.4009900362587
43,170.1473062773998,"[4.536812930191187, 0.9259542604740405]",[0.67473898 0.92595426],7008.92051339243,344.2946125547996,351.46160517236297
44,148.90028278949433,"[2.407297272848367, 0.9955249745919547]",[1.41127701 0.99552497],7157.820796181924,301.80056557898865,308.96755819655203
45,167.90863081792003,"[1.8587505954110417, 0.9777987514371792]",[0.61803197 0.97779875],7325.729426999845,339.81726163584005,346.98425425340344
46,173.28679513998665,"[0.09843316965786442, 0.6955789763464695]",[0.         0.69557898],7499.016222139831,350.5735902799733,357.7405828975367
47,155.42083571385558,"[4.037941499350324, 0.9933653054734418]",[1.22994911 0.99336531],7654.437057853687,314.84167142771116,322.00866404527454
48,169.89540885249983,"[3.035903550835453, 0.9168252924032182]",[0.7667156  0.91682529],7824.332466706187,343.79081770499965,350.95781032256303
49,172.7635469962221,"[1.8267816152187133, 0.6395119864207013]",[0.67473872 0.63951199],7997.096013702409,349.5270939924442,356.69408661000756
50,168.35817290993018,"[3.0058016362744406, 0.9131751734698267]",[0.73088801 0.91317517],8165.45418661234,340.71634581986035,347.88333843742373
51,162.10551994936208,"[1.652132182123336, 0.9992980144898618]",[1.27193563 0.99929801],8327.559706561702,328.21103989872415,335.37803251628753
52,173.28679513998665,"[4.296559806888362, 0.6676499754895167]",[0.         0.66764998],8500.846501701688,350.5735902799733,357.7405828975367
53,164.27588179270734,"[0.21027125323774043, 0.9603361735320308]",[5.         0.96033617],8665.122383494396,332.5517635854147,339.71875620297806
54,169.8676451522987,"[3.7518301242009153, 0.9898078523902719]",[0.38841321 0.98980785],8834.990028646695,343.7352903045974,350.9022829221608
55,173.11689610319155,"[4.933322880386, 0.618883593018633]",[0.47932248 0.61888359],9008.106924749885,350.2337922063831,357.4007848239465
56,170.37576347966336,"[1.238700180964773, 0.7779971264289062]",[0.87304239 0.77799713],9178.48268822955,344.7515269593267,351.9185195768901
57,165.00739189573807,"[1.9008018539353384, 0.9833965851979639]",[0.58461725 0.98339659],9343.490080125288,334.01478379147613,341.1817764090395
58,173.28679513998665,"[2.7085792044995616, 0.585588958701073]",[2.7085792  0.58558896],9516.776875265274,350.5735902799733,357.7405828975367
59,170.72710871135575,"[0.15904052714658723, 0.8373094350607462]",[0.36449327 0.83730944],9687.503983976629,345.4542174227115,352.6212100402749
60,173.07177454693772,"[0.21961680549950624, 0.8932194677999825]",[0.23014834 0.89321947],9860.575758523566,350.14354909387544,357.3105417114388
61,125.09269232241107,"[4.722955001543777, 0.8557273736864568]",[1.15458019 0.85572737],9985.668450845977,254.18538464482214,261.3523772623855
62,172.5936479594267,"[3.6897882278464165, 0.6201963389347392]",[3.68978823 0.62019634],10158.262098805404,349.1872959188534,356.3542885364168
63,156.69278208300463,"[2.238237534352796, 0.996374666900439]",[1.21597477 0.99637467],10314.954880888408,317.38556416600926,324.55255678357264
64,128.52257531521792,"[0.3513508659991932, 0.9865880111546165]",[1.39648349 0.98658801],10443.477456203625,261.04515063043584,268.2121432479992
65,171.30557910408598,"[1.3226474900534768, 0.8890592900473652]",[0.9345173  0.88905929],10614.783035307712,346.61115820817196,353.77815082573534
66,169.12791205662697,"[4.450849222467169, 0.825091409296927]",[4.45084922 0.82509141],10783.910947364338,342.25582411325394,349.4228167308173
67,167.53273843288738,"[4.9373667976027855, 0.8462264183516714]",[0.63025998 0.84622642],10951.443685797225,339.06547686577477,346.23246948333815
68,173.21512160897052,"[0.924625006972673, 0.7186601473967035]",[0.23014796 0.71866015],11124.658807406195,350.43024321794104,357.5972358355044
69,163.17045134715462,"[3.08051041831714, 0.9580908582495741]",[0.58893212 0.95809086],11287.829258753349,330.34090269430925,337.50789531187263
70,92.75664818230156,"[0.05806977341751063, 0.8081753941301489]",[1.42766908 0.80817539],11380.58590693565,189.51329636460312,196.68028898216653
71,166.3788213677654,"[0.9063677378921736, 0.951620802282244]",[0.55317389 0.9516208 ],11546.964728303416,336.7576427355308,343.9246353530942
72,170.69705540274072,"[1.2280876001591228, 0.9844956127226199]",[0.34087911 0.98449561],11717.661783706157,345.39411080548143,352.5611034230448
73,173.28679513998665,"[4.625016293446237, 0.5032408517788322]",[4.62501629 0.50324085],11890.948578846142,350.5735902799733,357.7405828975367
74,171.20735361145353,"[2.7379475183666067, 0.8095017856282166]",[2.73794752 0.80950179],12062.155932457596,346.41470722290705,353.58169984047043
75,170.81368604338667,"[1.7220237669017868, 0.8363083895582201]",[0.5249375  0.83630839],12232.969618500982,345.62737208677333,352.7943647043367
76,173.28679513998665,"[4.025150892988064, 0.07160628022559101]",[4.02515089 0.07160628],12406.256413640967,350.5735902799733,357.7405828975367
77,152.49237972318826,"[3.231558140148793, 0.9970787192200712]",[3.23155814 0.99707872],12558.748793364155,308.98475944637653,316.1517520639399
78,167.55976210769268,"[2.9925375772172487, 0.9192074952888508]",[0.48761917 0.9192075 ],12726.308555471847,339.11952421538535,346.28651683294873
79,167.01684384067357,"[1.5558108832965671, 0.9757240841505102]",[0.84348185 0.97572408],12893.325399312522,338.03368768134715,345.2006802989105
80,157.34440998710787,"[0.39314225420067905, 0.991410967749391]",[5.         0.99141097],13050.66980929963,318.68881997421573,325.8558125917791
81,170.16081680776276,"[1.6802448183391683, 0.9750568969578814]",[0.53621224 0.9750569 ],13220.830626107392,344.3216336155255,351.4886262330889
82,169.12791205662697,"[4.1544445419867815, 0.7702744999321138]",[4.15444454 0.7702745 ],13389.958538164019,342.25582411325394,349.4228167308173
83,167.18519557976123,"[4.264483400628469, 0.8342653015714676]",[1.15705031 0.8342653 ],13557.14373374378,338.37039115952246,345.53738377708584
84,171.0717401207648,"[0.2486032334230387, 0.8782569144016465]",[0.52144823 0.87825691],13728.215473864544,346.1434802415296,353.31047285909295
85,156.40837006424738,"[4.239414551895691, 0.9974957815008357]",[0.78632234 0.99749578],13884.623843928792,316.81674012849476,323.98373274605814
86,172.72095200049765,"[4.7626271914552785, 0.8986083708786456]",[0.29283613 0.89860837],14057.34479592929,349.4419040009953,356.6088966185587
87,173.28679513998665,"[3.405077069551601, 0.5084556974099371]",[3.40507707 0.5084557 ],14230.631591069276,350.5735902799733,357.7405828975367
88,164.96902897326729,"[4.27121327323732, 0.769164976574446]",[4.27121327 0.76916498],14395.600620042544,333.93805794653457,341.10505056409795
89,173.2573663899596,"[1.677575203308509, 0.7255152042248929]",[0.10135324 0.7255152 ],14568.857986432504,350.5147327799192,357.6817253974826
90,164.8510518553035,"[3.4774556263153675, 0.9392427987566364]",[0.58127407 0.9392428 ],14733.709038287807,333.702103710607,340.8690963281704
91,172.24029885245758,"[0.8690245448443318, 0.7951168212451099]",[0.67473887 0.79511682],14905.949337140264,348.48059770491517,355.64759032247855
92,130.0078106270347,"[3.380501145716626, 0.7150645913228509]",[1.50662444 0.71506459],15035.957147767298,264.0156212540694,271.1826138716328
93,171.71426106088683,"[1.013662351600343, 0.9747419731652213]",[0.41626165 0.97474197],15207.671408828184,347.42852212177365,354.59551473933703
94,136.5012557721841,"[2.2666986826283635, 0.731913944034433]",[1.28896287 0.73191394],15344.172664600368,277.0025115443682,284.16950416193157
95,129.4031831581041,"[2.805054261618551, 0.8409408872665053]",[1.13638024 0.84094089],15473.575847758471,262.8063663162082,269.9733589337716
96,173.14140641809857,"[0.8904708394005717, 0.9965337947257512]",[0.16151255 0.99653379],15646.71725417657,350.28281283619714,357.4498054537605
97,170.6705544211639,"[0.6148038510067827, 0.8022169234429317]",[0.67473871 0.80221692],15817.387808597734,345.3411088423278,352.5081014598912
98,167.34859575003185,"[0.07949342829284389, 0.9589697946278424]",[0.67216438 0.95896979],15984.736404347766,338.6971915000637,345.8641841176271
99,164.6163115211599,"[1.4703733055684842, 0.9380983984218063]",[0.69340691 0.9380984 ],16149.352715868927,333.2326230423198,340.3996156598832
100,142.18470784816654,"[3.0716215503880377, 0.7485265231294427]",[1.45247664 0.74852652],16291.537423717093,288.3694156963331,295.53640831389646
101,173.28679513998665,"[2.4753560075748227, 0.8627082765721226]",[0.         0.86270828],16464.82421885708,350.5735902799733,357.7405828975367
102,173.1866278030604,"[3.9823598048073947, 0.7901145052052841]",[0.16646437 0.79011451],16638.01084666014,350.3732556061208,357.54024822368416
103,162.1964402510275,"[0.988714360362391, 0.9022296927475515]",[5.         0.90222969],16800.20728691117,328.392880502055,335.5598731196184
104,170.51420641774686,"[3.2248721499958357, 0.6844567933215651]",[3.22487215 0.68445679],16970.721493328914,345.0284128354937,352.1954054530571
