participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,173.28679513998665,"[1.8775690843255421, 0.9789928037845343]",[0.        0.9789928],173.28679513998665,350.5735902799733,357.6165121156978
2,173.24127777707068,"[3.7260035532297713, 0.6760081666877664]",[0.15244652 0.67600817],346.52807291705733,350.48255555414136,357.52547738986584
3,173.18611757223323,"[3.2672580227263603, 0.5706678384214996]",[0.30981661 0.57066784],519.7141904892906,350.37223514446646,357.41515698019094
4,162.15071143724444,"[4.433533968406636, 0.9505650108522374]",[1.04991519 0.95056501],681.864901926535,328.3014228744889,335.34434471021336
5,168.50985988419407,"[1.2959354630336946, 0.7648869240562451]",[0.68839792 0.76488692],850.3747618107291,341.01971976838814,348.0626416041126
6,148.24213494100195,"[4.057326198672724, 0.8630021461422555]",[1.08282393 0.86300215],998.616896751731,300.4842698820039,307.5271917177284
7,172.5936479594267,"[4.325364082196445, 0.5803818646080252]",[4.32536408 0.58038186],1171.2105447111578,349.1872959188534,356.2302177545779
8,124.7721995997683,"[1.9315079602751406, 0.8560175578750545]",[1.2110775  0.85601756],1295.9827443109261,253.5443991995366,260.5873210352611
9,165.6937466767029,"[1.690892780856399, 0.9257240949616476]",[0.9834385  0.92572409],1461.676490987629,335.3874933534058,342.43041518913026
10,160.8101458899076,"[0.19048443347450816, 0.8884229857835895]",[5.         0.88842299],1622.4866368775365,325.6202917798152,332.6632136155397
11,169.22035872203722,"[4.8545332328291435, 0.9650539561993074]",[0.43450483 0.96505396],1791.7069955995737,342.44071744407444,349.4836392797989
12,164.44877186282608,"[2.277281333653683, 0.9411813897480285]",[0.91173975 0.94118139],1956.1557674623998,332.89754372565216,339.94046556137664
13,173.11689610319127,"[0.416975500408146, 0.6886704349468492]",[0.47932203 0.68867043],2129.272663565591,350.23379220638253,357.276714042107
14,173.00513169743323,"[1.3675574621225473, 0.8189946240814671]",[0.1568477  0.81899462],2302.277795263024,350.01026339486646,357.05318523059094
15,173.28679513998665,"[2.6470587162128063, 0.12936717934214814]",[2.64705872 0.12936718],2475.5645904030107,350.5735902799733,357.6165121156978
16,173.28679513998665,"[0.11128569323288873, 0.7177996747181129]",[0.         0.71779967],2648.8513855429974,350.5735902799733,357.6165121156978
17,164.9580439511473,"[2.0498195480040913, 0.9946207872311567]",[0.5998293  0.99462079],2813.8094294941448,333.9160879022946,340.95900973801906
18,173.28679513998665,"[4.805059822911065, 0.9822343999828975]",[0.        0.9822344],2987.0962246341314,350.5735902799733,357.6165121156978
19,171.2905920492934,"[4.257887082265875, 0.9199786907351185]",[0.44145448 0.91997869],3158.386816683425,346.5811840985868,353.6241059343113
20,162.70375955968387,"[3.3186749008753957, 0.953628591158966]",[1.25045658 0.95362859],3321.090576243109,329.40751911936775,336.45044095509223
21,142.5366298015105,"[2.2618185546252145, 0.9928008273944968]",[0.89415851 0.99280083],3463.6272060446195,289.073259603021,296.11618143874546
22,173.22793763993255,"[3.918749362854821, 0.8595975904064403]",[0.10135324 0.85959759],3636.855143684552,350.4558752798651,357.4987971155896
23,172.2044916035075,"[3.510430814862191, 0.9542414246958553]",[0.44394704 0.95424142],3809.0596352880593,348.408983207015,355.4519050427395
24,171.81582630646616,"[1.1078051216874263, 0.6081683879994012]",[0.73925741 0.60816839],3980.8754615945254,347.6316526129323,354.6745744486568
25,159.50558519436368,"[3.5083826770023405, 0.9558790082086988]",[1.00044901 0.95587901],4140.381046788889,323.01117038872735,330.05409222445184
26,173.28679513998665,"[0.12994398378059047, 0.13682276823847017]",[0.12994398 0.13682277],4313.6678419288755,350.5735902799733,357.6165121156978
27,126.49507824953939,"[1.5067742726377125, 0.9871757122596947]",[1.4016989  0.98717571],4440.162920178415,256.9901564990788,264.0330783348033
28,147.1589335457617,"[2.1383532606079254, 0.8830517811175675]",[0.92258177 0.88305178],4587.321853724177,298.3178670915234,305.3607889272479
29,139.4869225220118,"[0.17085880469984993, 0.7086781278637712]",[1.46630745 0.70867813],4726.808776246189,282.9738450440236,290.0167668797481
30,172.13382224391148,"[2.4965750745034154, 0.8423756891498282]",[0.52917063 0.84237569],4898.942598490101,348.26764448782296,355.31056632354745
31,170.54559328915434,"[0.2680823909635821, 0.6689280139576991]",[0.64960332 0.66892801],5069.488191779255,345.0911865783087,352.13410841403316
32,149.0266438203885,"[4.815207826076994, 0.9888351712824367]",[4.81520783 0.98883517],5218.514835599644,302.053287640777,309.0962094765015
33,173.23112470432324,"[4.627152215041886, 0.7181160127721538]",[0.18334392 0.71811601],5391.745960303968,350.46224940864647,357.50517124437096
34,135.0198668003256,"[2.5106387488713495, 0.957062231665987]",[0.97213175 0.95706223],5526.765827104294,274.0397336006512,281.08265543637566
35,171.2073535983068,"[4.225236801540567, 0.6373875333743071]",[4.2252368  0.63738753],5697.973180702601,346.4147071966136,353.4576290323381
36,172.5820521657258,"[1.5563691965132453, 0.9623613636617099]",[0.30981541 0.96236136],5870.555232868327,349.1641043314516,356.2070261671761
37,172.5936479594267,"[3.5386528629752423, 0.663495878087674]",[3.53865286 0.66349588],6043.148880827754,349.1872959188534,356.2302177545779
38,164.5589993295827,"[4.526605516698966, 0.9939721574474523]",[0.56314505 0.99397216],6207.707880157336,333.1179986591654,340.16092049488987
39,152.49237972318824,"[4.915305640778976, 0.993219867989601]",[4.91530564 0.99321987],6360.200259880525,308.9847594463765,316.02768128210096
40,152.09636193879447,"[1.1562791643341885, 0.9345750134688091]",[0.83099988 0.93457501],6512.29662181932,308.19272387758895,315.23564571331343
41,172.10765495516642,"[4.082985401864889, 0.8308410882940934]",[0.62216255 0.83084109],6684.404276774486,348.21530991033285,355.25823174605733
42,160.11699870934765,"[4.080955450616638, 0.985750981968763]",[4.08095545 0.98575098],6844.521275483834,324.2339974186953,331.2769192544198
43,170.14730627739937,"[1.7878980957626722, 0.9086224968478936]",[0.67473882 0.9086225 ],7014.668581761233,344.29461255479873,351.3375343905232
44,150.90468522760224,"[1.3271000425890604, 0.9718682893123455]",[1.39648359 0.97186829],7165.573266988836,305.8093704552045,312.852292290929
45,168.0518551975586,"[1.2916556737271312, 0.9628534168638586]",[0.62654946 0.96285342],7333.625122186394,340.1037103951172,347.1466322308417
46,173.28679513998665,"[3.238772706249578, 0.23280317404267925]",[3.23877271 0.23280317],7506.911917326381,350.5735902799733,357.6165121156978
47,155.42083571385578,"[1.7875770883282849, 0.9979548316166607]",[1.22994921 0.99795483],7662.332753040237,314.84167142771156,321.88459326343605
48,169.43189999955442,"[1.3273001529143935, 0.9266029593871337]",[0.79167351 0.92660296],7831.7646530397915,342.86379999910883,349.9067218348333
49,172.76354699622212,"[1.0506880913156942, 0.6079261410935287]",[0.67473875 0.60792614],8004.528200036014,349.52709399244424,356.5700158281687
50,167.80134364225145,"[4.850932404889428, 0.7743128796380074]",[1.13638035 0.77431288],8172.3295436782655,339.6026872845029,346.6456091202274
51,163.39415639570527,"[1.4694051228616145, 0.9847958445298417]",[1.24912754 0.98479584],8335.723700073971,330.78831279141053,337.831234627135
52,173.28679513998665,"[2.9710001288666015, 0.6185419625181767]",[0.         0.61854196],8509.010495213957,350.5735902799733,357.6165121156978
53,164.27588179270734,"[3.880193690313015, 0.9821842257676469]",[3.88019369 0.98218423],8673.286377006665,332.5517635854147,339.59468542113916
54,170.6882933046201,"[0.0855163822791205, 0.970976172976992]",[0.35495825 0.97097617],8843.974670311285,345.3765866092402,352.41950844496466
55,173.11689610319127,"[0.03173020272641991, 0.6440301192402169]",[0.47932211 0.64403012],9017.091566414476,350.23379220638253,357.276714042107
56,170.375763479663,"[3.482253950409816, 0.7720868485130454]",[0.87304224 0.77208685],9187.46732989414,344.751526959326,351.79444879505047
57,165.0073918957375,"[1.2066342072046154, 0.955251401216184]",[0.58461728 0.9552514 ],9352.474721789877,334.014783791475,341.0577056271995
58,173.28679513998665,"[4.970362321088139, 0.40666021975590505]",[4.97036232 0.40666022],9525.761516929862,350.5735902799733,357.6165121156978
59,170.66562128622454,"[1.7823702991663015, 0.8197637638907446]",[0.37183136 0.81976376],9696.427138216088,345.33124257244907,352.37416440817356
60,173.1957604141543,"[1.8247157348998417, 0.9329990062308833]",[0.15244677 0.93299901],9869.622898630241,350.3915208283086,357.4344426640331
61,125.09269232241074,"[1.1468231661725596, 0.867389186930621]",[1.15458014 0.86738919],9994.715590952652,254.18538464482148,261.228306480546
62,172.5936479594267,"[4.7602952969034735, 0.6622785518747702]",[4.7602953  0.66227855],10167.30923891208,349.1872959188534,356.2302177545779
63,156.69278208300426,"[1.8995298731176757, 0.9907986197681236]",[1.21597488 0.99079862],10324.002020995084,317.3855641660085,324.428486001733
64,128.5225753152254,"[4.987334935727953, 0.9822700775067192]",[1.39648302 0.98227008],10452.52459631031,261.0451506304508,268.0880724661753
