Subnum,Condition,Phase,Option,Value,err,abs_err,BestOption,Confidence,CA_diff,CA_diff_normalized,Value_normalized,BestOption_CA,training_accuracy
1,Baseline,1,A,1.26,0.61,0.61,0.65,2.0,,,0.2540322580645161,0.35,0.6083333333333334
2,Baseline,1,A,0.2,-0.45,0.45,0.65,4.0,0.8,0.5333333333333333,0.18181818181818182,1.0,0.5083333333333333
2,Baseline,2,A,0.5,-0.15000000000000002,0.15000000000000002,0.35,5.0,0.8,0.5333333333333333,0.38461538461538464,1.0,0.5083333333333333
2,Baseline,3,A,0.5,-0.15000000000000002,0.15000000000000002,0.6,5.0,0.8,0.5333333333333333,0.3597122302158273,1.0,0.5083333333333333
2,Baseline,4,A,0.5,-0.15000000000000002,0.15000000000000002,0.4,5.0,0.8,0.5333333333333333,0.24390243902439024,1.0,0.5083333333333333
2,Baseline,5,A,0.4,-0.25,0.25,0.55,7.0,0.8,0.5333333333333333,0.2857142857142857,1.0,0.5083333333333333
2,Baseline,6,A,0.5,-0.15000000000000002,0.15000000000000002,0.5,8.0,0.8,0.5333333333333333,0.33333333333333326,1.0,0.5083333333333333
2,Baseline,7,A,0.5,-0.15000000000000002,0.15000000000000002,0.725,5.0,0.8,0.5333333333333333,0.3333333333333333,1.0,0.5083333333333333
2,Frequency,1,A,0.9,0.25,0.25,0.5,4.0,0.0,0.0,0.6206896551724138,0.1,0.5916666666666667
2,Frequency,2,A,1.2,0.5499999999999999,0.5499999999999999,0.65,7.0,0.0,0.0,0.9333333333333333,0.1,0.5916666666666667
2,Frequency,3,A,0.9,0.25,0.25,0.65,8.0,0.0,0.0,0.6428571428571429,0.1,0.5916666666666667
2,Frequency,4,A,0.9,0.25,0.25,0.65,8.0,0.0,0.0,0.6428571428571429,0.1,0.5916666666666667
2,Frequency,5,A,0.9,0.25,0.25,0.6,8.0,0.0,0.0,0.6666666666666666,0.1,0.5916666666666667
2,Frequency,6,A,0.8,0.15000000000000002,0.15000000000000002,0.5,8.0,0.0,0.0,0.5871559633027523,0.1,0.5916666666666667
2,Frequency,7,A,0.5,-0.15000000000000002,0.15000000000000002,0.5875,8.0,0.0,0.0,0.4,0.1,0.5916666666666667
