participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,173.28679513998665,"[2.3931633908202645, 0.4719133308423712]",[0.         0.73101068],173.28679513998665,350.5735902799733,357.7405828975367
2,170.69319830208173,"[0.04063843978824089, 0.1650922192902764]",[0.12403792 0.0524159 ],343.97999344206835,345.38639660416345,352.55338922172683
3,172.44294019438365,"[2.3071337246118007, 0.9532682090500334]",[0.00883676 0.        ],516.422933636452,348.8858803887673,356.0528730063307
4,132.83788897403758,"[1.4260294257241002, 0.9142076795921094]",[0.3077186  0.05675258],649.2608226104895,269.67577794807517,276.84277056563855
5,171.02911334814613,"[0.6053570266714736, 0.28776916215954174]",[0.30757814 0.13207361],820.2899359586356,346.05822669629225,353.22521931385563
6,142.32402732773767,"[4.583361983901125, 0.40803427607924614]",[0.96075327 0.79367349],962.6139632863733,288.64805465547533,295.8150472730387
7,164.88871244382048,"[1.1745672382648427, 0.5918742000858707]",[0.21649632 0.08182544],1127.5026757301937,333.77742488764096,340.94441750520434
8,173.28679513998665,"[2.103648103333885, 0.44753818107915977]",[0.         0.64531416],1300.7894708701804,350.5735902799733,357.7405828975367
9,148.07402779628129,"[3.649966320052701, 0.09971573772689424]",[0.50632085 0.13110763],1448.8634986664617,300.14805559256257,307.31504821012595
10,101.76103759093058,"[1.7845526770007802, 0.6740974016869767]",[0.42340568 0.06476444],1550.6245362573923,207.52207518186117,214.68906779942458
11,167.0869781648407,"[0.623430741771448, 0.834853058796765]",[0.86112618 0.63466069],1717.711514422233,338.1739563296814,345.3409489472448
12,144.10620064081755,"[0.5664954814035306, 0.13597867832114885]",[0.19678107 0.04266673],1861.8177150630506,292.2124012816351,299.3793938991985
13,163.1806704732003,"[1.8319398295148392, 0.19890373653533489]",[0.71550806 0.35548359],2024.998385536251,330.3613409464006,337.528333563964
14,171.3865773171448,"[3.526792853238345, 0.9792482588054116]",[0.02271944 0.        ],2196.384962853396,346.7731546342896,353.940147251853
