participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,173.28063182459195,"[1.5435650613390184, 0.8932347940852475]",[0.24386174 1.        ],173.28063182459195,350.5612636491839,357.7282562667473
2,150.25427033997565,"[4.272287963667145, 0.8935842842323192]",[0.84296507 0.00310048],323.5349021645676,304.5085406799513,311.6755332975147
3,164.2043292715047,"[0.40840308766845024, 0.03022946723026676]",[0.3957778 0.       ],487.73923143607226,332.4086585430094,339.57565116057276
4,173.19032269635733,"[2.438333106170407, 0.6147134246097433]",[0.71706459 1.        ],660.9295541324295,350.38064539271465,357.54763801027804
5,173.28679513998665,"[2.2373841638905763, 0.7769107031838729]",[0. 0.],834.2163492724162,350.5735902799733,357.7405828975367
6,171.4028794098559,"[1.1588746565779207, 0.24586708029062077]",[1.56435282 0.28822051],1005.6192286822721,346.8057588197118,353.9727514372752
7,168.56978328425043,"[1.0785322151764087, 0.3154224758841998]",[2.03675453 1.        ],1174.1890119665227,341.13956656850087,348.30655918606425
8,173.28679513998665,"[4.401231945820859, 0.6057633605717528]",[0.         0.99999787],1347.4758071065094,350.5735902799733,357.7405828975367
9,173.2783782060259,"[0.164213586787329, 0.8873681465042101]",[0.29279654 0.96315009],1520.7541853125354,350.5567564120518,357.7237490296152
10,173.28679513998665,"[0.38753856631998373, 0.8212643174153912]",[0.         0.99855518],1694.040980452522,350.5735902799733,357.7405828975367
11,165.27049661100892,"[2.6880330197847124, 0.5596781818175963]",[2.5817624  0.58474251],1859.311477063531,334.54099322201785,341.7079858395812
12,173.14189217419903,"[2.257575691791565, 0.09672165087482121]",[0.92095316 0.85574702],2032.45336923773,350.28378434839806,357.45077696596144
13,173.28679513998665,"[4.912096759827602, 0.8409695448177146]",[0. 0.],2205.7401643777166,350.5735902799733,357.7405828975367
14,170.32527167495712,"[0.2595361808680202, 0.014461278166279068]",[1.83496726 1.        ],2376.0654360526737,344.65054334991424,351.8175359674776
15,173.28679513998665,"[1.6808996747617666, 0.6029062359604661]",[0.         0.76634779],2549.3522311926604,350.5735902799733,357.7405828975367
16,172.15255324894886,"[0.7506492714447588, 0.4255015401202904]",[1.46892115 1.        ],2721.5047844416094,348.3051064978977,355.4720991154611
17,173.13146317764176,"[2.0220310579514185, 0.8257600446688105]",[0.83160442 1.        ],2894.636247619251,350.2629263552835,357.4299189728469
18,146.75403144111587,"[0.43639159429437246, 0.7076993852239488]",[2.90855604 1.        ],3041.390279060367,297.50806288223174,304.6750554997951
19,172.51897318809804,"[2.511681503917575, 0.5917642754163034]",[1.32747128 1.        ],3213.9092522484652,349.0379463761961,356.20493899375947
20,173.28679513998665,"[1.3737750557352268, 0.5704161776420434]",[0. 0.],3387.196047388452,350.5735902799733,357.7405828975367
21,173.28679513998665,"[4.765613605957683, 0.9068778075774971]",[0. 0.],3560.4828425284386,350.5735902799733,357.7405828975367
22,172.46280398292186,"[0.11558119126705513, 0.6972205173161096]",[1.34135846 1.        ],3732.9456465113603,348.9256079658437,356.0926005834071
23,168.10783424096863,"[1.3845460302796568, 0.13526429968224196]",[1.79006344 0.2264801 ],3901.053480752329,340.21566848193726,347.38266109950064
24,173.28551149566448,"[2.6504536349455043, 0.6059910995730989]",[0.13664532 0.7590273 ],4074.3389922479937,350.57102299132896,357.73801560889234
25,173.28679513998665,"[2.066428347998741, 0.03591833863382943]",[0.        0.7010413],4247.62578738798,350.5735902799733,357.7405828975367
26,172.495248823218,"[2.7620096621579537, 0.33549823334773543]",[1.60553498 0.32056122],4420.121036211199,348.990497646436,356.15749026399936
27,172.95484931121166,"[3.8503327617395873, 0.6539343669641078]",[1.05320207 1.        ],4593.07588552241,349.9096986224233,357.0766912399867
28,173.28679513998665,"[4.44750847017932, 0.9493472134486193]",[0. 0.],4766.362680662397,350.5735902799733,357.7405828975367
29,173.28679513998665,"[2.977824085438749, 0.41560634321237144]",[0.         0.75940782],4939.649475802384,350.5735902799733,357.7405828975367
30,171.90082590944496,"[4.400824227327295, 0.8182413450119987]",[0.2014205 0.       ],5111.550301711829,347.8016518188899,354.9686444364533
31,167.96887436715213,"[3.7334792060196698, 0.6888849947216286]",[1.33279264 0.        ],5279.519176078981,339.93774873430425,347.10474135186763
32,173.28679513998665,"[2.330432137059093, 0.02480678987676299]",[0.         0.70859311],5452.805971218968,350.5735902799733,357.7405828975367
33,168.59765485921832,"[2.5842488083259854, 0.8571397696464815]",[0.31532547 0.        ],5621.403626078186,341.19530971843665,348.362302336
34,168.30307840609623,"[0.5886658656656679, 0.12722442943677403]",[2.09685762 1.        ],5789.706704484282,340.60615681219247,347.77314942975585
35,172.0431403828938,"[0.706411505289381, 0.6814254664085719]",[1.58343585 1.        ],5961.749844867176,348.0862807657876,355.253273383351
36,173.13025314461984,"[3.8211913522763847, 0.06075652025966871]",[0.83729167 1.        ],6134.880098011796,350.2605062892397,357.42749890680307
37,151.91628183210273,"[1.2108235392722704, 0.27862729360088434]",[2.78961306 1.        ],6286.796379843899,307.83256366420545,314.99955628176883
38,173.17296357604462,"[1.236941214513505, 0.9318901739627382]",[0.08611696 0.        ],6459.9693434199435,350.34592715208925,357.5129197696526
39,173.28679513998665,"[1.146524240743338, 0.7683985579461368]",[0.         0.74726182],6633.25613855993,350.5735902799733,357.7405828975367
40,139.1319429053623,"[4.4305361801754675, 0.7123980194901035]",[0.75509578 0.        ],6772.388081465292,282.2638858107246,289.430878428288
41,172.291994876947,"[0.6028244388499254, 0.4527410348148083]",[1.57505404 0.82507848],6944.680076342239,348.583989753894,355.7509823714574
42,173.28679513998665,"[4.7168493706561305, 0.8487623492496679]",[0.         0.99997882],7117.9668714822255,350.5735902799733,357.7405828975367
43,173.28679513998665,"[3.251286586699766, 0.23368558203304401]",[0.         0.70090046],7291.253666622212,350.5735902799733,357.7405828975367
