participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,143.19888092018536,"[2.9414825332015004, 0.47407570405224464]",[0.43694121 0.14363409],143.19888092018536,290.3977618403707,296.8599790740799
2,135.23599128541684,"[4.179555623474307, 0.9597170954660247]",[0.06681945 0.        ],278.43487220560223,274.4719825708337,280.93419980454286
3,105.13606102224198,"[0.79425720993618, 0.18936937165447287]",[0.08772271 0.        ],383.5709332278442,214.27212204448395,220.73433927819312
4,171.05393840995828,"[0.2986185468749991, 0.20639211058527396]",[0.27388231 0.26930689],554.6248716378025,346.10787681991656,352.5700940536257
5,112.75797662640197,"[0.8713336862255822, 0.13231421586408965]",[1.16949106 0.52846532],667.3828482642044,229.51595325280394,235.9781704865131
6,173.28679513998665,"[2.215972540516998, 0.49696002259017946]",[0. 1.],840.6696434041911,350.5735902799733,357.03580751368247
7,77.52933421078062,"[3.7688878334205436, 0.3686444210934209]",[0.31870452 0.04684901],918.1989776149717,159.05866842156124,165.5208856552704
8,102.69245678085538,"[0.2955487037962845, 0.5249438832514898]",[0.1380775  0.01476714],1020.8914343958271,209.38491356171076,215.84713079541993
9,163.87102254511856,"[1.043755583288109, 0.47336427048282315]",[0.89253478 1.        ],1184.7624569409456,331.7420450902371,338.2042623239463
10,126.75908120849168,"[1.7283021359166129, 0.7000919186743394]",[0.15735041 0.01134264],1311.5215381494372,257.5181624169834,263.98037965069256
11,96.50082564817487,"[4.740235196050849, 0.8418964243947412]",[1.17926871 0.36334974],1408.0223637976121,197.00165129634973,203.4638685300589
12,82.50699188743906,"[0.3660379615002679, 0.9681404488364043]",[0.26643247 0.0368342 ],1490.529355685051,169.0139837748781,175.47620100858728
13,127.12273023942737,"[1.8839626959692857, 0.9864930520253263]",[0.09345614 0.01110087],1617.6520859244783,258.24546047885474,264.7076777125639
14,106.7535209306786,"[2.78127144795755, 0.29532708497653304]",[0.21179571 0.03682257],1724.405606855157,217.5070418613572,223.96925909506638
15,96.16296889944253,"[1.8663927868398744, 0.8747793932034749]",[0.64333274 0.15546709],1820.5685757545996,196.32593779888506,202.78815503259423
16,164.08000396518747,"[0.13304611153598156, 0.3385960785022418]",[0.13703635 0.07305409],1984.648579719787,332.16000793037495,338.6222251640841
17,100.66647156062592,"[1.4046348051358204, 0.6122992269952544]",[0.26476812 0.03684101],2085.3150512804127,205.33294312125184,211.795160354961
18,160.00661532975434,"[2.704149334706216, 0.8849371648373272]",[0.04420331 0.        ],2245.321666610167,324.0132306595087,330.47544789321785
19,88.54173453726096,"[0.7310475799367117, 0.6718884405481217]",[0.51979047 0.08102525],2333.8634011474282,181.08346907452193,187.5456863082311
20,162.22808336658704,"[3.1642497244654546, 0.5628396721009132]",[0.02283418 0.        ],2496.091484514015,328.4561667331741,334.91838396688325
21,115.06632921893667,"[4.066702480999854, 0.8532359216907288]",[0.06341032 0.        ],2611.1578137329516,234.13265843787335,240.5948756715825
22,112.06579866060021,"[1.2767560901554098, 0.8233076007420345]",[0.18978159 0.02744729],2723.223612393552,228.13159732120042,234.59381455490959
23,170.69933150764157,"[0.257216767984641, 0.18895460302852263]",[0.05129973 0.03145975],2893.9229439011933,345.39866301528315,351.8608802489923
24,132.79947272591858,"[3.9847931864983455, 0.22147965919020918]",[0.04244394 0.        ],3026.7224166271117,269.59894545183715,276.0611626855463
25,106.20772850232555,"[0.5590589466810691, 0.43171941774916645]",[0.09061048 0.        ],3132.9301451294373,216.4154570046511,222.87767423836027
26,129.8935767939052,"[3.643459034535689, 0.397755258402963]",[0.3573653  0.10428421],3262.8237219233424,263.7871535878104,270.24937082151956
27,107.64128145569443,"[1.6427555743490663, 0.45570561682204336]",[0.20541951 0.02631771],3370.4650033790367,219.28256291138885,225.74478014509802
28,162.99154872937677,"[0.0936739204801651, 0.45347367151254847]",[0.55860174 0.92108353],3533.4565521084137,329.98309745875355,336.4453146924627
29,151.84855102769205,"[4.143585784240066, 0.5006404332107354]",[0.05207291 0.        ],3685.3051031361056,307.6971020553841,314.1593192890933
30,110.27206481331076,"[2.3116363268136686, 0.3784652549678209]",[0.44320536 0.09436527],3795.5771679494164,224.54412962662153,231.0063468603307
31,136.15437077966092,"[2.9290834620791637, 0.8193196885920521]",[0.13204161 0.02772659],3931.7315387290773,276.30874155932185,282.770958793031
32,169.59932615315026,"[0.2496395324810574, 0.5304054898822288]",[0.49522111 1.        ],4101.330864882228,343.1986523063005,349.6608695400097
33,5.4445427885900255,"[3.3956977515530715, 0.6607965877723162]",[1.32758319 0.        ],4106.775407670818,14.889085577180051,21.351302810889223
34,170.9705602984846,"[2.7121588285566958, 0.3630347273696253]",[0.46394545 1.        ],4277.745967969303,345.9411205969692,352.40333783067837
35,136.8910526492123,"[4.401015070504089, 0.33447128625781875]",[0.05660162 0.        ],4414.637020618516,277.7821052984246,284.24432253213376
36,173.28679513998665,"[3.8907380049355638, 0.802156805285889]",[0. 1.],4587.923815758502,350.5735902799733,357.03580751368247
37,163.34874978607775,"[0.10525895076783476, 0.01817121788921372]",[0.07031138 0.00544179],4751.27256554458,330.6974995721555,337.15971680586466
38,40.37181737064956,"[2.506605878494535, 0.46694515824680793]",[0.17869609 0.        ],4791.6443829152295,84.74363474129912,91.20585197500829
39,157.81466738420883,"[0.8025121841520289, 0.3371138614345268]",[0.33823314 0.18375895],4949.459050299438,319.62933476841766,326.09155200212683
40,169.9910732669555,"[0.760860422938654, 0.9934819417912027]",[0.04634571 0.02545213],5119.450123566394,343.982146533911,350.4443637676202
41,94.09347286806519,"[1.1453155389022684, 0.8994691591096114]",[0.89580816 0.22830854],5213.543596434459,192.18694573613038,198.64916296983955
42,153.3021101088866,"[1.5802030964645097, 0.06052260706764556]",[0.09351175 0.01884901],5366.845706543345,310.6042202177732,317.0664374514824
43,173.28679513998665,"[0.41152517867402594, 0.0289883767976028]",[0. 1.],5540.132501683332,350.5735902799733,357.03580751368247
44,102.57245428689441,"[1.3817676554979768, 0.7772575035386522]",[1.15134263 0.37556776],5642.704955970226,209.14490857378883,215.607125807498
45,159.8672286187918,"[4.375547186147087, 0.4297039607205797]",[0.68295312 1.        ],5802.572184589018,323.7344572375836,330.1966744712928
46,169.11373925308396,"[1.2114341750741016, 0.08498163359624378]",[0.26729052 0.3907491 ],5971.685923842102,342.2274785061679,348.6896957398771
47,160.82512146947695,"[4.400602864550024, 0.646906942103532]",[0.25514423 0.09570466],6132.511045311579,325.6502429389539,332.1124601726631
48,143.55527063165155,"[3.183373255066591, 0.2688515844116476]",[0.04473481 0.        ],6276.066315943231,291.1105412633031,297.5727584970123
49,142.4078165606824,"[2.75533538018205, 0.29090730729103287]",[0.77738083 0.43182006],6418.474132503913,288.8156331213648,295.27785035507395
50,173.28679513998665,"[2.756137050302078, 0.3238619821583144]",[0. 1.],6591.7609276439,350.5735902799733,357.03580751368247
51,145.00196843367462,"[4.970695722071996, 0.9874889904397472]",[0.08051849 0.        ],6736.762896077575,294.00393686734924,300.4661541010584
52,85.48765790095933,"[4.837108720986388, 0.921474754654937]",[0.56144133 0.1190046 ],6822.250553978534,174.97531580191867,181.43753303562784
53,172.86721347990255,"[0.08419034246107293, 0.4430471088562786]",[0.01621601 0.01287911],6995.117767458437,349.7344269598051,356.19664419351426
54,167.18074949081688,"[1.624329500933882, 0.6963788134267588]",[0.83048293 0.93076367],7162.298516949254,338.36149898163376,344.8237162153429
