participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,142.10352543481707,"[2.1273153705134136, 0.7680209662860684, 0.31298966489784097]",[ 0.0018453  0.        -1.       ],142.10352543481707,290.20705086963414,297.77241660078124
4,171.03162855845528,"[3.791511432520904, 0.3186440264189596, 0.8521313005871922]",[0.37857415 0.22290059 0.15445043],313.13515399327235,348.06325711691056,355.62862284805766
5,97.84954228374228,"[0.5648584773901238, 0.719027268314534, 0.5659048009840739]",[ 0.15873527  0.70940915 -1.        ],410.9846962770146,201.69908456748456,209.2644502986317
10,122.99656761112396,"[2.8028457882621027, 0.8854112590435136, -0.2679552886759453]",[0.36532669 0.         0.51664582],533.9812638881385,251.99313522224793,259.558500953395
12,82.3302526548736,"[2.819283835980178, 0.7012896396897534, -0.8736815914097427]",[0.3127451  0.02676757 0.12596372],616.3115165430121,170.6605053097472,178.22587104089433
13,122.91279284623617,"[2.193069252099327, 0.8662085348373371, 0.8578364199158035]",[0.45054251 0.00354687 0.67577277],739.2243093892482,251.82558569247234,259.39095142361947
14,102.07511273706326,"[1.8408740596250717, 0.2833296687408269, 0.3598698293419571]",[0.51283929 0.01964737 0.43973455],841.2994221263115,210.15022547412653,217.71559120527365
15,96.02356555316392,"[0.5988512894039216, 0.6504344125867327, -0.5266884022561844]",[0.68393609 0.1362349  0.05727853],937.3229876794754,198.04713110632784,205.61249683747496
17,99.61052453203742,"[2.3221836645997227, 0.31041551736862505, 0.34911105804838605]",[0.31654633 0.00173593 0.53922805],1036.9335122115128,205.22104906407483,212.78641479522196
18,159.96038643464075,"[2.7476749765398756, 0.629114108611883, 0.08936918710323671]",[0.06050565 0.         0.11012068],1196.8938986461535,325.9207728692815,333.4861386004286
20,158.06331212500538,"[0.041180138621302875, 0.8673570416022248, 0.6522377180306684]",[0.27504015 0.         0.94421757],1354.9572107711588,322.12662425001076,329.69198998115786
22,111.61759618838076,"[0.530725217947558, 0.9399680240246016, -0.7577616367103475]",[ 0.12064839  0.0406401  -0.21383232],1466.5748069595395,229.23519237676152,236.80055810790864
24,131.7160380430633,"[2.3245465404553283, 0.6020546102939339, 0.9195630652429905]",[ 0.00704257  0.06429203 -1.        ],1598.2908450026027,269.4320760861266,276.9974418172737
25,105.88714500115601,"[2.5006349376888726, 0.59219776817836, 0.9699553386373447]",[0.14128273 0.         0.16005214],1704.1779900037589,217.77429000231203,225.33965573345915
26,126.63489894998543,"[4.1067475430548495, 0.0012470341959471831, 0.569349047157538]",[0.31524168 0.         0.7700818 ],1830.8128889537443,259.26979789997085,266.83516363111795
28,145.74987401798373,"[2.9586176675213998, 0.7632672426831424, -0.43758675850865214]",[2.10125569 0.1449929  1.        ],1976.562762971728,297.49974803596746,305.06511376711455
29,145.93141994874063,"[3.5032807745690113, 0.18046319290223056, -0.8076633312019521]",[0.52334871 0.         0.91974147],2122.4941829204686,297.86283989748125,305.42820562862835
31,135.0974428263385,"[4.104216579470132, 0.9894772799179953, -0.5101929478775293]",[0.25778507 0.01877515 0.30243067],2257.591625746807,276.194885652677,283.7602513838241
