participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,142.0806148902021,"[0.23764123834927153, 0.734011572704488, 0.2082262216906653]",[0.81281745 0.36432145 0.2652172 ],142.0806148902021,290.1612297804042,299.854555630968
2,133.23236995644564,"[1.5248729110583337, 0.33038858695218565, 0.11435675657728461]",[1.11234853 0.56776314 0.5738386 ],275.31298484664774,272.4647399128913,282.15806576345506
3,103.42030845227661,"[0.3257637542578623, 0.29484666766376333, 0.2912032761808645]",[0.09084449 0.         0.        ],378.73329329892437,212.84061690455323,222.53394275511698
4,171.02197450506821,"[1.4699868133372433, 0.07269899460052931, 0.3273865746555622]",[0.76334367 1.         0.25574478],549.7552678039926,348.04394901013643,357.7372748607002
5,112.75797662707642,"[3.7837183415336795, 0.2906781038724833, 0.8596958490502292]",[1.16949135 0.5284657  1.        ],662.5132444310691,231.51595325415283,241.2092791047166
6,173.28679513998665,"[3.0760330493804613, 0.5431326872231845, 0.4552487407510485]",[0. 1. 0.],835.8000395710558,352.5735902799733,362.2669161305371
7,76.08634005040415,"[1.5230786556015807, 0.2143652126856932, 0.7240588575594683]",[0.41384587 0.06579142 0.00656929],911.8863796214599,158.1726801008083,167.86600595137205
8,102.68958596525196,"[3.3350900292047236, 0.09266715035381912, 0.11704334849689568]",[0.1400163  0.01519631 0.90940146],1014.5759655867118,211.37917193050393,221.07249778106768
9,163.87102254732997,"[3.0734500647374636, 0.2370089860621566, 0.9835533736064326]",[0.89253516 1.         1.        ],1178.446988134042,333.74204509465994,343.4353709452237
10,121.26072310434576,"[3.1917003297240534, 0.24161996453135048, 0.7978715391607384]",[0.89692513 0.13359503 0.01889255],1299.7077112383877,248.52144620869151,258.21477205925527
11,96.50082564896441,"[4.600591064740878, 0.9216319758798983, 0.8972394840050952]",[1.17926904 0.36335012 1.        ],1396.208536887352,199.00165129792882,208.69497714849257
12,82.32605097127245,"[1.484865442826389, 0.36397171659645033, 0.6851970297292954]",[0.29939098 0.043539   0.59159075],1478.5345878586245,170.6521019425449,180.34542779310866
13,122.24871891429527,"[3.6818112991274656, 0.7687536639621565, 0.5140016688422165]",[1.91837411 1.         0.        ],1600.7833067729198,250.49743782859053,260.1907636791543
14,103.85450156376385,"[1.4577020688202058, 0.44889757338139014, 0.25703835607158965]",[0.56172435 0.10162028 0.        ],1704.6378083366835,213.7090031275277,223.40232897809145
15,96.16296889999417,"[1.9485081548028083, 0.49508398815942645, 0.6350345803200297]",[0.64333239 0.15546692 1.        ],1800.8007772366777,198.32593779998834,208.0192636505521
16,157.51787103816565,"[3.2210818215418566, 0.841980479449996, 0.6444820886982299]",[0.42355222 0.19608652 0.14263498],1958.3186482748433,321.0357420763313,330.7290679268951
17,100.66647156162995,"[0.31029092001289116, 0.3193581175777309, 0.6326592145237538]",[0.26476807 0.03684099 1.        ],2058.985119836473,207.3329431232599,217.02626897382365
18,158.01854348178333,"[2.6515533517618013, 0.851405903435238, 0.8359446166351534]",[0.03718191 0.         0.        ],2217.0036633182563,322.03708696356665,331.73041281413043
19,88.54173453788572,"[0.13235810411542093, 0.12349005421819781, 0.7679693162629017]",[0.51978995 0.08102516 1.        ],2305.545397856142,183.08346907577143,192.77679492633519
20,159.76032826677158,"[3.727303209629696, 0.22040234993635743, 0.1633546758109583]",[0.04408854 0.00585072 0.        ],2465.3057261229133,325.52065653354316,335.21398238410694
21,114.83820211531948,"[3.7555276317601693, 0.9506006698882429, 0.997140356312289]",[7.27193783e-02 4.44571846e-05 1.62386969e-02],2580.1439282382325,235.67640423063895,245.3697300812027
22,112.06579866150724,"[3.728465188475136, 0.9762500629738561, 0.2756025609113081]",[0.18978142 0.02744725 1.        ],2692.20972689974,230.1315973230145,239.82492317357824
23,170.0993444773936,"[1.0374854220082075, 0.4221505640831066, 0.040393384925039855]",[0.01489873 0.         0.        ],2862.3090713771335,346.1986889547872,355.892014805351
24,127.7218749333957,"[0.4715414842453397, 0.42348989718732755, 0.29383657860693924]",[0.07950638 0.00922793 0.        ],2990.030946310529,261.4437498667914,271.1370757173552
25,104.14040135139318,"[4.231722251224226, 0.03467811156840894, 0.2993363733492471]",[0.13264959 0.         0.02932933],3094.1713476619225,214.28080270278636,223.9741285533501
26,129.60050823652068,"[3.468511710173976, 0.1982331032682254, 0.6334232852418452]",[1.55362544 1.         0.09812681],3223.7718558984434,265.20101647304136,274.89434232360514
27,107.64128145722556,"[0.3163631998335986, 0.18587868133955643, 0.6073651839263807]",[0.20541956 0.02631771 1.        ],3331.413137355669,221.28256291445112,230.97588876501487
28,162.97515296307066,"[0.8300521175328951, 0.948043861534567, 0.8104838974969726]",[0.5751798  0.95195015 0.95175782],3494.3882903187396,331.9503059261413,341.6436317767051
29,151.7029105018241,"[2.5304577689181587, 0.06272252391315047, 0.15025066830254352]",[0.05275629 0.         0.00254177],3646.0912008205637,309.4058210036482,319.099146854212
30,110.27206481403483,"[0.6105229269522383, 0.36720362176139476, 0.7735616496401865]",[0.44320502 0.09436518 1.        ],3756.3632656345985,226.54412962806967,236.23745547863342
31,131.74266938933715,"[1.2611148301613646, 0.8323413187286621, 0.6771620430197188]",[0.49442719 0.14031514 0.        ],3888.1059350239357,269.4853387786743,279.1786646292381
32,169.59932615418404,"[1.077334368694685, 0.9995650446455093, 0.278650057274637]",[0.49522109 1.         1.        ],4057.7052611781196,345.1986523083681,354.89197815893186
33,5.094276951852974,"[0.5408699641101355, 0.4129599271797879, 0.12640873263235208]",[0.83330921 0.         0.        ],4062.7995381299725,16.188553903705948,25.881879754269708
34,170.97056029978074,"[0.38637514665122885, 0.5649575726459435, 0.4878156818508461]",[0.46394387 1.         1.        ],4233.7700984297535,347.9411205995615,357.63444645012527
35,136.02143363226148,"[4.604483041070301, 0.6724388143136366, 0.4997717056491787]",[0.36731326 0.08061755 0.09080025],4369.791532062015,278.04286726452295,287.73619311508673
36,173.28679513998665,"[1.974903809186026, 0.4310059193689407, 0.9489110907053303]",[0. 1. 0.],4543.078327202002,352.5735902799733,362.2669161305371
37,161.20786522177028,"[3.218156493421509, 0.8697094417656902, 0.7205948731743329]",[8.39686408e-01 2.04015463e-01 2.45861942e-04],4704.286192423772,328.41573044354055,338.10905629410433
38,39.363937265296265,"[4.633854880445717, 0.07121240757557312, 0.8532406910864456]",[0.18938607 0.         0.        ],4743.650129689068,84.72787453059253,94.4212003811563
39,156.8112758807454,"[3.5874439301565126, 0.42941170575177434, 0.1848479290022813]",[0.53084086 0.30537365 0.30075929],4900.461405569814,319.6225517614908,329.3158776120546
40,168.7182833076678,"[1.1135874416384184, 0.48737129550761604, 0.7583758614349556]",[0.1814057  0.09813432 0.05636546],5069.179688877482,343.4365666153356,353.1298924658994
41,82.16016621852269,"[3.3243398090624057, 0.40875679213437166, 0.922764877307245]",[1.27318995 0.38065174 0.36435361],5151.339855096005,170.32033243704538,180.01365828760913
42,152.98686426465446,"[4.510725443477872, 0.32566421801758416, 0.5621081134831984]",[0.11397149 0.02467761 0.25325083],5304.326719360659,311.9737285293089,321.6670543798727
43,173.28679513998665,"[2.8795932312513886, 0.28048987151769733, 0.7369819486862549]",[0. 1. 0.],5477.613514500646,352.5735902799733,362.2669161305371
44,102.57245428750068,"[0.24845573958826805, 0.6616605208826674, 0.7223029476699647]",[1.15134215 0.37556765 1.        ],5580.185968788146,211.14490857500135,220.8382344255651
45,159.86722862000065,"[1.6496900774009748, 0.38959832458990284, 0.9199975941169126]",[0.68295242 1.         1.        ],5740.053197408147,325.7344572400013,335.4277830905651
