participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,144.15061874319161,"[3.6924549765319314, 0.33528054997667733]",[1.41322141 0.28602598],144.15061874319161,292.30123748638323,298.7634547200924
2,143.69489294735905,"[3.5355378695435618, 0.5347063813878918]",[0.95356876 0.06426526],287.84551169055067,291.3897858947181,297.85200312842727
3,108.36048800154136,"[2.5817961744556532, 0.5724437895021567]",[0.84450015 0.02452592],396.205999692092,220.7209760030827,227.18319323679188
4,172.62065846446862,"[4.62366263257067, 0.573466542027313]",[0.09122755 0.01391864],568.8266581565606,349.24131692893724,355.7035341626464
5,127.66887137818352,"[4.91675265218499, 0.3267796527853819]",[1.06686938 0.10000304],696.4955295347442,259.33774275636705,265.7999599900762
6,173.28679513998665,"[1.2475325732542557, 0.5083338771536875]",[0.         0.75277531],869.7823246747308,350.5735902799733,357.03580751368247
7,77.80510615690433,"[0.7128721555958845, 0.7461476853452236]",[1.02257355 0.06724394],947.5874308316352,159.61021231380866,166.07242954751783
8,111.3014827164776,"[2.0744406450741657, 0.5828307846388172]",[0.67935332 0.02708713],1058.8889135481127,226.6029654329552,233.06518266666436
9,172.96580424633507,"[4.304157387648196, 0.8467381749357256]",[0.03409455 0.        ],1231.8547177944477,349.93160849267014,356.3938257263793
10,133.3420997425363,"[1.7708346482963844, 0.4757788109326614]",[1.28668111 0.14167618],1365.1968175369839,270.6841994850726,277.1464167187818
11,115.11837705318064,"[0.28384814507534273, 0.03149218503169027]",[0.52141583 0.03101071],1480.3151945901645,234.23675410636127,240.69897134007044
12,86.64808235050948,"[2.9217686473622866, 0.27993413451311855]",[1.46651724 0.12437333],1566.963276940674,177.29616470101897,183.75838193472813
13,126.31703256911253,"[1.2842428023930186, 0.9037329545107854]",[0.8386542  0.06453765],1693.2803095097865,256.6340651382251,263.09628237193425
14,112.68212277521492,"[1.510757954372706, 0.0774646877365407]",[0.73454753 0.05436451],1805.9624322850016,229.36424555042984,235.826462784139
15,95.50490324952489,"[2.4636486871867316, 0.9269619857698984]",[0.86955601 0.05336742],1901.4673355345265,195.00980649904977,201.47202373275894
16,138.04193291010563,"[4.941272130502557, 0.494810959826408]",[1.76186854 0.37373996],2039.5092684446322,280.08386582021126,286.5460830539204
17,100.8321527212541,"[2.5678374073173744, 0.4331130000829402]",[0.47139998 0.0178547 ],2140.3414211658865,205.6643054425082,212.12652267621738
18,165.56262964335994,"[1.6228018690074801, 0.5961472965601233]",[0.09125335 0.        ],2305.904050809246,335.1252592867199,341.58747652042905
